date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,64.31,64.905,64.01,64.71,63.6966122159554,1909826,0.0,1.0
2025-11-24,64.67,65.065,64.59,64.99,63.9722272896761,1201597,0.0,1.0
2025-11-25,65.19,65.595,64.91,65.58,64.5529876235877,928556,0.0,1.0
2025-11-26,65.83,66.355,65.83,66.25,65.2124951214194,1362401,0.0,1.0
2025-11-28,66.25,66.51,66.1325,66.49,65.44873661318,1068018,0.0,1.0
2025-12-01,66.28,66.48,66.18,66.24,65.2026517259293,1159521,0.0,1.0
2025-12-02,66.45,66.45,66.135,66.35,65.3109290763196,1138094,0.0,1.0
2025-12-03,66.33,66.63,66.315,66.61,65.5668573590603,1281096,0.0,1.0
2025-12-04,66.92,66.95,66.675,66.82,65.7735686643508,1168688,0.0,1.0
2025-12-05,67.15,67.295,66.9,66.97,65.9212195967012,1954748,0.0,1.0
2025-12-08,67.03,67.03,66.6198,66.75,65.7046648959207,1596664,0.0,1.0
2025-12-09,66.8,66.885,66.65,66.68,65.6357611274905,817321,0.0,1.0
2025-12-10,66.685,67.54,66.685,67.43,66.3740157892424,1263311,0.0000,1.0
2025-12-11,67.43,67.71,67.29,67.64,66.5807270945329,1291851,0.0000,1.0
2025-12-12,67.72,67.735,66.9,67.16,66.1082441110117,1655730,0.0000,1.0
2025-12-15,67.69,67.7,67.245,67.36,66.3051120208122,1877784,0.0000,1.0
2025-12-16,66.06,66.15,65.7,65.92,65.92,1603165,1.0488,1.0
2025-12-17,65.98,66.02,65.39,65.39,65.39,1963547,0.0000,1.0
2025-12-18,66.05,66.3099,65.85,65.98,65.98,2213764,0.0000,1.0
2025-12-19,66.37,66.68,66.3235,66.48,66.48,2136335,0.0000,1.0
2025-12-22,66.7,66.805,66.56,66.74,66.74,1438159,0.0000,1.0
2025-12-23,67.09,67.23,66.95,67.19,67.19,1166144,0.0000,1.0
2025-12-24,67.26,67.315,67.16,67.25,67.25,890814,0.0000,1.0
