date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2008-04-30,50.9100,68.1700,47.7400,54.4400,34.1870,101600,0.0000
2008-05-30,53.7500,56.6300,53.5300,54.8700,34.4570,327500,0.0000
2008-06-30,54.8500,56.0000,50.0300,50.2400,31.5495,292700,0.0000
2008-07-31,49.7100,49.8200,47.1200,48.3300,30.3501,511200,0.0000
2008-08-29,48.1700,59.1700,44.5900,45.9520,28.8567,885100,0.0000
2008-09-30,45.1600,45.5600,35.0000,39.9100,25.0625,1596300,0.0000
2008-10-31,39.6200,39.9700,25.5400,30.7300,19.2977,2045800,0.0000
2008-11-28,30.6300,33.2600,23.8100,28.5750,17.9444,5278800,0.0000
2008-12-31,27.8600,31.3800,25.8100,30.7200,19.3849,8327700,0.1406
2009-01-30,30.5500,31.8100,25.4400,26.6000,16.7851,4823200,0.0000
2009-02-27,26.2200,28.4700,23.7400,24.0400,15.1697,4041800,0.0000
2009-03-31,23.4600,28.0200,22.0000,26.5500,16.7535,2620900,0.0000
2009-04-30,26.5100,30.6500,26.3800,30.1900,19.0504,2339500,0.0000
2009-05-29,30.4300,34.4900,30.3100,34.4900,21.7638,1907800,0.0000
2009-06-30,35.3900,35.8200,31.9600,33.2100,21.3147,4543900,0.5514
2009-07-31,33.6800,37.0000,31.4100,36.8000,23.6188,1540000,0.0000
2009-08-31,37.4500,38.6300,35.8900,37.8340,24.2825,1242500,0.0000
2009-09-30,37.4700,40.7488,36.8000,39.8700,25.5892,1079400,0.0000
2009-10-30,39.6700,41.8986,37.9700,38.7100,24.8447,5145200,0.0000
2009-11-30,38.9400,42.2200,38.2800,40.5900,26.0513,4670300,0.0000
2009-12-31,41.4600,42.2800,39.9400,40.9100,26.4360,2567900,0.2763
2010-01-29,41.6900,42.8800,38.3700,38.5200,24.8916,2924300,0.0000
2010-02-26,38.9100,40.0000,36.5800,39.0200,25.2147,1990600,0.0000
2010-03-31,39.1600,42.0000,39.1000,41.6900,26.9401,2899200,0.0000
2010-04-30,42.2100,43.3181,40.3300,40.7400,26.3262,3678300,0.0000
2010-05-28,40.9400,41.2100,30.6500,36.5400,23.6121,5235200,0.0000
2010-06-30,36.3400,38.8600,35.0200,35.1500,23.0283,3464500,0.5161
2010-07-30,35.4000,39.4104,34.9500,39.0570,25.5879,1402800,0.0000
2010-08-31,39.8100,40.2600,36.7700,37.5400,24.5941,1797400,0.0000
2010-09-30,38.4600,41.8700,38.4100,41.3700,27.1033,4151300,0.0000
2010-10-29,41.7500,43.5600,41.1600,42.8100,28.0467,2518500,0.0000
2010-11-30,43.0000,44.7500,40.9100,41.2800,27.0443,1691600,0.0000
2010-12-31,42.1000,44.2700,42.0700,44.0400,29.1779,2533700,0.4898
2011-01-31,44.3900,45.1210,43.0000,44.2800,29.3369,3187000,0.0000
2011-02-28,44.7300,45.9981,44.3500,45.7200,30.2909,2120800,0.0000
2011-03-31,45.9500,46.0800,41.4000,45.4500,30.1120,5060800,0.0000
2011-04-29,45.6000,47.7200,44.4400,47.7200,31.6160,1510300,0.0000
2011-05-31,47.8900,47.9460,43.9400,46.2700,30.6553,2395600,0.0000
2011-06-30,46.1100,46.1100,42.4650,45.0400,30.2755,2838300,0.6343
2011-07-29,44.9300,45.5400,42.7900,43.8300,29.4622,4063600,0.0000
2011-08-31,44.3600,44.3600,36.9500,39.9700,26.8675,7102000,0.0000
2011-09-30,39.9400,40.3400,34.1000,35.0500,23.5603,3780800,0.0000
2011-10-31,34.7900,41.2660,33.2300,38.9800,26.2021,4456900,0.0000
2011-11-30,37.4700,39.4301,34.5500,38.1400,25.6374,6624300,0.0000
2011-12-30,37.9500,38.7192,35.6800,36.8100,25.0816,12872600,0.4976
2012-01-31,37.5000,39.5140,36.5400,39.1100,26.6488,10191200,0.0000
2012-02-29,39.6500,41.6800,39.5610,41.0300,27.9570,3627300,0.0000
2012-03-30,41.2700,41.7300,39.4400,40.8300,27.8208,3937600,0.0000
2012-04-30,40.6800,41.4900,38.6895,40.1500,27.3574,3004400,0.0000
2012-05-31,40.0500,40.5100,35.2591,35.6900,24.3185,3724700,0.0000
2012-06-29,35.0800,37.7700,34.7600,37.1900,25.8308,6199300,0.6920
2012-07-31,37.2300,37.8490,35.3100,37.2900,25.9002,3796600,0.0000
2012-08-31,37.5600,39.2300,36.5600,38.0600,26.4350,6323700,0.0000
2012-09-28,38.0700,41.1700,37.6600,39.3900,27.3588,5634300,0.0000
2012-10-31,39.9200,40.6400,38.3000,39.6400,27.5324,8807700,0.0000
2012-11-30,39.8500,40.7410,38.2000,40.5900,28.1923,3706600,0.0000
2012-12-31,40.7600,42.0710,40.5600,41.8800,29.3697,6675300,0.4026
2013-01-31,42.6400,43.4100,41.8100,43.0600,30.1972,7631655,0.0000
2013-02-28,43.3000,43.5400,41.7910,42.5500,29.8396,4612800,0.0000
2013-03-28,42.3800,43.4800,42.1600,42.8600,30.0570,3352000,0.0000
2013-04-30,42.6400,44.3800,41.8000,44.3600,31.1089,5681400,0.0000
2013-05-31,44.4200,45.7200,42.9600,43.0000,30.1552,7126400,0.0000
2013-06-28,43.0600,43.5100,39.7300,40.7100,29.0326,7613000,0.6887
2013-07-31,41.0500,43.4500,40.3801,42.5600,30.3519,10523200,0.0000
2013-08-30,42.9900,43.8000,41.8100,41.8800,29.8670,9194300,0.0000
2013-09-30,42.7600,46.1500,42.3000,44.8200,31.9637,5565600,0.0000
2013-10-31,44.8000,47.2000,44.2600,46.3600,33.0619,7508300,0.0000
2013-11-29,46.1300,46.8800,45.2100,46.4900,33.1546,6795200,0.0000
2013-12-31,46.3700,46.7800,44.3900,46.6700,33.6991,10517100,0.5660
2014-01-31,46.1500,46.2350,43.5100,43.8400,31.6556,11970600,0.0000
2014-02-28,43.8500,46.5800,42.9460,46.3300,33.4536,9273200,0.0000
2014-03-31,45.6400,46.8850,44.6800,46.5700,33.6269,7198300,0.0000
2014-04-30,46.7700,47.3640,45.7800,47.3500,34.1901,5001700,0.0000
2014-05-30,47.3300,48.3200,47.0100,48.1500,34.7678,8570400,0.0000
2014-06-30,48.3400,49.2500,47.6200,48.0200,35.3321,5286200,0.9081
2014-07-31,48.2000,48.7400,47.2700,47.2800,34.7876,6518400,0.0000
2014-08-29,47.1000,48.0600,46.1700,47.7800,35.1555,5164000,0.0000
2014-09-30,47.8900,48.3400,45.3300,45.4800,33.4632,6564974,0.0000
2014-10-31,45.2300,45.3800,41.8700,45.3800,33.3896,13371106,0.0000
2014-11-28,45.1500,45.8800,44.3800,45.3400,33.3602,6771020,0.0000
2014-12-31,45.1700,45.2700,42.0000,43.0200,31.9953,24025049,0.4595
2015-01-30,43.1700,43.8650,41.2414,42.8700,31.8837,17805095,0.0000
2015-02-27,43.1900,45.5099,43.0899,45.2500,33.6538,8828099,0.0000
2015-03-31,45.2000,45.6900,43.2220,44.7000,33.2448,9449571,0.0000
2015-04-30,44.9600,47.8899,44.7900,46.8400,34.8364,7969831,0.0000
2015-05-29,47.0100,47.7600,46.1500,46.3100,34.4422,8056675,0.0000
2015-06-30,46.3400,46.7400,44.0700,44.1800,33.3531,10794155,0.6868
2015-07-31,44.6400,44.9500,42.2800,44.0800,33.2776,11369999,0.0000
2015-08-31,43.9300,44.4500,37.9508,40.8000,30.8015,14890279,0.0000
2015-09-30,39.6400,41.5732,38.0100,39.0500,29.4803,19825293,0.0000
2015-10-30,39.2800,42.5400,38.8500,41.6100,31.4130,18678332,0.0000
2015-11-30,41.7800,42.3000,40.1800,41.0700,31.0053,26761090,0.0000
2015-12-31,41.3600,41.5600,38.7900,39.6100,30.1373,54718775,0.3081
2016-01-29,38.8600,38.8600,34.4650,37.4100,28.4634,40472555,0.0000
2016-02-29,37.0100,37.4100,34.5400,36.4900,27.7634,30890230,0.0000
2016-03-31,37.1700,40.0300,37.0300,39.4800,30.0384,18469491,0.0000
2016-04-29,38.7100,41.4000,38.1200,40.4800,30.7992,14584720,0.0000
2016-05-31,40.7200,40.7800,38.8000,39.9900,30.4264,14074020,0.0000
2016-06-30,39.7800,41.2700,36.3600,38.9600,30.1876,15882274,0.7270
2016-07-29,39.0500,40.6300,37.7500,40.5800,31.4429,13275411,0.0000
2016-08-31,40.5600,41.6900,39.8100,40.8700,31.6676,12039905,0.0000
2016-09-30,41.0000,42.2600,40.2700,41.4800,32.1402,10253183,0.0000
2016-10-31,41.4100,41.6550,40.1000,40.7500,31.5746,11217744,0.0000
2016-11-30,40.8900,40.8900,39.3499,39.9200,30.9315,18847062,0.0000
2016-12-30,39.9500,41.4700,39.6600,40.2700,31.5054,27718900,0.3899
2017-01-31,40.5000,42.2299,40.4000,41.8100,32.7102,24857108,0.0000
2017-02-28,42.0200,43.0200,41.7600,42.2900,33.0857,12034148,0.0000
2017-03-31,42.6100,43.9500,42.1400,43.6200,34.1262,13004072,0.0000
2017-04-28,43.6400,44.7699,43.0600,44.5600,34.8616,12493957,0.0000
2017-05-31,44.7600,46.2500,44.6500,45.9300,35.9335,9327045,0.0000
2017-06-30,46.1500,46.6800,45.2000,45.5900,36.1956,7943545,0.6707
2017-07-31,45.5700,47.3400,45.1700,47.1900,37.4659,8189602,0.0000
2017-08-31,47.5300,47.5800,46.3200,47.3900,37.6247,9624465,0.0000
2017-09-29,47.5800,48.7100,47.0000,48.3500,38.3869,8100069,0.0000
2017-10-31,48.2100,49.4200,48.2000,49.2800,39.1253,8795185,0.0000
2017-11-30,49.5500,50.1305,48.4800,49.4900,39.2920,12874658,0.0000
2017-12-29,49.3300,50.1600,48.8300,49.9500,40.0819,11822451,0.5280
2018-01-31,50.3100,53.7400,50.2400,52.6800,42.2725,14498316,0.0000
2018-02-28,52.5300,52.8200,47.5000,50.0200,40.1380,12175845,0.0000
2018-03-29,49.9000,51.0400,48.5500,49.6900,39.8732,12070325,0.0000
2018-04-30,49.6000,50.8000,48.6000,49.9700,40.0979,21016339,0.0000
