date,open,high,low,close,volume
2017-11-30,0.03043045,0.15100106,0.01840782,0.12279655,864305699.98006833
2017-12-31,0.12199148,0.76160166,0.09964439,0.72229995,5295842649.24432850
2018-01-31,0.71907157,1.32591153,0.43771206,0.50392702,6182622975.74996758
2018-02-28,0.50536678,0.52333682,0.25207419,0.30617909,1807279039.03293157
2018-03-31,0.30552934,0.32288184,0.12482280,0.15260847,1495135646.18394613
2018-04-30,0.15260788,0.38592432,0.13875280,0.33971648,2578790649.18578577
2018-05-31,0.34179664,0.38859877,0.17429788,0.22599318,2803562024.81757402
2018-06-30,0.22615251,0.23954448,0.11514264,0.13764636,2092251348.96646714
2018-07-31,0.13756860,0.19449669,0.12342912,0.14335228,3347082753.11736298
2018-08-31,0.14306002,0.14427840,0.08643234,0.10210529,2082223581.63411856
2018-09-30,0.10179877,0.10905819,0.06144519,0.08510407,2067612470.42307711
2018-10-31,0.08527321,0.08858742,0.06768104,0.06961168,866792535.64536238
2018-11-30,0.06964488,0.08104320,0.03275487,0.03897744,883962440.69619238
2018-12-31,0.03900407,0.04887570,0.02744869,0.04110675,806075951.35610569
2019-01-31,0.04106665,0.05460222,0.03703379,0.03825623,816660629.95319009
2019-02-28,0.03826467,0.05009451,0.03604384,0.04318083,615176773.12061334
2019-03-31,0.04319467,0.07338124,0.03993184,0.07155503,2512443841.80001497
2019-04-30,0.07149945,0.09938430,0.06453724,0.06977328,4498351207.61265182
2019-05-31,0.06974037,0.09993858,0.05960271,0.08968481,5304113900.63630867
2019-06-30,0.08966842,0.10713936,0.07909837,0.08400508,7253178385.54512119
2019-07-31,0.08388698,0.08642828,0.05022516,0.06012614,4561874684.78221416
2019-08-31,0.06012364,0.06240071,0.04340241,0.04485581,2540576305.12970161
2019-09-30,0.04482607,0.05516753,0.03564602,0.03875970,2536870073.70720863
2019-10-31,0.03883720,0.04441667,0.03552159,0.04131687,2151224473.43151569
2019-11-30,0.04124873,0.04592632,0.03299288,0.04033540,2947502512.42244816
2019-12-31,0.04033697,0.04033697,0.03040474,0.03289929,2126402774.62130928
2020-01-31,0.03287204,0.05712904,0.03240602,0.05369734,3678112750.35361719
2020-02-29,0.05377049,0.07192538,0.04663582,0.04735801,5777430575.11165714
2020-03-31,0.04724980,0.05221483,0.01884757,0.03047734,2540241774.72759676
2020-04-30,0.03047105,0.05412876,0.02946349,0.04753699,2561286790.22953796
2020-05-31,0.04756385,0.08584888,0.04486946,0.07406125,6160304327.63344002
2020-06-30,0.07412900,0.08996285,0.07019262,0.08313179,10445396379.87891579
2020-07-31,0.08299241,0.15399669,0.08248816,0.13901242,22504878166.47124863
2020-08-31,0.13896849,0.15207940,0.10364120,0.12244307,15653924894.60240173
2020-09-30,0.12245768,0.12771456,0.07577208,0.10097996,19652159917.39976120
2020-10-31,0.10135723,0.11406132,0.08993166,0.09299063,13231506957.41068840
2020-11-30,0.09302943,0.18253330,0.08876460,0.17146828,27878491877.85718155
2020-12-31,0.17204686,0.19598526,0.12838631,0.18133780,30403451911.71569824
2021-01-31,0.18165570,0.39687158,0.16999559,0.34601045,86932335117.18563843
2021-02-28,0.34549457,1.46715934,0.33461494,1.30508956,216464328921.89965820
2021-03-31,1.31349492,1.47000000,0.99560917,1.19457494,187720550472.69812012
2021-04-30,1.19419748,1.56000000,0.97389499,1.35625237,116696689509.91270447
2021-05-31,1.35551479,2.45526209,1.05190508,1.74299829,199141382651.15844727
2021-06-30,1.73922567,1.88000000,1.01000000,1.38158550,83231238539.80986023
2021-07-31,1.38356171,1.49000000,1.02000000,1.32560963,45144673153.56444550
2021-08-31,1.32214572,2.97251481,1.26000000,2.78344548,166119801977.29718018
2021-09-30,2.77389485,3.09703730,1.94008438,2.11339369,152536128856.58340454
2021-10-31,2.11410214,2.36256398,1.88791856,1.96584903,81962788498.64308167
2021-11-30,1.96575887,2.37286758,1.43887120,1.55776921,82546419067.48603821
2021-12-31,1.55577403,1.75433653,1.19371295,1.31135980,59385910139.67451477
2022-01-31,1.30791843,1.62500520,0.93571207,1.05193637,75185100694.65870667
2022-02-28,1.05188183,1.26231631,0.74997352,0.95882624,49505270055.65927124
2022-03-31,0.96324622,1.24130844,0.78024595,1.14341396,49918715305.46790314
2022-04-30,1.14244753,1.23250965,0.74560534,0.75606454,38575327641.13551331
2022-05-31,0.75621040,0.90242222,0.40089979,0.62810799,53178200126.34125519
2022-06-30,0.62600155,0.66608915,0.42714811,0.45821771,58403148791.87497711
2022-07-31,0.45957921,0.54992559,0.40611744,0.51752669,41464983496.71558380
2022-08-31,0.51712629,0.59246350,0.42657544,0.44642939,26276492409.73161316
2022-09-30,0.44652842,0.52399520,0.42617514,0.43412849,27610995298.75531769
2022-10-31,0.43480427,0.43735960,0.33086202,0.40630372,27984414379.75715256
2022-11-30,0.40588656,0.43572670,0.29705193,0.31953593,25036375699.42276001
2022-12-31,0.31931598,0.32861691,0.24019108,0.24594567,16263411949.92276001
2023-01-31,0.24574396,0.39705749,0.24405354,0.39062141,23730578764.49999619
2023-02-28,0.38989395,0.41791607,0.34724156,0.35174051,21200087332.23325348
2023-03-31,0.35173790,0.40770197,0.29797876,0.39866742,24204308277.87411880
2023-04-30,0.39897135,0.46056496,0.37320721,0.39766603,21493562166.89001465
2023-05-31,0.39587776,0.39790850,0.35015572,0.37475763,14340085205.90554237
2023-06-30,0.37466542,0.38212214,0.23439197,0.28677573,22195767978.75807190
2023-07-31,0.28733031,0.37521365,0.27832018,0.30742508,20516472678.33753586
2023-08-31,0.30692913,0.31142477,0.23823948,0.25544814,13829104367.78778648
2023-09-30,0.25586366,0.25951093,0.23737932,0.25316452,8544254969.00811577
2023-10-31,0.25422882,0.30472121,0.24016765,0.29328443,10279101770.05812263
2023-11-30,0.29247217,0.40860706,0.28492378,0.37604034,20291090765.79695511
2023-12-31,0.37557898,0.67695832,0.37432622,0.59373217,46103038739.86795044
2024-01-31,0.59678774,0.63552492,0.44963487,0.49798051,26407629994.80487442
2024-02-29,0.49786419,0.70347544,0.47476696,0.65518509,27957790426.52613831
2024-03-31,0.65383933,0.80610810,0.57295214,0.65113108,47292379677.29711151
2024-04-30,0.65066091,0.65175010,0.40302497,0.44135452,26716826874.07006454
2024-05-31,0.44134819,0.50845037,0.41951142,0.44782794,17047660212.53658676
2024-06-30,0.44756670,0.48823522,0.36538015,0.39253306,15268220919.10453033
2024-07-31,0.39205759,0.45513595,0.31997803,0.38913107,19382455827.17371750
2024-08-31,0.39002848,0.40119225,0.27999891,0.34563305,16417080491.94583511
2024-09-30,0.34529683,0.41504644,0.30590410,0.37353377,12907431195.73043633
2024-10-31,0.37334072,0.38573248,0.32042898,0.34188113,14028308893.78745842
2024-11-30,0.34192568,1.14542450,0.32143580,1.07877987,118493256935.59239197
2024-12-31,1.08075146,1.32160240,0.76781609,0.84340000,94883213970.40960693
2025-01-31,0.84330000,1.16670000,0.83660000,0.94230000,1990227784.34746265
2025-02-28,0.94220000,0.95720000,0.55690000,0.63250000,1949616018.55819511
2025-03-31,0.63250000,1.19000000,0.62470000,0.66160000,3558827046.94104910
2025-04-30,0.66170000,0.74620000,0.51070000,0.68170000,1453993369.59003496
2025-05-31,0.68180000,0.86450000,0.64250000,0.68630000,1292053942.18377995
2025-06-30,0.68630000,0.73160000,0.51010000,0.57240000,878446019.86991024
