ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2025-09-04,2026-04-01,2026-04-07,0.336719
2026-03-02,2025-09-04,2026-03-02,2026-03-05,0.316377
2026-02-02,2025-09-04,2026-02-02,2026-02-05,0.324655
2025-12-19,2024-07-04,2025-12-19,2025-12-24,0.334012
2025-12-01,2024-07-04,2025-12-01,2025-12-04,0.326375
2025-11-03,2024-07-04,2025-11-03,2025-11-06,0.326955
2025-10-01,2024-07-04,2025-10-01,2025-10-06,0.325227
2025-09-02,2024-07-04,2025-09-02,2025-09-05,0.326891
2025-08-01,2024-07-04,2025-08-01,2025-08-06,0.330212
2025-07-01,2024-07-04,2025-07-01,2025-07-07,0.319459
2025-06-02,2024-07-04,2025-06-02,2025-06-05,0.322969
2025-05-01,2024-07-04,2025-05-01,2025-05-06,0.321226
2025-04-01,2025-03-31,2025-04-01,2025-04-04,0.325202
2025-03-03,2024-07-04,2025-03-03,2025-03-06,0.304188
2025-02-03,2024-07-04,2025-02-03,2025-02-06,0.322301
2024-12-18,2023-11-22,2024-12-18,2024-12-23,0.316274
2024-12-02,2023-11-22,2024-12-02,2024-12-05,0.311533
2024-11-01,2023-11-22,2024-11-01,2024-11-06,0.310262
2024-10-01,2023-11-22,2024-10-01,2024-10-04,0.307328
2024-09-03,2023-11-22,2024-09-03,2024-09-06,0.311936
2024-08-01,2023-11-22,2024-08-01,2024-08-06,0.30375
2024-07-01,2023-11-22,2024-07-01,2024-07-05,0.300883
2024-06-03,2023-11-22,2024-06-03,2024-06-07,0.301803
2024-05-01,2024-04-30,2024-05-02,2024-05-07,0.294781
2024-04-01,2023-11-22,2024-04-02,2024-04-05,0.290239
2024-03-01,2024-02-29,2024-03-04,2024-03-07,0.286202
2024-02-01,2024-01-31,2024-02-02,2024-02-07,0.293291
2023-12-14,2022-11-23,2023-12-15,2023-12-20,0.282345
2023-12-01,2022-11-23,2023-12-04,2023-12-07,0.273635
2023-11-01,2022-11-23,2023-11-02,2023-11-07,0.276585
2023-10-02,2022-11-23,2023-10-03,2023-10-06,0.257304
2023-09-01,2022-11-23,2023-09-05,2023-09-08,0.260446
2023-08-01,2022-11-23,2023-08-02,2023-08-07,0.264609
2023-07-03,2022-11-23,2023-07-05,2023-07-10,0.254739
2023-06-01,2022-11-23,2023-06-02,2023-06-07,0.257741
2023-05-01,2022-11-23,2023-05-02,2023-05-05,0.249306
2023-04-03,2022-11-23,2023-04-04,2023-04-07,0.251756
2023-03-01,2022-11-23,2023-03-02,2023-03-07,0.233768
2023-02-01,2022-11-23,2023-02-02,2023-02-07,0.245333
2022-12-15,2021-12-13,2022-12-16,2022-12-21,0.2258
2022-12-01,2021-12-13,2022-12-02,2022-12-07,0.226212
2022-11-01,2021-12-13,2022-11-02,2022-11-07,0.216055
2022-10-03,2021-12-13,2022-10-04,2022-10-07,0.210609
2022-09-01,2021-12-13,2022-09-02,2022-09-08,0.204483
2022-08-01,2021-12-13,2022-08-02,2022-08-05,0.200463
2022-07-01,2021-12-13,2022-07-05,2022-07-08,0.185649
2022-06-01,2021-12-13,2022-06-02,2022-06-07,0.186101
2022-05-02,2021-12-13,2022-05-03,2022-05-06,0.181332
2022-04-01,2021-12-13,2022-04-04,2022-04-07,0.159848
2022-03-01,2021-12-13,2022-03-02,2022-03-07,0.160622
2022-02-01,2021-12-13,2022-02-02,2022-02-07,0.161482
2021-12-16,2020-12-28,2021-12-17,2021-12-22,0.116542
2021-12-01,2020-12-07,2021-12-02,2021-12-07,0.161785
2021-11-01,2021-10-29,2021-11-02,2021-11-05,0.1795
2021-10-01,2020-12-07,2021-10-04,2021-10-07,0.179691
2021-09-01,2020-12-07,2021-09-02,2021-09-08,0.167395
2021-08-02,2021-07-30,2021-08-03,2021-08-06,0.166643
2021-07-01,2020-12-07,2021-07-02,2021-07-08,0.155512
2021-06-01,2020-12-07,2021-06-02,2021-06-07,0.166882
2021-05-03,2020-12-07,2021-05-04,2021-05-07,0.172575
2021-04-01,2020-12-07,2021-04-05,2021-04-08,0.172203
2021-03-01,2020-12-07,2021-03-02,2021-03-05,0.189702
2021-02-01,2020-12-07,2021-02-02,2021-02-05,0.191959
2020-12-17,2019-12-11,2020-12-18,2020-12-23,0.125266
2020-12-01,2019-12-11,2020-12-02,2020-12-07,0.205967
2020-11-02,2019-12-11,2020-11-03,2020-11-06,0.192064
2020-10-01,2019-12-11,2020-10-02,2020-10-07,0.2017
2020-09-01,2019-12-11,2020-09-02,2020-09-08,0.195222
2020-08-03,2019-12-11,2020-08-04,2020-08-07,0.207367
2020-07-01,2019-12-11,2020-07-02,2020-07-08,0.222865
2020-06-01,2019-12-11,2020-06-02,2020-06-05,0.213602
2020-05-01,2019-12-11,2020-05-04,2020-05-07,0.236297
2020-04-01,2019-12-11,2020-04-02,2020-04-07,0.24868
2020-03-02,2019-12-11,2020-03-03,2020-03-06,0.239027
2020-02-03,2019-12-11,2020-02-04,2020-02-07,0.243425
2019-12-19,,,,0.190502
2019-12-02,,,,0.245702
2019-11-01,,,,0.251365
2019-10-01,,,,0.25528
2019-09-03,,,,0.263347
2019-08-01,,,,0.260423
2019-07-01,,,,0.251962
2019-06-03,,,,0.260135
2019-05-01,,,,0.260316
2019-04-01,,,,0.261925
2019-03-01,,,,0.266835
2019-02-01,,,,0.268343
2018-12-18,,,,0.209595
2018-12-03,,,,0.251388
2018-11-01,,,,0.25634
2018-10-01,,,,0.251565
2018-09-04,,,,0.232424
2018-08-01,,,,0.251277
2018-07-02,,,,0.229163
2018-06-01,,,,0.249277
2018-05-01,,,,0.240064
2018-04-02,,,,0.243364
2018-03-01,,,,0.235056
2018-02-01,,,,0.24183
2017-12-21,,,,0.036408
2017-12-14,,,,0.0
2017-12-01,,,,0.230877
2017-11-01,,,,0.227998
2017-10-02,,,,0.227283
2017-09-01,,,,0.229744
2017-08-01,,,,0.229845
2017-07-03,,,,0.225168
2017-06-01,,,,0.230151
2017-05-01,,,,0.23914
2017-04-03,,,,0.222398
2017-03-01,,,,0.220281
2017-02-01,,,,0.21805
2016-12-22,,,,0.248665
2016-12-01,,,,0.203914
2016-11-01,,,,0.20976
2016-10-03,,,,0.20315
2016-09-01,,,,0.207574
2016-08-01,,,,0.206697
2016-07-01,,,,0.212476
2016-06-01,,,,0.218163
2016-05-02,,,,0.205191
2016-04-01,,,,0.221533
2016-03-01,,,,0.220516
2016-02-01,,,,0.228012
2015-12-24,,,,0.22234
2015-12-01,,,,0.369876
2015-11-02,,,,0.21461
2015-10-01,,,,0.205066
2015-09-01,,,,0.22239
2015-08-03,,,,0.212854
2015-07-01,,,,0.216427
2015-06-01,,,,0.206341
2015-05-01,,,,0.206062
2015-04-01,,,,0.210734
2015-03-02,,,,0.18567
2015-02-02,,,,0.176132
2014-12-24,,,,0.369346
2014-12-01,,,,0.28202
2014-11-03,,,,0.191961
2014-10-01,,,,0.189007
2014-09-02,,,,0.194652
2014-08-01,,,,0.200017
2014-07-01,,,,0.195572
2014-06-02,,,,0.207042
2014-05-01,,,,0.198353
2014-04-01,,,,0.20492
2014-03-03,,,,0.200028
2014-02-03,,,,0.205696
2013-12-26,,,,0.210241
2013-12-02,,,,0.202583
2013-11-01,,,,0.190203
2013-10-01,,,,0.190762
2013-09-03,,,,0.198158
2013-08-01,,,,0.204552
2013-07-01,,,,0.197576
2013-06-03,,,,0.195217
2013-05-01,,,,0.201559
