date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,46.73,47.14,46.54,47.0,46.0782524271845,1426363,0.0,1.0
2025-11-24,46.92,47.07,46.51,46.93,46.0096252427184,2493177,0.0,1.0
2025-11-25,46.83,47.21,46.75,47.15,46.2253106796117,1693522,0.0,1.0
2025-11-26,47.23,47.55,47.19,47.39,46.4606038834952,1916998,0.0,1.0
2025-11-28,47.49,47.86,47.38,47.66,46.7253087378641,1347913,0.0,1.0
2025-12-01,47.75,47.8425,47.6,47.71,46.7743281553398,1110641,0.0,1.0
2025-12-02,47.76,47.76,47.155,47.19,46.2645262135922,1510883,0.0,1.0
2025-12-03,47.34,47.79,47.23,47.6,46.6664854368932,1169294,0.0,1.0
2025-12-04,47.67,48.115,47.67,48.08,47.1370718446602,1301695,0.0,1.0
2025-12-05,48.05,48.28,47.84,47.98,47.0390330097087,1561253,0.0,1.0
2025-12-08,47.91,47.98,47.635,47.65,46.7155048543689,1101238,0.0,1.0
2025-12-09,47.76,47.99,47.38,47.42,46.4900155339806,862778,0.0,1.0
2025-12-10,47.47,47.56,47.19,47.4,46.4704077669903,1898327,0.0000,1.0
2025-12-11,47.25,47.575,47.11,47.33,46.4017805825243,1449446,0.0000,1.0
2025-12-12,47.46,47.6445,47.25,47.41,46.4802116504854,1150693,0.0000,1.0
2025-12-15,47.52,47.6016,47.15,47.53,46.5978582524272,1705043,0.0000,1.0
2025-12-16,47.34,47.48,46.71,46.8,45.8821747572816,1962359,0.0000,1.0
2025-12-17,46.98,47.22,46.765,47.07,46.1468796116505,1467355,0.0000,1.0
2025-12-18,47.15,47.3,46.69,46.82,45.9017825242719,1384070,0.0000,1.0
2025-12-19,46.81,47.0,46.65,46.7,45.7841359223301,1965929,0.0000,1.0
2025-12-22,46.9,47.165,46.67,46.96,46.0390368932039,1751223,0.0000,1.0
2025-12-23,47.07,47.24,46.975,47.19,46.2645262135922,1291472,0.0000,1.0
2025-12-24,47.2,47.33,47.05,47.18,46.2547223300971,866797,0.0000,1.0
2025-12-26,47.19,47.24,46.81,46.98,46.0586446601942,1282753,0.0000,1.0
2025-12-29,47.02,47.25,46.9,46.98,46.0586446601942,2168416,0.0000,1.0
2025-12-30,47.01,47.22,46.97,47.2,46.2743300970874,1401264,0.0000,1.0
2025-12-31,47.11,47.1485,46.85,47.02,46.0978601941748,1415555,0.0000,1.0
2026-01-02,47.06,47.565,46.7,47.43,46.4998194174757,1858644,0.0000,1.0
2026-01-05,47.74,47.79,46.8,47.47,46.5390349514563,2205856,0.0000,1.0
2026-01-06,47.5,47.5099,46.72,46.72,45.8037436893204,4470621,0.0000,1.0
2026-01-07,46.93,47.12,46.66,47.0,46.0782524271845,1769816,0.0000,1.0
2026-01-08,47.0,47.755,46.945,47.56,46.6272699029126,1274154,0.0000,1.0
2026-01-09,47.66,48.1,47.66,48.03,47.0880524271845,1758365,0.0000,1.0
2026-01-12,48.05,48.41,48.03,48.41,47.4606,1612069,0.0000,1.0
2026-01-13,48.42,49.135,48.42,49.03,48.068440776699,2116212,0.0000,1.0
2026-01-14,49.11,49.45,49.02,49.12,48.1566757281553,1841234,0.0000,1.0
2026-01-15,49.03,49.22,48.691,49.1,48.1370679611651,1933490,0.0000,1.0
2026-01-16,49.3,49.45,49.1446,49.32,48.3527533980583,1917279,0.0000,1.0
2026-01-20,49.39,49.56,48.85,48.97,48.0096174757282,1810195,0.0000,1.0
2026-01-21,49.44,49.73,48.9,49.04,48.0782446601942,1984820,0.0000,1.0
2026-01-22,49.15,49.32,48.93,49.18,48.2154990291262,2142610,0.0000,1.0
2026-01-23,49.6,49.73,49.17,49.25,48.2841262135922,1815104,0.0000,1.0
2026-01-26,49.54,49.555,49.03,49.33,48.3625572815534,1525333,0.0000,1.0
2026-01-27,49.42,49.84,49.37,49.78,48.803732038835,1663754,0.0000,1.0
2026-01-28,49.88,50.15,49.78,50.04,49.0586330097087,1567499,0.0000,1.0
2026-01-29,50.38,50.65,50.14,50.35,49.3625533980583,3420653,0.0000,1.0
2026-01-30,50.21,50.38,49.26,50.03,49.0488291262136,1960097,0.0000,1.0
2026-02-02,49.66,49.87,49.345,49.59,48.6174582524272,2770332,0.0000,1.0
2026-02-03,49.87,50.395,49.69,50.34,49.3527495145631,1805681,0.0000,1.0
2026-02-04,50.41,50.79,50.2,50.62,49.6272582524272,1951838,0.0000,1.0
2026-02-05,50.45,50.77,50.01,50.72,49.7252970873786,1608264,0.0000,1.0
2026-02-06,50.71,50.97,50.525,50.68,49.6860815533981,2020915,0.0000,1.0
2026-02-09,50.74,51.1,50.45,50.95,49.950786407767,1858852,0.0000,1.0
2026-02-10,50.91,51.29,50.86,51.21,50.2056873786408,2063752,0.0000,1.0
2026-02-11,50.5,50.77,50.33,50.49,50.49,1402062,1.0100,1.0
2026-02-12,50.64,50.96,50.05,50.27,50.27,1677267,0.0000,1.0
2026-02-13,50.4,51.415,50.17,51.31,51.31,2266169,0.0000,1.0
2026-02-17,51.15,51.64,50.855,51.39,51.39,2549570,0.0000,1.0
2026-02-18,51.67,52.17,51.56,51.56,51.56,1611614,0.0000,1.0
2026-02-19,51.56,51.7,51.195,51.51,51.51,1569606,0.0000,1.0
2026-02-20,51.49,51.82,51.33,51.79,51.79,954044,0.0000,1.0
2026-02-23,51.74,52.13,51.33,51.71,51.71,1221406,0.0000,1.0
2026-02-24,51.79,51.9,51.24,51.58,51.58,1580773,0.0000,1.0
2026-02-25,51.66,51.7,50.98,51.33,51.33,993003,0.0000,1.0
2026-02-26,51.39,51.85,51.05,51.8,51.8,909358,0.0000,1.0
2026-02-27,51.92,52.07,51.7,52.04,52.04,1026840,0.0000,1.0
2026-03-02,52.8,52.81,52.08,52.68,52.68,2299586,0.0000,1.0
2026-03-03,52.9,52.9,51.9675,52.52,52.52,1844315,0.0000,1.0
2026-03-04,52.19,52.69,51.89,52.62,52.62,1386975,0.0000,1.0
2026-03-05,52.7,53.2,52.42,52.66,52.66,1227600,0.0000,1.0
2026-03-06,52.96,53.13,52.54,52.6,52.6,1900089,0.0000,1.0
2026-03-09,52.975,53.0868,52.13,52.29,52.29,1517519,0.0000,1.0
2026-03-10,52.1,52.58,51.79,51.86,51.86,2219915,0.0000,1.0
2026-03-11,51.84,52.48,51.75,52.41,52.41,1267525,0.0000,1.0
2026-03-12,52.5,52.6,52.025,52.06,52.06,1203117,0.0000,1.0
2026-03-13,52.04,52.465,51.85,52.21,52.21,1425057,0.0000,1.0
2026-03-16,52.21,52.485,51.985,52.31,52.31,832687,0.0000,1.0
2026-03-17,52.43,52.97,52.4,52.66,52.66,1305487,0.0000,1.0
2026-03-18,52.71,52.83,52.36,52.51,52.51,1233300,0.0000,1.0
2026-03-19,52.51,53.24,52.51,53.06,53.06,2469500,0.0000,1.0
2026-03-20,53.17,53.5,52.73,52.86,52.86,2292413,0.0000,1.0
2026-03-23,52.78,53.295,52.12,53.11,53.11,1469336,0.0000,1.0
2026-03-24,53.22,54.03,53.22,53.53,53.53,2107396,0.0000,1.0
2026-03-25,53.4,53.58,53.145,53.37,53.37,1142538,0.0000,1.0
2026-03-26,53.53,54.015,53.29,53.81,53.81,2198241,0.0000,1.0
2026-03-27,54.02,54.1999,53.36,53.48,53.48,2141672,0.0000,1.0
2026-03-30,53.85,54.0,53.03,53.26,53.26,1362420,0.0000,1.0
2026-03-31,53.32,53.48,52.14,52.64,52.64,2868072,0.0000,1.0
2026-04-01,52.13,52.32,51.37,52.09,52.09,4689078,0.0000,1.0
2026-04-02,52.64,52.84,52.04,52.37,52.37,1457823,0.0000,1.0
2026-04-06,52.19,52.54,52.05,52.26,52.26,1131916,0.0000,1.0
2026-04-07,52.33,52.91,52.3042,52.73,52.73,1509754,0.0000,1.0
2026-04-08,51.7,52.545,51.36,52.51,52.51,1936798,0.0000,1.0
2026-04-09,52.6,53.3,52.27,52.36,52.36,1300098,0.0000,1.0
2026-04-10,52.33,52.67,52.2226,52.3,52.3,690003,0.0000,1.0
