ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-02-11,2026-01-13,2026-02-11,2026-02-17,1.01
2025-11-12,2025-01-06,2025-11-12,2025-11-17,1.0
2025-08-13,2025-01-06,2025-08-13,2025-08-18,0.98
2025-05-14,2025-01-06,2025-05-14,2025-05-19,0.98
2025-02-12,2025-01-06,2025-02-12,2025-02-18,0.97
2024-11-13,2024-01-15,2024-11-13,2024-11-18,0.95
2024-08-08,2024-01-15,2024-08-08,2024-08-13,0.94
2024-05-09,,,,0.94
2024-02-08,2024-01-15,2024-02-09,2024-02-13,0.88
2023-11-09,2023-02-20,2023-11-10,2023-11-14,0.88
2023-08-10,2023-02-20,2023-08-11,2023-08-15,0.83
2023-05-11,2023-02-20,2023-05-12,2023-05-16,0.86
2023-02-09,2023-02-08,2023-02-10,2023-02-14,0.77
2022-11-09,2022-02-18,2022-11-10,2022-11-16,0.75
2022-08-11,2022-02-18,2022-08-12,2022-08-18,0.74
2022-05-12,2022-05-11,2022-05-13,2022-05-19,0.73
2022-02-10,2022-02-09,2022-02-11,2022-02-17,0.71
2021-11-10,2021-11-09,2021-11-12,2021-11-18,0.76
2021-08-12,2021-08-11,2021-08-13,2021-08-19,0.68
2021-05-13,2021-05-12,2021-05-14,2021-05-20,0.68
2021-02-11,2021-02-10,2021-02-12,2021-02-18,0.68
2020-11-12,,,,0.71
2020-08-13,2020-08-12,2020-08-14,2020-08-20,0.75
2020-05-07,2020-05-06,2020-05-08,2020-05-14,0.15
2020-02-13,,,,0.19
2019-11-14,,,,0.195
2019-08-08,,,,0.19
2019-05-09,,,,0.195
2019-02-14,,,,0.195
2018-11-08,,,,0.191
2018-08-09,,,,0.2066
2018-05-10,,,,0.2066
2018-02-08,,,,0.2066
2017-11-09,,,,0.2052
2017-08-09,,,,0.215
2017-05-10,,,,0.215
2017-02-08,,,,0.225
2016-11-09,,,,0.24
2016-08-10,,,,0.24
2016-05-11,,,,0.24
2016-02-10,,,,0.299
2015-11-10,,,,0.299
2015-08-12,,,,0.299
2015-05-13,,,,0.2955
2015-02-11,,,,0.2925
2014-11-06,,,,0.289
2014-08-06,,,,0.284
2014-05-06,,,,0.279
2014-02-06,,,,0.278
2013-11-07,,,,0.274
2013-08-07,,,,0.269
2013-05-07,,,,0.264
2013-02-07,,,,0.261
2012-11-07,,,,0.256
2012-08-07,,,,0.252
2012-05-07,,,,0.245
2012-02-07,,,,0.242967
2011-11-07,,,,0.257752
2011-08-05,,,,0.252558
2011-05-06,,,,0.24583
2011-02-07,,,,0.243243
2010-11-05,,,,0.24794
