date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2014-11-28,20.4900,20.6900,20.0000,20.5900,18.6222,63698,0.0000
2014-12-31,20.2700,20.6500,18.9500,20.1600,18.2332,35112,0.0000
2015-01-30,21.0000,21.0000,19.3600,20.2400,18.3056,40528,0.0000
2015-02-27,20.2000,21.7500,20.1200,21.5100,19.4542,42812,0.0000
2015-03-31,21.5400,21.5400,20.5776,20.8350,18.8437,49880,0.0000
2015-04-30,20.5000,22.2400,20.5000,20.9550,18.9523,31135,0.0000
2015-05-29,20.8400,21.5960,20.5800,21.5960,19.5320,17318,0.0000
2015-06-30,21.4750,22.2300,21.1600,21.3500,19.3095,38529,0.0000
2015-07-31,21.4000,21.9700,20.7400,21.5000,19.4452,44018,0.0000
2015-08-31,21.1100,21.3050,17.5100,20.1000,18.1790,34873,0.0000
2015-09-30,19.5000,20.7500,18.6899,18.7900,16.9942,22123,0.0000
2015-10-30,18.5300,20.0200,18.5300,19.9000,17.9981,13165,0.0000
2015-11-30,19.9330,21.2700,19.8200,21.2000,19.1739,16204,0.0000
2015-12-31,21.2700,21.6020,19.9900,20.4601,18.9169,19000,0.4651
2016-01-29,19.9800,20.2400,16.4100,16.7400,15.4774,24324,0.0000
2016-02-29,16.8750,17.0995,14.6705,17.0995,15.8098,23435,0.0000
2016-03-31,17.4846,19.2300,17.4846,19.1300,17.6871,21760,0.0000
2016-04-29,19.1300,20.0200,18.8799,18.8800,17.4560,30611,0.0000
2016-05-31,18.9803,19.5400,17.9300,19.4900,18.0199,27226,0.0000
2016-06-30,19.5196,20.0100,18.2500,19.2900,17.8350,81662,0.0000
2016-07-29,19.4505,20.7000,19.1900,20.5900,19.0370,10357,0.0000
2016-08-31,20.7100,21.4200,20.1540,20.6136,19.0588,27833,0.0000
2016-09-30,20.4696,22.1815,20.4696,22.1800,20.5071,37494,0.0000
2016-10-31,22.2095,22.4099,19.8900,19.9168,18.4146,209003,0.0000
2016-11-30,20.0600,21.0700,19.1900,20.1100,18.5932,47774,0.0000
2016-12-30,19.6400,20.9900,19.6400,20.0500,18.5377,38738,0.0000
2017-01-31,20.4575,22.3360,20.4350,22.0912,20.4249,158380,0.0000
2017-02-28,22.4100,23.4300,22.2000,23.1250,21.3808,89186,0.0000
2017-03-31,23.2964,23.9822,22.8700,23.9600,22.1528,77191,0.0000
2017-04-28,24.1100,25.6500,23.6300,25.1700,23.2715,187289,0.0000
2017-05-31,25.4800,29.0800,25.3504,28.3500,26.2117,1106775,0.0000
2017-06-30,28.4800,30.9999,27.7000,28.9500,26.7664,1788005,0.0000
2017-07-31,29.1600,30.5100,28.3360,29.6222,27.3879,1318579,0.0000
2017-08-31,29.8300,34.3200,29.2775,34.1420,31.5668,1952810,0.0000
2017-09-29,34.3700,34.5600,32.9500,34.2878,31.7016,2177179,0.0000
2017-10-31,34.4400,35.6400,33.5700,35.5100,32.8316,2674711,0.0000
2017-11-30,35.7600,38.2000,33.9800,37.2000,34.3942,4156989,0.0000
2017-12-29,37.2500,39.9560,36.0600,37.0800,34.7287,7050574,0.4880
2018-01-31,37.3400,42.5490,37.2470,41.2400,38.6250,8730937,0.0000
2018-02-28,40.6900,42.5400,36.3600,40.9100,38.3159,8615645,0.0000
2018-03-29,41.0000,45.3500,37.9300,39.0700,36.5926,9102028,0.0000
2018-04-30,38.7300,41.8640,37.2000,39.0900,36.6113,5484034,0.0000
2018-05-31,39.0300,43.9390,38.5700,43.4800,40.7229,5338344,0.0000
2018-06-29,43.8400,48.5700,43.5700,44.9800,42.1278,9553585,0.0000
2018-07-31,44.7800,47.9500,43.5100,44.5500,41.7251,6617513,0.0000
2018-08-31,44.6500,49.8700,44.3500,49.7000,46.5485,7171429,0.0000
2018-09-28,49.4300,49.5000,46.1800,47.3400,44.3382,5289607,0.0000
2018-10-31,48.3500,48.4800,39.3900,42.5800,39.8800,9738632,0.0000
2018-11-30,43.1800,46.2200,39.8900,44.4500,41.6314,5898211,0.0000
2018-12-31,46.0000,46.0000,34.7500,37.1900,35.9498,9026570,1.1684
2019-01-31,36.2700,43.2400,35.9100,43.0500,41.6144,7700830,0.0000
2019-02-28,43.0100,46.8400,42.1250,46.5600,45.0074,5948558,0.0000
2019-03-29,46.8500,48.1500,43.3800,46.7300,45.1717,8063962,0.0000
2019-04-30,47.3200,49.0800,46.4130,47.2200,45.6454,6968332,0.0000
2019-05-31,47.5000,48.8550,40.6750,40.7300,39.3718,8556570,0.0000
2019-06-28,40.7300,48.0500,39.8800,47.9800,46.3800,6329801,0.0000
2019-07-31,48.7600,49.9200,47.0800,48.4600,46.8440,4443150,0.0000
2019-08-30,48.4600,48.7500,42.6500,44.3200,42.8421,7080720,0.0000
2019-09-30,43.9500,45.8900,42.2800,42.8900,41.4598,4650934,0.0000
2019-10-31,43.1400,44.7610,40.1200,44.2300,42.7551,5347099,0.0000
2019-11-29,44.6000,50.4660,44.4040,50.4300,48.7483,3818061,0.0000
2019-12-31,50.3200,52.0100,48.1300,50.0500,48.5617,4144750,0.1910
2020-01-31,50.6400,54.4040,49.4300,51.8000,50.2597,6519587,0.0000
2020-02-28,52.3100,60.7300,49.6000,52.8400,51.2687,11801027,0.0000
2020-03-31,53.5500,55.5480,33.0000,44.0000,42.6916,20498550,0.0000
2020-04-30,42.4200,57.0000,39.4100,55.3300,53.6847,17504898,0.0000
2020-05-29,53.8200,64.9000,51.5300,62.8200,60.9520,16276284,0.0000
2020-06-30,63.3600,73.4490,60.6110,71.3100,69.1895,30410756,0.0000
2020-07-31,71.4700,84.9500,71.3300,80.3700,77.9801,40094133,0.0000
2020-08-31,81.3100,95.6800,81.2000,95.3300,92.4952,39470917,0.0000
2020-09-30,96.4500,98.9000,81.3300,92.0000,89.2643,58999586,0.0000
2020-10-30,93.3900,106.1500,89.9500,90.7900,88.0902,56749596,0.0000
2020-11-30,91.9700,113.7600,89.3900,112.3700,109.0285,61428414,0.0000
2020-12-31,114.0000,137.0800,109.6000,124.4900,122.7743,115586694,2.0443
2021-01-29,126.2200,149.8500,122.4400,137.4400,135.5459,146028677,0.0000
2021-02-26,139.9800,159.7000,126.0700,130.3600,128.5634,225062452,0.0000
2021-03-31,134.5400,138.3700,106.2500,119.9500,118.2969,391835714,0.0000
2021-04-30,122.9600,130.2800,116.5400,120.7700,119.1056,164351500,0.0000
2021-05-28,121.2100,121.4100,97.2200,112.1000,110.5551,301702872,0.0000
2021-06-30,112.8500,132.5000,107.3900,130.7800,128.9777,180730937,0.0000
2021-07-30,130.7500,131.5500,113.2700,120.0000,118.3462,152409852,0.0000
2021-08-31,120.5400,126.2500,113.5400,122.0300,120.3482,115021358,0.0000
2021-09-30,122.5000,126.3200,109.6000,110.5300,109.0067,124540149,0.0000
2021-10-29,111.0200,124.4500,106.3500,121.2800,119.6086,104414053,0.0000
2021-11-30,121.9300,125.8600,103.5800,105.6900,104.2334,125371499,0.0000
2021-12-31,106.7500,106.9800,89.0300,94.5900,93.8083,306979030,0.5249
2022-01-31,96.0000,97.1700,64.3500,75.4300,74.8066,536498057,0.0000
2022-02-28,76.6900,78.2500,57.5000,70.4700,69.8876,476050891,0.0000
2022-03-31,70.2000,72.0050,51.8500,66.2900,65.7421,571879613,0.0000
2022-04-29,66.7653,70.8400,45.8900,47.1300,46.7405,466528132,0.0000
2022-05-31,47.0000,52.7100,35.1000,44.0900,43.7256,900306328,0.0000
2022-06-30,44.1800,46.9400,35.6500,39.8800,39.5504,648988519,0.0000
2022-07-29,40.3700,49.3400,39.8400,45.1300,44.7570,505026179,0.0000
2022-08-31,44.4900,53.8600,41.1801,41.8800,41.5339,523577755,0.0000
2022-09-30,41.1600,45.6800,37.0900,37.7300,37.4182,496892593,0.0000
2022-10-31,38.0000,40.9690,33.7400,38.2800,37.9636,523960115,0.0000
2022-11-30,39.4700,41.2900,32.5100,37.4800,37.1702,549062750,0.0000
2022-12-30,37.7000,38.3750,29.4300,31.2400,30.9818,483292824,0.0000
2023-01-31,31.8400,40.6900,30.0200,39.9300,39.6000,489062471,0.0000
2023-02-28,40.1000,45.4600,38.0500,39.6200,39.2926,641463703,0.0000
2023-03-31,39.4600,40.9800,34.8100,40.3400,40.0066,633351926,0.0000
2023-04-28,39.7800,40.0200,34.9700,35.9200,35.6231,295675812,0.0000
2023-05-31,35.7600,41.2800,34.7200,40.4900,40.1554,360780443,0.0000
2023-06-30,40.1500,45.0000,39.8098,44.1400,43.7752,309653600,0.0000
2023-07-31,44.5200,51.3300,42.7490,50.4500,50.0331,326787229,0.0000
2023-08-31,49.8100,49.8300,39.3200,43.7500,43.3884,354094210,0.0000
2023-09-29,44.1100,45.1600,38.1350,39.6700,39.6700,256790612,0.3640
2023-10-31,39.6900,40.8100,33.7600,35.0800,35.0800,343688862,0.0000
2023-11-30,35.2500,48.0150,34.5400,46.1100,46.1100,401030460,0.0000
2023-12-29,46.5500,54.5200,46.0700,52.3700,52.3700,381416881,0.0000
2024-01-31,51.7999,51.8400,45.0200,45.4100,45.4100,377110738,0.0000
2024-02-29,45.8000,52.3300,44.6250,51.2500,51.2500,305239580,0.0000
2024-03-28,51.0700,52.4280,47.4500,50.0800,50.0800,225479114,0.0000
2024-04-30,50.0700,50.1100,41.5750,43.4600,43.4600,270857390,0.0000
2024-05-31,43.1000,46.6600,41.7800,42.4500,42.4500,237150158,0.0000
2024-06-28,43.0000,45.9000,42.3400,43.9500,43.9500,134707576,0.0000
2024-07-31,44.0500,49.5550,44.0500,45.5300,45.5300,188342271,0.0000
2024-08-30,45.3700,46.4050,36.8500,44.8200,44.8200,170225601,0.0000
2024-09-30,44.5400,48.1100,41.3550,47.5300,47.5300,122486375,0.0000
2024-10-31,47.6600,48.9150,45.1150,45.8900,45.8900,120148967,0.0000
2024-11-29,46.0600,58.3800,45.9700,57.9800,57.9800,192614189,0.0000
2024-12-31,58.6400,63.4400,56.4750,56.7700,56.7700,196451221,0.0000
2025-01-31,57.1000,64.7250,55.2500,62.8700,62.8700,171433899,0.0000
2025-02-28,60.2400,68.4300,53.1000,55.6400,55.6400,200482865,0.0000
2025-03-31,56.9500,57.1400,45.5500,47.5800,47.5800,308547632,0.0000
2025-04-30,47.6800,52.0200,38.5686,50.8400,50.8400,271491452,0.0000
2025-05-30,52.0400,58.5600,48.5300,56.3700,56.3700,214328781,0.0000
2025-06-30,56.1000,71.2936,55.6400,70.2900,70.2900,253195275,0.0000
2025-07-31,69.4000,79.1900,68.1920,75.3300,75.3300,233642092,0.0000
2025-08-29,72.3500,78.7600,70.3850,74.9600,74.9600,264296366,0.0000
2025-09-30,73.2100,86.9800,72.4300,86.3000,86.3000,227710865,0.0000
2025-10-31,85.6400,92.6500,83.5700,88.9800,88.9800,191455838,0.0000
2025-11-28,89.4100,89.4300,70.4400,79.6800,79.6800,204247323,0.0000
