date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2009-09-30,18.2500,18.4400,15.8700,17.0700,1.2171,22171200,0.0000
2009-10-30,17.0000,17.9500,14.7184,15.0000,1.0695,17123100,0.0000
2009-11-30,15.1000,16.2100,14.3300,15.8600,1.1308,5093900,0.0000
2009-12-31,15.9000,18.2900,15.3800,18.2900,1.3041,7546800,0.0000
2010-01-29,18.3000,19.5500,16.8420,17.3800,1.2392,26906900,0.0000
2010-02-26,17.3800,18.3900,16.5000,18.1500,1.2941,15168900,0.0000
2010-03-31,18.7000,20.6800,18.1200,20.5625,1.4661,11100500,0.0000
2010-04-30,20.6900,22.8800,19.6700,20.5100,1.4624,7824400,0.0000
2010-05-28,20.6500,21.5500,18.3812,20.6500,1.4723,12498300,0.0000
2010-06-30,20.6600,23.6940,20.3400,21.0600,1.5016,33439400,0.0000
2010-07-30,21.3200,23.1300,20.5000,21.7600,1.5515,13538300,0.0000
2010-08-31,21.9800,22.9300,19.2810,20.1500,1.4367,21443900,0.0000
2010-09-30,20.3000,23.0000,18.4100,22.5100,1.6050,21650000,0.0000
2010-10-29,22.6200,24.9500,21.5400,24.6800,1.7597,16815700,0.0000
2010-11-30,24.5000,27.2500,23.7700,26.1100,1.8616,18904100,0.0000
2010-12-31,26.4800,28.9400,24.4800,28.4125,2.0311,46933300,0.0700
2011-01-31,28.7000,29.4400,26.9700,28.7100,2.0524,40137100,0.0000
2011-02-28,28.9200,34.6000,28.6000,33.9900,2.4299,44762300,0.0000
2011-03-31,32.2500,33.1495,28.2700,31.1000,2.2293,57320600,0.0800
2011-04-29,31.5000,33.8200,29.9600,33.4600,2.3984,23891900,0.0000
2011-05-31,33.7400,36.1800,31.4800,33.7900,2.4221,43831600,0.0000
2011-06-30,33.8400,38.7000,32.1850,38.0000,2.7312,64971800,0.0900
2011-07-29,38.2200,39.4500,32.4100,33.6300,2.4171,43717500,0.0000
2011-08-31,34.0000,34.5000,26.4200,33.1100,2.3797,62049500,0.0000
2011-09-30,33.0100,37.9900,30.2210,32.7700,2.3623,66255700,0.1100
2011-10-31,32.7900,35.9700,30.8600,33.7700,2.4344,67058000,0.0000
2011-11-30,32.6900,34.8600,28.1200,29.9200,2.1569,45753400,0.0000
2011-12-30,29.8200,31.9400,27.3900,28.8600,2.0892,62337500,0.1200
2012-01-31,29.4800,35.0000,28.0200,33.9400,2.4569,51942100,0.0000
2012-02-29,34.3900,37.7000,33.9500,37.6100,2.7226,45074100,0.0000
2012-03-30,37.7400,39.2200,34.6000,38.9700,2.8308,36833300,0.1300
2012-04-30,38.8900,39.0100,32.3800,34.4800,2.5046,43848200,0.0000
2012-05-31,34.5300,34.9500,29.7000,33.1000,2.4044,51522500,0.0000
2012-06-29,32.4300,35.9400,30.1750,35.9000,2.6195,51855700,0.1500
2012-07-31,35.7700,37.6400,32.1400,36.9000,2.6925,36336700,0.0000
2012-08-31,37.1100,37.8800,35.4100,36.5700,2.6684,37931000,0.0000
2012-09-28,36.3700,36.8300,32.3900,34.8650,2.5556,51683800,0.1600
2012-10-31,35.1400,35.5400,32.5400,33.0300,2.4211,34581800,0.0000
2012-11-30,33.2900,35.4300,31.6800,35.1000,2.5728,35153600,0.0000
2012-12-31,35.3900,35.5800,30.5000,31.6508,2.3317,72595500,0.1700
2013-01-31,32.4300,36.0900,32.0900,35.7700,2.6351,66879000,0.0000
2013-02-28,35.9200,36.3000,32.6600,34.2200,2.5209,61690000,0.0000
2013-03-28,33.9200,36.9800,33.0100,35.9000,2.6588,49898400,0.1900
2013-04-30,35.8200,36.0000,30.5700,31.9600,2.3670,57958600,0.0000
2013-05-31,32.0600,38.2660,31.2500,37.7300,2.7944,60826900,0.0000
2013-06-28,37.6800,38.8700,35.6200,37.3800,2.7841,57675500,0.2100
2013-07-31,37.8500,39.7400,36.3000,36.6800,2.7320,44026300,0.0000
2013-08-30,37.0300,39.4500,35.7500,38.5100,2.8683,44210300,0.0000
2013-09-30,38.8200,43.2900,38.0400,43.0800,3.2271,50939600,0.2300
2013-10-31,43.1400,47.2100,41.8300,45.4300,3.4031,58591600,0.0000
2013-11-29,45.7900,45.8850,42.4500,44.7300,3.3506,39641900,0.0000
2013-12-31,45.4900,54.5400,44.4200,52.8790,3.9797,58577200,0.2500
2014-01-31,52.8500,57.1800,51.8900,54.6375,4.1121,40854100,0.0000
2014-02-28,54.8000,63.4900,52.9600,61.7000,4.6436,37452700,0.0000
2014-03-31,61.1500,65.8300,60.4500,64.4100,4.8680,41831000,0.2700
2014-04-30,64.5500,65.5800,57.2700,63.5000,4.7993,49858600,0.0000
2014-05-30,62.9200,72.0000,62.5800,70.6700,5.3412,125561000,0.0000
2014-06-30,71.2100,72.5000,70.0600,72.0700,5.4691,35952400,0.2900
2014-07-31,72.4800,76.4400,68.8000,69.3800,5.2650,42355000,0.0000
2014-08-29,69.9200,84.8000,68.7100,82.0900,6.2295,35857500,0.0000
2014-09-30,82.9700,90.8800,82.3956,87.0000,6.6261,45910651,0.3200
2014-10-31,87.1200,87.9200,68.7501,86.2500,6.5690,68449177,0.0000
2014-11-28,86.4400,94.4334,83.5000,93.4000,7.1136,28902401,0.0000
2014-12-31,93.0500,105.0000,89.7200,100.5900,7.6883,51614549,0.3500
2015-01-30,100.9300,108.3400,95.1800,102.8800,7.8633,38259092,0.0000
2015-02-27,103.2500,129.8900,99.1600,127.6200,9.7542,44734261,0.0000
2015-03-31,127.2100,136.2800,116.9600,126.9800,9.7336,56787361,0.3800
2015-04-30,126.6600,128.0000,114.5600,116.8800,8.9594,43183942,0.0000
2015-05-29,117.9200,149.2400,115.3900,148.0700,11.3502,80027680,0.0000
2015-06-30,148.2400,150.5000,131.0400,132.9300,10.2186,77211088,0.4000
2015-07-31,134.4100,137.7500,123.5200,125.1400,9.6198,82807039,0.0000
2015-08-31,126.4200,128.0400,100.0000,125.9700,9.6836,80920865,0.0000
2015-09-30,121.5200,134.9500,118.0571,124.9100,9.6328,71045603,0.4200
2015-10-30,123.1100,129.8400,111.5300,123.1300,9.4955,85556263,0.0000
2015-11-30,123.6600,130.7000,115.2100,130.4500,10.0600,58207965,0.0000
2015-12-31,131.1700,149.7200,130.9100,145.1500,11.2279,77344829,0.4400
2016-01-29,142.0700,143.3000,117.1700,133.7100,10.3430,131679166,0.0000
2016-02-29,133.3400,138.6900,114.2500,133.9700,10.3631,90191987,0.0000
2016-03-31,135.3700,157.3700,134.3000,154.5000,11.9906,85657902,0.4900
2016-04-29,154.0400,159.6500,143.2500,145.7500,11.3115,51988423,0.0000
2016-05-31,146.1600,154.9500,139.1800,154.3600,11.9797,44798155,0.0000
2016-06-30,153.4100,166.0000,142.2700,155.4000,12.0985,75929099,0.5000
2016-07-29,154.4700,167.6000,147.1600,161.9800,12.6108,41773861,0.0000
2016-08-31,162.7800,179.4200,161.2803,176.4200,13.7350,47832893,0.0000
2016-09-30,176.8800,177.6700,158.7501,172.5200,13.4710,74602439,0.5100
2016-10-31,173.0100,177.0000,166.8000,170.2800,13.2961,42304250,0.0000
2016-11-30,170.7200,178.0200,163.0200,170.4900,13.3125,53653357,0.0000
2016-12-30,170.0100,183.9900,160.6200,176.7700,13.8821,67190601,1.0200
2017-01-31,178.2900,205.7900,173.3100,199.5000,15.6671,66354811,0.0000
2017-02-28,202.2500,215.9550,200.2100,210.9300,16.5648,45313269,0.0000
2017-03-31,213.0700,227.7500,210.5600,218.9600,17.2743,66287633,1.0200
2017-04-28,219.0000,224.0900,208.4400,220.8100,17.4202,36239630,0.0000
2017-05-31,222.0900,242.8900,219.9100,239.4800,18.8931,49731660,0.0000
2017-06-30,241.6000,256.7800,230.5701,233.0500,18.4646,81439377,1.0200
2017-07-31,234.5100,258.4900,227.5000,246.6600,19.5430,40963842,0.0000
2017-08-31,248.2300,259.3600,238.7000,252.0700,19.9716,59502055,0.0000
2017-09-29,252.3300,255.3400,231.5300,242.5400,19.2950,53110903,1.0200
2017-10-31,245.3100,266.7000,237.5100,263.9100,20.9951,52551023,0.0000
2017-11-30,264.2400,285.6800,248.8700,277.9400,22.1112,74581116,0.0000
2017-12-29,275.2100,275.7000,253.3900,256.9000,20.5727,65026538,1.7500
2018-01-31,259.7700,274.2600,237.0100,248.0300,19.8624,74296557,0.0000
2018-02-28,241.7200,255.7400,224.9000,246.4600,19.7366,70848910,0.0000
2018-03-29,245.8600,273.8500,234.7600,235.6500,19.0052,100903637,1.7500
2018-04-30,233.9500,252.8500,225.4400,229.4200,18.5028,75688809,0.0000
2018-05-31,230.8500,255.2900,221.9800,252.0700,20.3295,71235166,0.0000
2018-06-29,254.3700,271.8100,242.2700,242.6400,19.7002,76084243,1.7500
2018-07-31,240.0900,251.8000,197.4600,221.7700,18.0057,174204440,0.0000
2018-08-31,223.2600,223.9400,202.7700,219.0300,17.7833,70856922,0.0000
