date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,94.27,97.4195,94.27,96.83,96.225855332254,869109,0.0,1.0
2025-11-24,96.79,97.882,96.26,97.58,96.971175909546,736477,0.0,1.0
2025-11-25,97.98,100.47,97.98,100.19,99.5648915185224,749367,0.0,1.0
2025-11-26,100.15,101.77,100.11,100.93,100.300274488117,790088,0.0,1.0
2025-11-28,101.14,101.31,100.78,101.13,100.499026642062,327716,0.0,1.0
2025-12-01,100.185,101.65,100.16,101.12,100.489089034365,734343,0.0,1.0
2025-12-02,101.52,101.52,100.6359,101.05,100.419525780484,778764,0.0,1.0
2025-12-03,101.3,103.165,101.3,102.99,102.347421673746,643834,0.0,1.0
2025-12-04,102.91,103.4222,102.435,102.96,102.317608850654,793508,0.0,1.0
2025-12-05,103.04,103.77,102.82,102.9,102.257983204471,658776,0.0,1.0
2025-12-08,103.2,103.23,102.4114,102.46,101.820728465793,660005,0.0,1.0
2025-12-09,102.18,103.35,102.18,102.87,102.228170381379,525560,0.0,1.0
2025-12-10,102.88,105.85,102.88,105.32,104.6628842672,872005,0.0000,1.0
2025-12-11,105.07,106.3599,105.0649,106.25,105.587081783042,1104695,0.0000,1.0
2025-12-12,106.5,106.73,104.92,105.11,104.454194505558,669795,0.0000,1.0
2025-12-15,105.78,105.8263,104.65,105.04,104.384631251678,774408,0.0000,1.0
2025-12-16,104.4,104.6428,103.17,103.53,103.262973470892,839144,0.3813,1.0
2025-12-17,103.78,104.6738,103.2801,103.54,103.272947678703,666481,0.0000,1.0
2025-12-18,104.3,104.7299,103.62,103.78,103.512328666175,834878,0.0000,1.0
2025-12-19,103.95,104.2183,103.51,103.78,103.512328666175,721843,0.0000,1.0
2025-12-22,104.2,104.8892,104.0102,104.23,103.961168017686,734859,0.0000,1.0
2025-12-23,104.04,104.27,103.5644,103.73,103.462457627119,730264,0.0000,1.0
2025-12-24,103.63,103.98,103.3947,103.82,103.552225497421,448716,0.0000,1.0
2025-12-26,103.89,103.89,103.22,103.69,103.422560795873,664336,0.0000,1.0
2025-12-29,103.49,103.7925,103.04,103.19,102.923850405306,937366,0.0000,1.0
2025-12-30,103.34,103.3499,102.85,102.91,102.644572586588,741060,0.0000,1.0
2025-12-31,102.91,102.91,101.93,101.98,101.716971260133,749172,0.0000,1.0
2026-01-02,102.39,103.41,101.6,103.12,102.854030950626,955015,0.0000,1.0
2026-01-05,103.63,105.39,103.4425,104.66,104.390058953574,1584817,0.0000,1.0
2026-01-06,104.6,106.15,104.25,106.15,105.876215917465,1273154,0.0000,1.0
2026-01-07,106.27,106.4,104.8838,105.17,104.898743551953,898812,0.0000,1.0
2026-01-08,105.07,107.51,104.725,107.15,106.8736366986,1015985,0.0000,1.0
2026-01-09,107.55,108.0,106.3,107.33,107.053172439204,1017937,0.0000,1.0
2026-01-12,106.51,107.1306,105.88,106.86,106.584384672071,848172,0.0000,1.0
2026-01-13,107.29,107.739,106.83,107.04,106.763920412675,1089801,0.0000,1.0
2026-01-14,107.12,107.905,106.925,107.58,107.302527634488,1274013,0.0000,1.0
2026-01-15,107.79,109.248,107.56,108.9,108.619123065586,866515,0.0000,1.0
2026-01-16,108.98,109.0216,108.3068,108.51,108.230128960943,841706,0.0000,1.0
2026-01-20,107.04,107.79,106.5,106.87,106.594358879882,1006187,0.0000,1.0
2026-01-21,107.84,110.44,107.84,110.1,109.816028002948,994461,0.0000,1.0
2026-01-22,110.64,111.14,109.99,110.26,109.975615327929,771111,0.0000,1.0
2026-01-23,110.26,110.3,108.33,108.49,108.210180545321,903250,0.0000,1.0
2026-01-26,108.73,109.04,107.88,108.49,108.210180545321,1934790,0.0000,1.0
2026-01-27,108.55,108.86,108.125,108.78,108.49943257185,829109,0.0000,1.0
2026-01-28,109.07,109.42,108.01,108.29,108.010696389094,812382,0.0000,1.0
2026-01-29,109.09,109.925,108.09,109.75,109.46693072955,1067941,0.0000,1.0
2026-01-30,108.97,109.6,108.17,109.27,108.988168754606,762423,0.0000,1.0
2026-02-02,108.73,111.24,108.4514,110.74,110.454377302874,959695,0.0000,1.0
2026-02-03,110.87,112.57,110.5,111.82,111.5315917465,1338636,0.0000,1.0
2026-02-04,112.62,113.89,112.2,113.15,112.858161385409,1247859,0.0000,1.0
2026-02-05,112.57,113.46,111.5,111.96,111.671230655858,1172090,0.0000,1.0
2026-02-06,113.08,115.455,112.795,115.19,114.892899778924,1635345,0.0000,1.0
2026-02-09,115.15,115.73,114.38,115.21,114.912848194547,1033383,0.0000,1.0
2026-02-10,115.22,115.275,114.3729,114.49,114.19470523213,1148306,0.0000,1.0
2026-02-11,115.44,116.38,114.39,115.26,114.962719233604,991976,0.0000,1.0
2026-02-12,116.03,116.56,112.14,113.39,113.097542372881,1353105,0.0000,1.0
2026-02-13,113.68,115.332,112.82,114.9,114.603647752395,1061764,0.0000,1.0
2026-02-17,114.92,115.64,113.24,114.66,114.364266764923,1430408,0.0000,1.0
2026-02-18,115.0,116.125,114.44,115.18,114.882925571113,1251782,0.0000,1.0
2026-02-19,114.84,114.99,114.09,114.98,114.683441414886,1053158,0.0000,1.0
2026-02-20,114.44,116.075,113.94,115.54,115.241997052321,962838,0.0000,1.0
2026-02-23,115.1,115.26,112.07,112.85,112.558935151069,1045562,0.0000,1.0
2026-02-24,112.91,114.2499,112.73,113.89,113.596252763449,822708,0.0000,1.0
2026-02-25,114.5,114.5,112.84,114.21,113.915427413412,1011943,0.0000,1.0
2026-02-26,114.28,115.1,113.575,114.59,114.294447310243,1000301,0.0000,1.0
2026-02-27,113.48,113.6299,112.185,112.98,112.688599852616,973389,0.0000,1.0
2026-03-02,112.23,113.8599,111.46,113.64,113.346897568165,1025007,0.0000,1.0
2026-03-03,111.47,112.81,109.81,112.34,112.05025055269,1313082,0.0000,1.0
2026-03-04,112.75,113.62,111.8,113.03,112.738470891673,908337,0.0000,1.0
2026-03-05,112.34,112.55,110.18,111.06,110.773551952837,1136744,0.0000,1.0
2026-03-06,109.52,109.52,107.93,108.65,108.369767870302,1271611,0.0000,1.0
2026-03-09,107.52,109.25,105.47,108.99,108.708890935888,1534425,0.0000,1.0
2026-03-10,108.3,110.14,108.03,108.28,108.28,1144757,0.2800,1.0
2026-03-11,107.91,108.5899,107.09,107.99,107.99,1071850,0.0000,1.0
2026-03-12,106.85,107.37,106.15,106.51,106.51,1125235,0.0000,1.0
2026-03-13,106.9,107.36,105.7498,106.29,106.29,1385643,0.0000,1.0
2026-03-16,107.14,107.83,106.86,106.86,106.86,1017084,0.0000,1.0
2026-03-17,107.755,108.6,107.345,107.68,107.68,1071013,0.0000,1.0
2026-03-18,107.3,107.65,106.45,106.5,106.5,1070274,0.0000,1.0
2026-03-19,105.61,108.308,105.55,107.43,107.43,1527403,0.0000,1.0
2026-03-20,107.36,107.63,105.36,106.08,106.08,1460896,0.0000,1.0
2026-03-23,107.6,109.67,107.51,108.21,108.21,1139796,0.0000,1.0
2026-03-24,107.67,110.55,107.42,109.92,109.92,1221483,0.0000,1.0
2026-03-25,110.63,111.04,109.5,110.73,110.73,1037315,0.0000,1.0
2026-03-26,109.93,111.45,109.93,110.34,110.34,1174136,0.0000,1.0
2026-03-27,109.9,110.48,108.905,109.23,109.23,1329261,0.0000,1.0
2026-03-30,110.27,110.27,107.98,108.27,108.27,989319,0.0000,1.0
2026-03-31,109.55,111.34,109.12,110.47,110.47,1171611,0.0000,1.0
2026-04-01,110.68,111.61,110.54,110.67,110.67,2383555,0.0000,1.0
2026-04-02,109.74,111.71,109.45,111.42,111.42,1231272,0.0000,1.0
2026-04-06,111.27,112.185,110.73,112.16,112.16,1062573,0.0000,1.0
2026-04-07,111.95,112.75,111.5301,112.42,112.42,934057,0.0000,1.0
2026-04-08,114.07,114.96,113.88,114.74,114.74,1245132,0.0000,1.0
2026-04-09,114.45,115.85,114.433,115.46,115.46,1075960,0.0000,1.0
2026-04-10,115.5,115.515,114.5311,114.73,114.73,897468,0.0000,1.0
2026-04-13,114.46,115.94,114.32,115.86,115.86,892457,0.0000,1.0
2026-04-14,116.0,116.105,115.0,115.46,115.46,992909,0.0000,1.0
2026-04-15,115.39,115.44,114.535,115.13,115.13,874630,0.0000,1.0
2026-04-16,115.17,115.905,114.9,115.71,115.71,990034,0.0000,1.0
2026-04-17,116.17,118.57,116.17,117.52,117.52,1242741,0.0000,1.0
2026-04-20,117.29,118.4399,117.12,118.21,118.21,935178,0.0000,1.0
2026-04-21,118.5,119.32,117.52,117.78,117.78,1229042,0.0000,1.0
2026-04-22,118.75,118.77,117.74,118.17,118.17,1164947,0.0000,1.0
2026-04-23,118.22,119.34,117.895,118.89,118.89,1090979,0.0000,1.0
2026-04-24,118.97,119.26,118.21,118.96,118.96,1045989,0.0000,1.0
2026-04-27,119.3,120.29,119.25,119.61,119.61,938722,0.0000,1.0
2026-04-28,119.98,120.46,118.96,119.44,119.44,1041809,0.0000,1.0
2026-04-29,119.55,119.7,118.01,118.6,118.6,1126712,0.0000,1.0
2026-04-30,118.34,120.33,118.09,120.14,120.14,1535812,0.0000,1.0
2026-05-01,120.17,120.315,119.365,119.96,119.96,1132450,0.0000,1.0
2026-05-04,119.55,119.83,117.96,118.56,118.56,1353664,0.0000,1.0
2026-05-05,118.79,120.59,118.79,120.16,120.16,1176457,0.0000,1.0
