ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-10,2026-01-23,2026-03-10,2026-03-12,0.28
2025-12-16,2025-02-07,2025-12-16,2025-12-18,0.3813
2025-09-23,2025-02-07,2025-09-23,2025-09-25,0.457
2025-06-24,,,,0.4351
2025-03-25,2025-02-07,2025-03-25,2025-03-27,0.3389
2024-12-17,2024-01-12,2024-12-17,2024-12-19,0.4345
2024-09-23,2024-01-12,2024-09-23,2024-09-25,0.3868
2024-06-24,2024-01-12,2024-06-24,2024-06-26,0.4282
2024-03-21,2024-01-12,2024-03-22,2024-03-25,0.3067
2023-12-18,2023-02-10,2023-12-19,2023-12-21,0.4379
2023-09-21,2023-02-10,2023-09-22,2023-09-26,0.3575
2023-06-20,2023-02-10,2023-06-21,2023-06-23,0.3711
2023-03-23,2023-03-22,2023-03-24,2023-03-28,0.3183
2022-12-15,2022-02-21,2022-12-16,2022-12-20,0.4186
2022-09-20,2022-02-21,2022-09-21,2022-09-23,0.3532
2022-06-21,2022-02-21,2022-06-22,2022-06-24,0.2968
2022-03-22,2022-02-21,2022-03-23,2022-03-25,0.2272
2021-12-16,2021-02-01,2021-12-17,2021-12-21,0.4834
2021-09-21,2021-02-01,2021-09-22,2021-09-24,0.1017
2021-06-22,2021-02-01,2021-06-23,2021-06-25,0.1767
2021-03-23,2021-02-01,2021-03-24,2021-03-26,0.2577
2020-12-17,2020-12-16,2020-12-18,2020-12-23,0.2885
2020-09-22,2020-09-21,2020-09-23,2020-09-28,0.1556
2020-06-23,2020-06-22,2020-06-24,2020-06-29,0.1371
2020-03-24,2020-03-23,2020-03-25,2020-03-30,0.1042
2019-12-23,,,,0.207
