date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,91.66,91.66,91.655,91.66,90.2415417555746,9431841,0.0,1.0
2025-11-24,91.66,91.67,91.66,91.66,90.2415417555746,7347137,0.0,1.0
2025-11-25,91.68,91.68,91.67,91.68,90.2612322512664,8992406,0.0,1.0
2025-11-26,91.7,91.7,91.69,91.69,90.2710774991123,6749472,0.0,1.0
2025-11-28,91.72,91.73,91.72,91.72,90.30061324265,10775168,0.0,1.0
2025-12-01,91.46,91.46,91.45,91.45,90.311664533357,16856813,0.2812,1.0
2025-12-02,91.47,91.48,91.46,91.48,90.3412911045544,7403391,0.0,1.0
2025-12-03,91.48,91.49,91.48,91.49,90.3511666282869,6530873,0.0,1.0
2025-12-04,91.5,91.51,91.5,91.5,90.3610421520194,7236673,0.0,1.0
2025-12-05,91.53,91.53,91.52,91.52,90.3807931994843,7308351,0.0,1.0
2025-12-08,91.53,91.54,91.53,91.53,90.3906687232167,7259898,0.0,1.0
2025-12-09,91.55,91.55,91.54,91.55,90.4104197706817,9177023,0.0,1.0
2025-12-10,91.55,91.56,91.55,91.55,90.1442181741021,6974239,0.0000,1.0
2025-12-11,91.56,91.57,91.56,91.56,90.1540646206531,7144470,0.0000,1.0
2025-12-12,91.6,91.6,91.59,91.6,90.1934504068569,6040672,0.0000,1.0
2025-12-15,91.6,91.61,91.6,91.6,90.1934504068569,6058074,0.0000,1.0
2025-12-16,91.61,91.62,91.61,91.61,90.2032968534079,7212176,0.0000,1.0
2025-12-17,91.62,91.625,91.62,91.62,90.2131432999589,9641151,0.0000,1.0
2025-12-18,91.27,91.27,91.26,91.27,90.2283314437637,10277304,0.3654,1.0
2025-12-19,91.29,91.3,91.29,91.3,90.2579890524337,7581829,0.0000,1.0
2025-12-22,91.3,91.31,91.3,91.3,90.2579890524337,11026869,0.0000,1.0
2025-12-23,91.31,91.31,91.3,91.3,90.2579890524337,7111246,0.0000,1.0
2025-12-24,91.33,91.33,91.32,91.33,90.2876466611038,5073527,0.0000,1.0
2025-12-26,91.35,91.36,91.35,91.36,90.3173042697738,5588851,0.0000,1.0
2025-12-29,91.36,91.37,91.36,91.36,90.3173042697738,7988908,0.0000,1.0
2025-12-30,91.37,91.38,91.37,91.37,90.3271901393305,7852902,0.0000,1.0
2025-12-31,91.39,91.39,91.38,91.38,90.3370760088871,11225947,0.0000,1.0
2026-01-02,91.42,91.42,91.41,91.42,90.3766194871138,8517884,0.0000,1.0
2026-01-05,91.42,91.43,91.42,91.42,90.3766194871138,11770220,0.0000,1.0
2026-01-06,91.43,91.44,91.43,91.43,90.3865053566705,9135810,0.0000,1.0
2026-01-07,91.44,91.45,91.44,91.45,90.4062770957839,8767154,0.0000,1.0
2026-01-08,91.45,91.45,91.45,91.45,90.4062770957839,7116528,0.0000,1.0
2026-01-09,91.47,91.48,91.47,91.47,90.4260488348972,7776620,0.0000,1.0
2026-01-12,91.48,91.49,91.48,91.48,90.4359347044539,6189724,0.0000,1.0
2026-01-13,91.49,91.495,91.49,91.49,90.4458205740106,7777437,0.0000,1.0
2026-01-14,91.5,91.5,91.49,91.5,90.4557064435672,8005885,0.0000,1.0
2026-01-15,91.51,91.51,91.5,91.5,90.4557064435672,8938430,0.0000,1.0
2026-01-16,91.54,91.54,91.54,91.54,90.4952499217939,7648170,0.0000,1.0
2026-01-20,91.55,91.555,91.54,91.54,90.4952499217939,9247794,0.0000,1.0
2026-01-21,91.56,91.56,91.55,91.55,90.5051357913506,8153822,0.0000,1.0
2026-01-22,91.57,91.57,91.56,91.56,90.5150216609073,7679160,0.0000,1.0
2026-01-23,91.59,91.6,91.59,91.59,90.5446792695773,8147658,0.0000,1.0
2026-01-26,91.6,91.605,91.59,91.59,90.5446792695773,10052839,0.0000,1.0
2026-01-27,91.6,91.61,91.6,91.6,90.554565139134,8041089,0.0000,1.0
2026-01-28,91.61,91.62,91.61,91.61,90.5644510086906,6265487,0.0000,1.0
2026-01-29,91.62,91.63,91.62,91.63,90.584222747804,10237344,0.0000,1.0
2026-01-30,91.64,91.65,91.64,91.65,90.6039944869173,14545830,0.0000,1.0
2026-02-02,91.39,91.39,91.38,91.39,90.6177664917968,21391673,0.2739,1.0
2026-02-03,91.39,91.4,91.39,91.39,90.6177664917968,11708429,0.0000,1.0
2026-02-04,91.4,91.41,91.4,91.41,90.6375974944211,9216570,0.0000,1.0
2026-02-05,91.41,91.42,91.41,91.41,90.6375974944211,9393922,0.0000,1.0
2026-02-06,91.44,91.44,91.44,91.44,90.6673439983575,12369829,0.0000,1.0
2026-02-09,91.44,91.45,91.44,91.44,90.6673439983575,9180305,0.0000,1.0
2026-02-10,91.46,91.46,91.45,91.45,90.6772594996697,7085342,0.0000,1.0
2026-02-11,91.46,91.47,91.46,91.47,90.697090502294,5732270,0.0000,1.0
2026-02-12,91.48,91.48,91.47,91.47,90.697090502294,6366270,0.0000,1.0
2026-02-13,91.5,91.51,91.5,91.51,90.7367525075426,9832514,0.0000,1.0
2026-02-17,91.52,91.52,91.51,91.52,90.7466680088548,6709963,0.0000,1.0
2026-02-18,91.52,91.53,91.52,91.53,90.7565835101669,8752803,0.0000,1.0
2026-02-19,91.53,91.54,91.53,91.53,90.7565835101669,4941787,0.0000,1.0
2026-02-20,91.57,91.57,91.56,91.56,90.7863300141034,6518152,0.0000,1.0
2026-02-23,91.57,91.57,91.56,91.56,90.7863300141034,7714949,0.0000,1.0
2026-02-24,91.58,91.58,91.57,91.58,90.8061610167277,5476101,0.0000,1.0
2026-02-25,91.59,91.59,91.58,91.59,90.8160765180399,6009103,0.0000,1.0
2026-02-26,91.59,91.6,91.59,91.6,90.825992019352,6447688,0.0000,1.0
2026-02-27,91.62,91.63,91.62,91.62,90.8458230219764,11530646,0.0000,1.0
2026-03-02,91.39,91.39,91.38,91.39,90.8588182779961,15489297,0.2431,1.0
2026-03-03,91.4,91.4,91.39,91.4,90.8687601554748,11602918,0.0000,1.0
2026-03-04,91.405,91.41,91.4,91.41,90.8787020329535,9932489,0.0000,1.0
2026-03-05,91.42,91.42,91.41,91.42,90.8886439104322,9248953,0.0000,1.0
2026-03-06,91.45,91.45,91.44,91.44,90.9085276653896,8733211,0.0000,1.0
2026-03-09,91.46,91.46,91.45,91.45,90.9184695428684,13422931,0.0000,1.0
2026-03-10,91.46,91.46,91.45,91.46,90.9284114203471,9226831,0.0000,1.0
2026-03-11,91.46,91.47,91.46,91.46,90.9284114203471,6613371,0.0000,1.0
2026-03-12,91.47,91.48,91.47,91.48,90.9482951753045,10138893,0.0000,1.0
2026-03-13,91.51,91.51,91.5,91.51,90.9781208077407,11181989,0.0000,1.0
2026-03-16,91.52,91.52,91.51,91.51,90.9781208077407,8509098,0.0000,1.0
2026-03-17,91.525,91.53,91.52,91.52,90.9880626852194,7548340,0.0000,1.0
2026-03-18,91.53,91.54,91.53,91.54,91.0079464401768,15874042,0.0000,1.0
2026-03-19,91.54,91.54,91.53,91.54,91.0079464401768,14920974,0.0000,1.0
2026-03-20,91.565,91.57,91.56,91.57,91.037772072613,14839085,0.0000,1.0
2026-03-23,91.58,91.58,91.57,91.58,91.0477139500917,30253899,0.0000,1.0
2026-03-24,91.58,91.59,91.58,91.59,91.0576558275704,17380225,0.0000,1.0
2026-03-25,91.59,91.6,91.58,91.58,91.0477139500917,16949531,0.0000,1.0
2026-03-26,91.6,91.6,91.59,91.6,91.0675977050491,13198921,0.0000,1.0
2026-03-27,91.62,91.63,91.62,91.63,91.0974233374853,11244001,0.0000,1.0
2026-03-30,91.63,91.64,91.63,91.64,91.107365214964,12479995,0.0000,1.0
2026-03-31,91.64,91.65,91.64,91.64,91.107365214964,20279772,0.0000,1.0
2026-04-01,91.4,91.4,91.39,91.4,91.1308847145154,22095214,0.2637,1.0
2026-04-02,91.43,91.44,91.42,91.42,91.1508258271444,11510320,0.0000,1.0
