ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2025-12-31,2026-04-01,2026-04-06,0.263657
2026-03-02,2025-12-31,2026-03-02,2026-03-05,0.243106
2026-02-02,2025-12-31,2026-02-02,2026-02-05,0.273931
2025-12-18,2025-01-09,2025-12-18,2025-12-23,0.365425
2025-12-01,2025-01-09,2025-12-01,2025-12-04,0.281225
2025-11-03,2025-01-09,2025-11-03,2025-11-06,0.303301
2025-10-01,2025-01-09,2025-10-01,2025-10-06,0.310508
2025-09-02,,,,0.321993
2025-08-01,2025-01-09,2025-08-01,2025-08-06,0.319295
2025-07-01,2025-01-09,2025-07-01,2025-07-07,0.306416
2025-06-02,2025-01-09,2025-06-02,2025-06-05,0.316408
2025-05-01,2025-01-09,2025-05-01,2025-05-06,0.31156
2025-04-01,2025-01-09,2025-04-01,2025-04-04,0.321379
2025-03-03,2025-01-09,2025-03-03,2025-03-06,0.289327
2025-02-03,2025-01-09,2025-02-03,2025-02-06,0.325824
2024-12-19,2024-01-03,2024-12-19,2024-12-24,0.382797
2024-12-02,2024-01-03,2024-12-02,2024-12-05,0.334568
2024-11-01,2024-01-03,2024-11-01,2024-11-06,0.358528
2024-10-01,2024-01-03,2024-10-01,2024-10-04,0.371279
2024-09-03,2024-01-03,2024-09-03,2024-09-06,0.396088
2024-08-01,2024-01-03,2024-08-01,2024-08-06,0.402311
2024-07-01,2024-01-03,2024-07-01,2024-07-05,0.3922
2024-06-03,2024-01-03,2024-06-03,2024-06-06,0.405038
2024-05-01,2024-01-03,2024-05-02,2024-05-07,0.38754
2024-04-01,2024-01-03,2024-04-02,2024-04-05,0.404726
2024-03-01,2024-01-03,2024-03-04,2024-03-07,0.355122
2024-02-01,2024-01-03,2024-02-02,2024-02-07,0.406361
2023-12-18,2023-01-17,2023-12-19,2023-12-22,0.42135
2023-12-01,2023-01-17,2023-12-04,2023-12-07,0.419159
2023-11-01,2023-01-17,2023-11-02,2023-11-07,0.407686
2023-10-02,2023-01-17,2023-10-03,2023-10-06,0.394298
2023-09-01,2023-01-17,2023-09-05,2023-09-08,0.404697
2023-08-01,2023-01-17,2023-08-02,2023-08-07,0.393703
2023-07-03,2023-01-17,2023-07-05,2023-07-10,0.372798
2023-06-01,2023-01-17,2023-06-02,2023-06-07,0.370699
2023-05-01,2023-01-17,2023-05-02,2023-05-05,0.353155
2023-04-03,2023-01-17,2023-04-04,2023-04-10,0.372051
2023-03-01,2023-01-17,2023-03-02,2023-03-07,0.255284
2023-02-01,2023-01-17,2023-02-02,2023-02-07,0.335995
2022-12-19,2022-01-14,2022-12-20,2022-12-23,0.271268
2022-12-01,2022-01-14,2022-12-02,2022-12-07,0.260301
2022-11-01,2022-01-14,2022-11-02,2022-11-07,0.207511
2022-10-03,2022-01-14,2022-10-04,2022-10-07,0.155323
2022-09-01,2022-01-14,2022-09-02,2022-09-08,0.138459
2022-08-01,2022-01-14,2022-08-02,2022-08-05,0.096727
2022-07-01,2022-01-14,2022-07-05,2022-07-08,0.052865
2022-06-01,2022-01-14,2022-06-02,2022-06-07,0.031332
2022-03-01,2022-01-14,2022-03-02,2022-03-07,0.0215
2020-12-01,2020-01-15,2020-12-02,2020-12-07,0.003251
2020-05-01,2020-01-15,2020-05-04,2020-05-07,0.014338
2020-04-01,2020-01-15,2020-04-02,2020-04-07,0.05227
2020-03-02,2020-01-15,2020-03-03,2020-03-06,0.097301
2020-02-03,2020-01-31,2020-02-04,2020-02-07,0.108323
2019-12-20,,,,0.115
2019-12-02,,,,0.1172
2019-11-01,,,,0.138677
2019-10-01,,,,0.137
2019-09-03,,,,0.1684
2019-08-01,,,,0.1545
2019-07-01,,,,0.1651
2019-06-03,,,,0.176
2019-05-01,,,,0.1738
2019-04-01,,,,0.1756
2019-03-01,,,,0.17
2019-02-01,,,,0.1792
2018-12-19,,,,0.16
2018-12-03,,,,0.1572
2018-11-01,,,,0.1504
2018-10-01,,,,0.145853
2018-09-04,,,,0.138341
2018-08-01,,,,0.134931
2018-07-02,,,,0.1269
2018-06-01,,,,0.1264
2018-05-01,,,,0.1073
2018-04-02,,,,0.104953
2018-03-01,,,,0.079277
2018-02-01,,,,0.086157
2017-12-19,,,,0.081964
2017-12-01,,,,0.065511
2017-11-01,,,,0.034618
2017-10-02,,,,0.031762
2017-09-01,,,,0.032914
2017-08-01,,,,0.03168
2017-07-03,,,,0.025193
2017-06-01,,,,0.027035
2017-05-01,,,,0.016639
2017-04-03,,,,0.014439
2017-03-01,,,,0.012181
2017-02-01,,,,0.012558
2016-12-28,,,,0.009357
2016-12-01,,,,0.021036
2012-12-27,,,,0.0
2012-04-11,,,,0.0
2011-12-28,,,,0.001893
2009-12-29,,,,0.003815
2009-11-02,,,,0.000572
2009-10-01,,,,0.001737
2009-09-01,,,,0.002422
2009-08-03,,,,0.002308
2009-07-01,,,,0.001121
2009-06-01,,,,0.003711
2009-05-01,,,,0.005239
2009-04-01,,,,0.007562
2009-03-02,,,,0.006864
2009-02-02,,,,0.007633
2008-12-29,,,,0.028208
2008-12-01,,,,0.026237
2008-11-03,,,,0.047174
2008-10-01,,,,0.063209
2008-09-02,,,,0.063052
2008-08-01,,,,0.06614146
2008-07-01,,,,0.055761
2008-06-02,,,,0.047288
2008-05-01,,,,0.053971
2008-04-01,,,,0.070432
2008-03-03,,,,0.086739
2008-02-01,,,,0.11525085
2007-12-28,,,,0.12897227
2007-12-03,,,,0.13851527
2007-11-01,,,,0.15078269
2007-10-01,,,,0.16048101
2007-09-04,,,,0.17732329
2007-08-01,,,,0.18544526
2007-07-02,,,,0.20310225
