date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2007-06-29,45.8100,46.0000,45.8100,46.0000,71.5248,290100,0.0000
2007-07-31,45.8100,46.0000,45.7700,45.9800,71.8106,893200,0.2031
2007-08-31,45.8000,46.0500,45.7400,45.9900,72.1172,2390400,0.1854
2007-09-28,45.8100,45.9700,45.7700,45.9000,72.2546,1646600,0.1773
2007-10-31,45.7600,45.9400,45.7500,45.9152,72.5319,2350600,0.1605
2007-11-30,45.7800,53.1000,45.7700,45.9500,72.8258,2922300,0.1508
2007-12-31,45.8800,47.1200,45.6600,45.7900,72.9967,2397300,0.2675
2008-01-31,45.8000,45.9900,45.7700,45.9740,73.2900,3508400,0.0000
2008-02-29,46.1500,46.1500,45.7900,45.9300,73.4039,1386700,0.1153
2008-03-31,45.8382,46.4800,45.8104,45.9500,73.5748,2218500,0.0867
2008-04-30,45.8800,45.9200,45.8200,45.8500,73.5274,1518800,0.0704
2008-05-30,45.8600,45.8600,45.7804,45.8400,73.5980,1448300,0.0540
2008-06-30,45.8300,45.9900,45.7801,45.9040,73.7768,2941900,0.0473
2008-07-31,45.8700,45.9400,45.8100,45.9300,73.9083,3637200,0.0558
2008-08-29,45.8600,45.9310,45.8300,45.9028,73.9711,3090800,0.0661
2008-09-30,45.8500,48.9300,45.7000,46.0700,74.3426,11797900,0.0631
2008-10-31,46.2100,46.3600,45.7400,45.9000,74.1700,8713700,0.0632
2008-11-28,45.9100,46.1000,45.8300,45.8300,74.1331,5132200,0.0472
2008-12-31,45.9500,45.9700,45.7000,45.7900,74.1565,7728200,0.0544
2009-01-30,45.8500,45.9400,45.7900,45.8799,74.3021,18850700,0.0000
2009-02-27,45.8700,45.9100,45.7900,45.8700,74.2984,28283600,0.0076
2009-03-31,45.8800,45.9100,45.8300,45.8600,74.2933,10791700,0.0069
2009-04-30,45.8600,45.8900,45.8300,45.8800,74.3379,10629600,0.0076
2009-05-29,45.8600,45.8900,45.8300,45.8800,74.3464,7197500,0.0052
2009-06-30,45.8800,45.8900,45.8300,45.8700,74.3362,10732800,0.0037
2009-07-31,45.8700,45.8800,45.8400,45.8400,74.2894,10433800,0.0011
2009-08-31,45.8500,45.8800,45.8400,45.8700,74.3418,6823900,0.0023
2009-09-30,45.8700,45.8900,45.8400,45.8800,74.3619,7608600,0.0024
2009-10-30,45.8600,45.8800,45.8500,45.8800,74.3648,7069900,0.0017
2009-11-30,45.8800,45.8900,45.8400,45.8600,74.3333,6735900,0.0006
2009-12-31,45.8700,45.8700,45.8400,45.8700,74.3557,5117600,0.0038
2010-01-29,45.8500,45.8700,45.8326,45.8700,74.3557,6174300,0.0000
2010-02-26,45.8500,45.8800,45.8400,45.8600,74.3395,9187700,0.0000
2010-03-31,45.8600,45.8600,45.8300,45.8600,74.3395,9396600,0.0000
2010-04-30,45.8400,45.8600,45.8400,45.8400,74.3070,9509000,0.0000
2010-05-28,45.8500,45.8700,45.8400,45.8600,74.3395,13582700,0.0000
2010-06-30,45.8500,45.8700,45.8500,45.8680,74.3524,16594700,0.0000
2010-07-30,45.8600,45.8600,45.8400,45.8500,74.3232,17575900,0.0000
2010-08-31,45.8400,45.8600,45.8400,45.8500,74.3232,17706800,0.0000
2010-09-30,45.8500,45.8600,45.8500,45.8500,74.3232,12499400,0.0000
2010-10-29,45.8500,45.8600,45.8500,45.8600,74.3395,11183500,0.0000
2010-11-30,45.8600,45.8600,45.8400,45.8600,74.3395,11357900,0.0000
2010-12-31,45.8600,45.8600,45.8500,45.8500,74.3232,7898300,0.0000
2011-01-31,45.8500,45.8600,45.8500,45.8500,74.3232,6417600,0.0000
2011-02-28,45.8500,45.8600,45.8500,45.8500,74.3232,7105100,0.0000
2011-03-31,45.8600,45.8700,45.8500,45.8500,74.3232,17463600,0.0000
2011-04-29,45.8600,45.8700,45.8500,45.8500,74.3232,7244600,0.0000
2011-05-31,45.8600,45.8700,45.8500,45.8550,74.3313,13088000,0.0000
