date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,49.55,49.57,49.5234,49.56,48.1611997661635,2898015,0.0,1.0
2025-11-24,49.52,49.57,49.52,49.52,48.122328741332,3381874,0.0,1.0
2025-11-25,49.59,49.67,49.55,49.65,48.2486595720342,4413743,0.0,1.0
2025-11-26,49.6,49.67,49.58,49.67,48.26809508445,3325937,0.0,1.0
2025-11-28,49.67,49.68,49.62,49.65,48.2486595720342,1959042,0.0,1.0
2025-12-01,49.41,49.42,49.3635,49.39,48.0974512854399,3522207,0.1044,1.0
2025-12-02,49.34,49.41,49.34,49.41,48.1169278804128,3445070,0.0,1.0
2025-12-03,49.41,49.45,49.41,49.44,48.146142772872,4371250,0.0,1.0
2025-12-04,49.43,49.43,49.38,49.39,48.0974512854399,3234569,0.0,1.0
2025-12-05,49.38,49.3983,49.3,49.32,48.029283203035,2717730,0.0,1.0
2025-12-08,49.24,49.25,49.15,49.2,47.9124236331979,3382959,0.0,1.0
2025-12-09,49.21,49.25,49.1933,49.24,47.9513768231436,3248439,0.0,1.0
2025-12-10,49.18,49.24,49.1402,49.23,47.8293686297283,4317539,0.0000,1.0
2025-12-11,49.24,49.26,49.21,49.22,47.8196531374208,3765224,0.0000,1.0
2025-12-12,49.17,49.21,49.16,49.19,47.7905066604984,3032659,0.0000,1.0
2025-12-15,49.26,49.3,49.24,49.24,47.8390841220358,3125890,0.0000,1.0
2025-12-16,49.22,49.31,49.21,49.3,47.8973770758806,3252204,0.0000,1.0
2025-12-17,49.28,49.31,49.26,49.3,47.8973770758806,3516827,0.0000,1.0
2025-12-18,48.31,48.35,48.29,48.34,47.9057323992651,4391397,0.9686,1.0
2025-12-19,48.26,48.28,48.21,48.23,47.7967205961224,5625246,0.0000,1.0
2025-12-22,48.3,48.31,48.2,48.23,47.7967205961224,16120631,0.0000,1.0
2025-12-23,48.26,48.35,48.26,48.33,47.895822235343,6903534,0.0000,1.0
