date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2013-07-31,49.5300,49.8000,49.0671,49.4900,35.1632,6632600,0.0540
2013-08-30,49.6900,49.6900,48.9200,49.3300,35.0991,1498400,0.0700
2013-09-30,49.3000,49.7600,48.5110,49.6500,35.3621,2297400,0.0490
2013-10-31,49.6300,50.1700,49.3000,50.0500,35.6965,2326800,0.0690
2013-11-29,50.0800,50.0900,49.8001,50.0200,35.7207,1862600,0.0640
2013-12-31,49.9800,49.9800,49.5250,49.6200,35.5227,3881500,0.1230
2014-01-31,49.6700,50.3690,49.5516,50.3300,36.0310,2599100,0.0000
2014-02-28,50.3800,50.5850,50.0700,50.5100,36.2022,2407800,0.0590
2014-03-31,50.5300,50.6500,50.3101,50.6100,36.3169,2317600,0.0600
2014-04-30,50.5200,50.8700,50.3704,50.8500,36.5361,4595100,0.0650
2014-05-30,50.8000,51.3800,50.7500,51.1600,36.8080,7299500,0.0680
2014-06-30,51.2000,51.4600,50.9000,51.4100,37.0313,4023100,0.0600
2014-07-31,51.2800,51.7499,51.2000,51.6100,37.2181,3774200,0.0590
2014-08-29,51.5900,52.2930,51.5300,52.2400,37.7272,5784300,0.0750
2014-09-30,52.0900,52.1600,51.7400,52.1100,37.6796,11407697,0.0640
2014-10-31,52.1500,52.6700,52.0604,52.2960,37.8539,9390462,0.0550
2014-11-28,52.3700,52.8700,52.2500,52.7700,38.2511,13779853,0.0740
2014-12-31,52.8400,53.2200,52.4000,53.1100,38.6272,11931081,0.1780
2015-01-30,53.1300,54.1300,53.1300,54.0600,39.3181,13775404,0.0000
2015-02-27,54.0600,54.0800,53.3600,53.8900,39.2467,16035795,0.0720
2015-03-31,53.9500,54.1900,53.4500,54.0900,39.4378,23773894,0.0620
2015-04-30,54.1000,54.2500,53.3500,53.4800,39.0335,18576755,0.0560
2015-05-29,53.4700,53.5100,52.4700,53.1400,38.8296,11389683,0.0610
2015-06-30,53.1000,53.1350,51.9700,52.3700,38.3038,11083068,0.0510
2015-07-31,52.2500,53.0500,52.0000,52.9800,38.7960,20031978,0.0620
2015-08-31,52.8400,53.2900,52.5600,52.5600,38.5255,17256697,0.0510
2015-09-30,52.6600,53.0400,52.5000,52.9300,38.8387,16656261,0.0570
2015-10-30,53.2000,53.4000,52.8000,53.1800,39.0679,19082977,0.0620
2015-11-30,53.0900,53.3300,52.5400,53.2000,39.1423,14550741,0.0810
2015-12-31,53.1000,53.2600,52.6560,52.8800,39.0869,21504450,0.2450
2016-01-29,52.9400,53.6800,52.8500,53.5700,39.5969,15679640,0.0000
2016-02-29,53.6200,54.1900,53.4360,54.1900,40.0971,15456018,0.0560
2016-03-31,54.1700,54.6100,53.7900,54.5400,40.3971,14923680,0.0550
2016-04-29,54.5600,54.6300,53.9200,54.3400,40.2903,18397136,0.0560
2016-05-31,54.3100,54.7800,54.2501,54.6900,40.5916,12733909,0.0560
2016-06-30,54.7400,55.7700,54.6300,55.7000,41.3828,16121083,0.0550
2016-07-29,55.5700,56.1500,55.5300,56.1000,41.7218,14291591,0.0560
2016-08-31,56.1300,56.2600,55.5900,56.0900,41.7518,18843506,0.0500
2016-09-30,55.9900,56.1900,55.3300,56.0400,41.7563,15624817,0.0560
2016-10-31,55.9800,55.9800,55.1700,55.2800,41.2313,13317749,0.0560
2016-11-30,55.1100,55.3500,54.2300,54.5300,40.7169,18828131,0.0610
2016-12-30,54.3900,54.5400,53.9400,54.2900,40.8905,14854629,0.4700
2017-01-31,54.2500,54.2900,53.5700,53.7600,40.4913,30644580,0.0000
2017-02-28,53.6100,54.2800,53.5600,54.1900,40.8494,19303917,0.0450
2017-03-31,54.0500,54.1999,53.5900,54.1300,40.8389,22050673,0.0460
2017-04-28,54.1200,54.5800,54.0700,54.3500,41.0396,12952199,0.0460
2017-05-31,54.3500,54.7100,54.1500,54.7000,41.3389,14115643,0.0460
2017-06-30,54.5500,54.9600,54.3100,54.3600,41.1173,15281167,0.0470
2017-07-31,54.3300,54.5000,53.9600,54.4000,41.1848,13291803,0.0490
2017-08-31,54.3600,54.9450,54.3600,54.8600,41.5695,14811221,0.0480
2017-09-29,54.7300,54.9800,54.4600,54.5900,41.4020,11632684,0.0490
2017-10-31,54.5100,54.9300,54.3900,54.8800,41.6593,13383544,0.0490
2017-11-30,54.8700,55.1800,54.8100,54.9600,41.7565,20070799,0.0480
2017-12-29,54.9600,55.2800,54.2300,54.3700,41.8703,21954449,0.7390
2018-01-31,54.2900,54.3700,54.0500,54.0600,41.6316,43967027,0.0000
2018-02-28,54.0400,54.2100,53.8400,54.1500,41.7385,23816249,0.0487
2018-03-29,54.1900,54.7500,54.0500,54.7300,42.2191,22962854,0.0431
2018-04-30,54.6800,54.7300,54.4000,54.6000,42.1590,22337756,0.0521
2018-05-31,54.5600,54.6600,54.2200,54.4300,42.0605,34633012,0.0426
2018-06-29,54.4100,54.7700,54.0600,54.7100,42.3134,22940137,0.0470
2018-07-31,54.7800,55.0000,54.6000,54.7400,42.3739,20830494,0.0482
2018-08-31,54.5400,54.8300,54.4700,54.7200,42.3972,20695540,0.0499
2018-09-28,54.6500,54.7400,54.4200,54.5400,42.2970,19008932,0.0508
2018-10-31,54.4300,54.7200,54.1000,54.5300,42.3283,25718384,0.0503
2018-11-30,54.4700,54.8100,54.4000,54.7600,42.5491,22937315,0.0542
2018-12-31,54.7700,55.3400,54.0600,54.2500,43.0454,31139412,1.1460
2019-01-31,54.3500,54.8500,54.0700,54.7900,43.4739,50125530,0.0000
