date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,74.545,74.55,74.4,74.52,73.3157948448449,6818362,0.0,1.0
2025-11-24,74.62,74.68,74.5501,74.65,73.4436941112141,5734438,0.0,1.0
2025-11-25,74.7,74.8899,74.7,74.82,73.6109469980045,7446483,0.0,1.0
2025-11-26,74.78,74.9,74.68,74.9,73.6896542388471,7327056,0.0,1.0
2025-11-28,74.86,74.88,74.705,74.78,73.5715933775833,4812064,0.0,1.0
2025-12-01,74.27,74.3,74.21,74.25,73.2848747052799,6891545,0.2386,1.0
2025-12-02,74.25,74.36,74.22,74.32,73.3539648228472,6756934,0.0,1.0
2025-12-03,74.41,74.47,74.34,74.43,73.4625350075958,9774004,0.0,1.0
2025-12-04,74.36,74.37,74.255,74.29,73.3243547724612,7337759,0.0,1.0
2025-12-05,74.31,74.33,74.15,74.2,73.2355246213033,7270931,0.0,1.0
2025-12-08,74.2,74.21,73.98,74.09,73.1269544365548,8570189,0.0,1.0
2025-12-09,74.21,74.21,74.0101,74.04,73.0776043525781,6661352,0.0,1.0
2025-12-10,74.01,74.27,74.0,74.26,73.054039826647,8771110,0.0000,1.0
2025-12-11,74.405,74.43,74.24,74.26,73.054039826647,8924551,0.0000,1.0
2025-12-12,74.045,74.0858,74.01,74.03,72.8277749578061,8117594,0.0000,1.0
2025-12-15,74.17,74.235,74.08,74.12,72.9163133847438,10495849,0.0000,1.0
2025-12-16,74.12,74.27,74.06,74.26,73.054039826647,6999456,0.0000,1.0
2025-12-17,74.18,74.27,74.17,74.24,73.0343646206608,10071296,0.0000,1.0
2025-12-18,74.15,74.1962,74.085,74.15,73.1884588664239,6940506,0.2466,1.0
2025-12-19,74.07,74.13,74.02,74.04,73.0798852929201,7540430,0.0000,1.0
2025-12-22,74.03,74.04,73.97,74.02,73.0601446431921,9855296,0.0000,1.0
2025-12-23,73.86,74.02,73.85,74.01,73.0502743183282,10188700,0.0000,1.0
2025-12-24,74.08,74.195,74.05,74.19,73.2279401658798,5341691,0.0000,1.0
2025-12-26,74.25,74.2799,74.14,74.19,73.2279401658798,6730489,0.0000,1.0
2025-12-29,74.26,74.3,74.21,74.3,73.3365137393836,9105681,0.0000,1.0
2025-12-30,74.225,74.29,74.1825,74.27,73.3069027647917,7743230,0.0000,1.0
2025-12-31,74.17,74.25,74.06,74.07,73.1094962675121,8846925,0.0000,1.0
2026-01-02,74.125,74.16,74.02,74.04,73.0798852929201,7453517,0.0000,1.0
2026-01-05,74.11,74.21,74.08,74.18,73.2180698410159,11059141,0.0000,1.0
2026-01-06,74.125,74.19,74.0301,74.18,73.2180698410159,9078967,0.0000,1.0
2026-01-07,74.3,74.32,74.2,74.26,73.2970324399277,11576554,0.0000,1.0
2026-01-08,74.12,74.18,74.1,74.13,73.168718216696,9906798,0.0000,1.0
2026-01-09,74.18,74.36,74.13,74.29,73.3266434145197,10536750,0.0000,1.0
2026-01-12,74.21,74.3,74.16,74.22,73.2575511404718,9851026,0.0000,1.0
2026-01-13,74.305,74.32,74.22,74.28,73.3167730896557,11835203,0.0000,1.0
2026-01-14,74.32,74.46,74.32,74.43,73.4648279626154,8765864,0.0000,1.0
2026-01-15,74.45,74.465,74.32,74.32,73.3562543891116,9959630,0.0000,1.0
2026-01-16,74.32,74.33,74.18,74.2,73.2378104907438,16105148,0.0000,1.0
2026-01-20,73.91,74.0253,73.9,73.93,72.9713117194163,12945815,0.0000,1.0
2026-01-21,74.01,74.16,73.95,74.14,73.1785885415599,11453175,0.0000,1.0
2026-01-22,74.09,74.21,74.05,74.17,73.2081995161519,13512416,0.0000,1.0
2026-01-23,74.2,74.26,74.12,74.25,73.2871621150637,8079852,0.0000,1.0
2026-01-26,74.34,74.3799,74.31,74.34,73.3759950388396,7137288,0.0000,1.0
2026-01-27,74.31,74.38,74.25,74.28,73.3167730896557,8476326,0.0000,1.0
2026-01-28,74.24,74.255,74.1458,74.25,73.2871621150637,9328279,0.0000,1.0
2026-01-29,74.15,74.32,74.14,74.26,73.2970324399277,16397326,0.0000,1.0
2026-01-30,74.25,74.3,74.17,74.23,73.2674214653358,8977461,0.0000,1.0
2026-02-02,74.03,74.04,73.89,73.91,73.1938579341245,8636352,0.2455,1.0
2026-02-03,73.86,73.94,73.84,73.93,73.2136641465272,11284945,0.0000,1.0
2026-02-04,73.89,73.962,73.85,73.9,73.1839548279232,11709972,0.0000,1.0
2026-02-05,74.055,74.24,74.01,74.22,73.5008542263661,12216651,0.0000,1.0
2026-02-06,74.23,74.25,74.13,74.23,73.5107573325675,8257231,0.0000,1.0
2026-02-09,74.17,74.27,74.14,74.25,73.5305635449702,9429759,0.0000,1.0
2026-02-10,74.45,74.52,74.43,74.47,73.7484318813997,8288737,0.0000,1.0
2026-02-11,74.31,74.4799,74.294,74.32,73.5998852883796,7968828,0.0000,1.0
2026-02-12,74.46,74.68,74.43,74.66,73.9365908992252,9884338,0.0000,1.0
2026-02-13,74.84,74.8999,74.805,74.88,74.1544592356548,8307935,0.0000,1.0
2026-02-17,74.89,74.91,74.83,74.87,74.1445561294534,9689024,0.0000,1.0
2026-02-18,74.79,74.86,74.773,74.79,74.0653312798427,6972463,0.0000,1.0
2026-02-19,74.72,74.85,74.72,74.82,74.0950405984467,8147869,0.0000,1.0
2026-02-20,74.835,74.84,74.685,74.81,74.0851374922454,9131324,0.0000,1.0
2026-02-23,74.84,75.02,74.84,74.97,74.2435871914669,6286890,0.0000,1.0
2026-02-24,74.95,74.97,74.89,74.93,74.2039747666615,9854399,0.0000,1.0
2026-02-25,74.88,74.97,74.87,74.91,74.1841685542588,7001983,0.0000,1.0
2026-02-26,74.93,75.03,74.93,75.02,74.2931027224736,14876214,0.0000,1.0
2026-02-27,75.15,75.23,75.13,75.17,74.4416493154937,8500869,0.0000,1.0
2026-03-02,74.72,74.74,74.55,74.64,74.142401213544,8732574,0.2278,1.0
2026-03-03,74.33,74.6599,74.305,74.56,74.0629345455767,8939878,0.0000,1.0
2026-03-04,74.565,74.6,74.495,74.51,74.0132678780971,11305367,0.0000,1.0
2026-03-05,74.28,74.37,74.2423,74.34,73.8444012086664,10029113,0.0000,1.0
2026-03-06,74.12,74.42,74.065,74.24,73.7450678737072,10878035,0.0000,1.0
2026-03-09,74.15,74.5,74.11,74.45,73.9536678771215,8201795,0.0000,1.0
2026-03-10,74.39,74.45,74.2139,74.22,73.7252012067154,8622908,0.0000,1.0
2026-03-11,74.085,74.1,73.85,73.89,73.39740120135,9009616,0.0000,1.0
2026-03-12,73.78,73.8261,73.555,73.62,73.1292011969602,12383450,0.0000,1.0
