ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-01-06,2026-04-01,2026-04-06,0.250016
2026-03-02,2026-01-06,2026-03-02,2026-03-04,0.227824
2026-02-02,2026-01-06,2026-02-02,2026-02-04,0.24547
2025-12-18,2025-04-03,2025-12-18,2025-12-22,0.246638
2025-12-01,2025-01-08,2025-12-01,2025-12-03,0.238572
2025-11-03,2025-01-08,2025-11-03,2025-11-05,0.243631
2025-10-01,2025-01-08,2025-10-01,2025-10-03,0.237328
2025-09-02,2025-01-08,2025-09-02,2025-09-04,0.242759
2025-08-01,2025-01-08,2025-08-01,2025-08-05,0.241866
2025-07-01,2025-01-08,2025-07-01,2025-07-03,0.235347
2025-06-02,2025-01-08,2025-06-02,2025-06-04,0.240315
2025-05-01,2025-01-08,2025-05-01,2025-05-05,0.236371
2025-04-01,2025-01-08,2025-04-01,2025-04-03,0.240374
2025-03-03,2025-01-08,2025-03-03,2025-03-05,0.21946
2025-02-03,2025-01-08,2025-02-03,2025-02-05,0.234799
2024-12-24,2024-12-20,2024-12-24,2024-12-27,0.233378
2024-12-02,2024-01-17,2024-12-02,2024-12-04,0.222928
2024-11-01,2024-01-17,2024-11-01,2024-11-05,0.227631
2024-10-01,2024-01-17,2024-10-01,2024-10-03,0.220705
2024-09-03,2024-01-17,2024-09-03,2024-09-05,0.225518
2024-08-01,2024-01-17,2024-08-01,2024-08-05,0.223909
2024-07-01,2024-01-17,2024-07-01,2024-07-03,0.220702
2024-06-03,2024-01-17,2024-06-03,2024-06-05,0.218966
2024-05-01,2024-01-17,2024-05-02,2024-05-06,0.213811
2024-04-01,2024-01-17,2024-04-02,2024-04-04,0.2163
2024-03-01,2024-01-18,2024-03-04,2024-03-06,0.202321
2024-02-01,2024-01-17,2024-02-02,2024-02-06,0.21188
2023-12-22,2023-12-21,2023-12-26,2023-12-28,0.210541
2023-12-01,2022-12-23,2023-12-04,2023-12-06,0.200957
2023-11-01,2022-12-23,2023-11-02,2023-11-06,0.202776
2023-10-02,2022-12-23,2023-10-03,2023-10-05,0.192499
2023-09-01,2022-12-23,2023-09-05,2023-09-07,0.195733
2023-08-01,2022-12-23,2023-08-02,2023-08-04,0.19266
2023-07-03,2022-12-23,2023-07-05,2023-07-07,0.184372
2023-06-01,2022-12-23,2023-06-02,2023-06-06,0.186964
2023-05-01,2022-12-23,2023-05-02,2023-05-04,0.179745
2023-04-03,2022-12-23,2023-04-04,2023-04-06,0.182803
2023-03-01,2022-12-23,2023-03-02,2023-03-06,0.164216
2023-02-01,2022-12-23,2023-02-02,2023-02-06,0.175962
2022-12-23,2022-12-21,2022-12-27,2022-12-29,0.172311
2022-12-01,2022-01-07,2022-12-02,2022-12-06,0.164606
2022-11-01,2022-01-07,2022-11-02,2022-11-04,0.162861
2022-10-03,2022-09-29,2022-10-04,2022-10-06,0.156129
2022-09-01,2022-08-30,2022-09-02,2022-09-07,0.15649
2022-08-01,2022-01-07,2022-08-02,2022-08-04,0.153304
2022-07-01,2022-06-29,2022-07-05,2022-07-07,0.148731
2022-06-01,2022-05-27,2022-06-02,2022-06-06,0.148043
2022-05-02,2022-04-28,2022-05-03,2022-05-05,0.140826
2022-04-01,2022-03-30,2022-04-04,2022-04-06,0.198038
2022-03-01,2022-02-25,2022-03-02,2022-03-04,0.129102
2022-02-01,2022-01-28,2022-02-02,2022-02-04,0.136538
2021-12-23,2021-12-21,2021-12-27,2021-12-29,0.270851
2021-12-01,2021-11-29,2021-12-02,2021-12-06,0.134923
2021-11-01,2021-10-29,2021-11-02,2021-11-04,0.134025
2021-10-01,2021-09-29,2021-10-04,2021-10-06,0.130203
2021-09-01,2021-08-30,2021-09-02,2021-09-07,0.135029
2021-08-02,2021-07-30,2021-08-03,2021-08-05,0.1361
2021-07-01,2021-06-30,2021-07-02,2021-07-07,0.1321
2021-06-01,,,,0.134483
2021-05-03,2021-04-29,2021-05-04,2021-05-06,0.13057
2021-04-01,2021-03-31,2021-04-05,2021-04-07,0.19245
2021-03-01,2021-02-26,2021-03-02,2021-03-04,0.12875
2021-02-01,,,,0.139196
2020-12-23,2020-12-22,2020-12-24,2020-12-29,0.29078
2020-12-01,2020-11-30,2020-12-02,2020-12-04,0.14323
2020-11-02,2020-10-30,2020-11-03,2020-11-05,0.15097
2020-10-01,2020-09-30,2020-10-02,2020-10-06,0.15029
2020-09-01,2020-08-31,2020-09-02,2020-09-04,0.15307
2020-08-03,2020-07-31,2020-08-04,2020-08-06,0.15874
2020-07-01,2020-06-30,2020-07-02,2020-07-07,0.162394
2020-06-01,2020-05-29,2020-06-02,2020-06-04,0.16874
2020-05-01,2020-04-30,2020-05-04,2020-05-06,0.17385
