date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2007-05-31,75.3700,75.5200,74.6700,74.7700,41.2204,1022300,0.1270
2007-06-29,74.4300,74.4300,73.3400,74.2800,41.0921,2492000,0.2576
2007-07-31,74.1000,74.7400,73.5940,74.7300,41.4711,966000,0.2335
2007-08-31,74.4500,90.9100,74.2300,75.5300,42.0861,1423600,0.3036
2007-09-28,75.2500,76.1400,75.0501,75.6900,42.3403,1655400,0.2941
2007-10-31,75.3100,76.6100,75.2100,76.1000,42.7293,2761000,0.2827
2007-11-30,75.9500,77.5400,75.9400,77.3020,43.5662,2148300,0.2845
2007-12-31,77.2300,77.4300,76.0000,77.3800,43.9328,5547800,0.5677
2008-01-31,78.2600,79.3500,76.9100,78.3500,44.4836,6056600,0.0000
2008-02-29,78.4400,78.5000,76.3900,78.1200,44.5231,3624100,0.3004
2008-03-31,77.5590,79.8300,76.5000,78.1400,44.7017,2598500,0.2915
2008-04-30,77.7600,78.2400,76.4500,77.5700,44.5492,5606400,0.3013
2008-05-30,77.3500,77.6500,76.1610,76.5000,44.1067,4610800,0.3025
2008-06-30,76.3000,76.8900,75.0200,76.2500,44.1243,3182500,0.2818
2008-07-31,76.1800,76.6400,75.0300,75.9700,44.1336,4079700,0.2958
2008-08-29,76.1200,76.8100,75.0000,76.3000,44.5030,4312100,0.3040
2008-09-30,76.3400,78.0500,75.3800,75.6200,44.2732,7663400,0.2883
2008-10-31,75.2600,76.7400,67.0000,73.1270,42.9671,7302800,0.2687
2008-11-28,73.1600,75.9400,73.0000,75.6900,44.6547,5414100,0.2999
2008-12-31,75.7200,79.2200,75.3000,78.9700,46.9478,6217300,0.5904
2009-01-30,78.4200,79.1580,77.0100,77.3300,45.9728,6851200,0.0000
2009-02-27,77.0600,77.6900,76.2000,76.5900,45.7034,7350900,0.2894
2009-03-31,76.2900,78.0000,75.7200,77.1500,46.2031,11491200,0.2749
2009-04-30,77.0800,77.4500,76.4588,77.2299,46.4176,8966900,0.2776
2009-05-29,76.7800,77.8800,76.5300,77.4800,46.7303,8474500,0.2679
2009-06-30,77.1300,77.8400,75.9600,77.6900,47.0204,9014300,0.2675
2009-07-31,77.2200,78.4800,77.1400,78.4400,47.6362,10956600,0.2639
2009-08-31,78.1400,78.9800,77.0900,78.9700,48.1181,11247600,0.2600
2009-09-30,78.6600,79.5500,78.5100,79.5000,48.6014,11055800,0.2608
2009-10-30,79.4000,79.8100,78.8140,79.4700,48.7342,16676900,0.2477
2009-11-30,79.2900,80.3300,78.8500,80.2500,49.3700,10009000,0.2532
2009-12-31,80.0600,80.1000,78.3300,78.5900,48.6544,13827000,0.4997
2010-01-29,78.6000,79.6600,78.5400,79.6000,49.2797,14948800,0.0000
2010-02-26,79.4000,79.7200,78.8800,79.6100,49.4403,11337000,0.2485
2010-03-31,79.5300,79.7000,78.8400,79.2000,49.3302,14325800,0.2335
2010-04-30,78.9800,79.8500,78.4000,79.8000,49.8580,11841400,0.2446
2010-05-28,79.4500,81.3400,78.8700,80.4600,50.4199,15644100,0.2365
2010-06-30,80.2500,81.4500,80.0000,81.3800,51.1514,19428600,0.2441
