date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,255.78,256.64,251.605,252.6,251.293824540879,861942,0.0,1.0
2025-11-24,252.55,256.665,251.56,254.5,253.183999784852,1517635,0.0,1.0
2025-11-25,256.44,257.729,252.48,257.32,255.989417778539,598138,0.0,1.0
2025-11-26,258.19,259.2,255.98,258.12,256.785281039159,529351,0.0,1.0
2025-11-28,258.57,260.43,257.59,258.17,257.551299427506,231586,0.72,1.0
2025-12-01,258.72,259.56,254.74,255.28,254.668225269605,652804,0.0,1.0
2025-12-02,256.32,256.6,252.89,254.35,253.740454000799,584051,0.0,1.0
2025-12-03,255.9,256.25,252.313141,253.9,253.291532419119,556557,0.0,1.0
2025-12-04,253.1,255.28,250.6825,254.92,254.30908800426,618948,0.0,1.0
2025-12-05,255.13,255.13,250.59,252.76,252.154264412195,503013,0.0,1.0
2025-12-08,253.21,254.75,251.98,253.22,252.613162029024,706928,0.0,1.0
2025-12-09,254.25,257.23,252.825,253.02,252.413641326055,431295,0.0,1.0
2025-12-10,253.7,253.78,247.68,249.06,248.463131407269,860834,0.0000,1.0
2025-12-11,250.26,252.5,249.54,251.1,250.498242577553,666313,0.0000,1.0
2025-12-12,253.99,254.52,251.93,253.02,252.413641326055,776369,0.0000,1.0
2025-12-15,252.81,254.18,244.74,246.75,246.158667287978,1160058,0.0000,1.0
2025-12-16,248.16,251.46,247.1375,248.99,248.39329916123,830607,0.0000,1.0
2025-12-17,249.35,253.7,249.35,252.26,251.655462654773,702561,0.0000,1.0
2025-12-18,251.3,253.03,248.31,248.67,248.07406603648,736814,0.0000,1.0
2025-12-19,249.33,250.54,247.27,247.27,246.677421115697,1323631,0.0000,1.0
2025-12-22,247.87,252.82,245.34,251.83,251.22649314339,655410,0.0000,1.0
2025-12-23,251.94,255.87,251.1879,254.76,254.149471441885,376445,0.0000,1.0
2025-12-24,254.69,256.845,254.025,255.96,255.346595659699,219249,0.0000,1.0
2025-12-26,256.66,256.91,254.69,256.15,255.53614032752,256273,0.0000,1.0
2025-12-29,256.53,258.074,255.11,256.11,255.496236186926,312273,0.0000,1.0
2025-12-30,256.7,256.95,254.311,254.54,253.929998668619,378390,0.0000,1.0
2025-12-31,255.84,255.84,250.95,251.0,250.398482226068,374859,0.0000,1.0
2026-01-02,250.95,251.43,247.33,248.11,247.515408068167,475654,0.0000,1.0
2026-01-05,248.16,254.8,247.73,252.11,251.505822127546,613829,0.0000,1.0
2026-01-06,251.19,253.105,248.3,250.09,249.49066302756,652297,0.0000,1.0
2026-01-07,251.95,259.42,249.64,255.16,254.548512847823,1300729,0.0000,1.0
2026-01-08,253.83,262.63,253.83,260.54,259.915619757689,1675737,0.0000,1.0
2026-01-09,260.77,262.71,259.63,260.95,260.324637198775,807842,0.0000,1.0
2026-01-12,260.53,264.5,260.11,263.97,263.337399813607,1105278,0.0000,1.0
2026-01-13,263.22,266.77,260.77,266.77,266.130689655172,981804,0.0000,1.0
2026-01-14,266.77,268.86,261.75,268.81,268.165800825456,688606,0.0000,1.0
2026-01-15,268.96,271.69,267.75,270.83,270.180959925443,732048,0.0000,1.0
2026-01-16,269.48,276.47,268.18,273.55,272.894441485821,923215,0.0000,1.0
2026-01-20,273.85,275.76,269.3,271.92,271.268347756624,711469,0.0000,1.0
2026-01-21,271.92,274.61,270.26,273.07,272.415591798695,727826,0.0000,1.0
2026-01-22,274.41,278.5,274.19,277.12,276.455886033817,753813,0.0000,1.0
2026-01-23,277.1,277.72,273.81,276.39,275.72763546798,570197,0.0000,1.0
2026-01-26,277.99,279.33,266.0301,270.14,269.4926135002,1120405,0.0000,1.0
2026-01-27,269.73,270.31,264.415,268.04,267.397646119025,772304,0.0000,1.0
2026-01-28,268.3,269.0,264.52,264.6,263.965890027959,565032,0.0000,1.0
2026-01-29,266.33,270.31,264.0,265.52,264.883685261616,933158,0.0000,1.0
2026-01-30,266.95,266.95,261.8,265.06,264.424787644788,702790,0.0000,1.0
2026-02-02,267.81,269.66,262.4,263.92,263.287519637864,983561,0.0000,1.0
2026-02-03,263.82,270.005,261.18,268.68,268.036112368526,1237968,0.0000,1.0
2026-02-04,268.0,273.75,267.435,271.2,270.550073225935,1083601,0.0000,1.0
2026-02-05,272.16,277.35,272.16,275.28,274.620295566502,1465756,0.0000,1.0
2026-02-06,267.5,274.91,255.7701,273.36,272.704896818,1623852,0.0000,1.0
2026-02-09,274.75,280.89,271.72,280.88,280.206875249634,1015543,0.0000,1.0
2026-02-10,280.3,283.13,272.0,274.07,273.41319531354,895132,0.0000,1.0
2026-02-11,273.32,274.185,268.27,268.64,267.996208227932,690707,0.0000,1.0
2026-02-12,270.75,274.41,267.5,270.6,269.951511117028,743669,0.0000,1.0
2026-02-13,272.14,275.11,270.92,275.11,274.450702968979,850350,0.0000,1.0
2026-02-17,277.21,285.8,276.21,284.2,283.518918918919,1356304,0.0000,1.0
2026-02-18,285.0,286.7,282.51,285.39,284.706067101584,781299,0.0000,1.0
2026-02-19,285.02,287.545,282.09,286.17,285.484197843163,550877,0.0000,1.0
2026-02-20,284.42,288.68,282.75,288.68,287.988182665424,568694,0.0000,1.0
2026-02-23,289.64,293.58,288.55,290.11,289.414755691652,1012185,0.0000,1.0
2026-02-24,291.94,294.28,288.61,292.94,292.237973638663,574134,0.0000,1.0
2026-02-25,293.99,295.0,288.605,291.27,290.571975768872,960778,0.0000,1.0
2026-02-26,292.22,294.8,288.4,292.3,291.599507389163,591753,0.0000,1.0
2026-02-27,291.6,303.12,291.6,299.72,299.72,1352874,0.7200,1.0
2026-03-02,302.67,305.68,297.41,297.49,297.49,1140074,0.0000,1.0
2026-03-03,299.0,304.9999,294.7087,304.43,304.43,1055205,0.0000,1.0
2026-03-04,302.17,302.55,298.11,300.62,300.62,987066,0.0000,1.0
2026-03-05,301.74,301.74,293.155,297.49,297.49,767847,0.0000,1.0
2026-03-06,299.3,301.97,296.36,301.27,301.27,759130,0.0000,1.0
2026-03-09,303.05,303.165,297.55,299.2,299.2,994180,0.0000,1.0
2026-03-10,296.75,297.85,279.05,285.52,285.52,1685084,0.0000,1.0
2026-03-11,285.19,288.89,283.025,284.0,284.0,1292485,0.0000,1.0
2026-03-12,284.54,290.31,281.63,290.25,290.25,1100798,0.0000,1.0
2026-03-13,292.0,293.86,288.975,289.9,289.9,820198,0.0000,1.0
2026-03-16,288.24,293.775,287.2,291.78,291.78,1024018,0.0000,1.0
2026-03-17,294.88,297.1,292.315,292.89,292.89,737539,0.0000,1.0
2026-03-18,296.43,296.43,286.97,286.97,286.97,696047,0.0000,1.0
2026-03-19,285.84,287.47,281.93,284.41,284.41,612487,0.0000,1.0
2026-03-20,285.63,286.745,282.477,283.95,283.95,985792,0.0000,1.0
2026-03-23,284.13,285.92,279.83,280.62,280.62,1050493,0.0000,1.0
2026-03-24,281.5,283.135,279.18,283.09,283.09,671048,0.0000,1.0
2026-03-25,282.71,284.615,276.97,277.04,277.04,990120,0.0000,1.0
2026-03-26,280.39,281.945,278.19,279.79,279.79,824384,0.0000,1.0
2026-03-27,282.57,283.64,272.15,273.0,273.0,836582,0.0000,1.0
2026-03-30,274.48,282.565,274.48,282.3,282.3,678310,0.0000,1.0
2026-03-31,282.66,283.93,278.28,281.07,281.07,678484,0.0000,1.0
2026-04-01,280.04,283.515,278.78,280.29,280.29,855024,0.0000,1.0
2026-04-02,281.94,290.29,280.165,289.95,289.95,738643,0.0000,1.0
2026-04-06,288.25,296.7,288.25,296.06,296.06,596632,0.0000,1.0
2026-04-07,297.53,302.15,295.3,295.64,295.64,683944,0.0000,1.0
2026-04-08,290.37,297.25,284.365,296.95,296.95,842174,0.0000,1.0
2026-04-09,298.67,299.65,293.03,294.82,294.82,770987,0.0000,1.0
2026-04-10,295.0,297.6199,293.6478,295.95,295.95,705028,0.0000,1.0
2026-04-13,295.65,301.098,295.22,300.3,300.3,695269,0.0000,1.0
2026-04-14,300.32,302.46,294.89,300.75,300.75,688919,0.0000,1.0
2026-04-15,303.4,305.6699,300.75,304.99,304.99,537592,0.0000,1.0
2026-04-16,302.72,309.87,302.4,309.38,309.38,790757,0.0000,1.0
2026-04-17,307.0,308.7,299.43,299.94,299.94,1555679,0.0000,1.0
2026-04-20,300.91,307.28,299.91,304.4,304.4,1251944,0.0000,1.0
2026-04-21,302.73,305.4,299.01,299.25,299.25,972176,0.0000,1.0
2026-04-22,300.52,301.97,293.68,297.45,297.45,935365,0.0000,1.0
2026-04-23,299.41,303.05,297.45,300.12,300.12,610048,0.0000,1.0
2026-04-24,298.81,304.29,297.65,303.81,303.81,662891,0.0000,1.0
2026-04-27,303.99,304.5,298.18,298.44,298.44,740527,0.0000,1.0
2026-04-28,302.22,305.06,301.17,303.64,303.64,666010,0.0000,1.0
2026-04-29,305.43,307.485,303.345,305.6,305.6,688681,0.0000,1.0
2026-04-30,305.11,307.9,298.89,300.09,300.09,889278,0.0000,1.0
