ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-02-27,,,,0.72
2025-11-28,2025-10-23,2025-11-28,2025-12-15,0.72
2025-08-29,2025-08-14,2025-08-29,2025-09-15,0.72
2025-05-30,2025-05-06,2025-05-30,2025-06-13,0.63
2025-02-28,2025-02-11,2025-02-28,2025-03-14,0.63
2024-11-29,2024-10-25,2024-11-29,2024-12-13,0.63
2024-08-30,2024-08-16,2024-08-30,2024-09-13,0.63
2024-05-31,2024-05-16,2024-05-31,2024-06-14,0.55
2024-02-28,2024-02-09,2024-02-29,2024-03-15,0.55
2023-11-29,2023-10-26,2023-11-30,2023-12-15,0.55
2023-08-30,2023-08-16,2023-08-31,2023-09-15,0.55
2023-05-30,2023-05-11,2023-05-31,2023-06-15,0.5
2023-02-27,2023-02-09,2023-02-28,2023-03-15,0.5
2022-11-29,2022-11-16,2022-11-30,2022-12-15,0.5
2022-08-30,2022-08-18,2022-08-31,2022-09-15,0.5
2022-05-27,2022-05-12,2022-05-31,2022-06-15,0.48
2022-02-25,2022-02-10,2022-02-28,2022-03-15,0.48
2021-11-29,2021-10-26,2021-11-30,2021-12-15,0.48
2021-08-30,2021-08-19,2021-08-31,2021-09-15,0.48
2021-05-27,,,,0.42
2021-02-25,2021-02-11,2021-02-26,2021-03-15,0.42
2020-11-27,2020-10-28,2020-11-30,2020-12-15,0.42
2020-08-27,,,,0.42
2020-05-28,,,,0.36
2020-02-28,,,,0.36
2019-11-26,,,,0.36
2019-08-29,,,,0.36
2019-05-30,,,,0.31
2019-02-28,,,,0.31
2018-11-29,,,,0.31
2018-08-30,,,,0.31
2018-05-31,,,,0.27
2018-03-01,,,,0.27
2017-11-30,,,,0.27
2017-08-30,,,,0.27
2017-05-31,,,,0.25
2017-03-01,,,,0.25
2016-11-30,,,,0.25
2016-08-31,,,,0.25
2016-06-01,,,,0.23
2016-03-02,,,,0.23
2015-12-02,,,,0.23
2015-09-02,,,,0.23
2015-05-27,,,,0.21
2015-02-25,,,,0.21
2014-11-25,,,,0.21
2014-08-27,,,,0.21
2014-05-28,,,,0.18
2014-02-26,,,,0.18
2013-12-31,,,,0.5
2013-11-26,,,,0.18
2013-08-28,,,,0.18
2013-05-29,,,,0.15
2013-02-27,,,,0.15
2012-12-19,,,,0.75
2012-11-28,,,,0.15
2012-08-29,,,,0.15
2012-05-30,,,,0.12
2012-02-29,,,,0.12
2011-11-30,,,,0.12
2011-08-31,,,,0.12
2011-06-01,,,,0.1
2011-03-02,,,,0.1
2010-12-01,,,,0.1
2010-09-01,,,,0.1
