date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2010-07-30,32.2500,32.5000,26.0000,26.6000,20.5110,13851900,0.0000
2010-08-31,27.1400,27.6300,20.2500,20.9100,16.1235,10172500,0.0000
2010-09-30,21.0600,22.8500,19.6000,20.2000,15.6480,7127800,0.1000
2010-10-29,20.2500,24.9800,19.8300,24.0100,18.5995,6876000,0.0000
2010-11-30,24.0300,25.3000,23.1000,23.7900,18.4291,5917800,0.0000
2010-12-31,23.9500,25.1600,21.7800,22.8600,17.7827,8010100,0.1000
2011-01-31,23.0200,24.4600,22.4300,23.0100,17.8994,6384500,0.0000
2011-02-28,23.0800,29.7700,22.7200,29.5900,23.0179,22753900,0.0000
2011-03-31,29.5900,29.5900,26.9000,28.9700,22.6173,12094000,0.1000
2011-04-29,29.2500,29.4000,26.5400,26.8200,20.9388,5844400,0.0000
2011-05-31,26.8200,28.4700,25.5100,26.3200,20.5484,9507400,0.0000
2011-06-30,26.2000,26.2050,23.3300,24.6000,19.2819,17227500,0.1000
2011-07-29,24.5300,25.1300,22.5300,23.0400,18.0591,6669900,0.0000
2011-08-31,23.1900,25.3000,21.5500,25.2500,19.8854,14143500,0.1200
2011-09-30,25.2700,27.6200,23.1400,24.4700,19.2712,20665700,0.0000
2011-10-31,24.2300,26.5000,23.5800,26.1300,20.5785,13049000,0.0000
2011-11-30,25.5100,28.1500,24.9200,26.9200,21.2951,15368300,0.1200
2011-12-30,26.7700,27.4400,25.1100,25.8600,20.4566,11395100,0.0000
2012-01-31,26.1200,26.2200,24.4400,25.5900,20.2430,7831400,0.0000
2012-02-29,25.7300,28.4600,25.2800,27.5700,21.9042,34564400,0.1200
2012-03-30,27.6100,29.5600,26.8000,28.4200,22.5796,15986800,0.0000
2012-04-30,28.5100,28.6600,25.9100,26.4400,21.0065,12637000,0.0000
2012-05-31,26.3100,26.9300,24.5600,25.2500,20.1572,10242500,0.1200
2012-06-29,24.9100,28.1200,24.8000,27.6800,22.0970,13508300,0.0000
2012-07-31,27.7700,28.8600,27.4000,28.5000,22.7516,7452700,0.0000
2012-08-31,28.6300,29.1450,27.6200,28.4400,22.8223,7577100,0.1500
2012-09-28,28.3900,30.3900,28.2300,29.4000,23.5927,10746700,0.0000
2012-10-31,29.4800,30.0800,28.5600,29.4700,23.6488,7391900,0.0000
2012-11-30,29.5900,30.9500,29.1100,29.9800,24.1795,8378600,0.1500
2012-12-31,30.0800,30.7900,29.1101,29.4600,24.3640,11764900,0.7500
2013-01-31,29.7400,33.9200,29.7400,33.8800,28.0194,9252300,0.0000
2013-02-28,34.0000,36.1900,33.6400,35.9200,29.8307,8836000,0.1500
2013-03-28,35.8400,36.9900,35.2200,36.9400,30.6778,8569000,0.0000
2013-04-30,36.8900,37.5500,35.7600,37.5300,31.1678,9256300,0.0000
2013-05-31,37.4800,41.0000,37.1101,40.1400,33.4586,9682800,0.1500
2013-06-28,40.4400,47.1300,39.7300,46.6400,38.8766,14485300,0.0000
2013-07-31,46.7600,50.8700,46.3000,50.1000,41.7607,15173400,0.0000
2013-08-30,50.6400,51.1150,45.7000,45.8900,38.3980,13070700,0.1800
2013-09-30,46.3000,46.6500,44.4400,45.2300,37.8457,11033700,0.0000
2013-10-31,45.2000,51.0000,44.8600,48.4300,40.5233,13335700,0.0000
2013-11-29,50.1100,54.7900,48.2500,52.2800,43.8927,9147000,0.1800
2013-12-31,52.4700,53.8500,50.1600,51.9600,44.0439,11653700,0.5000
2014-01-31,51.8900,52.4500,48.2200,52.0200,44.0947,14161700,0.0000
2014-02-28,52.1000,57.2600,49.0000,54.0300,45.9520,12910200,0.1800
2014-03-31,53.3000,59.2800,53.0000,56.6000,48.1377,13680200,0.0000
2014-04-30,56.7200,56.9800,49.3000,53.3600,45.3821,13957700,0.0000
2014-05-30,53.3500,53.7300,48.1700,50.6800,43.2559,12217300,0.1800
2014-06-30,50.7000,51.5900,46.8400,49.2100,42.0013,18459600,0.0000
2014-07-31,49.0800,49.7600,46.5153,48.4700,41.3697,15911400,0.0000
2014-08-29,48.4700,54.1600,47.0200,53.0250,45.4371,14126800,0.2100
2014-09-30,53.1700,56.3600,52.5100,53.5250,45.8656,11602056,0.0000
2014-10-31,53.6100,59.1000,52.9000,58.9400,50.5057,15297748,0.0000
2014-11-28,59.2500,63.2700,58.6900,59.9100,51.5182,11879283,0.2100
2014-12-31,59.8200,65.3900,59.2400,63.4200,54.5366,12542351,0.0000
2015-01-30,63.8800,68.0000,62.8100,64.4700,55.4395,11945599,0.0000
2015-02-27,64.4500,65.8600,59.3800,60.0300,51.7966,14218174,0.2100
