date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,100.32,100.33,100.32,100.32,98.7718870087579,321886,0.0,1.0
2025-11-24,100.34,100.34,100.33,100.33,98.7817326912747,339556,0.0,1.0
2025-11-25,100.35,100.35,100.34,100.35,98.8014240563084,211825,0.0,1.0
2025-11-26,100.36,100.37,100.36,100.36,98.8112697388252,124737,0.0,1.0
2025-11-28,100.4,100.41,100.39,100.41,98.8604981514093,130599,0.0,1.0
2025-12-01,100.09,100.09,100.08,100.09,98.8664055609194,1233716,0.326,1.0
2025-12-02,100.11,100.11,100.09,100.1,98.8762833115,269848,0.0,1.0
2025-12-03,100.11,100.13,100.11,100.11,98.8861610620805,187806,0.0,1.0
2025-12-04,100.14,100.14,100.13,100.14,98.9157943138222,122493,0.0,1.0
2025-12-05,100.16,100.18,100.16,100.18,98.9553053161445,189495,0.0,1.0
2025-12-08,100.18,100.18,100.17,100.18,98.9553053161445,391217,0.0,1.0
2025-12-09,100.18,100.19,100.18,100.19,98.9651830667251,1133362,0.0,1.0
2025-12-10,100.2,100.2,100.1868,100.2,98.6753574636345,250791,0.0000,1.0
2025-12-11,100.21,100.22,100.21,100.21,98.6852053037008,128590,0.0000,1.0
2025-12-12,100.24,100.24,100.23,100.24,98.7147488238995,132969,0.0000,1.0
2025-12-15,100.24,100.259999,100.24,100.24,98.7147488238995,249527,0.0000,1.0
2025-12-16,100.25,100.26,100.25,100.25,98.7245966639657,189570,0.0000,1.0
2025-12-17,100.26,100.27,100.26,100.27,98.7442923440982,1103307,0.0000,1.0
2025-12-18,100.28,100.28,100.27,100.28,98.7541401841644,178705,0.0000,1.0
2025-12-19,100.3,100.32,100.3,100.3,98.7738358642968,203485,0.0000,1.0
2025-12-22,100.32,100.32,100.31,100.31,98.7836837043631,124731,0.0000,1.0
2025-12-23,100.33,100.33,100.32,100.33,98.8033793844955,114860,0.0000,1.0
2025-12-24,100.34,100.36,100.34,100.36,98.8329229046942,495717,0.0000,1.0
2025-12-26,100.38,100.4,100.37,100.38,98.8526185848267,895203,0.0000,1.0
2025-12-29,100.39,100.39,100.38,100.39,98.8624664248929,436568,0.0000,1.0
2025-12-30,100.1,100.1,100.09,100.09,98.8762534009856,393617,0.3140,1.0
2025-12-31,100.12,100.12,100.11,100.11,98.8960108699438,242465,0.0000,1.0
2026-01-02,100.14,100.14,100.13,100.14,98.925647073381,282247,0.0000,1.0
2026-01-05,100.14,100.1575,100.14,100.14,98.925647073381,336355,0.0000,1.0
2026-01-06,100.15,100.17,100.15,100.17,98.9552832768182,179129,0.0000,1.0
2026-01-07,100.18,100.18,100.16,100.16,98.9454045423391,559823,0.0000,1.0
2026-01-08,100.18,100.18,100.17,100.17,98.9552832768182,206800,0.0000,1.0
2026-01-09,100.2,100.21,100.2,100.21,98.9947982147345,174519,0.0000,1.0
2026-01-12,100.21,100.22,100.205,100.22,99.0046769492135,285900,0.0000,1.0
2026-01-13,100.21,100.23,100.21,100.22,99.0046769492135,531653,0.0000,1.0
2026-01-14,100.24,100.24,100.22,100.24,99.0244344181717,182814,0.0000,1.0
2026-01-15,100.24,100.25,100.23,100.23,99.0145556836926,129340,0.0000,1.0
2026-01-16,100.27,100.28,100.27,100.28,99.0639493560879,146028,0.0000,1.0
2026-01-20,100.29,100.3,100.28,100.28,99.0639493560879,317058,0.0000,1.0
2026-01-21,100.29,100.3,100.29,100.29,99.073828090567,155917,0.0000,1.0
2026-01-22,100.31,100.31,100.3,100.3,99.0837068250461,266248,0.0000,1.0
2026-01-23,100.32,100.33,100.32,100.33,99.1133430284833,154536,0.0000,1.0
2026-01-26,100.35,100.35,100.34,100.35,99.1331004974414,306766,0.0000,1.0
2026-01-27,100.35,100.36,100.35,100.35,99.1331004974414,851653,0.0000,1.0
2026-01-28,100.37,100.37,100.35,100.35,99.1331004974414,136948,0.0000,1.0
2026-01-29,100.37,100.37,100.36,100.36,99.1429792319205,552592,0.0000,1.0
2026-01-30,100.4,100.4,100.39,100.4,99.1824941698367,270662,0.0000,1.0
2026-02-02,100.11,100.11,100.1,100.11,99.2002758918991,361019,0.3080,1.0
2026-02-03,100.11,100.12,100.11,100.11,99.2002758918991,392012,0.0000,1.0
2026-02-04,100.13,100.13,100.11,100.13,99.2200941469968,288592,0.0000,1.0
2026-02-05,100.14,100.14,100.12,100.13,99.2200941469968,225255,0.0000,1.0
2026-02-06,100.17,100.17,100.15,100.17,99.2597306571924,1599695,0.0000,1.0
2026-02-09,100.18,100.18,100.17,100.17,99.2597306571924,225941,0.0000,1.0
