ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-01-15,2026-04-01,2026-04-07,0.308
2026-03-02,2026-01-15,2026-03-02,2026-03-05,0.303
2026-02-02,2026-01-15,2026-02-02,2026-02-05,0.308
2025-12-30,2024-12-31,2025-12-30,2026-01-07,0.314
2025-12-01,2024-12-31,2025-12-01,2025-12-08,0.326
2025-11-03,2024-12-31,2025-11-03,2025-11-10,0.335
2025-10-01,2024-12-31,2025-10-01,2025-10-08,0.348
2025-09-02,2024-12-31,2025-09-02,2025-09-09,0.355
2025-08-01,2024-12-31,2025-08-01,2025-08-08,0.354
2025-07-01,2024-12-31,2025-07-01,2025-07-09,0.352
2025-06-02,2024-12-31,2025-06-02,2025-06-09,0.35
2025-05-01,2024-12-31,2025-05-01,2025-05-08,0.35
2025-04-01,2024-12-31,2025-04-01,2025-04-08,0.352
2025-03-03,2024-12-31,2025-03-03,2025-03-10,0.352
2025-02-03,2024-12-31,2025-02-03,2025-02-10,0.358
2024-12-30,2023-12-29,2024-12-30,2025-01-07,0.375
2024-12-04,2023-12-29,2024-12-04,2024-12-11,0.381
2024-11-05,2023-12-29,2024-11-05,2024-11-13,0.401
2024-10-03,2023-12-29,2024-10-03,2024-10-10,0.418
2024-09-05,2023-12-29,2024-09-05,2024-09-12,0.439
2024-08-05,2023-12-29,2024-08-05,2024-08-12,0.442
2024-07-03,2023-12-29,2024-07-03,2024-07-11,0.438
2024-06-05,2023-12-29,2024-06-05,2024-06-12,0.111
2024-05-03,2023-12-29,2024-05-06,2024-05-13,0.111
2024-04-03,2023-12-29,2024-04-04,2024-04-11,0.111
2024-03-05,2023-12-29,2024-03-06,2024-03-13,0.111
2024-02-05,2023-12-29,2024-02-06,2024-02-13,0.1119
2023-12-28,2023-12-27,2023-12-29,2024-01-08,0.111
2023-12-05,2023-12-04,2023-12-06,2023-12-13,0.1119
2023-11-03,2023-11-02,2023-11-06,2023-11-13,0.1119
2023-10-04,2023-10-03,2023-10-05,2023-10-13,0.1085
2023-09-06,2023-09-05,2023-09-07,2023-09-14,0.1221
2023-08-03,2023-08-02,2023-08-04,2023-08-11,0.109
2023-07-06,2023-07-05,2023-07-07,2023-07-14,0.013
