date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2023-07-31,25.0600,25.1500,25.0550,25.1400,88.4424,184864,0.0130
2023-08-31,25.1400,25.2500,25.0400,25.1450,88.8450,1248554,0.1090
2023-09-29,25.1700,25.1900,25.0300,25.1300,89.2251,1339518,0.1221
2023-10-31,25.1300,25.1400,25.0200,25.1223,89.5844,2781465,0.1085
2023-11-30,25.1400,25.1500,25.0300,25.1300,90.0123,1765781,0.1119
2023-12-29,25.1400,25.1400,25.0100,25.0199,90.4178,2388268,0.2229
2024-01-31,25.0300,25.1300,25.0100,25.1300,90.8157,3023037,0.0000
2024-02-29,25.1500,25.1500,25.0300,25.1300,91.2215,6591435,0.1119
2024-03-28,25.1400,25.1400,25.0100,25.1200,91.5896,3473614,0.1110
2024-04-30,25.1300,25.1300,25.0200,25.1200,91.9958,6066378,0.1110
2024-05-31,25.1100,25.1300,25.0200,25.1300,92.4405,10029665,0.1110
2024-06-28,25.1300,100.4700,25.0200,100.4700,92.8043,4836912,0.1110
2024-07-31,100.4600,100.5000,100.0500,100.4900,93.2291,2912170,0.4380
2024-08-30,100.4500,100.5300,100.0700,100.5000,93.6500,4118480,0.4420
2024-09-30,100.5200,100.5600,100.0930,100.5000,94.0606,2666486,0.4390
2024-10-31,100.4900,100.5200,100.1050,100.4500,94.4062,2884629,0.4180
2024-11-29,100.5000,100.5300,100.1200,100.4550,94.7890,2751899,0.4010
2024-12-31,100.4700,100.5050,100.0600,100.1000,95.1684,3474630,0.7560
2025-01-31,100.1000,100.4677,100.0900,100.4500,95.5012,3126312,0.0000
2025-02-28,100.2200,100.4300,100.0600,100.4300,95.8236,3977052,0.3580
2025-03-31,100.1300,100.4400,100.0300,100.4400,96.1702,4506208,0.3520
2025-04-30,100.0800,100.4400,100.0200,100.3900,96.4604,7963083,0.3520
2025-05-30,100.0800,100.4200,100.0400,100.4200,96.8268,4916930,0.3500
2025-06-30,100.0900,100.4200,100.0700,100.4200,97.1654,4414248,0.3500
2025-07-31,100.0900,100.4700,100.0400,100.4000,97.4879,4175209,0.3520
2025-08-29,100.1000,100.4499,100.0900,100.4300,97.8619,4213226,0.3540
2025-09-30,100.1000,100.4200,100.0900,100.4200,98.1992,3509735,0.3550
2025-10-31,100.0900,100.4500,100.0800,100.4300,98.5504,4065029,0.3480
2025-11-28,100.1100,100.4100,100.1000,100.4100,98.8605,4751959,0.3350
2025-12-31,100.0900,100.4000,100.0800,100.1100,99.1964,8668042,0.6400
2026-01-30,100.1400,100.4000,100.1300,100.4000,99.4837,6026988,0.0000
2026-02-25,100.11,100.34,100.1,100.33,100.33,5813705,0.308
2026-02-27,100.1100,100.3800,100.1000,100.3700,99.7600,6277428,0.3080
2026-03-31,100.0800,100.3700,100.0700,100.3600,100.0521,8727912,0.3030
2026-04-17,100.0600,100.2500,100.0600,100.2400,100.2400,3919615,0.3080
