ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-12-30,2025-01-02,2025-12-30,2026-01-07,1.672477
2025-06-27,2025-01-02,2025-06-27,2025-07-07,0.249658
2024-12-30,2023-12-28,2024-12-30,2025-01-07,0.53027
2024-06-27,2023-12-28,2024-06-27,2024-07-05,0.1588
2023-12-28,2023-01-17,2023-12-29,2024-01-08,0.390728
2023-06-29,2023-01-17,2023-06-30,2023-07-10,0.5048
2022-12-29,2022-02-01,2022-12-30,2023-01-09,0.3955
2022-06-29,2022-02-01,2022-06-30,2022-07-08,0.7179
2021-12-30,2021-12-29,2021-12-31,2022-01-07,0.3852
2021-06-29,2021-01-06,2021-06-30,2021-07-08,0.1613
2020-12-30,2020-01-20,2020-12-31,2021-01-08,0.322596
2020-06-29,2020-01-20,2020-06-30,2020-07-08,0.071187
2019-12-30,,,,0.055
2019-06-27,,,,0.223812
2018-12-28,,,,0.473465
2017-12-28,,,,0.428349
2016-12-28,,,,0.119455
2015-12-29,,,,0.14206
2014-12-29,,,,0.169762
2013-12-27,,,,0.066299
2012-12-27,,,,0.427793
2011-12-28,,,,0.906426
2010-12-29,,,,0.092584
