date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2010-05-28,13.4500,13.6500,10.3100,11.7500,25.0180,232000,0.0000
2010-06-30,11.0000,12.5000,10.3900,10.3900,22.1223,195800,0.0000
2010-07-30,10.3500,13.0300,10.0000,12.9200,27.5091,121900,0.0000
2010-08-31,13.1300,13.5600,11.7300,12.4000,26.4020,161600,0.0000
2010-09-30,13.0000,15.6672,12.9900,15.4100,32.8108,350700,0.0000
2010-10-29,15.4900,17.4900,15.4310,16.7000,35.5575,3336000,0.0000
2010-11-30,16.8000,18.7400,16.4400,16.7160,35.5915,3416100,0.0000
2010-12-31,17.1700,20.4000,17.0100,19.9000,42.5707,4361500,0.0926
2011-01-31,20.3300,20.7300,18.7500,19.0800,40.8165,3834500,0.0000
2011-02-28,19.4700,20.7500,18.1600,19.5000,41.7150,3621100,0.0000
2011-03-31,19.7000,19.7900,16.5100,19.4000,41.5011,3889100,0.0000
2011-04-29,19.5100,20.9800,18.5500,20.3528,43.5394,3257700,0.0000
2011-05-31,20.3300,20.4400,18.1000,19.3400,41.3727,2344100,0.0000
2011-06-30,19.1800,19.3300,16.9000,19.1000,40.8593,1715600,0.0000
2011-07-29,19.0500,20.0800,18.5600,19.4100,41.5225,2434600,0.0000
2011-08-31,19.7600,19.7600,14.6400,17.0300,36.4311,4367600,0.0000
2011-09-30,17.0700,17.1300,11.5200,11.5700,24.7509,1525000,0.0000
2011-10-31,11.3100,15.7500,10.3000,14.7900,31.6392,2204900,0.0000
2011-11-30,13.8200,15.2800,12.1700,14.1360,30.2402,1300900,0.0000
2011-12-30,14.1700,14.9760,12.4500,12.8400,29.4548,1234100,0.9064
2012-01-31,13.4000,15.6000,13.2000,14.9600,34.3180,1155200,0.0000
2012-02-29,15.2100,15.8200,14.5200,15.1700,34.7998,962000,0.0000
2012-03-30,15.3800,15.3800,13.2300,13.6400,31.2900,708100,0.0000
2012-04-30,13.6200,13.9490,12.8900,13.6280,31.2624,476300,0.0000
2012-05-31,13.6400,13.8865,10.7000,10.8658,24.9260,583300,0.0000
2012-06-29,10.6694,11.8200,10.4200,11.1400,25.5550,389500,0.0000
2012-07-31,11.0200,11.6000,10.3010,10.9700,25.1650,441800,0.0000
2012-08-31,11.1100,11.9400,10.6800,11.4000,26.1514,516600,0.0000
2012-09-28,11.4400,13.7500,11.3000,12.6600,29.0418,635100,0.0000
2012-10-31,12.8401,13.3700,12.6069,12.9300,29.6612,283600,0.0000
2012-11-30,13.0000,13.4700,12.0000,12.9200,29.6383,390300,0.0000
2012-12-31,13.0000,13.5685,12.6701,13.0165,30.8584,569000,0.4278
2013-01-31,13.3900,14.5000,13.0100,13.1100,31.0800,889900,0.0000
2013-02-28,13.2001,13.3199,11.8200,11.9099,28.2350,732000,0.0000
2013-03-28,11.8000,12.0900,11.2301,11.4400,27.1210,526800,0.0000
2013-04-30,11.5000,11.5400,9.7100,10.5700,25.0584,1318500,0.0000
2013-05-31,10.3800,11.0900,10.1500,10.2400,24.2761,971800,0.0000
2013-06-28,10.3300,10.3964,8.4568,8.6500,20.5067,932900,0.0000
2013-07-31,8.8100,9.4490,8.3699,8.6900,20.6015,815200,0.0000
2013-08-30,8.7900,9.7200,8.5600,9.0748,21.5137,571700,0.0000
2013-09-30,9.5300,10.3000,9.2711,9.5610,22.6664,609800,0.0000
2013-10-31,9.5000,10.1199,9.2100,9.7548,23.1258,513600,0.0000
2013-11-29,9.7900,9.8800,8.8200,8.9224,21.1524,413200,0.0000
2013-12-31,8.9200,9.3800,8.5500,9.3700,22.3737,815000,0.0663
2014-01-31,9.4200,9.5400,8.8000,8.8600,21.1559,599500,0.0000
2014-02-28,8.8500,9.7700,8.7000,9.5100,22.7080,430100,0.0000
2014-03-31,9.4900,9.8400,8.5376,9.1200,21.7767,927500,0.0000
2014-04-30,9.1900,9.4900,9.0500,9.3200,22.2543,682800,0.0000
2014-05-30,9.3300,10.0800,9.1800,9.9100,23.6631,839600,0.0000
2014-06-30,10.0400,10.2500,9.6500,10.1700,24.2839,431100,0.0000
2014-07-31,10.2300,11.2100,10.1500,10.6800,25.5017,958700,0.0000
2014-08-29,10.5800,11.0500,10.0700,10.1300,24.1884,1063300,0.0000
2014-09-30,10.0300,10.2400,8.9400,8.9500,21.3708,845545,0.0000
2014-10-31,8.9700,8.9700,8.0900,8.2800,19.7710,818601,0.0000
2014-11-28,8.2300,8.6300,7.8900,7.9600,19.0069,426789,0.0000
2014-12-31,7.8400,7.8400,6.8500,7.3600,17.9857,943718,0.1698
2015-01-30,7.3800,7.4679,6.0100,6.1000,14.9066,1020309,0.0000
2015-02-27,6.1500,7.2200,6.1401,7.2200,17.6436,824524,0.0000
2015-03-31,7.2100,7.2700,6.3020,6.7800,16.5683,579084,0.0000
2015-04-30,6.7596,8.0161,6.7596,7.9900,19.5252,920045,0.0000
2015-05-29,8.0500,8.2600,7.2600,7.2800,17.7902,830813,0.0000
2015-06-30,7.3000,7.5400,6.8600,6.8700,16.7883,448751,0.0000
2015-07-31,6.8400,6.8949,5.4800,5.6100,13.7092,936085,0.0000
2015-08-31,5.5500,5.6900,4.2200,5.1900,12.6828,1649451,0.0000
2015-09-30,5.0200,5.3060,4.0900,4.2352,10.3496,1295596,0.0000
2015-10-30,4.3900,5.7500,4.2900,5.0400,12.3163,1077385,0.0000
2015-11-30,5.0800,13.3199,4.2200,12.6200,10.2799,843966,0.0000
2015-12-31,12.7000,12.9200,11.0100,11.8100,9.7339,1322956,0.1421
2016-01-29,11.6400,11.6400,8.6600,10.0100,8.2503,905801,0.0000
2016-02-29,9.8500,12.4500,9.4600,11.9200,9.8245,816495,0.0000
2016-03-31,12.2800,15.4299,12.0100,14.1100,11.6295,882102,0.0000
2016-04-29,13.9200,17.1900,12.6001,17.1900,14.1681,603869,0.0000
2016-05-31,17.2500,17.5357,14.1500,14.5100,11.9592,461085,0.0000
2016-06-30,14.2901,16.0990,14.0300,15.4100,12.7010,590365,0.0000
2016-07-29,15.4300,17.4370,15.3100,17.4000,14.3412,493337,0.0000
2016-08-31,17.0200,17.7400,15.7800,15.8500,13.0636,467888,0.0000
2016-09-30,15.7200,16.9600,15.5300,16.7759,13.8268,264663,0.0000
2016-10-31,16.9400,17.5400,16.1600,17.5400,14.4565,142018,0.0000
2016-11-30,17.4400,22.1900,17.2601,21.2555,17.5189,1441789,0.0000
2016-12-30,21.2100,23.3800,19.8800,20.0000,16.5817,1287195,0.1195
2017-01-31,20.1900,24.9900,20.0300,24.6900,20.4701,1002553,0.0000
2017-02-28,24.9000,26.4650,23.4219,23.4400,19.4338,1549168,0.0000
2017-03-31,23.8100,24.5300,21.4000,22.4300,18.5964,1566283,0.0000
2017-04-28,22.4300,23.4878,20.2800,21.3900,17.7341,771570,0.0000
2017-05-31,21.2100,21.6290,19.3909,20.2100,16.7558,878211,0.0000
2017-06-30,20.1400,21.0900,19.2769,20.9800,17.3942,420056,0.0000
2017-07-31,20.8600,25.1900,20.6700,25.1400,20.8432,790412,0.0000
2017-08-31,25.1900,26.5301,23.5200,26.4800,21.9542,1622256,0.0000
2017-09-29,26.7800,27.2900,24.0000,24.8500,20.6028,1041083,0.0000
2017-10-31,24.8300,27.3863,24.8300,25.5900,21.2163,1664322,0.0000
2017-11-30,26.0000,26.5400,24.4100,24.4400,20.2629,847322,0.0000
2017-12-29,24.4900,27.6700,23.5100,27.3500,23.0300,1249127,0.4283
2018-01-31,27.7500,29.3400,27.5800,28.0700,23.6363,1841350,0.0000
2018-02-28,27.9200,28.6500,24.6100,27.2000,22.9037,1451984,0.0000
2018-03-29,27.1800,28.0600,25.1800,25.9800,21.8764,854090,0.0000
2018-04-30,26.2400,27.5900,25.2400,25.9300,21.8343,671838,0.0000
2018-05-31,25.8100,27.6000,25.1800,25.6700,21.6153,830768,0.0000
2018-06-29,25.8300,27.8900,23.3100,24.1200,20.3102,941710,0.0000
2018-07-31,24.0100,24.4600,22.8000,24.1800,20.3607,799083,0.0000
2018-08-31,24.0200,24.0400,20.4100,21.3100,17.9440,1631007,0.0000
2018-09-28,20.9900,22.8400,19.8500,22.0900,18.6008,725182,0.0000
2018-10-31,22.2300,22.3900,18.1200,19.3200,16.2684,771682,0.0000
2018-11-30,19.7300,21.0900,18.8500,19.7400,16.6220,391064,0.0000
2018-12-31,20.5100,20.8900,18.0000,18.3100,15.8199,413446,0.4735
2019-01-31,18.0000,20.6000,17.5200,20.4900,17.7034,445458,0.0000
2019-02-28,20.4000,22.6700,19.6600,21.8200,18.8525,1677562,0.0000
2019-03-29,21.9700,22.1500,20.7000,21.8600,18.8871,855312,0.0000
2019-04-30,22.3500,23.5400,21.5200,21.5800,18.6451,1038012,0.0000
2019-05-31,21.5100,21.5600,18.0100,18.4000,15.8976,1433145,0.0000
2019-06-28,18.4800,20.9900,18.4300,20.8000,18.1651,766068,0.2238
2019-07-31,21.1000,21.2500,18.9900,19.0200,16.6105,582911,0.0000
2019-08-30,18.7100,18.7300,15.8300,16.5500,14.4534,716566,0.0000
2019-09-30,16.1600,18.4000,16.0500,17.1100,14.9425,781689,0.0000
2019-10-31,17.1000,18.0300,16.1600,17.4800,15.2656,658371,0.0000
2019-11-29,17.4600,19.0800,17.4600,18.1300,15.8333,1303323,0.0000
2019-12-31,18.1700,20.4500,17.5700,20.3200,17.7938,3166171,0.0550
2020-01-31,20.4200,20.8000,17.4500,17.4900,15.3156,1449686,0.0000
2020-02-28,17.4700,18.9300,15.0600,15.6000,13.6606,1260960,0.0000
2020-03-31,15.5700,16.4000,9.6200,11.8300,10.3593,2485448,0.0000
2020-04-30,11.3800,15.0000,11.1000,14.4100,12.6185,1189944,0.0000
2020-05-29,14.0600,15.7000,13.2700,15.5500,13.6168,1037006,0.0000
2020-06-30,15.6900,17.8200,15.6900,17.6400,15.5111,1830142,0.0712
