date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,894.515,905.32,892.13,899.01,897.768735064521,2870059,0.0,1.0
2025-11-24,899.0,901.3599,881.32,886.12,884.896532313738,3661191,0.0,1.0
2025-11-25,886.66,895.72,885.13,894.33,893.09519675004,2534731,0.0,1.0
2025-11-26,896.02,912.0,895.62,908.26,907.005963570708,1936171,0.0,1.0
2025-11-28,905.015,914.2,903.0,913.59,912.328604428867,1092608,0.0,1.0
2025-12-01,913.2,918.58,906.21,911.96,910.700854973183,2149426,0.0,1.0
2025-12-02,911.96,923.0,905.0,922.03,920.756951303701,2160592,0.0,1.0
2025-12-03,920.81,926.32,916.02,922.26,920.986633742234,1886769,0.0,1.0
2025-12-04,907.025,907.96,888.08,895.855,894.618091179438,3787830,0.0,1.0
2025-12-05,897.25,905.89,893.0,894.68,893.444713504328,2359794,0.0,1.0
2025-12-08,893.5,894.0,882.9,887.52,886.294599330891,2371376,0.0,1.0
2025-12-09,886.85,889.02,881.51,888.44,887.213329085019,1895036,0.0,1.0
2025-12-10,887.82,889.58,871.09,874.41,871.93577773569,3318294,0.0000,1.0
2025-12-11,875.86,886.0,872.5501,884.48,881.97728375895,3041582,0.0000,1.0
2025-12-12,883.3,888.6199,867.12,884.47,881.967312054855,4808873,0.0000,1.0
2025-12-15,882.11,887.49,851.4,860.56,858.124967564672,4771436,0.0000,1.0
2025-12-16,857.435,863.59,844.06,860.39,857.955448595064,3843318,0.0000,1.0
2025-12-17,858.5,868.58,858.23,862.65,860.209053720443,2363703,0.0000,1.0
2025-12-18,860.295,863.15,852.51,857.59,855.163371448577,2467502,0.0000,1.0
2025-12-19,856.57,858.45,849.32,855.62,853.198945741941,10097638,0.0000,1.0
2025-12-22,854.0,855.5,847.31,850.0,847.594848040778,2373318,0.0000,1.0
2025-12-23,849.1,854.98,846.8,854.79,852.37129430209,1903349,0.0000,1.0
2025-12-24,858.6,876.0,858.352,871.86,869.392993191568,1822151,0.0000,1.0
2025-12-26,870.64,877.59,869.0,873.35,870.878777101663,1324051,0.0000,1.0
2025-12-29,873.29,874.5,865.69,867.84,865.384368145539,1792476,0.0000,1.0
2025-12-30,864.0,867.82,861.43,865.65,863.200564948822,1680756,0.0000,1.0
2025-12-31,864.58,868.0,861.34,862.34,859.899930893511,1489954,0.0000,1.0
2026-01-02,861.14,863.1,852.5,854.5,852.082114883346,2373388,0.0000,1.0
2026-01-05,863.95,878.77,860.845,875.74,873.262014380271,2805557,0.0000,1.0
2026-01-06,875.95,894.0799,871.3,889.1,886.584211050653,2742339,0.0000,1.0
2026-01-07,892.0,893.595,879.62,882.58,880.082659980976,2680115,0.0000,1.0
2026-01-08,901.13,931.67,896.0,915.31,912.720047482593,5207158,0.0000,1.0
2026-01-09,915.97,929.8499,911.33,924.88,922.262968301123,2895418,0.0000,1.0
2026-01-12,920.4,944.825,917.0,943.08,940.41146975329,3246406,0.0000,1.0
2026-01-13,938.02,942.9,929.5975,941.93,939.264723782411,2222092,0.0000,1.0
2026-01-14,938.33,955.61,938.29,950.98,948.289115988022,2894879,0.0000,1.0
2026-01-15,954.54,958.28,950.0001,956.75,954.042789250605,2185919,0.0000,1.0
2026-01-16,962.0,964.98,951.0001,963.61,960.883378259499,3862947,0.0000,1.0
2026-01-20,958.38,969.9,954.13,964.26,961.531539025647,3191246,0.0000,1.0
2026-01-21,959.6,989.6358,959.6,982.86,980.078908641599,4073664,0.0000,1.0
2026-01-22,977.89,984.0,971.56,976.17,973.407838602313,2074413,0.0000,1.0
2026-01-23,971.44,984.85,971.01,983.25,980.467805101288,1680580,0.0000,1.0
2026-01-26,986.43,993.0,976.35,977.67,974.903594216502,2458693,0.0000,1.0
2026-01-27,977.68,978.0,961.71,970.28,967.534504890595,2006238,0.0000,1.0
2026-01-28,969.51,970.1,955.61,960.78,958.061386000727,2474811,0.0000,1.0
2026-01-29,957.99,960.3,948.51,952.89,950.19371147009,1824966,0.0000,1.0
2026-01-30,948.83,951.12,930.3,940.25,938.885799026817,2396325,1.3000,1.0
2026-02-02,944.23,970.32,931.27,968.36,966.955014459567,2451253,0.0000,1.0
2026-02-03,964.35,990.6548,964.28,977.92,976.501143934384,2796475,0.0000,1.0
2026-02-04,983.31,994.5999,975.19,978.35,976.930520050929,2631498,0.0000,1.0
2026-02-05,995.5,1000.95,987.33,989.29,987.854647295123,2988847,0.0000,1.0
2026-02-06,988.15,1001.365,983.5001,1001.16,999.707425209984,2358563,0.0000,1.0
2026-02-09,1001.32,1009.62,992.68,997.59,996.142604893552,1861683,0.0000,1.0
2026-02-10,996.01,997.45,969.0,971.23,969.820850400229,1781509,0.0000,1.0
2026-02-11,973.285,989.565,967.1201,978.14,976.720824738198,1769375,0.0000,1.0
2026-02-12,978.75,1009.21,978.14,998.86,997.410762261022,2970368,0.0000,1.0
2026-02-13,1000.0,1022.88,993.76,1018.48,1017.00229576478,2661568,0.0000,1.0
2026-02-17,1022.34,1028.44,1010.4801,1012.05,1010.58162499877,1732204,0.0000,1.0
2026-02-18,1010.0,1016.0,993.5,996.08,994.634795740103,1926753,0.0000,1.0
2026-02-19,992.31,1007.86,984.11,987.82,986.386780106004,1749967,0.0000,1.0
2026-02-20,983.13,987.37,977.81,985.27,983.840479879981,1662183,0.0000,1.0
2026-02-23,981.8,991.305,978.06,986.02,984.589391711164,1489290,0.0000,1.0
2026-02-24,986.38,998.88,985.04,998.43,996.981386144477,1671134,0.0000,1.0
2026-02-25,997.675,1002.5,991.44,994.76,993.31671091722,1554568,0.0000,1.0
2026-02-26,996.915,1005.5199,983.53,986.74,985.3083470691,1804376,0.0000,1.0
2026-02-27,990.53,1014.19,989.58,1010.79,1009.32345312238,3935004,0.0000,1.0
2026-03-02,1010.91,1020.82,1002.49,1002.77,1001.31508927426,1986902,0.0000,1.0
2026-03-03,1002.54,1015.75,1000.63,1007.77,1006.30783481548,1947502,0.0000,1.0
2026-03-04,1005.0,1014.0,997.0,1006.74,1005.27932923399,1806638,0.0000,1.0
2026-03-05,996.5,999.25,978.81,982.57,981.144397287721,2774284,0.0000,1.0
2026-03-06,967.005,1002.5,960.46,998.1,996.651864938756,2708851,0.0000,1.0
2026-03-09,999.63,1007.41,987.99,1005.3,1003.84141851812,2348212,0.0000,1.0
2026-03-10,1000.5,1010.1,996.0,997.36,995.912938598656,1613381,0.0000,1.0
2026-03-11,996.32,997.39,987.89,992.23,990.790381673362,1262006,0.0000,1.0
2026-03-12,988.61,1006.21,984.0,1003.32,1001.86429128379,1669248,0.0000,1.0
2026-03-13,1005.9,1012.83,1002.0,1008.43,1006.96687722692,1469672,0.0000,1.0
2026-03-16,1010.5,1012.65,995.4301,1001.74,1000.28658369277,1243752,0.0000,1.0
2026-03-17,1006.49,1008.095,994.75,996.16,994.714679668762,1210414,0.0000,1.0
2026-03-18,990.37,993.9819,978.14,979.92,978.498242150873,1434421,0.0000,1.0
2026-03-19,985.84,988.79,970.41,974.78,973.365699734497,1340173,0.0000,1.0
2026-03-20,975.08,980.76,970.54,972.33,970.919254419298,2621555,0.0000,1.0
2026-03-23,985.665,986.64,964.53,965.73,964.328830304885,1779094,0.0000,1.0
2026-03-24,962.06,981.28,961.0,973.82,972.407092590582,1259325,0.0000,1.0
2026-03-25,978.0,980.81,968.0504,974.86,973.445583663156,1067386,0.0000,1.0
2026-03-26,975.69,987.19,972.7201,979.65,978.228633891647,1498250,0.0000,1.0
2026-03-27,982.015,987.11,978.11,983.86,982.432525637356,1540925,0.0000,1.0
2026-03-30,987.65,1005.54,985.01,996.58,995.134070294225,2129129,0.0000,1.0
2026-03-31,997.0,1008.6,985.85,996.43,994.984287927988,2447853,0.0000,1.0
2026-04-01,995.025,1003.13,990.59,996.56,995.11409931206,1769848,0.0000,1.0
