date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
1999-12-31,91.4400,98.7500,86.0000,91.2500,30.4449,51333000,0.0000
2000-01-31,91.0600,96.1300,45.0000,48.9400,32.6569,68003100,0.0000
2000-02-29,49.3100,55.0000,41.8800,49.6300,33.1173,80449500,0.0000
2000-03-31,49.4400,56.0600,42.3800,52.5600,35.0725,128374200,0.0000
2000-04-28,51.5000,60.5000,46.3100,54.0600,36.0734,96789700,0.0000
2000-05-31,54.0600,59.0000,25.9400,31.9400,21.3131,213353300,0.0000
2000-06-30,32.6900,34.6900,31.2500,33.0000,22.0204,160436500,0.0000
2000-07-31,33.0000,37.1300,31.1900,32.5600,21.7268,106147400,0.0000
2000-08-31,32.2500,38.0600,31.6300,34.4400,22.9813,110153000,0.0000
2000-09-29,34.8100,39.0600,32.6300,34.9400,23.3149,87117200,0.0000
2000-10-31,33.5600,36.7500,29.3100,36.6300,24.4426,130958400,0.0000
2000-11-30,36.6900,37.3800,32.0600,32.6300,21.7735,116075600,0.0000
2000-12-29,33.2500,41.5000,31.7500,39.9400,26.6514,142507800,0.0000
2001-01-31,40.0000,46.3800,39.0000,46.2500,30.8619,167560600,0.0000
2001-02-28,45.8800,46.3800,39.7500,41.7500,27.8591,93210000,0.0000
2001-03-30,41.3800,43.1100,35.3100,39.2500,26.1909,138072500,0.0000
2001-04-30,38.8100,40.3700,33.1800,34.9300,23.3083,116253500,0.0000
2001-05-31,35.0400,39.3900,33.9500,38.9100,25.9641,109293700,0.0000
2001-06-29,39.2100,44.0500,37.5000,41.0800,27.4121,97587300,0.0000
2001-07-31,41.2600,44.7000,39.8800,43.0500,28.7266,79465000,0.0000
2001-08-31,43.1800,43.8500,36.5000,37.4100,24.9631,71472500,0.0000
2001-09-28,37.5500,39.0000,29.8300,35.5600,23.7287,84414500,0.0000
2001-10-31,35.2800,40.5500,33.1000,37.8300,25.2434,90556000,0.0000
2001-11-30,38.0000,43.8400,37.3000,40.8800,27.2786,89047900,0.0000
2001-12-31,41.3500,45.3700,40.0800,44.3800,29.6141,76693500,0.0000
2002-01-31,44.2000,46.0200,41.9800,46.0000,30.6951,80990200,0.0000
2002-02-28,45.8700,46.9000,41.2500,41.2600,27.5322,88377600,0.0000
2002-03-28,41.3200,42.6900,38.2900,39.8200,26.5713,139301800,0.0000
2002-04-30,39.9600,43.0500,38.5700,40.2000,26.8249,88981000,0.0000
2002-05-31,40.0100,41.8600,37.5900,39.2700,26.2043,87754100,0.0000
2002-06-28,39.2900,41.3500,36.5700,38.6200,25.7705,79509800,0.0000
2002-07-31,38.5300,39.5500,31.0000,34.8700,23.2682,107983500,0.0000
2002-08-30,34.5700,36.7300,31.6100,33.4100,22.2940,106771900,0.0000
2002-09-30,33.1500,35.6700,31.9900,32.3700,21.6000,87916100,0.0000
2002-10-31,32.4500,37.0000,28.7500,33.8700,22.6009,137275400,0.0000
2002-11-29,33.7700,34.7900,31.0500,32.3000,21.5533,105825900,0.0000
2002-12-31,33.0300,34.4300,27.0900,28.0600,18.7240,152949000,0.0000
2003-01-31,28.2400,31.0000,28.0400,28.8700,19.2645,102664400,0.0000
2003-02-28,28.9700,30.7700,27.9300,30.5200,20.3655,64901700,0.0000
2003-03-31,30.6800,31.4900,27.0000,30.0300,20.0386,110479500,0.0000
2003-04-30,30.1700,35.2210,29.7600,34.6100,23.0947,91514500,0.0000
2003-05-30,34.3500,39.0220,33.8200,37.2500,24.8564,102462000,0.0000
2003-06-30,37.2700,37.9800,34.7300,36.6000,24.4226,84916100,0.0000
2003-07-31,36.3800,37.7100,35.6600,36.9900,24.6829,54265300,0.0000
2003-08-29,36.9000,37.3100,28.8300,32.2500,21.5199,204852100,0.0000
2003-09-30,32.2400,33.6400,30.6500,31.1500,20.7859,129415100,0.0000
2003-10-31,31.2000,35.7600,31.1000,35.4500,23.6552,97086000,0.0000
2003-11-28,35.2900,35.9500,33.2700,35.8200,23.9021,65059800,0.0000
2003-12-31,35.9500,37.4000,35.1300,37.1800,24.8097,92385500,0.0000
2004-01-30,37.1900,38.3600,35.8600,36.9400,24.6495,73353600,0.0000
2004-02-27,36.9700,39.5000,36.8300,38.8600,25.9307,61681700,0.0000
2004-03-31,39.1800,40.4200,36.1000,37.6100,25.0966,85947100,0.0000
2004-04-30,37.4300,38.7700,36.7500,37.5000,25.0232,66445600,0.0000
2004-05-28,37.4100,39.3200,35.0500,37.9000,25.3598,70581000,0.1000
2004-06-30,37.7200,43.0000,37.6500,41.1800,27.5545,82119100,0.0000
2004-07-30,41.2500,41.9800,39.8100,40.7100,27.3062,72491600,0.1000
2004-08-31,40.6100,42.7900,39.5600,41.1700,27.6147,74596500,0.0000
2004-09-30,41.1100,41.9800,39.0500,41.5100,27.8428,66245500,0.0000
2004-10-29,41.7300,48.5500,41.4800,47.9400,32.1557,91967700,0.0000
2004-11-30,47.5700,50.4600,47.2000,48.6000,32.6656,73920800,0.1000
2004-12-31,48.8000,49.8200,46.8000,48.4100,32.5379,69564600,0.0000
2005-01-31,48.4000,49.1800,46.3300,47.2700,31.7716,51977500,0.0000
2005-02-28,47.1900,47.3600,45.4000,46.5900,31.3824,48508400,0.1000
2005-03-31,46.7500,47.2700,42.7500,44.1800,29.7591,88083800,0.0000
2005-04-29,44.3600,47.2300,39.4800,40.6300,27.3678,97608200,0.0000
2005-05-31,40.7100,46.3600,40.6800,45.3800,30.6494,72604700,0.1150
2005-06-30,45.3400,46.7300,44.2900,44.7300,30.2104,58189800,0.0000
2005-07-29,45.1000,46.8000,44.5200,45.9700,31.0479,40251700,0.0000
2005-08-31,45.9200,46.0600,42.3100,43.4000,29.3879,81912200,0.1150
2005-09-30,43.7600,44.1800,40.5100,43.0900,29.1780,61770100,0.0000
2005-10-31,43.0400,48.6018,42.3500,48.3700,32.7533,81024900,0.0000
2005-11-30,48.3000,51.2100,47.8500,49.9500,33.9023,55618600,0.1150
2005-12-30,48.6000,50.4200,48.0200,49.4700,33.5765,54919500,0.0000
2006-01-31,49.7500,51.0800,48.7400,49.8900,33.8615,50314800,0.0000
2006-02-28,49.6200,52.1500,48.4800,51.1900,34.8259,39344700,0.1150
2006-03-31,51.7300,56.3100,50.7810,54.1600,36.8465,74544700,0.0000
2006-04-28,54.2400,57.3790,53.2600,54.4300,37.0301,56564500,0.0000
2006-05-31,54.7500,57.2400,52.3200,52.9300,36.0920,69298200,0.1300
2006-06-30,53.1000,57.3800,52.0300,57.1300,38.9559,72765000,0.0000
2006-07-31,57.1800,57.9400,50.7000,52.7600,36.0662,82553700,0.1300
2006-08-31,52.4000,52.6500,46.0000,46.7900,31.9852,119717400,0.0000
2006-09-29,47.1100,52.3500,46.9300,49.6800,33.9608,105807300,0.0000
2006-10-31,49.5700,54.3500,47.8910,53.3800,36.4901,110495000,0.0000
2006-11-30,53.5500,54.7700,51.4000,52.3000,35.8395,66647500,0.1300
2006-12-29,52.2800,55.1200,51.7300,52.8700,36.2301,61920400,0.0000
2007-01-31,53.3500,57.2500,52.4300,56.1600,38.4846,63590400,0.0000
2007-02-28,56.2500,58.7000,55.0500,55.8900,38.3888,57578500,0.1300
2007-03-30,55.1000,56.7400,51.5200,53.8400,36.9807,105195800,0.0000
2007-04-30,53.3500,56.0700,53.3500,53.5700,36.8936,73455700,0.1450
2007-05-31,53.5800,57.4500,53.0000,56.4700,38.8908,89022100,0.0000
2007-06-29,56.5400,59.0900,54.8500,58.5200,40.3027,82585700,0.0000
2007-07-31,59.5000,63.0700,58.3400,59.8000,41.2832,89572800,0.1450
2007-08-31,60.0000,65.5740,57.2400,61.7500,42.6294,112786812,0.0000
2007-09-28,61.9600,62.7400,56.0900,61.3700,42.3671,89661000,0.0000
2007-10-31,61.5200,70.5500,61.1600,67.2600,46.4333,119493700,0.0000
2007-11-30,66.7000,68.3300,63.1500,67.4000,46.6306,93320600,0.1450
2007-12-31,67.4000,72.6800,65.1000,69.7600,48.2634,95612600,0.0000
