date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,30.75,31.16,30.7426,31.07,31.07,323857,0.0,1.0
2025-11-24,30.91,31.13,30.84,31.11,31.11,369178,0.0,1.0
2025-11-25,31.44,31.45,31.054,31.18,31.18,440849,0.0,1.0
2025-11-26,31.63,31.84,31.52,31.84,31.84,235285,0.0,1.0
2025-11-28,32.22,32.43,32.15,32.28,32.28,308514,0.0,1.0
2025-12-01,32.57,32.62,32.23,32.29,32.29,524058,0.0,1.0
2025-12-02,32.43,32.53,32.03,32.14,32.14,392384,0.0,1.0
2025-12-03,32.96,33.2801,32.869934,33.03,33.03,1108428,0.0,1.0
2025-12-04,32.9,32.949,32.7038,32.84,32.84,428317,0.0,1.0
2025-12-05,33.13,33.51,33.13,33.35,33.35,609588,0.0,1.0
2025-12-08,33.4,33.42,33.02,33.24,33.24,442770,0.0,1.0
2025-12-09,32.64,32.77,32.53,32.65,32.65,642566,0.0,1.0
2025-12-10,32.9,33.1478,32.7,33.07,33.07,403629,0.0000,1.0
2025-12-11,33.28,33.7629,33.2,33.61,33.61,782151,0.0000,1.0
2025-12-12,33.81,33.818,32.4,32.83,32.83,734917,0.0000,1.0
2025-12-15,33.45,33.47,33.0776,33.15,33.15,543207,0.0000,1.0
2025-12-16,32.9,32.93,32.7101,32.89,32.89,456684,0.0000,1.0
2025-12-17,33.22,33.34,33.12,33.23,33.23,378899,0.0000,1.0
2025-12-18,33.28,33.45,33.01,33.26,33.26,356525,0.0000,1.0
2025-12-19,33.83,34.01,33.54,33.6,33.6,785338,0.0000,1.0
2025-12-22,33.77,33.79,33.59,33.73,33.73,467988,0.0000,1.0
2025-12-23,34.21,34.21,33.8,34.15,34.15,828078,0.0000,1.0
2025-12-24,34.35,34.4125,33.92,34.2,34.2,367847,0.0000,1.0
2025-12-26,35.56,36.09,35.516,35.81,35.81,2243115,0.0000,1.0
2025-12-29,34.32,34.4023,34.076,34.18,34.18,1292377,0.0000,1.0
2025-12-30,35.17,35.55,34.92,35.25,35.25,1395995,0.0000,1.0
2025-12-31,34.79,34.9994,34.65,34.96,34.96,570774,0.0000,1.0
2026-01-02,35.12,35.12,34.76,34.98,34.98,941932,0.0000,1.0
2026-01-05,36.37,36.8699,36.25,36.77,36.77,1497614,0.0000,1.0
2026-01-06,37.08,37.349,37.015,37.27,37.27,1321354,0.0000,1.0
2026-01-07,36.43,36.435,35.88,35.91,35.91,1459414,0.0000,1.0
2026-01-08,35.35,35.685,34.9807,35.68,35.68,883677,0.0000,1.0
2026-01-09,36.24,36.42,36.09,36.15,36.15,984908,0.0000,1.0
2026-01-12,36.48,37.08,36.48,36.88,36.88,1738581,0.0000,1.0
2026-01-13,37.13,37.2,36.78,36.89,36.89,988685,0.0000,1.0
2026-01-14,37.35,37.51,36.92,37.5,37.5,1849194,0.0000,1.0
2026-01-15,36.69,36.915,36.42,36.77,36.77,1589087,0.0000,1.0
2026-01-16,35.76,35.94,35.46,35.94,35.94,1927948,0.0000,1.0
2026-01-20,35.7,35.7687,35.31,35.71,35.71,1619328,0.0000,1.0
2026-01-21,35.94,36.0,35.21,35.68,35.68,1654671,0.0000,1.0
2026-01-22,35.35,35.76,35.18,35.66,35.66,1422102,0.0000,1.0
2026-01-23,36.34,36.68,36.2401,36.52,36.52,2595828,0.0000,1.0
2026-01-26,37.01,37.15,36.34,36.54,36.54,3864344,0.0000,1.0
2026-01-27,36.05,36.59,35.72,36.58,36.58,1844802,0.0000,1.0
2026-01-28,36.45,36.88,36.29,36.78,36.78,2184373,0.0000,1.0
2026-01-29,40.35,40.44,37.03,38.71,38.71,9379503,0.0000,1.0
2026-01-30,37.1,37.28,35.38,36.43,36.43,4502989,0.0000,1.0
2026-02-02,35.68,36.04,35.5,35.88,35.88,1993245,0.0000,1.0
2026-02-03,37.25,37.52,37.0,37.48,37.48,1955370,0.0000,1.0
2026-02-04,36.96,37.005,35.852,36.29,36.29,1364966,0.0000,1.0
2026-02-05,35.76,35.93,35.18,35.24,35.24,2563692,0.0000,1.0
2026-02-06,35.72,36.24,35.68,36.24,36.24,864073,0.0000,1.0
2026-02-09,36.25,36.78,36.24,36.77,36.77,988625,0.0000,1.0
2026-02-10,36.53,36.55,36.2501,36.33,36.33,552362,0.0000,1.0
2026-02-11,36.79,36.84,36.34,36.8,36.8,689145,0.0000,1.0
2026-02-12,36.65,36.75,35.42,35.51,35.51,2255153,0.0000,1.0
2026-02-13,35.57,35.805,35.2,35.56,35.56,521377,0.0000,1.0
2026-02-17,34.85,35.03,34.64,34.94,34.94,1306848,0.0000,1.0
2026-02-18,35.36,35.75,35.302,35.58,35.58,499824,0.0000,1.0
2026-02-19,35.15,35.56,35.0107,35.54,35.54,1171695,0.0000,1.0
2026-02-20,35.46,36.18,35.3973,36.17,36.17,589258,0.0000,1.0
2026-02-23,35.79,35.88,35.43,35.68,35.68,644808,0.0000,1.0
2026-02-24,36.19,36.59,36.14,36.3,36.3,1661338,0.0000,1.0
2026-02-25,36.65,36.96,36.55,36.78,36.78,756754,0.0000,1.0
2026-02-26,36.79,36.9299,36.38,36.73,36.73,1142868,0.0000,1.0
2026-02-27,37.14,37.17,36.7451,36.88,36.88,558140,0.0000,1.0
2026-03-02,36.39,36.5,36.13,36.39,36.39,682278,0.0000,1.0
2026-03-03,35.52,35.8,35.22,35.6,35.6,1848068,0.0000,1.0
2026-03-04,35.97,36.15,35.82,35.97,35.97,500329,0.0000,1.0
2026-03-05,35.35,35.715,35.23,35.58,35.58,1563886,0.0000,1.0
2026-03-06,35.41,35.653,35.301,35.63,35.63,437130,0.0000,1.0
2026-03-09,35.34,35.94,35.14,35.9,35.9,437270,0.0000,1.0
2026-03-10,36.11,36.38,36.03,36.08,36.08,977462,0.0000,1.0
2026-03-11,35.89,36.16,35.75,36.12,36.12,490335,0.0000,1.0
2026-03-12,35.85,35.8821,35.545,35.57,35.57,597703,0.0000,1.0
2026-03-13,35.46,35.58,34.768,34.82,34.82,872177,0.0000,1.0
2026-03-16,35.46,35.78,35.4,35.69,35.69,823907,0.0000,1.0
2026-03-17,35.36,35.4205,35.07,35.21,35.21,530606,0.0000,1.0
2026-03-18,34.1,34.28,33.59,33.65,33.65,1542010,0.0000,1.0
2026-03-19,32.8,33.8159,32.7,33.72,33.72,2924172,0.0000,1.0
2026-03-20,33.11,33.18,32.305,32.35,32.35,1257859,0.0000,1.0
2026-03-23,33.2,33.865,33.18,33.53,33.53,823941,0.0000,1.0
2026-03-24,33.06,33.445,33.01,33.35,33.35,347607,0.0000,1.0
2026-03-25,33.785,34.17,33.69,33.79,33.79,383240,0.0000,1.0
2026-03-26,33.69,33.855,33.29,33.33,33.33,303256,0.0000,1.0
2026-03-27,33.53,33.805,33.385,33.45,33.45,717396,0.0000,1.0
2026-03-30,33.66,33.758,33.44,33.59,33.59,516370,0.0000,1.0
2026-03-31,33.81,34.44,33.81,34.43,34.43,864185,0.0000,1.0
2026-04-01,34.32,34.535,34.1965,34.34,34.34,1142892,0.0000,1.0
2026-04-02,33.88,34.96,33.84,34.37,34.37,1956475,0.0000,1.0
2026-04-06,34.38,34.41,34.09,34.3,34.3,313434,0.0000,1.0
2026-04-07,34.21,34.2267,33.845,34.08,34.08,540073,0.0000,1.0
2026-04-08,35.23,35.37,35.03,35.25,35.25,654097,0.0000,1.0
2026-04-09,35.14,35.35,35.05,35.21,35.21,510768,0.0000,1.0
2026-04-10,36.06,36.31,35.86,35.87,35.87,900835,0.0000,1.0
2026-04-13,35.92,36.86,35.87,36.79,36.79,644989,0.0000,1.0
2026-04-14,37.1,37.3,37.0749,37.26,37.26,763446,0.0000,1.0
2026-04-15,37.28,37.32,37.12,37.26,37.26,486874,0.0000,1.0
2026-04-16,37.29,37.31,36.91,36.94,36.94,628291,0.0000,1.0
2026-04-17,37.01,37.5,37.01,37.29,37.29,898155,0.0000,1.0
2026-04-20,37.11,37.18,36.93,37.01,37.01,720357,0.0000,1.0
2026-04-21,37.02,37.2,36.53,36.56,36.56,439360,0.0000,1.0
2026-04-22,37.11,37.66,37.05,37.6,37.6,569333,0.0000,1.0
2026-04-23,37.21,37.41,36.78,36.96,36.96,834011,0.0000,1.0
2026-04-24,36.92,37.049,36.86,36.94,36.94,751329,0.0000,1.0
2026-04-27,36.87,36.98,36.7,36.93,36.93,397512,0.0000,1.0
2026-04-28,36.26,36.34,36.141,36.24,36.24,941805,0.0000,1.0
2026-04-29,36.16,36.24,35.83,35.97,35.97,483545,0.0000,1.0
2026-04-30,36.22,36.56,36.08,36.53,36.53,543663,0.0000,1.0
2026-05-01,36.23,36.53,36.2,36.23,36.23,483474,0.0000,1.0
2026-05-04,35.79,35.9299,35.33,35.58,35.58,748272,0.0000,1.0
2026-05-05,36.43,36.525,36.28,36.33,36.33,442126,0.0000,1.0
