date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2011-12-30,25.2000,25.9700,23.2745,24.5000,24.5000,23842,0.0000
2012-01-31,24.9500,27.7400,24.3500,27.2000,27.2000,36544,0.0000
2012-02-29,27.1965,28.2500,26.4600,27.2300,27.2300,25493,0.0000
2012-03-30,27.7730,27.7730,26.5208,27.1320,27.1320,21526,0.0000
2012-04-30,27.6200,28.0000,25.4460,26.9591,26.9591,8048,0.0000
2012-05-31,26.9901,27.0160,23.5300,23.7060,23.7060,13858,0.0000
2012-06-29,23.3800,24.0000,23.1400,23.5199,23.5199,12404,0.0000
2012-07-31,23.5199,24.5600,23.5199,24.1971,24.1971,19296,0.0000
2012-08-31,24.1971,24.4389,23.3400,24.2000,24.2000,18707,0.0000
2012-09-28,24.3600,26.6700,23.0700,25.8776,25.8776,13546,0.0000
2012-10-31,25.8776,26.2399,24.6500,24.6500,24.6500,4379,0.0000
2012-11-30,25.1000,25.3000,24.0500,25.2500,25.2500,2452,0.0000
2012-12-31,26.1400,26.1400,24.6200,25.0127,25.0127,6505,0.0000
2013-01-31,26.0700,26.5000,25.1999,26.1600,26.1600,22125,0.0000
2013-02-28,26.2500,26.3800,24.6500,24.8260,24.8260,9174,0.0000
2013-03-28,24.4078,25.1460,23.6200,23.6800,23.6800,33677,0.0000
2013-04-30,23.6800,23.8599,21.3667,21.9999,21.9999,45953,0.0000
2013-05-31,21.2600,23.3900,21.1700,22.6900,22.6900,50005,0.0000
2013-06-28,22.8201,23.4900,20.6600,21.1000,21.1000,26449,0.0000
2013-07-31,22.1900,22.1900,20.7900,21.3352,21.3352,21215,0.0000
2013-08-30,21.7200,22.8900,21.7000,22.0699,22.0699,36708,0.0000
2013-09-30,22.5800,22.7000,21.6300,22.4401,22.4401,111379,0.0000
2013-10-31,22.4401,22.5800,22.1301,22.5090,22.5090,24400,0.0000
2013-11-29,22.5090,22.5090,21.2400,21.8500,21.8500,10020,0.0000
2013-12-31,21.6000,24.9600,21.4000,22.8999,22.8999,19752,0.0000
2014-01-31,22.8799,22.8799,21.2300,21.4600,21.4600,16897,0.0000
2014-02-28,21.3600,22.1000,21.3600,21.5222,21.5222,8291,0.0000
2014-03-31,21.0000,24.2600,19.6000,20.5390,20.5390,127384,0.0000
2014-04-30,20.5300,21.1700,20.0000,20.4500,20.4500,36262,0.0000
2014-05-30,20.4500,21.4800,20.4275,21.0900,21.0900,34226,0.0000
2014-06-30,21.0900,21.4300,20.3000,21.4300,21.4300,22766,0.0000
2014-07-31,21.6500,22.4500,21.5200,21.9600,21.9600,125163,0.0000
2014-08-29,21.7600,22.0100,20.9100,21.6276,21.6276,84649,0.0000
2014-09-30,21.4100,21.4100,20.0300,20.3000,20.3000,136405,0.0000
2014-10-31,20.3000,20.8501,20.0500,20.5100,20.5100,37075,0.0000
2014-11-28,20.5500,20.6100,19.3100,19.3100,19.3100,21980,0.0000
2014-12-31,19.4200,19.7900,18.3100,19.0156,19.0156,13867,0.0000
2015-01-30,18.9900,19.0200,16.6500,16.6800,16.6800,26987,0.0000
2015-02-27,16.6800,18.5599,16.6800,17.9801,17.9801,17903,0.0000
2015-03-31,17.9801,19.4700,17.4000,18.5900,18.5900,17581,0.0000
2015-04-30,18.4281,19.5000,17.9710,19.3700,19.3700,16215,0.0000
2015-05-29,19.7200,19.8535,18.5000,18.5000,18.5000,10538,0.0000
2015-06-30,18.5000,19.3040,16.9561,17.6870,17.6870,8688,0.0000
2015-07-31,17.7200,17.8900,15.8500,16.1519,16.1519,26168,0.0000
2015-08-31,15.8470,16.0400,14.9700,15.7399,15.7399,27516,0.0000
2015-09-30,15.4977,16.6500,14.5000,15.6000,15.6000,43573,0.0000
2015-10-30,15.3676,16.9700,15.3075,15.4101,15.4101,7017,0.0000
2015-11-30,15.4000,15.6700,13.0000,13.6888,13.6888,20355,0.0000
2015-12-31,13.7500,14.2790,13.5896,14.2700,14.2700,33698,0.0000
2016-01-29,14.5000,14.5900,12.9699,13.6200,13.6200,22137,0.0000
2016-02-29,13.6100,14.3800,13.2200,14.0900,14.0900,92977,0.0000
2016-03-31,14.2900,15.4700,14.2900,14.5270,14.5270,74695,0.0000
2016-04-29,14.4620,15.2200,13.7500,15.0601,15.0601,48718,0.0000
2016-05-31,15.0690,15.0690,13.5600,13.9150,13.9150,36584,0.0000
2016-06-30,13.6800,14.5004,13.3900,14.5000,14.5000,57346,0.0000
2016-07-29,14.5000,15.0299,13.7453,14.6149,14.6149,74933,0.0000
2016-08-31,14.8900,14.8900,13.0000,13.7000,13.7000,117859,0.0000
2016-09-30,13.7000,14.5000,13.5601,14.5000,14.5000,42810,0.0000
2016-10-31,14.8500,14.8500,13.7000,14.4500,14.4500,45168,0.0000
2016-11-30,14.5637,19.0000,14.4900,16.8900,16.8900,381437,0.0000
2016-12-30,17.7300,17.9502,16.1300,16.3500,16.3500,75399,0.0000
2017-01-31,16.8400,18.0000,16.0001,17.7800,17.7800,231894,0.0000
2017-02-28,17.8200,18.7000,17.0100,17.5900,17.5900,180383,0.0000
2017-03-31,17.9400,17.9400,15.9500,17.3100,17.3100,427004,0.0000
2017-04-28,17.3000,17.5700,16.3700,16.9000,16.9000,82518,0.0000
2017-05-31,16.9200,17.3000,16.0800,16.7600,16.7600,173183,0.0000
2017-06-30,16.7800,17.4600,16.0000,17.4600,17.4600,185560,0.0000
2017-07-31,17.4100,18.7000,17.0200,18.6400,18.6400,179942,0.0000
2017-08-31,18.6500,20.0000,18.5000,19.8000,19.8000,103036,0.0000
2017-09-29,19.8700,20.2800,18.6600,18.9500,18.9500,94161,0.0000
2017-10-31,18.9400,20.8100,18.9300,19.9000,19.9000,56501,0.0000
2017-11-30,20.1400,20.5600,19.5700,19.6600,19.6600,166838,0.0000
2017-12-29,19.6300,21.2586,18.8050,21.0591,21.0591,277604,0.0000
2018-01-31,21.0700,21.0700,19.8690,20.4500,20.4500,85258,0.0000
2018-02-28,20.4400,20.8533,19.4700,19.9600,19.9600,320463,0.0000
2018-03-29,19.7500,20.2800,18.9650,19.1952,19.1952,145713,0.0000
2018-04-30,19.4900,20.2200,19.1700,19.5000,19.5000,69818,0.0000
2018-05-31,19.2800,19.7800,19.1700,19.5500,19.5500,68854,0.0000
2018-06-29,19.5800,21.0000,18.6500,18.7111,18.7111,254268,0.0000
2018-07-31,18.5700,18.5800,17.0100,17.8979,17.8979,460522,0.0000
2018-08-31,17.4600,17.6300,16.2000,16.7212,16.7212,281318,0.0000
2018-09-28,16.2900,17.9700,16.2000,17.5800,17.5800,215858,0.0000
2018-10-31,17.3500,17.9054,16.6584,16.6800,16.6800,177520,0.0000
2018-11-30,16.8000,17.6600,16.2379,17.4200,17.4200,232045,0.0000
2018-12-31,17.8100,17.8100,16.4300,16.4441,16.4441,226237,0.0000
2019-01-31,16.2600,17.4720,15.9400,17.3700,17.3700,243590,0.0000
2019-02-28,17.4500,18.6000,17.2600,18.4085,18.4085,254626,0.0000
2019-03-29,18.5700,18.5700,17.7500,18.3194,18.3194,466948,0.0000
2019-04-30,18.4000,18.7599,17.9200,18.1850,18.1850,274840,0.0000
2019-05-31,17.8400,17.8400,16.4600,16.4700,16.4700,333119,0.0000
2019-06-28,16.5700,17.1900,16.2500,16.9600,16.9600,206911,0.0000
2019-07-31,16.9400,17.4800,16.3600,16.6951,16.6951,228926,0.0000
2019-08-30,16.6600,16.7380,15.8300,16.0000,16.0000,197228,0.0000
2019-09-30,15.7000,16.9200,15.6390,16.1250,16.1250,129607,0.0000
2019-10-31,15.9000,16.8800,15.8000,16.5354,16.5354,98157,0.0000
2019-11-29,16.5900,17.1001,16.4650,16.6520,16.6520,182455,0.0000
2019-12-31,16.6400,17.8950,16.4500,17.5400,17.5400,217807,0.0000
2020-01-31,17.5300,18.0500,15.7600,15.7800,15.7800,240844,0.0000
2020-02-28,15.8256,16.5000,15.6607,15.8800,15.8800,527980,0.0000
2020-03-31,16.0400,16.3600,12.8700,13.8600,13.8600,333634,0.0000
2020-04-30,13.5000,15.3400,13.4800,14.9500,14.9500,288784,0.0000
2020-05-29,14.9400,15.7900,14.5000,15.5100,15.5100,333973,0.0000
2020-06-30,15.3800,17.0700,15.2942,17.0700,17.0700,584735,0.0000
2020-07-31,17.1500,18.6500,16.9900,17.9500,17.9500,1254368,0.0000
2020-08-31,18.1900,19.0000,17.3350,18.9600,18.9600,3234096,0.0000
2020-09-30,19.0400,19.3190,18.0138,18.7000,18.7000,1243581,0.0000
2020-10-30,18.3500,19.9209,17.7000,18.9200,18.9200,788415,0.0000
2020-11-30,18.9500,21.5800,18.9300,21.3300,21.3300,1251028,0.0000
2020-12-31,21.7100,22.5500,21.2500,21.7320,21.7320,2486023,0.0000
2021-01-29,22.3500,22.9700,21.7549,21.9100,21.9100,2691949,0.0000
2021-02-26,21.9800,26.8500,21.6200,25.1000,25.1000,5271343,0.0000
2021-03-31,25.5000,26.0400,23.6900,24.6200,24.6200,7357266,0.0000
2021-04-30,24.6800,27.8900,24.4801,27.4300,27.4300,5640927,0.0000
2021-05-28,27.7000,29.6000,27.5600,28.8500,28.8500,12072837,0.0000
2021-06-30,28.6900,28.9500,25.4600,26.2300,26.2300,7487461,0.0000
2021-07-30,26.3900,28.2000,25.5600,27.3800,27.3800,5385846,0.0000
2021-08-31,27.6000,27.6528,24.6000,26.7000,26.7000,3954374,0.0000
2021-09-30,26.1700,27.3600,24.6000,25.0500,25.0500,5096938,0.0000
2021-10-29,25.4500,29.2300,25.2657,26.8400,26.8400,6658390,0.0000
2021-11-30,26.7100,27.3955,25.6300,26.2100,26.2100,5678132,0.0000
2021-12-31,26.1600,27.4200,25.1300,27.2100,27.2100,3203997,0.0000
2022-01-31,26.6600,28.0800,26.1000,26.5000,26.5000,2776232,0.0000
2022-02-28,26.9900,28.6800,26.8600,27.4000,27.4000,1789817,0.0000
2022-03-31,27.8300,30.1200,27.1600,28.7100,28.7100,5646947,0.0000
2022-04-29,28.6200,29.4118,26.4500,26.4500,26.4500,4855193,0.0000
2022-05-31,25.8100,26.5100,24.5100,25.9700,25.9700,2978248,0.0000
2022-06-30,26.2800,27.6400,22.0230,22.2200,22.2200,3317869,0.0000
2022-07-29,21.7900,21.9300,19.1135,21.7000,21.7000,3729494,0.0000
2022-08-31,21.4400,22.9400,20.6400,21.1300,21.1300,2174916,0.0000
2022-09-30,20.8000,21.7771,19.6800,20.4500,20.4500,1818866,0.0000
2022-10-31,20.3400,21.4600,19.9600,20.3500,20.3500,2978171,0.0000
2022-11-30,21.0600,23.8200,20.4500,22.8200,22.8200,2260762,0.0000
2022-12-30,22.8500,23.6930,22.6600,23.0900,23.0900,2570676,0.0000
2023-01-31,23.0700,26.3800,22.5388,25.6400,25.6400,5132788,0.0000
2023-02-28,25.3200,25.6395,24.0300,24.8400,24.8400,2708074,0.0000
2023-03-31,25.1800,25.4200,23.2900,24.9400,24.9400,1991764,0.0000
2023-04-28,24.9400,25.5972,23.4209,23.8500,23.8500,1452435,0.0000
2023-05-31,24.0000,24.4800,21.8800,22.6200,22.6200,1218414,0.0000
2023-06-30,22.7500,24.2000,22.6801,23.2000,23.2000,1245196,0.0000
2023-07-31,23.3300,24.8895,22.9466,24.8200,24.8200,1898485,0.0000
2023-08-31,24.3900,24.4400,22.6186,23.5400,23.5400,2558937,0.0000
2023-09-29,23.9300,23.9900,22.4200,23.0200,23.0200,1425568,0.0000
2023-10-31,22.7000,22.9000,21.9533,22.7000,22.7000,1154149,0.0000
2023-11-30,22.7600,23.9000,22.3800,23.8000,23.8000,973985,0.0000
2023-12-29,24.0500,24.5800,23.0700,24.1400,24.1400,1873407,0.0000
2024-01-31,23.9900,24.5000,23.1000,24.1900,24.1900,1479230,0.0000
2024-02-29,23.9000,24.3300,22.8100,23.8900,23.8900,2002827,0.0000
2024-03-28,23.8800,25.9400,23.8100,25.1200,25.1200,3681300,0.0000
2024-04-30,25.4900,29.1400,25.3088,28.3100,28.3100,4395596,0.0000
2024-05-31,28.2100,31.6300,27.8300,28.4200,28.4200,6210449,0.0000
2024-06-28,28.7600,28.8599,26.9200,27.2100,27.2100,3863328,0.0000
2024-07-31,27.5700,28.8000,25.2925,26.2200,26.2200,4199381,0.0000
2024-08-30,26.0500,26.8750,24.7000,26.3100,26.3100,2763639,0.0000
2024-09-30,25.5400,29.0200,25.3118,28.3500,28.3500,2208891,0.0000
2024-10-31,28.6600,29.1600,27.0800,27.3600,27.3600,3345944,0.0000
2024-11-29,27.5700,28.1867,25.5440,25.8000,25.8000,2590701,0.0000
2024-12-31,25.7700,26.7600,25.1000,25.1600,25.1600,1447753,0.0000
2025-01-31,25.1600,27.8000,25.1200,26.8500,26.8500,2177535,0.0000
2025-02-28,26.8400,30.1825,26.7578,28.3800,28.3800,2510906,0.0000
2025-03-31,28.9300,33.1100,28.2748,31.6000,31.6000,4839588,0.0000
2025-04-30,31.6000,31.7399,25.6505,28.5400,28.5400,4576081,0.0000
2025-05-30,28.9100,30.4999,28.4500,29.3600,29.3600,3070791,0.0000
2025-06-30,30.4400,31.9177,29.6901,31.6400,31.6400,3526272,0.0000
2025-07-31,32.0000,36.6900,27.0800,27.4500,27.4500,11291609,0.0000
2025-08-29,27.5000,28.2200,27.1600,28.1300,28.1300,6825729,0.0000
2025-09-30,28.0800,30.3400,27.8500,30.0000,30.0000,7377148,0.0000
2025-10-31,29.8700,32.6200,29.8007,31.5300,31.5300,13592738,0.0000
2025-11-28,31.5400,32.4300,30.4850,32.2800,32.2800,7978472,0.0000
2025-12-31,32.5700,36.0900,32.0300,34.9600,34.9600,15755635,0.0000
2026-01-30,35.1200,40.4400,34.7600,36.4300,36.4300,44250334,0.0000
2026-02-27,35.6800,37.5200,34.6400,36.8800,36.8800,22079541,0.0000
2026-03-26,36.39,36.5,32.305,33.33,33.33,17342091,0.0
2026-03-31,36.3900,36.5000,32.3050,34.4300,34.4300,19441187,0.0000
2026-04-17,34.3200,37.5000,33.8400,37.2900,37.2900,9440329,0.0000
