date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,22.51,22.6,22.405,22.53,21.8052364032471,528717,0.0,1.0
2025-11-24,22.45,22.66,22.4,22.64,21.911697832646,516255,0.0,1.0
2025-11-25,22.47,22.56,22.365,22.52,21.7955580914836,224622,0.0,1.0
2025-11-26,22.57,22.785,22.57,22.76,22.0278375738085,983463,0.0,1.0
2025-11-28,22.94,23.09,22.922,23.06,22.3181869267146,236096,0.0,1.0
2025-12-01,23.11,23.155,23.0715,23.12,22.3762567972958,679904,0.0,1.0
2025-12-02,23.07,23.12,22.98,23.02,22.2794736796604,525035,0.0,1.0
2025-12-03,23.15,23.195,23.0712,23.13,22.3859351090593,140776,0.0,1.0
2025-12-04,23.12,23.22,23.0535,23.19,22.4440049796405,195747,0.0,1.0
2025-12-05,23.3,23.44,23.3,23.33,22.57950134433,502740,0.0,1.0
2025-12-08,23.17,23.19,23.04,23.04,22.2988303031875,782680,0.0,1.0
2025-12-09,23.03,23.04,22.95,22.99,22.2504387443698,294671,0.0,1.0
2025-12-10,22.98,23.16,22.93,23.13,22.3859351090593,387553,0.0000,1.0
2025-12-11,22.95,23.115,22.95,23.11,22.3665784855322,534913,0.0000,1.0
2025-12-12,23.12,23.12,22.86,22.92,22.1826905620251,425856,0.0000,1.0
2025-12-15,22.88,22.9,22.73,22.81,22.0762291326262,252667,0.0000,1.0
2025-12-16,22.65,22.68,22.56,22.58,21.8536279620648,392547,0.0000,1.0
2025-12-17,22.74,22.86,22.705,22.85,22.1149423796803,504025,0.0000,1.0
2025-12-18,22.79,22.84,22.67,22.69,21.9600893914637,211506,0.0000,1.0
2025-12-19,22.77,22.8801,22.72,22.85,22.1149423796803,282655,0.0000,1.0
2025-12-22,22.38,22.405,22.335,22.39,22.39,511634,0.7442,1.0
2025-12-23,22.48,22.645,22.415,22.64,22.64,642474,0.0000,1.0
2025-12-24,22.67,22.67,22.56,22.63,22.63,362828,0.0000,1.0
2025-12-26,22.71,22.76,22.625,22.7,22.7,686632,0.0000,1.0
2025-12-29,22.59,22.61,22.47,22.49,22.49,539425,0.0000,1.0
2025-12-30,22.72,22.725,22.615,22.64,22.64,597569,0.0000,1.0
2025-12-31,22.52,22.56,22.345,22.36,22.36,931406,0.0000,1.0
2026-01-02,22.39,22.42,22.2945,22.39,22.39,825363,0.0000,1.0
2026-01-05,22.63,22.82,22.63,22.81,22.81,860101,0.0000,1.0
2026-01-06,22.94,22.9756,22.7771,22.8,22.8,581850,0.0000,1.0
2026-01-07,22.71,22.71,22.51,22.59,22.59,660034,0.0000,1.0
2026-01-08,22.61,22.9,22.5981,22.88,22.88,776577,0.0000,1.0
2026-01-09,22.97,23.06,22.89,22.9,22.9,220537,0.0000,1.0
2026-01-12,23.06,23.245,23.055,23.19,23.19,320991,0.0000,1.0
2026-01-13,23.35,23.465,23.2985,23.37,23.37,826236,0.0000,1.0
2026-01-14,23.57,23.65,23.26,23.39,23.39,1316504,0.0000,1.0
2026-01-15,23.18,23.31,23.12,23.2,23.2,490532,0.0000,1.0
2026-01-16,23.2,23.235,23.09,23.16,23.16,506880,0.0000,1.0
2026-01-20,23.51,23.59,23.4493,23.48,23.48,426515,0.0000,1.0
2026-01-21,23.78,23.785,23.645,23.75,23.75,693409,0.0000,1.0
2026-01-22,23.72,23.76,23.65,23.74,23.74,409448,0.0000,1.0
2026-01-23,24.05,24.2,24.05,24.18,24.18,890598,0.0000,1.0
2026-01-26,24.35,24.4975,24.185,24.29,24.29,749098,0.0000,1.0
2026-01-27,24.3,24.625,24.23,24.62,24.62,927384,0.0000,1.0
2026-01-28,24.77,24.965,24.705,24.94,24.94,557417,0.0000,1.0
2026-01-29,25.67,25.687,24.77,25.3,25.3,1001618,0.0000,1.0
2026-01-30,24.79,24.8644,23.945,24.43,24.43,2266805,0.0000,1.0
2026-02-02,23.66,23.76,23.39,23.54,23.54,3064343,0.0000,1.0
2026-02-03,23.97,24.165,23.87,24.15,24.15,1163495,0.0000,1.0
2026-02-04,24.18,24.265,23.93,24.19,24.19,1310352,0.0000,1.0
2026-02-05,23.86,24.005,23.64,23.76,23.76,916089,0.0000,1.0
2026-02-06,23.84,24.145,23.83,24.01,24.01,913122,0.0000,1.0
2026-02-09,23.98,24.29,23.97,24.25,24.25,630402,0.0000,1.0
2026-02-10,24.23,24.23,24.03,24.14,24.14,383488,0.0000,1.0
