ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-30,2026-03-27,2026-03-30,2026-03-31,0.1186
2025-12-30,2025-12-29,2025-12-30,2025-12-31,1.168
2025-09-29,2025-09-26,2025-09-29,2025-09-30,0.1411
2025-06-27,2025-06-26,2025-06-27,2025-06-30,0.1714
2025-03-27,2025-03-26,2025-03-27,2025-03-31,0.1789
2024-12-27,2024-12-26,2024-12-27,2024-12-30,0.8409
2024-09-27,2024-09-26,2024-09-27,2024-09-30,0.2507
2024-06-27,2024-06-26,2024-06-27,2024-06-28,0.254
2024-03-26,,,,0.1573
2023-12-27,2023-12-26,2023-12-28,2023-12-29,0.7496
2022-12-28,2022-12-27,2022-12-29,2022-12-30,2.2474
2021-12-30,2021-12-29,2021-12-31,2022-01-03,2.6772
2020-12-29,2020-12-28,2020-12-30,2020-12-31,0.2024
2020-03-27,2020-03-26,2020-03-30,2020-03-31,0.0174
2019-12-27,,,,2.29
2019-09-27,,,,0.047
2019-06-27,,,,0.03
