ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-17,2025-09-05,2026-03-17,2026-03-20,0.331063
2025-12-16,2024-07-05,2025-12-16,2025-12-19,0.447036
2025-09-16,2024-07-05,2025-09-16,2025-09-19,0.368971
2025-06-16,2024-07-05,2025-06-16,2025-06-20,0.323707
2025-03-18,2024-07-05,2025-03-18,2025-03-21,0.310928
2024-12-17,2023-12-07,2024-12-17,2024-12-20,0.378041
2024-09-25,2023-12-07,2024-09-25,2024-09-30,0.403081
2024-06-11,2023-12-07,2024-06-11,2024-06-17,0.293226
2024-03-21,2023-12-07,2024-03-22,2024-03-27,0.310737
2023-12-20,2022-11-25,2023-12-21,2023-12-27,0.3701
2023-09-26,2022-11-25,2023-09-27,2023-10-02,0.388206
2023-06-07,2022-11-25,2023-06-08,2023-06-13,0.259704
2023-03-23,2022-11-25,2023-03-24,2023-03-29,0.29805
2022-12-13,2021-12-13,2022-12-14,2022-12-19,0.328989
2022-09-26,2021-12-13,2022-09-27,2022-09-30,0.342276
2022-06-09,2021-12-13,2022-06-10,2022-06-15,0.234683
2022-03-24,2021-12-13,2022-03-25,2022-03-30,0.261991
2021-12-13,2020-12-30,2021-12-14,2021-12-17,0.298984
2021-09-24,2020-12-30,2021-09-27,2021-09-30,0.250034
2021-06-10,2020-12-30,2021-06-11,2021-06-16,0.260567
2021-03-25,2020-12-30,2021-03-26,2021-03-31,0.262177
2020-12-14,2019-12-12,2020-12-15,2020-12-18,0.272722
2020-09-23,2019-12-12,2020-09-24,2020-09-29,0.260527
2020-06-15,2019-12-12,2020-06-16,2020-06-19,0.248771
2020-03-25,2019-12-12,2020-03-26,2020-03-31,0.246777
2019-12-16,,,,0.23496
2019-09-24,,,,0.250079
2019-06-17,,,,0.227691
2019-03-20,,,,0.217888
2018-12-17,,,,0.200204
2018-09-26,,,,0.227563
2018-06-26,,,,0.190633
2018-03-22,,,,0.191902
2017-12-19,,,,0.194021
2017-09-26,,,,0.164915
2017-06-27,,,,0.185905
2017-03-24,,,,0.160628
2016-12-21,,,,0.151833
2016-09-26,,,,0.175475
2016-06-21,,,,0.171397
2016-03-23,,,,0.157888
2015-12-29,,,,0.011283
2015-12-24,,,,0.136086
2015-09-25,,,,0.162938
2015-06-24,,,,0.169337
2015-03-25,,,,0.167648
2014-12-24,,,,0.088709
2014-09-24,,,,0.169024
