ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-26,2025-12-08,2026-03-26,2026-03-30,0.17
2026-02-24,2025-12-08,2026-02-24,2026-02-26,0.055
2026-01-27,,,,0.025
2025-12-26,2024-11-16,2025-12-26,2025-12-30,0.2327
2025-11-24,2024-11-16,2025-11-24,2025-11-26,0.09
2025-10-28,2025-10-27,2025-10-28,2025-10-30,0.035
2025-09-25,2024-11-16,2025-09-25,2025-09-29,0.185
2025-08-26,2024-11-16,2025-08-26,2025-08-28,0.085
2025-07-28,2024-11-16,2025-07-28,2025-07-30,0.05
2025-06-25,2024-11-16,2025-06-25,2025-06-27,0.175
2025-05-27,,,,0.065
2025-04-25,2024-11-16,2025-04-25,2025-04-29,0.09
2025-03-26,2024-11-16,2025-03-26,2025-03-28,0.155
2025-02-25,2024-11-16,2025-02-25,2025-02-27,0.11
2025-01-28,2024-11-16,2025-01-28,2025-01-30,0.00304
2024-12-31,2024-12-30,2024-12-31,2025-01-03,0.04072
2024-12-26,2023-12-26,2024-12-26,2024-12-30,0.15525
2024-11-25,2023-12-26,2024-11-25,2024-11-27,0.1
2024-10-28,2023-12-26,2024-10-28,2024-10-30,0.075
2024-09-25,2023-12-26,2024-09-25,2024-09-27,0.145
2024-08-27,2023-12-26,2024-08-27,2024-08-29,0.105
2024-07-26,2023-12-26,2024-07-26,2024-07-30,0.06
2024-06-25,2023-12-26,2024-06-25,2024-06-27,0.18
2024-05-24,2023-12-26,2024-05-28,2024-05-30,0.07
2024-04-24,2023-12-26,2024-04-25,2024-04-29,0.065
2024-03-22,2023-12-26,2024-03-25,2024-03-27,0.17
2024-02-23,2023-12-26,2024-02-26,2024-02-28,0.08
2024-01-25,2023-12-26,2024-01-26,2024-01-30,0.005
2023-12-22,2022-12-09,2023-12-26,2023-12-28,0.215
2023-11-24,2022-12-09,2023-11-27,2023-11-29,0.1
2023-10-25,2022-12-09,2023-10-26,2023-10-30,0.05
2023-09-25,2022-12-09,2023-09-26,2023-09-28,0.155
2023-08-25,2022-12-09,2023-08-28,2023-08-30,0.085
2023-07-25,2022-12-09,2023-07-26,2023-07-28,0.08
2023-06-26,2022-12-09,2023-06-27,2023-06-29,0.12
2023-05-24,2022-12-09,2023-05-25,2023-05-30,0.125
2023-04-24,2022-12-09,2023-04-25,2023-04-27,0.04
2023-03-27,2022-12-09,2023-03-28,2023-03-30,0.19
2023-02-22,2022-12-09,2023-02-23,2023-02-27,0.06
2023-01-25,2022-12-09,2023-01-26,2023-01-30,0.005
2022-12-23,2022-12-22,2022-12-27,2022-12-29,0.23017
2022-11-23,2022-11-22,2022-11-25,2022-11-29,0.075
2022-10-25,2022-10-24,2022-10-26,2022-10-28,0.055
2022-09-26,2022-09-23,2022-09-27,2022-09-29,0.185
2022-08-25,2022-08-24,2022-08-26,2022-08-30,0.1
2022-07-25,2022-07-22,2022-07-26,2022-07-28,0.065
2022-06-24,2022-06-23,2022-06-27,2022-06-29,0.19
2022-05-24,2022-05-23,2022-05-25,2022-05-27,0.07
2022-04-25,2022-04-22,2022-04-26,2022-04-28,0.095
2022-03-25,2022-03-24,2022-03-28,2022-03-30,0.145
2022-02-22,,,,0.075
2022-01-25,2022-01-24,2022-01-26,2022-01-28,0.015
2021-12-27,2021-12-23,2021-12-28,2021-12-30,0.20349
2021-11-23,2021-11-22,2021-11-24,2021-11-29,0.075
2021-10-25,2021-10-22,2021-10-26,2021-10-28,0.065
2021-09-24,2021-09-23,2021-09-27,2021-09-29,0.15
2021-08-25,2021-08-24,2021-08-26,2021-08-30,0.075
2021-07-26,2021-07-23,2021-07-27,2021-07-29,0.065
2021-06-24,2021-01-13,2021-06-25,2021-06-29,0.155
2021-05-24,2021-01-13,2021-05-25,2021-05-27,0.06
2021-04-26,2021-01-13,2021-04-27,2021-04-29,0.09
2021-03-25,2021-01-13,2021-03-26,2021-03-30,0.12526
2021-02-22,2021-01-13,2021-02-23,2021-02-25,0.065
2021-01-25,2021-01-13,2021-01-26,2021-01-28,0.045
2020-12-30,2020-12-29,2020-12-31,2021-01-05,0.01765
2020-12-21,2020-12-18,2020-12-22,2020-12-24,0.155
2020-11-23,2020-11-20,2020-11-24,2020-11-27,0.065
2020-10-27,2020-10-26,2020-10-28,2020-10-30,0.105
2020-09-22,2020-09-21,2020-09-23,2020-09-25,0.07
2020-08-25,2020-08-24,2020-08-26,2020-08-28,0.07
2020-07-28,2020-07-27,2020-07-29,2020-07-31,0.055
2020-06-23,2020-06-22,2020-06-24,2020-06-26,0.12
