date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2013-06-28,24.5900,24.9800,23.6043,24.1700,18.7419,902700,0.0380
2013-07-31,24.4900,25.4700,24.1400,25.2200,19.5856,1039500,0.0380
2013-08-30,25.5000,28.6600,24.5256,24.5799,19.1175,1029300,0.0380
2013-09-30,24.6300,26.0300,24.5200,25.2900,19.6989,562900,0.0380
2013-10-31,25.4800,26.7000,24.8801,26.4300,20.6169,913500,0.0380
2013-11-29,26.4300,27.4299,26.4100,27.3500,21.3645,669500,0.0380
2013-12-31,27.3500,27.9000,26.4500,27.8629,21.8171,986500,0.0657
2014-01-31,27.7700,27.8500,26.1400,26.5200,20.7951,877200,0.0380
2014-02-28,26.3900,27.6820,25.8100,27.6100,21.6798,574400,0.0380
2014-03-31,27.4000,28.0100,27.2520,27.9900,22.0085,472000,0.0380
2014-04-30,28.1200,28.2999,27.2000,28.2653,22.2547,398600,0.0375
2014-05-30,28.1800,28.7300,27.9600,28.7300,22.6490,417500,0.0356
2014-06-30,28.6400,29.2380,28.6200,29.0300,22.9233,359200,0.0480
2014-07-31,29.0000,29.5000,28.5500,28.5900,22.6128,412600,0.0480
2014-08-29,28.5106,29.6800,28.3000,29.6300,23.4750,490000,0.0500
2014-09-30,29.7000,29.9700,29.0900,29.2600,23.2367,372748,0.0700
2014-10-31,29.1600,30.1500,27.3500,30.0500,23.8826,1999443,0.0226
2014-11-28,30.1300,31.2799,29.8815,31.1700,24.8219,1774789,0.0615
2014-12-31,31.3100,31.5300,29.7900,31.0900,24.8136,3089579,0.0698
2015-01-30,31.0600,31.3100,29.9400,30.0100,23.9638,5610921,0.0158
2015-02-27,30.0100,32.0800,29.7800,31.8700,25.5021,1619163,0.0665
2015-03-31,31.9400,32.0900,30.8700,31.2900,25.0880,2271133,0.0634
2015-04-30,31.2500,32.0900,30.9140,31.4800,25.2562,1474617,0.0199
2015-05-29,31.5100,32.2800,31.2400,31.7500,25.5201,1553398,0.0594
2015-06-30,31.9400,32.0689,30.9000,31.0300,24.9995,1788341,0.0745
2015-07-31,31.2900,31.8200,30.5300,31.2800,25.2254,2847146,0.0297
2015-08-31,31.3300,31.3399,25.5000,29.3000,23.6790,3849272,0.0600
2015-09-30,28.7900,30.1600,27.9500,28.6200,23.1926,2166513,0.0800
2015-10-30,28.6500,31.4999,28.2400,31.1400,25.2585,2982985,0.0293
2015-11-30,31.2400,31.7000,30.1300,31.1500,25.3189,3757995,0.0645
2015-12-31,31.2500,31.4000,29.7887,30.3500,24.7496,5271056,0.0983
2016-01-29,29.9300,30.0600,27.2400,28.9300,23.6122,3956000,0.0246
