date,open,high,low,close,volume
2025-05-04,0.52308,0.53196,0.51658,0.52206,389661.82
2025-05-05,0.52069,0.5253,0.50671,0.51242,547922.94
2025-05-06,0.51221,0.51574,0.48202,0.49846,1254419.31
2025-05-07,0.4988,0.51349,0.47762,0.48696,2025105.87
2025-05-08,0.48703,0.50865,0.47508,0.50865,4570591.49
2025-05-09,0.50849,0.54109,0.5042,0.53805,1511049.15
2025-05-10,0.53779,0.5517,0.52122,0.54441,3760626.12
2025-05-11,0.54629,0.5489,0.50924,0.51873,1563633.19
2025-05-12,0.51937,0.54797,0.50963,0.53203,2394641.87
2025-05-13,0.53236,0.53825,0.49507,0.53464,2756375.08
2025-05-14,0.53447,0.54381,0.50663,0.50957,4035379.22
2025-05-15,0.5098,0.51696,0.46174,0.47308,2456662.45
2025-05-16,0.47308,0.48603,0.4667,0.47666,1837107.72
2025-05-17,0.47636,0.47809,0.45156,0.46192,767482.25
2025-05-18,0.46279,0.48884,0.453,0.47691,657358.52
2025-05-19,0.4769,0.479,0.44148,0.46109,544822.16
2025-05-20,0.46028,0.47668,0.45235,0.47498,540800.18
2025-05-21,0.47472,0.47975,0.45332,0.466,651011.95
2025-05-22,0.46474000,0.51780000,0.46375000,0.50979000,1220741.97000000
2025-05-23,0.50905000,0.51572000,0.46279000,0.46516000,904015.67000000
2025-05-24,0.46576000,0.47274000,0.45616000,0.45915000,446173.05000000
2025-05-25,0.45925000,0.46699000,0.43819000,0.46699000,360123.57000000
2025-05-26,0.46552000,0.47725000,0.45973000,0.46279000,398214.76000000
2025-05-27,0.46423000,0.48278000,0.45000000,0.47256000,272633.17000000
2025-05-28,0.47332000,0.48117000,0.45406000,0.46721000,275528.73000000
2025-05-29,0.46748000,0.47797000,0.43949000,0.44185000,307151.28000000
2025-05-30,0.44261000,0.44447000,0.40074000,0.40367000,782385.26000000
2025-05-31,0.40313000,0.41644000,0.37622000,0.41190000,557214.88000000
2025-06-01,0.41297000,0.42497000,0.40286000,0.41905000,310406.32000000
2025-06-02,0.42100000,0.42746000,0.40527000,0.42746000,196490.39000000
2025-06-03,0.42418000,0.43304000,0.41905000,0.42303000,329757.72000000
2025-06-04,0.42570000,0.43150000,0.41162000,0.41325000,120719.42000000
2025-06-05,0.41300000,0.41802000,0.38769000,0.39656000,280151.73000000
2025-06-06,0.39483000,0.40816000,0.37910000,0.38197000,271711.81000000
2025-06-07,0.38132000,0.39105000,0.37620000,0.38632000,196490.67000000
2025-06-08,0.38696000,0.39991000,0.38351000,0.38729000,117319.58000000
2025-06-09,0.38924000,0.42835000,0.38707000,0.42686000,295886.51000000
2025-06-10,0.42704000,0.45001000,0.41803000,0.44850000,158225.28000000
2025-06-11,0.44894000,0.44989000,0.42196000,0.42566000,114195.66000000
2025-06-12,0.42616000,0.42979000,0.40027000,0.40697000,381214.89000000
2025-06-13,0.40280000,0.40290000,0.38021000,0.39069000,365758.63000000
2025-06-14,0.39243000,0.39281000,0.38202000,0.38938000,149070.95000000
2025-06-15,0.39037000,0.39356000,0.38387000,0.39006000,128163.95000000
2025-06-16,0.38813000,0.41196000,0.38738000,0.39434000,172551.02000000
2025-06-17,0.39476000,0.39832000,0.36864000,0.37602000,280165.28000000
2025-06-18,0.37600000,0.38073000,0.36000000,0.37829000,166480.24000000
2025-06-19,0.37738000,0.38017000,0.36336000,0.36999000,137671.89000000
2025-06-20,0.36954000,0.37866000,0.35415000,0.36007000,139130.21000000
2025-06-21,0.36195000,0.36594000,0.33834000,0.34767000,173010.38000000
2025-06-22,0.34767000,0.35235000,0.31292000,0.32742000,499478.65000000
2025-06-23,0.32780000,0.36763000,0.32780000,0.36706000,401652.21000000
2025-06-24,0.36650000,0.37254000,0.36041000,0.36654000,390981.78000000
2025-06-25,0.36668000,0.40995000,0.36254000,0.39633000,1917876.33000000
2025-06-26,0.39565000,0.39565000,0.35582000,0.35887000,1055041.77000000
