ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-17,2025-12-31,2026-04-17,2026-05-11,0.20624
2026-03-20,2025-12-31,2026-03-20,2026-04-13,0.9937
2026-02-20,2025-12-31,2026-02-20,2026-03-16,0.61311
2026-01-16,2025-12-31,2026-01-16,2026-02-17,0.17862
2025-12-19,2025-01-09,2025-12-19,2026-01-12,1.04445
2025-11-21,2025-01-09,2025-11-21,2025-12-15,0.57588
2025-10-17,2025-01-09,2025-10-17,2025-11-17,0.15477
2025-09-19,2025-01-09,2025-09-19,2025-10-14,1.31757
2025-08-15,2025-01-09,2025-08-15,2025-09-15,0.26563
2025-07-18,2025-01-09,2025-07-18,2025-08-11,0.18075
2025-06-20,2025-01-09,2025-06-20,2025-07-14,1.1993
2025-05-16,2025-01-09,2025-05-16,2025-06-16,0.32158
2025-04-17,2025-01-09,2025-04-17,2025-05-12,0.19691
2025-03-21,2025-01-09,2025-03-21,2025-04-14,0.80072
2025-02-21,2025-01-09,2025-02-21,2025-03-17,0.65879
2025-01-17,2025-01-09,2025-01-17,2025-02-18,0.16241
2024-12-20,2024-01-02,2024-12-20,2025-01-13,1.222693
2024-11-15,2024-01-02,2024-11-15,2024-12-16,0.26621
2024-10-18,2024-01-02,2024-10-18,2024-11-12,0.14882
2024-09-20,2024-01-02,2024-09-20,2024-10-15,1.24776
2024-08-16,2024-01-02,2024-08-16,2024-09-16,0.32675
2024-07-19,2024-01-02,2024-07-19,2024-08-12,0.19438
2024-06-21,2024-01-02,2024-06-21,2024-07-15,0.87356
2024-05-17,2024-01-02,2024-05-20,2024-06-17,0.59414
2024-04-19,2024-01-02,2024-04-22,2024-05-13,0.19769
2024-03-15,2024-01-02,2024-03-18,2024-04-15,0.93314
2024-02-16,2024-01-02,2024-02-20,2024-03-11,0.61185
2024-01-19,2024-01-02,2024-01-22,2024-02-12,0.21275
2023-12-15,2023-01-17,2023-12-18,2024-01-16,0.83309
2023-11-17,2023-01-17,2023-11-20,2023-12-11,0.7069
2023-10-20,2023-01-17,2023-10-23,2023-11-13,0.18733
2023-09-15,2023-01-17,2023-09-18,2023-10-16,0.92309
2023-08-18,2023-01-17,2023-08-21,2023-09-11,0.5102
2023-07-21,2023-01-17,2023-07-24,2023-08-14,0.26779
2023-06-16,2023-01-17,2023-06-20,2023-07-17,0.77571
2023-05-19,2023-01-17,2023-05-22,2023-06-12,0.72598
2023-04-21,2023-01-17,2023-04-24,2023-05-15,0.1843
2023-03-17,2023-01-17,2023-03-20,2023-04-17,0.85807
2023-02-17,2023-01-17,2023-02-21,2023-03-13,0.55216
2023-01-20,2023-01-17,2023-01-23,2023-02-13,0.28038
2022-12-16,2022-01-24,2022-12-19,2023-01-17,0.75039
2022-11-18,2022-01-24,2022-11-21,2022-12-12,0.68093
2022-10-21,2022-01-24,2022-10-24,2022-11-14,0.18198
2022-09-16,2022-01-24,2022-09-19,2022-10-17,0.8231
2022-08-19,2022-01-24,2022-08-22,2022-09-12,0.65618
2022-07-15,2022-01-24,2022-07-18,2022-08-15,0.12848
2022-06-17,2022-01-24,2022-06-21,2022-07-11,0.69206
2022-05-20,2022-01-24,2022-05-23,2022-06-13,0.74512
2022-04-14,2022-01-24,2022-04-18,2022-05-16,0.12603
2022-03-18,2022-01-24,2022-03-21,2022-04-11,0.77157
2022-02-18,2022-01-24,2022-02-22,2022-03-14,0.5194
2022-01-21,2022-01-20,2022-01-24,2022-02-14,0.25777
2021-12-17,2021-01-28,2021-12-20,2022-01-18,0.662241
2021-11-19,2021-01-28,2021-11-22,2021-12-13,0.70096
2021-10-15,2021-01-28,2021-10-18,2021-11-15,0.11671
2021-09-17,2021-01-28,2021-09-20,2021-10-12,0.73564
2021-08-20,2021-08-19,2021-08-23,2021-09-13,0.61111
2021-07-16,2021-07-15,2021-07-19,2021-08-16,0.20669
2021-06-18,2021-01-28,2021-06-21,2021-07-12,0.4927
2021-05-21,2021-01-28,2021-05-24,2021-06-14,0.70309
2021-04-16,2021-01-28,2021-04-19,2021-05-17,0.11195
2021-03-19,2021-01-28,2021-03-22,2021-04-12,0.67142
2021-02-19,2021-01-28,2021-02-22,2021-03-15,0.60133
2021-01-15,2021-01-14,2021-01-19,2021-02-16,0.1275
2020-12-18,2020-01-15,2020-12-21,2021-01-11,0.58746
2020-11-20,2020-01-15,2020-11-23,2020-12-14,0.65225
2020-10-16,2020-01-15,2020-10-19,2020-11-16,0.11679
2020-09-18,2020-01-15,2020-09-21,2020-10-13,0.6668
2020-08-21,2020-01-15,2020-08-24,2020-09-14,0.6035
2020-07-17,2020-01-15,2020-07-20,2020-08-17,0.21123
2020-06-19,2020-01-15,2020-06-22,2020-07-13,0.75266
2020-05-15,2020-01-15,2020-05-18,2020-06-15,0.46228
2020-04-17,2020-01-15,2020-04-20,2020-05-11,0.13018
2020-03-20,2020-01-15,2020-03-23,2020-04-13,0.60183
2020-02-21,2020-01-15,2020-02-24,2020-03-16,0.8039
2020-01-17,2020-01-16,2020-01-21,2020-02-18,0.13848
2019-12-20,,,,0.866
2019-11-15,,,,0.5137
2019-10-18,,,,0.1729
2019-09-20,,,,0.64703
2019-07-19,,,,0.2234
2019-06-21,,,,0.6371
2019-05-17,,,,0.6437
2019-04-18,,,,0.158
2019-03-15,,,,0.5446
2019-02-15,,,,0.698
2019-01-18,,,,0.1739
2018-12-21,,,,0.6159
2018-11-16,,,,0.6009
2018-10-19,,,,0.1552
2018-09-21,,,,0.5458
2018-08-17,,,,0.5385
2018-07-20,,,,0.3179
2018-06-15,,,,0.3764
2018-05-18,,,,0.6973
2018-04-20,,,,0.132
2018-03-16,,,,0.45401
2018-02-16,,,,0.64476
2018-01-19,,,,0.14373
2017-12-15,,,,0.56061
2017-11-17,,,,0.56177
2017-10-20,,,,0.18277
2017-09-15,,,,0.45771
2017-08-18,,,,0.52883
2017-07-21,,,,0.23571
2017-06-16,,,,0.39407
2017-05-19,,,,0.60797
2017-04-21,,,,0.18226
2017-03-17,,,,0.40817
2017-02-17,,,,0.56053
2017-01-20,,,,0.19298
2016-12-16,,,,0.43247
2016-11-18,,,,0.533
2016-10-21,,,,0.18036
2016-09-16,,,,0.3543
2016-08-19,,,,0.65622
2016-07-15,,,,0.13475
2016-06-17,,,,0.3552
2016-05-20,,,,0.61161
2016-04-15,,,,0.13003
2016-03-18,,,,0.37486
2016-02-19,,,,0.61262
2016-01-15,,,,0.08588
2015-12-18,,,,0.40754
2015-11-20,,,,0.57324
2015-10-16,,,,0.07958
2015-09-18,,,,0.32833
2015-08-21,,,,0.55042
2015-07-17,,,,0.17198
2015-06-19,,,,0.48025
2015-05-15,,,,0.4027
2015-04-17,,,,0.11846
2015-03-20,,,,0.31115
2015-02-20,,,,0.49013
2015-01-16,,,,0.14829
2014-12-19,,,,0.3834
2014-11-21,,,,0.44838
2014-10-17,,,,0.14254
2014-09-19,,,,0.41264
2014-08-15,,,,0.29591
2014-07-18,,,,0.18234
2014-06-20,,,,0.32602
2014-05-16,,,,0.42084
2014-04-17,,,,0.13246
2014-03-21,,,,0.28235
2014-02-21,,,,0.43462
2014-01-17,,,,0.13332
2013-12-20,,,,0.3946
2013-11-15,,,,0.29775
2013-10-18,,,,0.17014
2013-09-20,,,,0.30382
2013-08-16,,,,0.38324
2013-07-19,,,,0.2061
2013-06-21,,,,0.30381
2013-05-17,,,,0.4286
2013-04-19,,,,0.1413
2013-03-15,,,,0.30214
2013-02-15,,,,0.3573
2013-01-18,,,,0.14511
2012-12-21,,,,0.41271
2012-11-16,,,,0.32284
2012-10-19,,,,0.18728
2012-09-21,,,,0.28129
2012-08-17,,,,0.34928
2012-07-20,,,,0.20999
2012-06-15,,,,0.21985
2012-05-18,,,,0.42549
2012-04-20,,,,0.14895
2012-03-16,,,,0.25488
2012-02-17,,,,0.33152
2012-01-20,,,,0.16649
2012-01-01,,,,0.16649
2011-12-16,,,,0.35551
2011-11-18,,,,0.28501
2011-10-21,,,,0.18502
2011-09-16,,,,0.20966624
2011-08-19,,,,0.41899
