date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount,volume
1999-12-31,108.7,115.7,108.7,115.2,65.7183,11567700.0,0.1084,
2000-01-31,116.03,117.5,107.0,109.5,62.5078,28820600.0,0.0745,
2000-02-29,109.6,111.2,98.19,101.6,58.0714,29949700.0,0.1293,
2000-03-31,101.8,112.5,96.84,109.4,62.623,46476800.0,0.1584,
2000-04-28,109.3,114.5,101.5,107.6,61.6182,53050400.0,0.0452,
2000-05-31,108.0,109.8,102.5,105.1,60.2818,24687100.0,0.1686,
2000-06-30,106.0,109.0,103.3,104.4,59.9137,18447600.0,0.0583,
2000-07-31,104.8,109.1,104.1,105.0,60.3445,11819200.0,0.1536,
2000-08-31,105.5,113.3,105.0,112.5,64.7263,16905200.0,0.1219,
2000-09-29,112.9,114.1,105.5,106.6,61.4123,17979400.0,0.1432,
2000-10-31,107.0,109.9,96.75,109.4,63.1073,36970200.0,0.1331,
2000-11-30,109.2,110.2,102.9,104.4,60.3003,33243800.0,0.1361,
2000-12-29,104.9,109.4,102.8,106.8,61.8327,33080400.0,0.246,
2001-01-31,107.2,112.5,104.6,108.7,62.9327,31657100.0,0.0,
2001-02-28,108.7,110.5,103.0,105.0,60.8832,33091000.0,0.1648,
2001-03-30,104.5,108.8,91.0,99.14,57.5736,108126700.0,0.151,
2001-04-30,98.4,109.1,93.76,107.2,62.3042,90396900.0,0.085,
2001-05-31,107.5,113.6,106.8,109.1,63.5089,78474900.0,0.1794,
2001-06-29,109.5,112.2,104.0,105.2,61.3015,52205800.0,0.1095,
2001-07-31,104.8,107.0,101.3,105.0,61.2511,40466300.0,0.1143,
2001-08-31,105.8,106.3,98.83,99.88,58.3314,71889800.0,0.118,
2001-09-28,99.7,102.1,79.5,88.35,51.7163,125525100.0,0.1903,
2001-10-31,87.85,96.1,87.35,90.68,53.1371,128116800.0,0.0986,
2001-11-30,91.15,100.2,90.15,98.59,57.8523,66777700.0,0.1371,
2001-12-31,98.1,102.0,97.21,99.8,58.6867,48516700.0,0.2133,
2002-01-31,100.5,103.1,95.3,99.24,58.4102,70738400.0,0.0886,
2002-02-28,99.56,102.7,95.85,101.1,59.5858,109986200.0,0.1348,
2002-03-28,101.8,106.9,101.2,103.7,61.2096,141575900.0,0.1588,
2002-04-30,103.9,109.9,98.13,99.49,58.7751,110975400.0,0.0883,
2002-05-31,99.64,103.7,97.96,99.25,58.7111,83517800.0,0.1372,
2002-06-28,99.28,100.1,89.05,92.53,54.8374,107287800.0,0.172,
2002-07-31,92.67,94.19,75.28,87.15,51.7414,267557500.0,0.1433,
2002-08-30,86.86,91.01,80.3,86.52,51.4316,239389800.0,0.1097,
2002-09-30,85.52,87.99,74.6,76.0,45.2842,215309500.0,0.1872,
2002-10-31,76.67,85.89,72.03,83.75,49.9651,335498600.0,0.1051,
2002-11-29,83.5,89.8,83.18,88.9,53.1645,179416800.0,0.2056,
2002-12-31,90.4,90.66,82.48,83.51,50.0641,126564000.0,0.2102,
2003-01-31,84.15,88.88,79.14,80.84,48.4967,163728500.0,0.059,
2003-02-28,80.97,81.69,76.52,79.31,47.7265,146244700.0,0.2491,
2003-03-31,79.68,85.36,74.31,79.82,48.0923,225535100.0,0.1043,
2003-04-30,80.27,85.7,79.76,84.86,51.1952,183070700.0,0.1083,
2003-05-30,84.75,88.98,83.5,88.84,53.6783,175458000.0,0.133,
2003-06-30,89.41,93.95,88.8,89.91,54.4686,174512300.0,0.2432,
2003-07-31,89.592,93.77,88.85,92.47,56.0976,146396300.0,0.128,
2003-08-29,92.49,95.24,90.03,94.41,57.3506,123257300.0,0.1241,
2003-09-30,94.26,96.99,92.42,93.13,56.6882,120901300.0,0.1963,
2003-10-31,93.42,98.83,93.32,98.03,59.7468,127689300.0,0.1239,
2003-11-28,98.45,99.35,95.92,98.08,59.9693,90807200.0,0.31,
2003-12-31,98.33,104.75,98.33,104.57,64.0288,137899900.0,0.1467,
2004-01-30,105.04,107.23,103.801,105.08,64.3828,160410500.0,0.0688,
2004-02-27,105.2,107.92,104.53,106.07,65.1532,105475500.0,0.2683,
2004-03-31,106.446,107.09,100.12,103.92,63.9062,174857500.0,0.1176,
2004-04-30,103.6,105.95,102.35,102.35,62.9763,134092400.0,0.0592,
2004-05-28,102.67,104.14,98.81,102.18,63.0594,167520500.0,0.2978,
2004-06-30,101.91,105.05,101.46,104.63,64.63,105191200.0,0.0946,
2004-07-30,104.48,104.65,99.31,101.75,62.9032,145161600.0,0.0846,
2004-08-31,101.28,102.25,98.15,101.89,63.1733,125173500.0,0.295,
2004-09-30,101.74,103.82,99.91,100.87,62.6077,121613600.0,0.1099,
2004-10-29,101.34,102.88,97.27,100.38,62.3576,163270800.0,0.0863,
2004-11-30,100.49,106.26,100.29,104.33,65.153,140004500.0,0.5529,
2004-12-31,104.63,108.56,104.16,107.51,67.2431,140753000.0,0.1654,
2005-01-31,108.15,108.59,103.62,104.8,65.61,166582800.0,0.098,
2005-02-28,105.02,108.98,104.84,107.7,67.5742,105174200.0,0.2377,
2005-03-31,107.76,109.83,103.86,104.99,65.9781,133274900.0,0.1676,
2005-04-29,105.43,105.62,99.89,101.88,64.0707,163597400.0,0.0738,
2005-05-31,102.24,105.5,100.6,104.63,66.0111,130991000.0,0.3355,
2005-06-30,104.64,106.51,102.44,102.75,64.8945,134909000.0,0.1138,
2005-07-29,103.07,107.16,101.73,106.63,67.4043,139259400.0,0.0935,
2005-08-31,106.72,107.33,103.45,104.89,66.4983,143622000.0,0.3092,
2005-09-30,104.78,107.01,103.44,105.75,67.1411,159823200.0,0.1547,
2005-10-31,105.74,106.01,101.58,103.91,66.0618,179008400.0,0.1377,
2005-11-30,104.25,109.59,103.76,108.22,68.9798,114409400.0,0.278,
2005-12-30,108.74,109.5,106.82,106.95,68.3233,120342200.0,0.2436,
2006-01-31,107.44,110.46,106.45,108.27,69.2446,141099600.0,0.12,
2006-02-28,108.5,111.52,107.32,109.9,70.4159,136550800.0,0.2035,
2006-03-31,110.22,113.27,109.27,111.31,71.4769,146085400.0,0.2489,
