ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-30,2026-01-13,2026-03-30,2026-03-31,0.17872
2026-02-26,2026-01-13,2026-02-26,2026-02-27,0.18632
2026-01-29,2026-01-13,2026-01-29,2026-01-30,0.18264
2025-12-30,2025-01-06,2025-12-30,2025-12-31,0.95339676
2025-11-26,2025-01-06,2025-11-26,2025-11-28,0.21394792
2025-10-30,2025-01-06,2025-10-30,2025-10-31,0.18152
2025-09-29,2025-01-06,2025-09-29,2025-09-30,0.17736
2025-08-28,2025-01-06,2025-08-28,2025-08-29,0.17488
2025-07-30,,,,0.17244
2025-06-27,2025-01-06,2025-06-27,2025-06-30,0.16752
2025-05-29,2025-01-06,2025-05-29,2025-05-30,0.16548
2025-04-29,2025-01-06,2025-04-29,2025-04-30,0.1584
2025-03-28,2025-01-06,2025-03-28,2025-03-31,0.16468
2025-02-27,2025-02-26,2025-02-27,2025-02-28,0.167
2025-01-30,2025-01-06,2025-01-30,2025-01-31,0.1694
2024-12-30,2024-01-11,2024-12-30,2024-12-31,0.16464
2024-11-27,2024-01-11,2024-11-27,2024-11-29,0.17076
2024-10-30,2024-01-11,2024-10-30,2024-10-31,0.16419999
2024-09-27,2024-01-11,2024-09-27,2024-09-30,0.16343999
2024-08-29,,,,0.16107999
2024-07-30,2024-01-11,2024-07-30,2024-07-31,0.15843999
2024-06-27,2024-01-11,2024-06-27,2024-06-28,0.15556
2024-05-30,2024-01-11,2024-05-30,2024-05-31,0.15407999
2024-04-26,2024-01-11,2024-04-29,2024-04-30,0.15316
2024-03-26,2024-01-11,2024-03-27,2024-03-28,0.15488
2024-02-27,2024-01-11,2024-02-28,2024-02-29,0.15216
2024-01-29,2024-01-11,2024-01-30,2024-01-31,0.14892
2023-12-27,2023-01-17,2023-12-28,2023-12-29,0.14584
2023-11-28,2023-01-17,2023-11-29,2023-11-30,0.1418
2023-10-27,2023-01-17,2023-10-30,2023-10-31,0.1382
2023-09-27,2023-01-17,2023-09-28,2023-09-29,0.14108
2023-08-29,2023-01-17,2023-08-30,2023-08-31,0.14292
2023-07-27,2023-01-17,2023-07-28,2023-07-31,0.14812
2023-06-28,2023-01-17,2023-06-29,2023-06-30,0.14172
2023-05-26,2023-01-17,2023-05-30,2023-05-31,0.13928
2023-04-26,2023-01-17,2023-04-27,2023-04-28,0.1449528
2023-03-29,2023-01-17,2023-03-30,2023-03-31,0.13948
2023-02-24,2023-01-17,2023-02-27,2023-02-28,0.1414
2023-01-27,2023-01-17,2023-01-30,2023-01-31,0.14372
2022-12-28,2022-02-03,2022-12-29,2022-12-30,0.14416
2022-11-28,2022-02-03,2022-11-29,2022-11-30,0.1466
2022-10-27,2022-02-03,2022-10-28,2022-10-31,0.13928
2022-09-28,2022-02-03,2022-09-29,2022-09-30,0.12984
2022-08-29,2022-02-03,2022-08-30,2022-08-31,0.14428
2022-07-27,2022-02-03,2022-07-28,2022-07-29,0.13796
2022-06-28,2022-06-27,2022-06-29,2022-06-30,0.137
2022-05-26,2022-05-25,2022-05-27,2022-05-31,0.14088
2022-04-27,2022-02-03,2022-04-28,2022-04-29,0.14672
2022-03-29,2022-02-03,2022-03-30,2022-03-31,0.15068
2022-02-24,2022-02-03,2022-02-25,2022-02-28,0.14468
2022-01-27,2022-01-26,2022-01-28,2022-01-31,0.14528
2021-12-29,2021-01-18,2021-12-30,2021-12-31,0.15284
2021-11-26,,,,0.14992
2021-10-27,2021-01-18,2021-10-28,2021-10-29,0.14824
2021-09-28,2021-01-18,2021-09-29,2021-09-30,0.149
2021-08-27,2021-01-18,2021-08-30,2021-08-31,0.15316666
2021-07-28,2021-07-27,2021-07-29,2021-07-30,0.1526
2021-06-28,2021-01-18,2021-06-29,2021-06-30,0.14779166
2021-05-26,2021-01-18,2021-05-27,2021-05-28,0.1574125
2021-04-28,2021-01-18,2021-04-29,2021-04-30,0.15430625
2021-03-29,2021-03-26,2021-03-30,2021-03-31,0.157025
2021-02-24,2021-01-18,2021-02-25,2021-02-26,0.15267083
2021-01-27,2021-01-18,2021-01-28,2021-01-29,0.1524875
2020-12-29,2020-01-28,2020-12-30,2020-12-31,0.14877
2020-11-25,2020-01-28,2020-11-27,2020-11-30,0.14658
2020-10-28,2020-01-28,2020-10-29,2020-10-30,0.13961
2020-09-28,2020-01-28,2020-09-29,2020-09-30,0.1317
2020-08-27,2020-01-28,2020-08-28,2020-08-31,0.14057
2020-07-29,2020-01-28,2020-07-30,2020-07-31,0.1342
2020-06-26,2020-01-28,2020-06-29,2020-06-30,0.12856
2020-05-27,2020-01-28,2020-05-28,2020-05-29,0.12604
2020-04-28,2020-01-28,2020-04-29,2020-04-30,0.12458
2020-03-27,2020-01-28,2020-03-30,2020-03-31,0.10945
2020-02-26,2020-01-28,2020-02-27,2020-02-28,0.13713
2020-01-29,2020-01-28,2020-01-30,2020-01-31,0.13887
2019-12-30,,,,1.004
2019-11-27,,,,0.143
2019-10-30,,,,0.14
2019-09-27,,,,0.1404
2019-08-29,,,,0.1365
2019-07-30,,,,0.1408
2019-06-27,,,,0.139
2019-05-30,,,,0.133
2019-04-29,,,,0.136
2019-03-28,,,,0.1334
2019-02-27,,,,0.1332
2019-01-30,,,,0.127
2018-12-28,,,,0.1157
2018-11-29,,,,0.1309
2018-10-30,,,,0.1293
2018-09-27,,,,0.1251
2018-08-30,,,,0.1239
2018-07-30,,,,0.11523
2018-06-28,,,,0.335
2018-03-28,,,,0.332055
2017-12-28,,,,0.34404
2017-09-28,,,,0.31560422
2017-06-28,,,,0.31125705
2017-03-29,,,,0.1392751
