date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2013-04-30,25.7800,26.7800,25.6300,26.7800,11.2207,914800,0.1504
2013-05-31,26.6200,26.8000,25.3102,25.4000,10.7035,1001500,0.1504
2013-06-28,25.3000,25.6000,24.1600,25.2500,10.7011,856200,0.1444
2013-07-31,25.1400,26.0490,24.4500,25.6600,10.9374,510300,0.1450
2013-08-30,25.7100,25.7100,24.1000,24.3400,10.4338,437700,0.1450
2013-09-30,24.3500,25.2099,24.0500,24.8200,10.7011,318900,0.1395
2013-10-31,24.7500,26.2100,24.4600,26.0200,11.2775,413500,0.1305
2013-11-29,25.8900,26.0396,25.4200,25.9120,11.2872,405700,0.1305
2013-12-31,25.7900,26.0330,24.9600,25.9750,11.4298,607700,0.2610
2014-01-31,25.8800,26.6500,25.6200,26.5300,11.6740,463600,0.0000
2014-02-28,26.3500,27.0800,25.7000,26.9600,11.9207,479100,0.1255
2014-03-31,26.7700,27.2300,26.6320,27.0300,12.0074,522000,0.1255
2014-04-30,27.0100,28.1000,26.9400,27.9500,12.4736,833300,0.1255
2014-05-30,27.9200,28.6500,27.7501,28.4600,12.7581,1067900,0.1255
2014-06-30,28.5700,29.5470,28.2680,29.3700,13.2242,1088800,0.1255
2014-07-31,29.4800,29.5910,28.6800,28.7000,12.9778,1689400,0.1255
2014-08-29,28.6200,29.8000,28.2800,29.6500,13.4687,1869400,0.1305
2014-09-30,29.7700,29.7700,28.7500,29.0500,13.2589,2739629,0.1405
2014-10-31,28.9000,29.6289,27.4500,29.5195,13.5434,3700151,0.1505
2014-11-28,29.4600,29.9484,29.1221,29.6000,13.6541,2297094,0.1605
2014-12-31,29.3800,29.6199,27.8000,28.9000,13.4241,3700644,0.2033
2015-01-30,29.0000,29.5000,28.3500,28.9900,13.4659,2068097,0.0000
2015-02-27,28.8900,29.5660,28.6500,28.9000,13.5079,2114011,0.1812
2015-03-31,28.7700,28.7700,27.5800,28.3400,13.3229,1528826,0.1655
2015-04-30,28.1500,29.0900,28.0100,28.5300,13.4931,1323055,0.1705
2015-05-29,28.6000,28.6000,27.6400,27.9353,13.2911,3507682,0.1705
2015-06-30,27.8900,27.8900,26.3700,26.3900,12.6330,1808918,0.1705
2015-07-31,26.3600,26.9400,25.5400,26.2800,12.6618,1764648,0.1705
2015-08-31,26.1200,26.1462,16.0000,24.9100,12.0808,1674075,0.1705
2015-09-30,24.4200,25.1970,23.6100,24.0600,11.7509,1160665,0.1705
2015-10-30,23.9300,25.7800,23.6900,25.2599,12.4249,1162916,0.1705
2015-11-30,25.1700,25.3500,24.0200,24.6200,12.1895,1679170,0.1655
2015-12-31,24.5100,24.5599,22.6501,23.9400,12.0074,2161337,0.3160
2016-01-29,23.7300,24.1000,20.9700,23.3300,11.7014,1976095,0.0000
2016-02-29,23.1300,24.0300,22.1800,23.7200,11.9767,999890,0.1555
2016-03-31,23.7200,24.9500,23.4400,24.8800,12.6450,2100198,0.1555
2016-04-29,24.6700,24.9100,24.2500,24.8900,12.7245,2663746,0.1455
2016-05-31,24.8500,25.0000,24.1900,24.8400,12.7683,2046847,0.1355
2016-06-30,24.6600,25.5300,24.4000,25.5300,13.1946,2428340,0.1355
2016-07-29,25.5000,25.8999,25.0201,25.8200,13.4157,1221353,0.1355
2016-08-31,25.7500,25.7500,25.0000,25.2300,13.1786,2116168,0.1355
2016-09-30,25.1000,25.5500,24.5600,24.8800,13.0662,1360359,0.1355
2016-10-31,24.7700,24.8000,23.7600,24.0000,12.6737,1423132,0.1355
2016-11-30,23.8600,24.5800,23.3600,24.3600,12.9379,2164540,0.1355
2016-12-30,24.2500,25.0500,23.8286,24.7300,13.2816,1522624,0.2710
2017-01-31,24.8500,25.7300,24.8257,25.2000,13.5340,1938387,0.0000
2017-02-28,25.1100,25.4000,24.9900,25.2600,13.6397,2024918,0.1355
2017-03-31,25.0600,25.2600,24.5000,25.2000,13.6809,1573051,0.1355
2017-04-28,25.1000,25.7900,24.9201,25.5700,13.9541,1305703,0.1305
2017-05-31,25.4600,25.5000,24.8327,25.3800,13.9193,2145094,0.1265
2017-06-30,25.3000,25.8700,25.2353,25.3900,13.9922,1387750,0.1235
2017-07-31,25.3500,25.6500,24.9301,25.5800,14.1654,1254426,0.1235
2017-08-31,25.4800,25.5500,25.0401,25.3500,14.1060,1422758,0.1235
2017-09-29,25.2300,25.5990,25.0100,25.5100,14.2643,1158418,0.1235
2017-10-31,25.4800,25.6800,25.1400,25.2000,14.1592,2281260,0.1235
2017-11-30,25.1500,25.6200,24.8000,25.5600,14.4322,1855342,0.1235
2017-12-29,25.4400,25.9800,25.2400,25.6000,14.5947,1203857,0.2470
