ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-17,2026-03-16,2026-03-17,2026-03-20,1.149317
2025-12-16,2025-12-15,2025-12-16,2025-12-19,1.61622
2025-09-16,2025-09-15,2025-09-16,2025-09-19,1.246497
2025-06-16,2025-06-13,2025-06-16,2025-06-20,1.233273
2025-03-18,2025-03-17,2025-03-18,2025-03-21,1.049489
2024-12-17,2024-06-25,2024-12-17,2024-12-20,1.316435
2024-09-25,2024-06-25,2024-09-25,2024-09-30,1.549625
2024-06-11,2024-06-10,2024-06-11,2024-06-17,0.930354
2024-03-21,2024-03-20,2024-03-22,2024-03-27,0.997569
2023-12-20,2023-12-19,2023-12-21,2023-12-27,1.18929
2023-09-26,2023-09-25,2023-09-27,2023-10-02,1.464651
2023-06-07,2023-06-06,2023-06-08,2023-06-13,0.816442
2023-03-23,2023-03-22,2023-03-24,2023-03-29,1.004972
2022-12-13,2021-12-13,2022-12-14,2022-12-19,1.040123
2022-09-26,2022-09-23,2022-09-27,2022-09-30,1.345772
2022-06-09,2022-06-08,2022-06-10,2022-06-15,0.86704
2022-03-24,2022-03-23,2022-03-25,2022-03-30,0.888354
2021-12-13,2021-12-10,2021-12-14,2021-12-17,0.837315
2021-09-24,2021-09-23,2021-09-27,2021-09-30,1.032306
2021-06-10,2021-01-07,2021-06-11,2021-06-16,0.993239
2021-03-25,2021-01-07,2021-03-26,2021-03-31,0.960973
2020-12-14,2019-12-13,2020-12-15,2020-12-18,0.829729
2020-09-23,2019-12-13,2020-09-24,2020-09-29,0.946339
2020-06-15,2019-12-13,2020-06-16,2020-06-19,0.799576
2020-03-25,2019-12-13,2020-03-26,2020-03-31,0.946667
2019-12-16,,,,0.891492
2019-09-24,,,,0.955819
2019-06-17,,,,0.882296
2019-03-20,,,,0.871168
2018-12-17,,,,0.754743
2018-09-26,,,,0.859045
2018-06-26,,,,0.802211
2018-03-22,,,,0.780674
2017-12-19,,,,0.797993
2017-09-26,,,,0.727678
2017-06-27,,,,0.729118
2017-03-24,,,,0.701295
2016-12-21,,,,0.697193
2016-09-26,,,,0.693086
2016-06-21,,,,0.674821
2016-03-23,,,,0.630162
2015-12-24,,,,0.69296
2015-09-25,,,,0.652258
2015-06-24,,,,0.646357
2015-03-25,,,,0.598091
2014-12-24,,,,0.620276
2014-09-24,,,,0.587227
2014-06-24,,,,0.594895
2014-03-25,,,,0.6036
2013-12-23,,,,0.549644
2013-09-24,,,,0.537271
2013-06-26,,,,0.53687
2013-03-25,,,,0.562143
2012-12-19,,,,0.551103
2012-09-25,,,,0.528472
2012-06-19,,,,0.53533
2012-03-26,,,,0.506422
2011-12-22,,,,0.443025
2011-09-23,,,,0.46418
2011-06-24,,,,0.473173
2011-03-25,,,,0.467872
2010-12-22,,,,0.436324
2010-09-23,,,,0.421671
2010-06-24,,,,0.424929
2010-03-25,,,,0.420248
2009-12-23,,,,0.431207
2009-09-22,,,,0.3949
2009-06-24,,,,0.396957
2009-03-25,,,,0.437676
2008-12-23,,,,0.555944
2008-09-24,,,,0.553968
2008-06-25,,,,0.630859
2008-03-25,,,,0.677839
2007-12-27,,,,0.626336
2007-09-25,,,,0.59722
2007-06-28,,,,0.582977
2007-03-23,,,,0.559563
2006-12-20,,,,0.525725
2006-09-26,,,,0.566203
2006-06-22,,,,0.565014
2006-03-24,,,,0.567866
2005-12-22,,,,0.463735
2005-09-23,,,,0.4646
2005-06-20,,,,0.4621
2005-03-24,,,,0.46
2004-12-23,,,,0.4912
2004-09-24,,,,0.463
2004-06-25,,,,0.4884
2004-03-26,,,,0.4634
2003-12-12,,,,0.287815
