date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2003-12-31,51.4200,54.1900,51.3500,53.8400,24.2685,7401500,0.2878
2004-01-30,54.1000,55.5500,53.4900,54.7300,24.6697,11146200,0.0000
2004-02-27,54.8000,56.6600,54.3100,56.5800,25.5036,8426900,0.0000
2004-03-31,56.7000,57.4500,53.8600,55.2900,25.1357,10619800,0.4634
2004-04-30,55.5500,56.3500,53.4000,53.7500,24.4356,7834600,0.0000
2004-05-28,53.8500,54.9100,51.7800,54.8100,24.9175,6551500,0.0000
2004-06-30,54.9000,55.8000,54.4000,55.6500,25.5241,6759800,0.4884
2004-07-30,55.7400,55.7400,53.9200,55.0800,25.2627,6264100,0.0000
2004-08-31,54.8000,56.8500,53.9000,56.8500,26.0745,9847400,0.0000
2004-09-30,56.9000,58.0000,56.1500,57.4000,26.5423,9546100,0.4630
2004-10-29,57.7500,58.6800,56.4100,58.3200,26.9677,8162600,0.0000
2004-11-30,58.4000,61.7900,57.8500,61.0300,28.2208,23114200,0.0000
2004-12-31,61.3000,61.9500,59.4400,61.4000,28.6191,13583600,0.4912
2005-01-31,61.7400,61.7500,58.6300,59.5400,27.7521,18396800,0.0000
2005-02-28,59.7000,61.3400,59.5000,61.0500,28.4559,9645700,0.0000
2005-03-31,61.2000,62.5000,58.8100,59.9500,28.1602,10055600,0.4600
2005-04-29,60.5000,60.5100,57.8000,59.5500,27.9723,13354500,0.0000
2005-05-31,59.6100,61.5300,58.8700,61.3000,28.7943,9698900,0.0000
2005-06-30,61.4500,63.1300,61.2500,61.7300,29.2110,12306500,0.4621
2005-07-29,62.2000,64.4600,61.4000,63.9700,30.2710,13063400,0.0000
2005-08-31,64.1500,64.6000,61.7000,62.9200,29.7741,10361800,0.0000
2005-09-30,62.8700,64.0000,61.4700,62.2800,29.6926,9314600,0.4646
2005-10-31,62.2500,62.7400,58.4600,61.2500,29.2015,14874600,0.0000
2005-11-30,61.2500,63.0300,60.7600,62.1000,29.6067,12117800,0.0000
2005-12-30,62.3700,63.2000,60.7800,61.2600,29.4240,7987100,0.4637
2006-01-31,61.4000,63.1790,61.1200,62.3200,29.9331,15312100,0.0000
2006-02-28,62.2200,63.9300,61.3200,63.3400,30.4230,7833300,0.0000
2006-03-31,63.4900,64.1800,62.0300,62.7000,30.3852,9925500,0.5679
2006-04-28,62.8400,64.1200,61.8500,64.0000,31.0152,6934400,0.0000
2006-05-31,64.1700,64.7800,61.6500,63.1100,30.5839,6811100,0.0000
2006-06-30,63.1800,64.2500,61.4300,63.0600,30.8385,7411600,0.5650
