date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,201.3,201.5,200.575,200.69,200.314098557252,3904708,0.0,1.0
2025-11-24,201.0,201.91,200.975,201.05,200.673424260977,3114537,0.0,1.0
2025-11-25,201.3,201.9551,201.24,201.66,201.2822817034,1234267,0.0,1.0
2025-11-26,201.88,202.04,201.7189,201.92,201.541794711646,1627257,0.0,1.0
2025-11-28,201.865,202.21,201.75,202.03,201.651588676673,896779,0.0,1.0
2025-12-01,201.99,202.86,201.7,202.62,202.240483580001,3570226,0.0,1.0
2025-12-02,202.81,203.4,202.54,203.24,202.859322291972,2288373,0.0,1.0
2025-12-03,202.93,203.4,202.8,203.21,203.019022604739,1516973,0.19,1.0
2025-12-04,203.07,203.58,203.07,203.44,203.248806450017,1625375,0.0,1.0
2025-12-05,203.32,204.01,203.32,203.92,203.728355344512,1936731,0.0,1.0
2025-12-08,204.13,204.64,203.49,203.53,203.338721867735,1532339,0.0,1.0
2025-12-09,203.65,204.4,203.6,203.82,203.628449324826,1886069,0.0,1.0
2025-12-10,203.69,203.8,203.51,203.51,203.318740663798,2010119,0.0000,1.0
2025-12-11,203.55,204.3,203.4,203.66,203.468599693327,2393218,0.0000,1.0
2025-12-12,203.8,203.96,203.52,203.73,203.538533907108,2269883,0.0000,1.0
2025-12-15,203.92,204.48,203.72,204.2,204.008092199634,3225089,0.0000,1.0
2025-12-16,204.15,204.33,204.05,204.2,204.008092199634,1667816,0.0000,1.0
2025-12-17,204.15,204.28,203.49,203.63,203.438627887421,1964660,0.0000,1.0
2025-12-18,203.8,204.1799,203.8,203.9,203.708374140575,1467396,0.0000,1.0
2025-12-19,203.58,204.5,203.01,203.92,203.728355344512,5760577,0.0000,1.0
2025-12-22,204.19,204.2,203.75,203.79,203.59847751892,1194226,0.0000,1.0
2025-12-23,203.87,204.38,203.79,204.27,204.078026413414,1450244,0.0000,1.0
2025-12-24,204.24,204.84,204.24,204.78,204.587547113815,469489,0.0000,1.0
2025-12-26,204.58,204.8,204.38,204.79,204.597537715784,474397,0.0000,1.0
