date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,68.14,68.6499,67.95,68.53,66.9975668250517,4959656,0.0,1.0
2025-11-24,68.31,68.67,68.295,68.55,67.0171195951743,1788565,0.0,1.0
2025-11-25,68.97,69.5199,68.91,69.48,67.9263234058747,2110130,0.0,1.0
2025-11-26,69.7,70.2164,69.6218,70.08,68.5129065095524,2501578,0.0,1.0
2025-11-28,70.11,70.31,69.99,70.27,68.6986578257169,1450621,0.0,1.0
2025-12-01,70.22,70.485,70.115,70.16,68.5911175900427,2744789,0.0,1.0
2025-12-02,70.535,70.5403,70.245,70.44,68.864856371759,2111317,0.0,1.0
2025-12-03,70.47,70.6499,70.33,70.57,68.9919493775558,1657388,0.0,1.0
2025-12-04,70.98,71.09,70.715,70.83,69.2461353891494,1745770,0.0,1.0
2025-12-05,70.94,71.0455,70.6,70.73,69.1483715385365,2292539,0.0,1.0
2025-12-08,70.65,70.77,70.425,70.47,68.8941855269428,2205752,0.0,1.0
2025-12-09,70.6,70.885,70.49,70.5,68.9235146821267,1678369,0.0,1.0
2025-12-10,70.76,71.55,70.76,71.45,69.8522712629497,2647082,0.0000,1.0
2025-12-11,71.81,72.21,71.73,72.08,70.4681835218113,2950444,0.0000,1.0
2025-12-12,72.1,72.23,71.555,71.84,70.2335502803402,2011932,0.0000,1.0
2025-12-15,72.46,72.59,72.2,72.44,70.8201333840179,2378540,0.0000,1.0
2025-12-16,70.735,70.8,70.165,70.36,70.36,5242587,1.6093,1.0
2025-12-17,70.38,70.585,70.195,70.23,70.23,2134490,0.0000,1.0
2025-12-18,70.72,70.799,70.295,70.48,70.48,3663676,0.0000,1.0
2025-12-19,70.84,71.099,70.79,70.84,70.84,3486289,0.0000,1.0
2025-12-22,70.93,71.135,70.865,71.06,71.06,1595875,0.0000,1.0
2025-12-23,71.55,71.6,71.405,71.52,71.52,1239952,0.0000,1.0
2025-12-24,71.46,71.66,71.46,71.56,71.56,966143,0.0000,1.0
2025-12-26,71.75,71.75,71.48,71.66,71.66,1288127,0.0000,1.0
2025-12-29,71.53,71.6361,71.365,71.46,71.46,1552248,0.0000,1.0
2025-12-30,71.78,71.97,71.68,71.68,71.68,1384821,0.0000,1.0
2025-12-31,71.7,71.7,71.35,71.41,71.41,2375439,0.0000,1.0
2026-01-02,72.15,72.195,71.83,72.16,72.16,2644610,0.0000,1.0
2026-01-05,71.97,72.6267,71.9,72.58,72.58,2347117,0.0000,1.0
2026-01-06,72.66,72.8,72.395,72.4,72.4,3514394,0.0000,1.0
2026-01-07,72.18,72.18,71.88,71.9,71.9,2644497,0.0000,1.0
2026-01-08,71.76,72.235,71.6512,72.22,72.22,1659169,0.0000,1.0
2026-01-09,72.39,72.565,72.26,72.48,72.48,2220516,0.0000,1.0
2026-01-12,72.76,72.985,72.7,72.93,72.93,2321593,0.0000,1.0
2026-01-13,72.89,72.96,72.5851,72.7,72.7,1983562,0.0000,1.0
2026-01-14,73.15,73.47,73.12,73.42,73.42,2631468,0.0000,1.0
2026-01-15,73.47,73.57,73.295,73.33,73.33,2709399,0.0000,1.0
2026-01-16,73.43,73.49,73.16195,73.46,73.46,1627667,0.0000,1.0
2026-01-20,72.56,72.9555,72.415,72.53,72.53,2678223,0.0000,1.0
2026-01-21,72.71,73.355,72.44,73.2,73.2,3449364,0.0000,1.0
2026-01-22,73.48,73.69,73.32,73.53,73.53,2694422,0.0000,1.0
2026-01-23,73.31,73.9067,73.195,73.81,73.81,3699821,0.0000,1.0
2026-01-26,74.42,74.6,74.27,74.27,74.27,3086036,0.0000,1.0
2026-01-27,75.17,75.85,75.17,75.695,75.695,2140906,0.0000,1.0
2026-01-28,74.98,76.44,74.61,75.0,75.0,3372021,0.0000,1.0
2026-01-29,76.1,76.23,75.1,75.9,75.9,2920351,0.0000,1.0
2026-01-30,75.74,75.89,75.01,75.34,75.34,3441153,0.0000,1.0
2026-02-02,75.6,75.975,75.47,75.95,75.95,2121263,0.0000,1.0
2026-02-03,75.96,76.68,75.96,76.6,76.6,2632917,0.0000,1.0
2026-02-04,77.85,78.025,77.19,77.38,77.38,6612818,0.0000,1.0
2026-02-05,76.51,76.765,76.19,76.22,76.22,3363557,0.0000,1.0
2026-02-06,77.26,77.86,77.13,77.84,77.84,2206732,0.0000,1.0
2026-02-09,78.04,78.73,77.905,78.63,78.63,2232691,0.0000,1.0
2026-02-10,78.98,79.08,78.63,78.67,78.67,3164726,0.0000,1.0
2026-02-11,79.01,79.4,78.74,79.24,79.24,2351322,0.0000,1.0
2026-02-12,79.53,79.68,78.67,78.88,78.88,2834404,0.0000,1.0
2026-02-13,78.46,78.84,78.115,78.63,78.63,3511074,0.0000,1.0
2026-02-17,78.03,78.72,77.83,78.66,78.66,2105605,0.0000,1.0
2026-02-18,78.72,78.98,78.45,78.65,78.65,3027966,0.0000,1.0
2026-02-19,78.18,78.56,78.04,78.55,78.55,2322510,0.0000,1.0
2026-02-20,78.43,79.16,78.3386,79.13,79.13,3060986,0.0000,1.0
2026-02-23,79.32,79.57,78.85,79.06,79.06,2332640,0.0000,1.0
2026-02-24,78.8,79.295,78.65,79.13,79.13,1736187,0.0000,1.0
2026-02-25,79.48,79.985,79.13,79.94,79.94,2238773,0.0000,1.0
2026-02-26,79.66,79.875,79.405,79.83,79.83,3061669,0.0000,1.0
2026-02-27,80.03,80.145,79.63,79.76,79.76,3288991,0.0000,1.0
2026-03-02,77.86,78.505,77.45,78.19,78.19,4031164,0.0000,1.0
2026-03-03,74.78,76.02,74.015,75.72,75.72,4488011,0.0000,1.0
2026-03-04,76.11,76.42,75.715,76.27,76.27,4446093,0.0000,1.0
2026-03-05,75.09,75.46,74.015,74.66,74.66,4759561,0.0000,1.0
2026-03-06,73.38,74.38,73.02,74.18,74.18,3935494,0.0000,1.0
2026-03-09,72.99,74.81,72.48,74.62,74.62,3456767,0.0000,1.0
2026-03-10,75.19,75.97,74.72,74.83,74.83,3244552,0.0000,1.0
2026-03-11,74.44,74.88,74.17,74.75,74.75,2416556,0.0000,1.0
2026-03-12,73.66,73.75,73.015,73.37,73.37,15664292,0.0000,1.0
2026-03-13,73.56,73.9298,72.61,72.69,72.69,5920516,0.0000,1.0
2026-03-16,73.5,74.12,73.5,73.92,73.92,6682103,0.0000,1.0
2026-03-17,74.54,74.9,74.39,74.48,74.48,4263676,0.0000,1.0
2026-03-18,74.04,74.19,73.225,73.28,73.28,3951320,0.0000,1.0
2026-03-19,72.17,73.685,72.0,73.29,73.29,5091201,0.0000,1.0
2026-03-20,72.86,73.02,70.815,71.23,71.23,7620772,0.0000,1.0
2026-03-23,72.33,73.46,72.0,72.68,72.68,6690235,0.0000,1.0
2026-03-24,71.81,72.81,71.795,72.47,72.47,4777014,0.0000,1.0
2026-03-25,73.68,73.79,73.09,73.44,73.44,3804461,0.0000,1.0
2026-03-26,72.88,73.26,72.27,72.34,72.34,3263486,0.0000,1.0
2026-03-27,72.2,72.67,71.705,71.87,71.87,3580878,0.0000,1.0
2026-03-30,72.58,73.005,72.075,72.36,72.36,5468373,0.0000,1.0
