ex_dividend_date,declaration_date,record_date,payment_date,amount
2025-12-16,2024-07-05,2025-12-16,2025-12-19,1.609342
2025-06-16,2024-07-05,2025-06-16,2025-06-20,1.362687
2024-12-17,2023-12-06,2024-12-17,2024-12-20,0.911591
2024-06-11,2023-12-06,2024-06-11,2024-06-17,1.535725
2023-12-20,2022-11-28,2023-12-21,2023-12-27,0.957448
2023-06-07,2022-11-28,2023-06-08,2023-06-13,1.315615
2022-12-13,2021-12-14,2022-12-14,2022-12-19,0.535684
2022-06-09,2021-12-14,2022-06-10,2022-06-15,1.378507
2021-12-30,2021-12-29,2021-12-31,2022-01-05,0.105551
2021-12-13,2021-01-12,2021-12-14,2021-12-17,1.06754
2021-06-10,2021-01-12,2021-06-11,2021-06-16,0.877969
2020-12-14,2019-12-13,2020-12-15,2020-12-18,0.637762
2020-06-15,2019-12-13,2020-06-16,2020-06-19,0.505353
2019-12-16,,,,0.930364
2019-06-17,,,,1.377336
2018-12-18,,,,0.635057
2018-06-19,,,,1.42567
2017-12-19,,,,0.783915
2017-06-20,,,,1.182283
2016-12-21,,,,0.480356
2016-06-22,,,,1.067337
2015-12-21,,,,0.487123
2015-06-25,,,,1.183691
2014-12-17,,,,0.685519
2014-06-25,,,,1.800553
2013-12-18,,,,0.711363
2013-06-27,,,,1.110982
2012-12-18,,,,0.577204
2012-06-21,,,,1.254928
2011-12-20,,,,0.709778
2011-06-22,,,,1.222164
2010-12-21,,,,0.688352
2010-06-23,,,,0.953643
2009-12-22,,,,0.594839
2009-06-23,,,,0.898405
2008-12-23,,,,0.402046
2008-06-25,,,,1.504937
2007-12-20,,,,3.24705
2006-12-21,,,,1.192487
2005-12-23,,,,0.254146
