date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2005-09-30,52.9500,54.8200,52.9100,54.3300,25.2970,278300,0.0000
2005-10-31,54.2300,54.3300,51.1500,52.8600,24.6126,480800,0.0000
2005-11-30,53.0500,55.6300,52.8500,54.1800,25.2272,305500,0.0000
2005-12-30,54.7000,56.9300,54.6800,56.3200,26.3413,869700,0.2541
2006-01-31,57.3000,59.9500,57.1600,59.6400,27.8941,1385600,0.0000
2006-02-28,59.6400,60.2700,58.2000,59.7000,27.9221,1478300,0.0000
2006-03-31,59.9400,62.3000,58.6700,61.6800,28.8482,1298100,0.0000
2006-04-28,61.8000,65.1200,61.6000,64.9100,30.3589,2842600,0.0000
2006-05-31,65.5700,67.2800,60.9000,62.3900,29.1803,2989500,0.0000
2006-06-30,62.1000,63.7200,57.0500,62.6100,29.2832,1334100,0.0000
2006-07-31,62.6100,63.7800,58.3800,63.4400,29.6714,1161300,0.0000
2006-08-31,63.2000,65.6100,62.5400,65.3500,30.5647,1582700,0.0000
2006-09-29,65.5000,66.1300,63.5300,65.8500,30.7986,1530000,0.0000
2006-10-31,66.0900,68.9600,65.6800,68.6500,32.1081,2123100,0.0000
2006-11-30,69.1200,70.7800,68.3000,70.6100,33.0248,2514100,0.0000
2006-12-29,70.6700,72.8800,69.8600,72.2000,34.3333,2856900,1.1925
2007-01-31,72.6700,73.1100,70.0900,72.7200,34.5805,3141100,0.0000
2007-02-28,73.2800,75.6100,68.7000,72.7800,34.6091,2532800,0.0000
2007-03-30,71.5900,74.7800,69.6400,74.1600,35.2653,3318300,0.0000
2007-04-30,74.3000,77.9900,74.0000,77.0800,36.6539,2570600,0.0000
2007-05-31,77.3000,78.8400,76.3400,78.6700,37.4099,2812600,0.0000
2007-06-29,79.1500,79.5700,76.4900,78.3400,37.2530,1734400,0.0000
2007-07-31,78.9000,81.0500,75.0200,76.2200,36.2449,3360000,0.0000
2007-08-31,75.3500,77.7000,69.2600,75.4000,35.8550,3380300,0.0000
2007-09-28,74.9300,78.5300,73.1500,78.0900,37.1341,2098600,0.0000
2007-10-31,78.2000,82.0000,76.0500,81.6400,38.8223,2235800,0.0000
2007-11-30,80.3000,80.3400,74.0700,77.7700,36.9820,1689700,0.0000
2007-12-31,77.5100,79.7300,69.7600,71.9500,35.7862,3136900,3.2471
2008-01-31,72.6200,72.8200,60.0700,66.0700,32.8616,4214600,0.0000
2008-02-29,66.6200,67.5199,61.8600,64.6100,32.1355,2379400,0.0000
2008-03-31,64.8816,66.4100,61.1500,65.5400,32.5980,2016000,0.0000
2008-04-30,66.4000,69.6700,66.0000,69.2000,34.4184,1450100,0.0000
2008-05-30,68.7700,71.0300,68.2430,69.1500,34.3935,1650600,0.0000
2008-06-30,68.4200,68.9400,60.3600,60.9100,31.0296,3133600,1.5049
2008-07-31,59.8100,61.3100,56.4900,59.1000,30.1075,3670700,0.0000
2008-08-29,59.2200,59.9700,55.1800,57.0300,29.0530,3493600,0.0000
2008-09-30,57.1300,57.2400,46.6300,50.4400,25.6958,7859900,0.0000
2008-10-31,50.2100,50.8300,33.8500,40.4400,20.6015,8720100,0.0000
2008-11-28,40.0700,43.1000,32.0200,37.6900,19.2005,9122300,0.0000
2008-12-31,36.3100,41.6700,34.5000,40.5500,20.8753,18045100,0.4020
2009-01-30,40.4800,41.2930,32.4100,34.3400,17.6784,8184900,0.0000
2009-02-27,33.4700,36.7639,30.0900,30.3900,15.6449,6671400,0.0000
2009-03-31,29.3900,35.1032,27.0000,33.1200,17.0503,5130500,0.0000
2009-04-30,33.1100,39.3600,33.0100,38.6400,19.8921,5229200,0.0000
2009-05-29,39.0700,43.7200,38.6926,43.7000,22.4970,3227200,0.0000
2009-06-30,44.6200,45.4800,40.7300,42.1700,22.1833,6326200,0.8984
2009-07-31,42.5700,46.6100,39.6500,46.4100,24.4137,2965400,0.0000
2009-08-31,47.3900,50.4300,46.1300,49.5400,26.0602,4999700,0.0000
2009-09-30,48.9700,52.6100,47.6800,51.1900,26.9282,7269100,0.0000
2009-10-30,51.0000,53.6400,48.8900,49.3260,25.9477,4514100,0.0000
2009-11-30,49.6300,53.4600,48.7100,51.1600,26.9124,2712600,0.0000
2009-12-31,52.1200,52.9746,49.0800,50.3400,26.7952,4969400,0.5948
2010-01-29,51.3400,53.0900,47.7400,47.8300,25.4591,3495700,0.0000
2010-02-26,48.6200,49.5800,45.5100,47.7200,25.4006,4416200,0.0000
2010-03-31,47.7000,51.3400,47.6100,50.6500,26.9602,3742300,0.0000
2010-04-30,51.0700,52.9800,48.6000,49.1800,26.1777,2456200,0.0000
2010-05-28,49.4400,49.7900,41.3100,43.4500,23.1277,5402300,0.0000
2010-06-30,42.9300,45.8400,41.0800,41.2300,22.4248,3234500,0.9536
2010-07-30,41.7800,47.3100,41.2500,46.4400,25.2584,2664200,0.0000
2010-08-31,47.5600,48.5600,43.7800,44.6700,24.2958,3157600,0.0000
2010-09-30,45.7700,49.4200,45.6900,48.6600,26.4659,2379700,0.0000
2010-10-29,49.1100,51.4700,48.1548,50.7200,27.5863,1966900,0.0000
2010-11-30,50.7500,52.6600,47.0300,47.3400,25.7480,2296300,0.0000
2010-12-31,48.4800,51.6200,48.3819,50.7700,27.9921,3052800,0.6884
2011-01-31,51.0000,53.6319,49.5700,52.8600,29.1444,4120600,0.0000
2011-02-28,53.5800,55.4000,53.3400,54.8400,30.2361,3207400,0.0000
2011-03-31,55.0100,55.0400,48.4280,53.0100,29.2271,3026300,0.0000
2011-04-29,53.1300,56.3300,51.9300,56.2000,30.9859,2005800,0.0000
2011-05-31,56.2600,56.5600,51.4700,54.1600,29.8612,1769500,0.0000
2011-06-30,53.7700,53.8700,49.2700,52.3500,29.5594,2341600,1.2222
2011-07-29,52.2500,52.9005,48.7700,50.6100,28.5769,2498700,0.0000
2011-08-31,51.0500,51.1600,42.6600,45.9000,25.9174,4519500,0.0000
2011-09-30,45.7200,46.0587,39.5000,41.4900,23.4273,4003800,0.0000
2011-10-31,41.1600,48.5100,39.4100,45.3250,25.5927,3542900,0.0000
2011-11-30,43.4500,45.4100,40.0090,44.4100,25.0761,4263600,0.0000
2011-12-30,44.1000,44.9800,41.5000,42.7000,24.5153,6969000,0.7098
2012-01-31,43.5600,45.5200,42.0530,44.7900,25.7152,4275800,0.0000
2012-02-29,45.4600,47.8000,45.4000,47.0600,27.0185,2663400,0.0000
2012-03-30,47.2900,48.1600,45.2835,47.0000,26.9840,3183300,0.0000
2012-04-30,46.7200,47.5840,43.8710,45.4500,26.0941,1924300,0.0000
2012-05-31,45.2700,45.7610,39.6800,40.1500,23.0513,3338400,0.0000
2012-06-29,39.5600,43.1700,39.2200,42.4600,25.1291,4307900,1.2549
2012-07-31,42.4700,43.0400,39.6400,42.3000,25.0344,1809200,0.0000
2012-08-31,42.4800,45.0899,41.3100,44.1000,26.0997,2321400,0.0000
2012-09-28,43.9200,47.8520,43.5100,45.4100,26.8750,1816700,0.0000
2012-10-31,45.8700,47.6700,45.1201,46.1000,27.2834,5177800,0.0000
2012-11-30,46.3300,47.1400,44.1501,47.0100,27.8220,2336600,0.0000
2012-12-31,47.3100,48.8300,46.8400,48.6400,29.1305,4230700,0.5772
2013-01-31,49.4700,51.3400,48.7301,50.9800,30.5320,8625900,0.0000
2013-02-28,51.1600,51.3200,48.7100,49.6200,29.7174,3549800,0.0000
2013-03-28,49.3000,50.8900,49.0700,49.7380,29.7881,7561800,0.0000
2013-04-30,49.4300,52.9100,49.0000,52.8600,31.6579,2653200,0.0000
2013-05-31,52.8500,54.5999,51.0900,51.0900,30.5978,2960600,0.0000
2013-06-28,51.1900,52.0700,47.9300,48.3800,29.6370,4757400,1.1110
2013-07-31,48.9000,52.1900,48.0690,51.2300,31.3829,3414700,0.0000
2013-08-30,51.7700,52.6300,50.1878,50.2800,30.8009,3420300,0.0000
2013-09-30,51.3900,55.4800,50.9238,54.4100,33.3309,2287700,0.0000
