date,open,high,low,close,volume
2015-08-08,2.77212000,2.79881000,0.71472500,0.71487600,314143.61458333
2015-08-09,0.75332500,0.87981000,0.62919100,0.72934700,699826.37152778
2015-08-10,0.70189700,0.72985400,0.63654600,0.70770300,457747.90972222
2015-08-11,0.70844800,1.13141000,0.66323500,1.05767000,640632.22648084
2015-08-12,1.06786000,1.28994000,0.88360800,1.23767000,1971841.04166667
2015-08-13,1.21744000,1.96507000,1.17199000,1.82819000,2527863.36805556
2015-08-14,1.82767000,2.26188000,1.75475000,1.83231000,4904504.00696864
2015-08-15,1.82787000,1.87724000,1.57098000,1.69244000,3879626.97916667
2015-08-16,1.68890000,1.69524000,1.08981000,1.51268000,2881362.91666667
2015-08-17,1.56603000,1.58119000,1.18534000,1.20073000,2522015.27777778
2015-08-18,1.20361000,1.33116000,1.09508000,1.09508000,1763725.19163763
2015-08-19,1.08705000,1.31799000,1.08705000,1.25117000,1780392.24561404
2015-08-20,1.25886000,1.53330000,1.24833000,1.46545000,1814741.90972222
2015-08-21,1.46492000,1.55642000,1.35280000,1.41899000,2559589.93031359
2015-08-22,1.39529000,1.47641000,1.35268000,1.39285000,1637652.82229965
2015-08-23,1.37923000,1.40970000,1.29777000,1.35618000,1545373.49305556
2015-08-24,1.35259000,1.36278000,1.23411000,1.23411000,1032296.22027972
2015-08-25,1.23127000,1.24182000,1.12865000,1.14198000,1024865.39583333
2015-08-26,1.14019000,1.20248000,1.06183000,1.16774000,1326381.11111111
2015-08-27,1.15998000,1.18883000,1.13729000,1.14679000,771850.31250000
2015-08-28,1.14770000,1.20779000,1.12050000,1.18894000,776329.08710801
2015-08-29,1.19138000,1.20721000,1.14949000,1.18326000,513305.15384615
2015-08-30,1.18255000,1.36799000,1.17061000,1.32211000,823051.92013889
2015-08-31,1.31927000,1.39615000,1.20101000,1.35010000,1576243.06620209
2015-09-01,1.35824000,1.39274000,1.33663000,1.35144000,905847.85763889
2015-09-02,1.35161000,1.35491000,1.26462000,1.29173000,803286.13888889
2015-09-03,1.29479000,1.30999000,1.21103000,1.26749000,852918.96875000
2015-09-04,1.26493000,1.30252000,1.23681000,1.27439000,632752.07317073
2015-09-05,1.27441000,1.34230000,1.27119000,1.33472000,410887.14634146
2015-09-06,1.33881000,1.37364000,1.29425000,1.29730000,473902.00347222
2015-09-07,1.29583000,1.30548000,1.23785000,1.24782000,520974.36933798
2015-09-08,1.24665000,1.28238000,1.23061000,1.23828000,432909.45804196
2015-09-09,1.24243000,1.26048000,1.20184000,1.20568000,398141.39236111
2015-09-10,1.20651000,1.22157000,1.13615000,1.16993000,423983.14583333
2015-09-11,1.16577000,1.16907000,0.94067500,0.98046900,1332136.80139373
2015-09-12,0.98297800,1.11489000,0.96978000,1.04649000,1453662.43508772
2015-09-13,1.03874000,1.04270000,0.90283200,0.93439200,676234.55902778
2015-09-14,0.93600300,0.94938700,0.87291900,0.87840800,676442.64808362
2015-09-15,0.87562200,1.04554000,0.87518900,0.94164500,756126.10069444
2015-09-16,0.94441000,0.95269800,0.90163900,0.90594700,645381.36805556
2015-09-17,0.90717500,0.90920400,0.83113200,0.87514200,767418.89930556
2015-09-18,0.87423100,0.88810200,0.83390800,0.85187200,633124.73758865
2015-09-19,0.85368500,0.91188300,0.83378400,0.88460000,449810.50704225
2015-09-20,0.88239100,0.94774100,0.87320500,0.94340800,451320.12099644
2015-09-21,0.93844500,0.95732600,0.87830100,0.91850200,472865.30769231
2015-09-22,0.91933700,0.91933700,0.86522500,0.90200800,463404.02090592
2015-09-23,0.90179600,0.90891000,0.88513600,0.89611700,369019.45833333
2015-09-24,0.89340600,0.90857100,0.79346000,0.81789000,410509.79513889
2015-09-25,0.81361000,0.82566500,0.71274500,0.73428900,1076853.96478873
2015-09-26,0.73622300,0.78754400,0.70932800,0.78427000,511502.02807018
2015-09-27,0.78596400,0.79127700,0.71916900,0.72066700,387224.52777778
2015-09-28,0.72083900,0.72567700,0.55706200,0.57743300,843319.75174825
2015-09-29,0.58288600,0.67583000,0.55834600,0.65735800,1130990.04513889
2015-09-30,0.66114600,0.74672200,0.63586100,0.73112200,703821.06944444
2015-10-01,0.73864400,0.73864400,0.65590600,0.68799300,754235.57638889
2015-10-02,0.69021500,0.69112000,0.65460500,0.67462100,337308.62717770
2015-10-03,0.67857400,0.70920400,0.67548200,0.68715700,196374.78245614
2015-10-04,0.68717100,0.69312600,0.66071600,0.66870500,126950.53125000
2015-10-05,0.66837900,0.67443800,0.62445000,0.62445000,125451.49825784
2015-10-06,0.62864300,0.65394400,0.60623000,0.65061000,282330.63541667
2015-10-07,0.65064500,0.65630100,0.60242300,0.60923900,218422.18402778
2015-10-08,0.60938800,0.63313800,0.59197100,0.61913900,254929.14930556
2015-10-09,0.62171600,0.69229600,0.62171600,0.65142200,407040.88501742
2015-10-10,0.65062800,0.65062800,0.62437400,0.62688800,259412.56842105
2015-10-11,0.62785700,0.63950600,0.61833500,0.63516000,116624.24652778
2015-10-12,0.63496300,0.65778900,0.62611600,0.62827900,88257.40766551
2015-10-13,0.62603000,0.63024000,0.59921400,0.60822800,181925.29513889
2015-10-14,0.60765500,0.61224000,0.48397400,0.52192600,502059.62847222
2015-10-15,0.52296800,0.57271400,0.51473000,0.55952300,821727.32291667
2015-10-16,0.56187800,0.56886100,0.52253300,0.53619700,327595.11149826
2015-10-17,0.53649500,0.56346000,0.52696100,0.54802700,291859.29473684
2015-10-18,0.54717800,0.55223400,0.51286100,0.51719000,211258.69444444
2015-10-19,0.51773400,0.52154600,0.48099400,0.48877100,196519.14982578
2015-10-20,0.48901400,0.50189800,0.43164800,0.43857000,226038.36111111
2015-10-21,0.43482900,0.48298800,0.42089700,0.44960600,601015.74305556
2015-10-22,0.44732900,0.61946600,0.42099100,0.56519100,522825.06250000
2015-10-23,0.56770200,0.61174300,0.50428400,0.53812300,1079966.73170732
2015-10-24,0.53965700,0.57739600,0.51868800,0.56766600,572673.59219858
2015-10-25,0.56359000,0.68819200,0.56138300,0.61321400,412101.20138889
2015-10-26,0.61603900,0.75751700,0.59709800,0.73825400,750493.52613240
2015-10-27,0.73131700,0.89817200,0.70889000,0.86320200,1603239.54861111
2015-10-28,0.86964100,1.05579000,0.80785700,1.01001000,1627933.99305556
2015-10-29,1.00248000,1.19773000,0.94737400,1.19773000,2713880.45138889
2015-10-30,1.20666000,1.34505000,0.96816000,1.05007000,2667309.47735192
2015-10-31,1.04122000,1.05638000,0.90017100,0.91874700,1395796.25978648
2015-11-01,0.91662700,1.07674000,0.89908200,1.05345000,496327.73188406
2015-11-02,1.05567000,1.09979000,0.95364700,0.98943800,789260.21254355
2015-11-03,0.98978900,1.07044000,0.93661500,1.00935000,1590315.52083333
2015-11-04,1.01336000,1.03872000,0.72566500,0.90717600,2469384.02097902
2015-11-05,0.89905000,0.99125900,0.86038200,0.90819300,2445664.44444444
2015-11-06,0.89563700,0.98984800,0.85292900,0.92469000,891600.04878049
2015-11-07,0.92603200,0.94378700,0.86353900,0.92356900,1014469.14234875
2015-11-08,0.92797400,1.03268000,0.91566100,1.02298000,816699.68055556
2015-11-09,1.02747000,1.10642000,0.94526300,0.99788000,1799432.36933798
2015-11-10,0.99927800,1.05304000,0.92096800,0.93398300,1294142.86111111
2015-11-11,0.93434800,0.94527800,0.72977500,0.79748700,957689.29861111
2015-11-12,0.79182900,0.91391900,0.76351000,0.89636400,1261645.19791667
2015-11-13,0.89571100,0.91730900,0.84602300,0.90168500,605588.08362369
2015-11-14,0.90409600,0.90611300,0.87690800,0.88860200,476898.21071429
2015-11-15,0.88881200,0.92151600,0.87495700,0.91091500,374589.73611111
2015-11-16,0.90636800,0.94473200,0.89197100,0.92885500,547039.87108014
2015-11-17,0.92896200,1.03295000,0.90579400,1.00533000,711634.02777778
2015-11-18,1.00798000,1.01157000,0.94051600,0.99077000,1070041.54861111
2015-11-19,0.99331900,1.00797000,0.93749800,0.95465100,547534.27430556
2015-11-20,0.95553200,0.95573500,0.89857600,0.92876700,504578.30313589
2015-11-21,0.92492000,0.97874300,0.92094000,0.97711400,471216.05434783
2015-11-22,0.97614000,0.98413200,0.95898200,0.96715100,463066.05902778
2015-11-23,0.96801800,0.96905700,0.93387000,0.94675500,392507.15331010
2015-11-24,0.94696900,0.94805500,0.89593100,0.90160700,444668.50000000
2015-11-25,0.90019100,0.90019100,0.85110600,0.86346400,652920.08680556
2015-11-26,0.86353700,0.90364300,0.80436000,0.88786900,789302.74305556
2015-11-27,0.88418300,0.90005100,0.86069500,0.86647600,688716.44635193
2015-11-28,0.86795100,0.92929300,0.86212200,0.91558300,497279.98611111
2015-11-29,0.91570300,0.91570300,0.86053300,0.88008900,368439.59375000
2015-11-30,0.87861400,0.89505400,0.84769600,0.87377700,684882.24041812
2015-12-01,0.87311900,0.88673600,0.85393700,0.87628500,690526.19097222
2015-12-02,0.87480000,0.87801700,0.81892400,0.82046700,582775.86805556
2015-12-03,0.82121000,0.83766400,0.78508600,0.81417400,566498.33680556
2015-12-04,0.81214300,0.85957500,0.80237300,0.84395800,285269.56794425
2015-12-05,0.84004100,0.87282100,0.82444400,0.86048400,223696.84027778
2015-12-06,0.86243800,0.88243600,0.83311500,0.83349400,397401.68750000
2015-12-07,0.83550000,0.85079100,0.78765000,0.80699700,494205.67944251
2015-12-08,0.81126400,0.82364500,0.78232800,0.82200000,437603.89236111
2015-12-09,0.82211800,0.82445400,0.77048800,0.79147600,580216.10416667
2015-12-10,0.79216700,0.86159000,0.78729100,0.84287000,426574.01388889
2015-12-11,0.84039600,0.92836500,0.81978900,0.91340400,472733.19860627
2015-12-12,0.92976200,1.04537000,0.92854600,0.97096300,1307751.90625000
2015-12-13,0.97697300,0.98939400,0.93743800,0.95295100,641044.03472222
2015-12-14,0.95288400,1.01310000,0.95017800,0.99337800,460903.25783972
2015-12-15,0.99302200,1.02884000,0.98224000,1.01155000,586620.24305556
2015-12-16,1.01415000,1.01803000,0.97492700,0.99019300,405987.51041667
2015-12-17,0.99118200,0.99761100,0.91180700,0.94097400,501625.01736111
2015-12-18,0.94070100,0.94070100,0.90808100,0.92242200,432044.28919861
2015-12-19,0.92012700,0.92587400,0.88891600,0.91096700,307131.59375000
2015-12-20,0.90807200,0.94318500,0.89944100,0.90264900,374821.77777778
2015-12-21,0.90388500,0.91739000,0.89118200,0.90174300,557105.47902098
2015-12-22,0.90077100,0.90952600,0.86205900,0.86795400,448050.73611111
2015-12-23,0.86420200,0.88294000,0.85606500,0.86090200,457808.07638889
