date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,39.83,40.3,38.85,39.87,39.6838614174667,18896923,0.0,1.0
2025-11-24,39.9,41.12,39.9,40.79,40.5995662708419,15241042,0.0,1.0
2025-11-25,41.24,41.785,40.965,41.07,40.8782590523039,11446599,0.0,1.0
2025-11-26,41.78,42.49,41.56,42.15,41.9532169236574,13339372,0.0,1.0
2025-11-28,42.76,43.405,42.32,42.98,42.7793419544198,8848145,0.0,1.0
2025-12-01,43.4,43.93,42.995,43.07,42.8689217770326,14614783,0.0,1.0
2025-12-02,43.18,43.42,42.305,42.97,42.7693886407962,11131949,0.0,1.0
2025-12-03,44.325,45.09,44.13,44.53,44.3221055660845,22864286,0.0,1.0
2025-12-04,44.025,44.735,43.66,44.61,44.4017320750737,12392131,0.0,1.0
2025-12-05,45.27,45.97,45.12,45.2,44.9889775788687,20208133,0.0,1.0
2025-12-08,45.38,45.72,44.73,45.0,44.7899113063958,14832678,0.0,1.0
2025-12-09,44.13,45.2,43.93,44.8,44.5908450339229,10306601,0.0,1.0
2025-12-10,44.88,46.45,44.685,46.45,46.2331417818241,17054756,0.0000,1.0
2025-12-11,46.58,48.32,46.43,48.11,47.8853918433489,20740950,0.0000,1.0
2025-12-12,48.76,49.0,46.81,47.38,47.1587999488229,17034868,0.0000,1.0
2025-12-15,48.815,48.86,47.39,47.52,47.298146339554,15437660,0.0000,1.0
2025-12-16,47.31,47.675,46.62,47.54,47.3180529668012,15481468,0.0000,1.0
2025-12-17,48.11,48.24,47.37,47.82,47.5967457482633,15613001,0.0000,1.0
2025-12-18,48.07,48.295,47.32,47.92,47.6962788844997,15029535,0.0000,1.0
2025-12-19,48.07,49.636,48.07,49.15,48.9205364602078,21954842,0.0000,1.0
2025-12-22,50.0,50.95,49.91,50.64,50.4035801901307,15316628,0.0000,1.0
2025-12-23,51.61,52.29,50.99,51.9,51.6576977067098,14155683,0.0000,1.0
2025-12-24,51.93,51.99,51.23,51.92,51.6776043339571,4073916,0.0000,1.0
2025-12-26,53.05,53.765,52.64,53.04,52.7923754598052,14848316,0.0000,1.0
2025-12-29,51.565,52.22,51.17,51.48,51.2396585345168,15231717,0.0000,1.0
2025-12-30,52.24,52.38,50.85,51.41,51.1699853391513,10055676,0.0000,1.0
2025-12-31,51.3,51.51,50.66,50.79,50.5528798944854,8776792,0.0000,1.0
2026-01-02,51.725,52.185,51.0,51.93,51.6875576475807,11518427,0.0000,1.0
2026-01-05,53.625,54.445,53.29,54.41,54.1559794262443,26935114,0.0000,1.0
2026-01-06,56.01,57.12,55.67,56.15,55.8878559967583,35253261,0.0000,1.0
2026-01-07,55.23,55.58,53.85,55.5,55.2408906112215,20893981,0.0000,1.0
2026-01-08,54.615,54.615,53.285,54.22,53.9668664673951,22333084,0.0000,1.0
2026-01-09,55.45,56.71,54.57,56.53,56.2660819144567,19272707,0.0000,1.0
2026-01-12,57.745,58.83,57.16,58.71,58.435904284411,20373707,0.0000,1.0
2026-01-13,60.02,60.09,58.422,59.34,59.0629630427006,22060093,0.0000,1.0
2026-01-14,60.21,60.71,59.12,60.35,60.0682477186886,19747530,0.0000,1.0
2026-01-15,58.975,60.495,58.7,59.96,59.8293681917211,18285720,0.1500,1.0
2026-01-16,58.63,58.85,57.7,58.71,58.582091503268,21629929,0.0000,1.0
2026-01-20,59.095,60.38,58.35,60.07,59.939128540305,19394232,0.0000,1.0
2026-01-21,61.55,62.125,59.75,60.58,60.4480174291939,25719783,0.0000,1.0
2026-01-22,60.78,61.75,58.24,58.85,58.7217864923747,25597153,0.0000,1.0
2026-01-23,59.75,60.8062,58.38,60.41,60.2783877995643,24545846,0.0000,1.0
2026-01-26,63.415,63.575,61.1,61.17,61.0367320261438,31620210,0.0000,1.0
2026-01-27,61.5,63.18,61.27,62.87,62.7330283224401,19818044,0.0000,1.0
2026-01-28,64.125,64.67,62.02,63.63,63.4913725490196,22636450,0.0000,1.0
