ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-10,,,,0.668
2025-12-19,,,,0.725
2025-10-03,,,,0.672
2025-07-11,,,,0.654
2025-04-04,,,,0.597
2024-12-20,,,,0.723
2024-10-04,,,,0.642
2024-07-05,,,,0.625
2024-04-05,,,,0.553
2023-12-15,,,,0.702
2023-10-06,,,,0.559
2023-07-07,,,,0.602
2023-04-05,,,,0.538
2022-12-16,,,,0.636
2022-10-07,,,,0.581
2022-07-01,,,,0.577
2022-04-08,,,,0.462
2021-12-10,,,,0.583
2021-10-01,,,,0.527
2021-07-02,,,,0.496
2021-04-09,,,,0.413
2020-12-11,,,,0.586
2020-10-02,,,,0.456
2020-07-10,,,,0.498
2020-04-08,,,,0.542
2019-12-13,,,,0.751
2019-10-04,,,,0.502
2019-07-05,,,,0.48
2019-04-05,,,,0.574
2018-12-28,,,,0.106
2018-12-14,,,,0.875
2018-10-05,,,,0.45115
2018-07-06,,,,0.44901
2018-04-06,,,,0.49065
2017-12-15,,,,0.47807
2017-10-06,,,,0.45109
2017-07-07,,,,0.41889
2017-04-07,,,,0.49454
2016-12-16,,,,0.8338
2016-10-07,,,,0.38756
2016-07-08,,,,0.36881
2016-04-15,,,,0.384
2015-12-18,,,,0.61734
2015-10-02,,,,0.36619
2015-07-02,,,,0.44972
2015-04-10,,,,0.271
2015-04-02,,,,0.32635
2014-12-19,,,,0.157
2014-10-03,,,,0.33021
2014-07-03,,,,0.33398
2014-04-04,,,,0.298
2013-12-13,,,,0.34429
2013-10-04,,,,0.30939
2013-07-05,,,,0.27879
2013-04-05,,,,0.2714
2012-12-14,,,,0.34507
2012-10-05,,,,0.28192
2012-07-06,,,,0.28828
2012-04-04,,,,0.18607
2011-12-16,,,,0.25628
2011-10-07,,,,0.22287
2011-07-08,,,,0.23942
