date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-20,22.73,22.73,22.73,22.73,22.4994803453189,0,0.0,1.0
2025-11-21,22.98,22.98,22.98,22.98,22.7469449333669,0,0.0,1.0
2025-11-24,23.34,23.34,23.34,23.34,23.1032939401559,0,0.0,1.0
2025-11-25,23.58,23.58,23.58,23.58,23.3408599446819,0,0.0,1.0
2025-11-26,23.74,23.74,23.74,23.74,23.4992372810326,0,0.0,1.0
2025-11-28,23.88,23.88,23.88,23.88,23.6378174503395,0,0.0,1.0
2025-12-01,23.75,23.75,23.75,23.75,23.5091358645545,0,0.0,1.0
2025-12-02,23.8,23.8,23.8,23.8,23.5586287821641,0,0.0,1.0
2025-12-03,23.9,23.9,23.9,23.9,23.6576146173833,0,0.0,1.0
2025-12-04,23.94,23.94,23.94,23.94,23.697208951471,0,0.0,1.0
2025-12-05,23.98,23.98,23.98,23.98,23.7368032855586,0,0.0,1.0
2025-12-08,23.9,23.9,23.9,23.9,23.6576146173833,0,0.0,1.0
2025-12-09,23.88,23.88,23.88,23.88,23.6378174503395,0,0.0000,1.0
2025-12-10,24.06,24.06,24.06,24.06,23.815991953734,0,0.0000,1.0
2025-12-11,24.13,24.13,24.13,24.13,23.8852820383874,0,0.0000,1.0
2025-12-12,23.62,23.62,23.62,23.62,23.62,0,0.2420,1.0
2025-12-15,23.57,23.57,23.57,23.57,23.57,0,0.0000,1.0
2025-12-16,23.51,23.51,23.51,23.51,23.51,0,0.0000,1.0
2025-12-17,23.25,23.25,23.25,23.25,23.25,0,0.0000,1.0
2025-12-18,23.43,23.43,23.43,23.43,23.43,0,0.0000,1.0
2025-12-19,23.64,23.64,23.64,23.64,23.64,0,0.0000,1.0
2025-12-22,23.8,23.8,23.8,23.8,23.8,0,0.0000,1.0
2025-12-23,23.88,23.88,23.88,23.88,23.88,0,0.0000,1.0
2025-12-24,23.96,23.96,23.96,23.96,23.96,0,0.0000,1.0
2025-12-26,23.95,23.95,23.95,23.95,23.95,0,0.0000,1.0
2025-12-29,23.86,23.86,23.86,23.86,23.86,0,0.0000,1.0
2025-12-30,23.82,23.82,23.82,23.82,23.82,0,0.0000,1.0
2025-12-31,23.64,23.64,23.64,23.64,23.64,0,0.0000,1.0
2026-01-02,23.71,23.71,23.71,23.71,23.71,0,0.0000,1.0
2026-01-05,23.89,23.89,23.89,23.89,23.89,0,0.0000,1.0
2026-01-06,24.06,24.06,24.06,24.06,24.06,0,0.0000,1.0
2026-01-07,23.97,23.97,23.97,23.97,23.97,0,0.0000,1.0
2026-01-08,23.98,23.98,23.98,23.98,23.98,0,0.0000,1.0
2026-01-09,24.14,24.14,24.14,24.14,24.14,0,0.0000,1.0
2026-01-12,24.18,24.18,24.18,24.18,24.18,0,0.0000,1.0
2026-01-13,24.13,24.13,24.13,24.13,24.13,0,0.0000,1.0
2026-01-14,24.03,24.03,24.03,24.03,24.03,0,0.0000,1.0
2026-01-15,24.1,24.1,24.1,24.1,24.1,0,0.0000,1.0
2026-01-16,24.09,24.09,24.09,24.09,24.09,0,0.0000,1.0
2026-01-20,23.61,23.61,23.61,23.61,23.61,0,0.0000,1.0
2026-01-21,23.89,23.89,23.89,23.89,23.89,0,0.0000,1.0
2026-01-22,24.02,24.02,24.02,24.02,24.02,0,0.0000,1.0
2026-01-23,24.0,24.0,24.0,24.0,24.0,0,0.0000,1.0
2026-01-26,24.1,24.1,24.1,24.1,24.1,0,0.0000,1.0
2026-01-27,24.19,24.19,24.19,24.19,24.19,0,0.0000,1.0
2026-01-28,24.18,24.18,24.18,24.18,24.18,0,0.0000,1.0
2026-01-29,24.14,24.14,24.14,24.14,24.14,0,0.0000,1.0
2026-01-30,24.0,24.0,24.0,24.0,24.0,0,0.0000,1.0
2026-02-02,24.14,24.14,24.14,24.14,24.14,0,0.0000,1.0
2026-02-03,23.95,23.95,23.95,23.95,23.95,0,0.0000,1.0
2026-02-04,23.84,23.84,23.84,23.84,23.84,0,0.0000,1.0
