date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2016-04-29,26.4339,28.8100,26.2172,26.2300,25.9318,34420,0.0000
2016-05-31,26.5000,29.6700,25.9680,28.5700,28.2452,34139,0.0000
2016-06-30,28.4899,28.9712,25.8300,28.3900,28.0673,54189,0.0000
2016-07-29,28.3900,30.9690,28.3900,30.2000,29.8567,169722,0.0000
2016-08-31,30.0999,31.1876,29.6700,30.9899,30.6376,48317,0.0000
2016-09-30,31.0500,33.4000,30.8100,33.2300,32.8523,109962,0.0000
2016-10-31,33.3900,33.3900,31.5000,31.7100,31.3495,56852,0.0000
2016-11-30,31.7971,32.0212,29.7452,31.0900,30.7366,41888,0.0000
2016-12-30,31.0000,31.6500,30.0100,30.0500,29.7084,27643,0.0000
2017-01-31,30.2200,31.6668,30.0459,31.1201,30.7663,30569,0.0000
2017-02-28,31.4800,33.4300,31.4000,32.7838,32.4111,41357,0.0000
2017-03-31,33.0963,34.5000,32.8300,34.0799,33.6925,31765,0.0000
2017-04-28,34.1600,36.0965,33.5335,36.0965,35.6862,33113,0.0000
2017-05-31,36.3900,40.6900,36.2501,40.4200,39.9605,299624,0.0000
2017-06-30,40.7500,43.1232,40.6000,41.0800,40.6130,692665,0.0000
2017-07-31,41.5600,43.0000,39.9900,42.3400,41.8587,302310,0.0000
2017-08-31,42.4200,44.1400,41.5284,44.1379,43.6362,285667,0.0000
2017-09-29,44.5000,45.9999,43.0010,44.4160,43.9111,339334,0.0000
2017-10-31,44.5800,46.0000,44.4461,45.8800,45.3585,259349,0.0000
2017-11-30,46.2300,48.1000,45.6100,46.5600,46.0307,472875,0.0000
2017-12-29,46.7200,48.4800,44.7400,47.9200,47.3753,388099,0.0000
2018-01-31,48.2500,51.9300,48.2500,51.5500,50.9640,1035275,0.0000
2018-02-28,51.5500,51.5800,45.3000,49.1000,48.5419,639602,0.0000
2018-03-29,49.1700,51.4900,47.5800,48.5800,48.0278,406980,0.0000
2018-04-30,48.9800,48.9800,46.2700,47.3400,46.8019,269442,0.0000
2018-05-31,47.0400,53.7400,47.0400,53.1330,52.5290,674293,0.0000
2018-06-29,53.2900,55.0000,48.1000,49.2400,48.6803,604161,0.0000
2018-07-31,48.5000,50.8760,47.7500,47.8900,47.3456,666912,0.0000
2018-08-31,47.8600,48.4000,44.8000,47.5400,46.9996,802308,0.0000
2018-09-28,47.4900,47.8590,46.1400,47.3000,46.7623,329176,0.0000
2018-10-31,47.6700,47.8500,38.6550,40.9700,40.5043,608030,0.0000
2018-11-30,41.3900,43.3500,38.5880,41.3400,40.8701,299916,0.0000
2018-12-31,41.9900,42.1700,37.0200,38.9000,38.4578,496911,0.0000
2019-01-31,38.6900,42.9000,38.0500,42.6800,42.1948,251688,0.0000
2019-02-28,42.4720,43.0000,41.0400,42.2700,41.7895,262347,0.0000
2019-03-29,42.7200,44.7200,41.4600,44.5900,44.0831,386372,0.0000
2019-04-30,44.7900,45.9300,44.5910,45.1800,44.6664,213155,0.0000
2019-05-31,45.4100,45.5980,41.9700,42.1640,41.6847,231314,0.0000
2019-06-28,42.3800,43.9450,41.8600,42.7060,42.2205,253996,0.0000
2019-07-31,42.9900,42.9980,40.4900,40.7970,40.3332,254197,0.0000
2019-08-30,41.0100,41.5400,38.2600,40.4500,39.9902,251647,0.0000
2019-09-30,40.2000,42.4940,40.2000,41.5300,41.0579,187992,0.0000
2019-10-31,41.3400,42.1500,40.3620,41.5000,41.0282,200025,0.0000
2019-11-29,42.0800,42.9470,41.9000,42.7600,42.2739,293424,0.0000
2019-12-31,42.6700,44.9590,42.1100,44.6400,44.1325,322819,0.0000
2020-01-31,45.0200,47.2400,44.2000,44.6240,44.1167,240897,0.0000
2020-02-28,45.0100,48.3600,42.5900,43.9200,43.4207,245904,0.0000
2020-03-31,44.5300,46.7000,35.5000,42.5200,42.0366,562784,0.0000
2020-04-30,41.4700,48.0100,41.3200,46.9060,46.3728,354274,0.0000
2020-05-29,46.1500,52.8800,45.8800,52.3400,51.7450,517134,0.0000
2020-06-30,52.7900,58.0000,52.5500,57.3500,56.6981,455810,0.0000
2020-07-31,57.7600,62.3900,57.5000,61.8600,61.1568,590460,0.0000
2020-08-31,63.5900,68.4920,63.5900,67.6178,66.8491,388004,0.0000
2020-09-30,68.2100,70.6300,65.0000,67.9400,67.1677,480780,0.0000
2020-10-30,68.5000,69.5400,65.9001,66.1400,65.3881,360810,0.0000
2020-11-30,66.6900,75.1800,66.0000,74.5600,73.7124,387254,0.0000
2020-12-31,75.9400,79.7000,73.8900,78.9391,78.0418,386205,0.0000
2021-01-29,79.8500,120.7600,78.7500,107.2600,106.0407,1503780,0.0000
2021-02-26,105.8800,107.7000,83.3020,87.5274,86.5324,875069,0.0000
2021-03-31,88.8800,106.0000,86.8810,97.0700,95.9665,585692,0.0000
2021-04-30,98.3950,102.5500,97.8654,98.2700,97.1529,271006,0.0000
2021-05-28,98.5100,98.6706,89.9120,97.5264,96.4178,171755,0.0000
2021-06-30,97.7900,98.7900,93.4500,95.3700,94.2859,840683,0.0000
2021-07-30,95.1000,95.4100,89.1100,90.4916,89.4629,852047,0.0000
2021-08-31,90.5300,90.9600,83.5200,89.5987,88.5802,500494,0.0000
2021-09-30,90.5300,91.7611,82.3210,83.5372,82.5876,113161,0.0000
2021-10-29,83.4100,91.3400,81.2400,90.5600,89.5305,136089,0.0000
2021-11-30,91.3800,99.6990,91.1758,92.6820,91.6284,182038,0.0000
2021-12-31,93.2000,93.2000,86.0500,87.8700,86.8711,157801,0.0000
2022-01-31,89.0400,89.0400,74.9300,79.8772,78.9692,162830,0.0000
2022-02-28,80.2300,83.0053,72.2550,78.0035,77.1168,116818,0.0000
2022-03-31,78.0200,78.6000,68.6900,75.7435,74.8825,84083,0.0000
2022-04-29,77.2900,78.9400,64.2650,65.0303,64.2911,114967,0.0000
2022-05-31,64.6600,68.0043,58.5200,67.2752,66.5104,118673,0.0000
2022-06-30,67.0600,68.0534,58.7200,59.2357,58.5623,53551,0.0000
2022-07-29,59.0400,63.4200,58.4800,62.4811,61.7708,52583,0.0000
2022-08-31,61.9200,66.0410,58.4400,58.9908,58.3202,44902,0.0000
2022-09-30,57.9100,59.0100,50.5800,50.7473,50.1704,82413,0.0000
2022-10-31,50.9600,54.1300,47.4400,50.8899,50.3114,93450,0.0000
2022-11-30,52.2800,57.9000,50.2100,56.3200,55.6798,125427,0.0000
2022-12-30,56.8700,58.1700,52.5000,55.3900,54.7603,90522,0.0000
2023-01-31,55.5200,61.3299,55.3400,60.3439,59.6579,68896,0.0000
2023-02-28,60.4000,62.8800,56.2400,57.3887,56.7363,107986,0.0000
2023-03-31,58.0600,61.1627,56.2100,61.1627,60.4674,101500,0.0000
2023-04-28,60.9200,62.3300,58.6600,60.1479,59.4642,43526,0.0000
2023-05-31,59.9799,60.8901,58.2800,59.0580,58.3867,77323,0.0000
2023-06-30,59.4800,63.1200,59.4800,60.7595,60.0688,39336,0.0000
2023-07-31,60.9900,63.0592,58.5000,62.7994,62.0855,26180,0.0000
2023-08-31,62.1300,62.3000,55.1100,57.0351,56.3867,36738,0.0000
2023-09-29,57.5200,57.9300,52.6800,53.5000,52.8918,30568,0.0000
2023-10-31,52.6400,53.7200,50.0400,51.1263,50.5451,45768,0.0000
2023-11-30,51.2100,57.3200,50.7772,56.6099,55.9664,133523,0.0000
2023-12-29,56.4800,59.7100,55.1000,59.2038,58.5308,59784,0.0000
2024-01-31,58.2200,58.4800,54.2600,55.9097,55.2741,64005,0.0000
2024-02-29,56.4620,59.2864,56.4620,57.4439,56.7909,44439,0.0000
2024-03-28,57.8500,59.3800,56.4200,58.2399,57.5939,33091,0.0161
2024-04-30,57.8700,58.3150,53.4700,54.7715,54.1640,28861,0.0000
2024-05-31,55.0000,64.6200,55.0000,60.5100,59.8388,52452,0.0000
2024-06-28,62.5600,64.4000,59.5000,61.6450,60.9613,29015,0.0000
2024-07-31,61.6600,64.0000,60.0200,61.8100,61.1244,22730,0.0000
2024-08-30,62.2500,63.5150,56.4500,62.4850,61.7919,26184,0.0000
2024-09-30,61.0200,67.0000,59.4300,65.7542,65.0407,24281,0.0160
2024-10-31,66.6000,67.1400,62.6000,64.3266,63.6286,19646,0.0000
2024-11-29,64.6669,68.1750,63.2350,67.8740,67.1375,43119,0.0000
2024-12-31,68.4200,70.2900,65.1300,65.4419,65.1053,27030,0.3798
2025-01-31,65.8400,68.9300,63.6759,67.7675,67.4189,40757,0.0000
2025-02-28,66.5800,75.1900,66.5800,69.5950,69.2370,34718,0.0000
2025-03-31,70.6700,71.2750,65.5300,66.2536,65.9128,31112,0.0000
