date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2015-06-30,33.0000,33.0000,28.0000,30.1200,0.2957,77688,0.0000
2015-07-31,30.0100,32.0000,29.3100,30.1500,0.2960,127312,0.0000
2015-08-31,30.5000,30.5000,21.2200,26.0000,0.2553,35190,0.0000
2015-09-30,26.2500,30.0000,26.0000,28.0100,0.2750,36215,0.0000
2015-10-30,27.7500,33.9000,26.0100,33.9000,0.3329,142411,0.0000
2015-11-30,34.2600,57.0000,34.2600,45.0000,0.4419,305859,0.0000
2015-12-31,46.0000,72.5000,44.2500,63.0000,0.6186,270896,0.0000
2016-01-29,63.0000,65.9300,38.9900,43.0000,0.4222,212866,0.0000
2016-02-29,42.7500,59.0000,40.0000,56.0000,0.5499,91987,0.0000
2016-03-31,57.0000,58.0000,50.2500,54.4000,0.5342,73986,0.0000
2016-04-29,54.4000,79.5000,54.1400,71.7000,0.7040,143757,0.0000
2016-05-31,71.7000,81.7000,60.0000,78.1000,0.7669,153943,0.0000
2016-06-30,79.5000,144.0000,76.2500,119.5500,1.1739,467940,0.0000
2016-07-29,119.0000,123.0000,86.0000,95.0000,0.9328,165112,0.0000
2016-08-31,91.0000,104.0000,74.9000,82.0000,0.8052,152072,0.0000
2016-09-30,80.1000,96.5000,79.0000,90.0000,0.8837,60078,0.0000
2016-10-31,91.2500,107.9000,86.0000,107.9000,1.0595,71962,0.0000
2016-11-30,110.0000,110.0000,92.5000,98.5000,0.9672,134736,0.0000
2016-12-30,98.0000,127.5000,98.0000,121.6500,1.1945,239225,0.0000
2017-01-31,130.5000,152.0000,105.0000,108.4950,1.0653,658779,0.0000
2017-02-28,110.0000,120.0500,102.5000,115.0000,1.1292,490348,0.0000
2017-03-31,116.5000,139.5000,104.0000,116.1100,1.1401,791433,0.0000
2017-04-28,120.0000,143.0000,118.2000,137.7000,1.3521,279610,0.0000
2017-05-31,143.9550,565.0000,143.0100,484.0500,4.7529,2331486,0.0000
2017-06-30,521.5000,560.0000,297.5000,390.0000,3.8294,1487212,0.0000
2017-07-31,390.1000,430.0000,252.0000,420.0000,4.1240,637343,0.0000
2017-08-31,415.2400,1064.9500,399.0000,1005.0000,9.8681,1676146,0.0000
2017-09-29,1003.1200,1025.7400,481.0000,702.0000,6.8930,1802827,0.0000
2017-10-31,719.5000,834.7500,601.0000,828.3600,8.1337,1059991,0.0000
