date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,10.58,10.86,10.58,10.81,10.4343573101444,400997,0.0,1.0
2025-11-24,10.79,10.8,10.59,10.72,10.347484770097,566524,0.0,1.0
2025-11-25,10.72,11.05,10.72,11.05,10.6660174169377,490311,0.0,1.0
2025-11-26,10.99,11.1,10.97,11.02,10.6370599035885,388252,0.0,1.0
2025-11-28,11.03,11.08,10.995,11.06,10.6756699213874,196175,0.0,1.0
2025-12-01,10.99,11.0899,10.935,10.96,10.5791448768902,316011,0.0,1.0
2025-12-02,10.968,11.008,10.73,10.75,10.3764422834461,652008,0.0,1.0
2025-12-03,10.8,10.865,10.73,10.86,10.482619832393,407312,0.0,1.0
2025-12-04,10.792,10.96,10.792,10.88,10.5019248412925,444036,0.0,1.0
2025-12-05,10.9,10.995,10.84,10.87,10.4922723368427,360172,0.0,1.0
2025-12-08,10.9,10.91,10.715,10.82,10.4440098145942,697944,0.0,1.0
2025-12-09,10.82,11.02,10.65,10.71,10.3378322656473,848833,0.0,1.0
2025-12-10,10.76,10.83,10.681,10.76,10.3041855230071,1076333,0.0000,1.0
2025-12-11,10.81,10.965,10.75,10.8,10.3424910453974,767868,0.0000,1.0
2025-12-12,10.87,10.93,10.81,10.85,10.3903729483854,502061,0.0000,1.0
2025-12-15,10.81,10.93,10.8,10.9,10.4382548513734,422149,0.0000,1.0
2025-12-16,10.9,10.992,10.86,10.91,10.4478312319709,469795,0.0000,1.0
2025-12-17,10.91,11.07,10.91,11.03,10.562747799142,449738,0.0000,1.0
2025-12-18,11.06,11.125,11.012,11.05,10.5819005603372,397879,0.0000,1.0
2025-12-19,11.012,11.03,10.78,10.81,10.352067425995,975282,0.0000,1.0
2025-12-22,10.71,10.7499,10.61,10.64,10.2850327618119,498496,0.1000,1.0
2025-12-23,10.64,10.64,10.365,10.38,10.0337067732714,728862,0.0000,1.0
2025-12-24,10.36,10.47,10.33,10.44,10.0917050783192,334330,0.0000,1.0
2025-12-26,10.42,10.552,10.405,10.53,10.1787025358909,406241,0.0000,1.0
2025-12-29,10.53,10.645,10.475,10.55,10.1980353042402,662356,0.0000,1.0
2025-12-30,10.55,10.715,10.522,10.68,10.3236982985104,561485,0.0000,1.0
2025-12-31,10.67,10.7099,10.615,10.67,10.3140319143358,443682,0.0000,1.0
2026-01-02,10.67,10.9,10.5999,10.79,10.4300285244314,421576,0.0000,1.0
2026-01-05,10.8,11.025,10.732,10.87,10.5073595978285,622548,0.0000,1.0
2026-01-06,10.86,10.99,10.785,10.95,10.5846906712256,461471,0.0000,1.0
2026-01-07,10.99,11.0301,10.92,11.01,10.6426889762734,341117,0.0000,1.0
2026-01-08,10.97,11.21,10.93,11.14,10.7683519705437,419423,0.0000,1.0
2026-01-09,11.16,11.235,11.09,11.2,10.8263502755915,302709,0.0000,1.0
2026-01-12,11.23,11.395,11.1601,11.3,10.9230141173378,484101,0.0000,1.0
2026-01-13,11.32,11.378,11.13,11.26,10.8843485806393,356768,0.0000,1.0
2026-01-14,11.26,11.52,11.26,11.48,11.0970090324813,381416,0.0000,1.0
2026-01-15,11.48,11.635,11.47,11.59,11.2033392584023,485008,0.0000,1.0
2026-01-16,11.572,11.735,11.52,11.72,11.3290022526725,502931,0.0000,1.0
2026-01-20,11.62,11.66,11.46,11.57,11.184006490053,512881,0.0000,1.0
2026-01-21,11.57,11.64,11.3899,11.58,11.1936728742276,445966,0.0000,1.0
2026-01-22,11.64,11.7,11.46,11.49,11.1066754166559,487404,0.0000,1.0
2026-01-23,11.34,11.4285,11.245,11.41,11.1260081850052,487291,0.1000,1.0
2026-01-26,11.45,11.47,11.2338,11.31,11.0284971579674,346000,0.0000,1.0
2026-01-27,11.305,11.425,11.27,11.4,11.1162570823014,362927,0.0000,1.0
2026-01-28,11.4,11.49,11.205,11.26,10.9797416444486,449299,0.0000,1.0
2026-01-29,11.32,11.52,11.29,11.52,11.2332703147467,440943,0.0000,1.0
2026-01-30,11.51,11.66,11.385,11.65,11.3600346498957,554427,0.0000,1.0
2026-02-02,11.62,11.68,11.5069,11.61,11.3210302390806,584204,0.0000,1.0
2026-02-03,11.54,11.76,11.44,11.54,11.2527725201542,608085,0.0000,1.0
2026-02-04,11.625,11.78,11.61,11.73,11.4380434715259,542006,0.0000,1.0
2026-02-05,11.78,11.85,11.64,11.7,11.4087901634146,613631,0.0000,1.0
2026-02-06,11.71,11.785,11.44,11.52,11.2332703147467,600076,0.0000,1.0
2026-02-09,11.49,11.535,11.28,11.5,11.2137681093391,435228,0.0000,1.0
2026-02-10,11.49,11.6865,11.49,11.6,11.3112791363769,301367,0.0000,1.0
2026-02-11,11.6,11.655,11.51,11.58,11.2917769309693,323520,0.0000,1.0
2026-02-12,11.61,11.7,11.4,11.53,11.2430214174505,375752,0.0000,1.0
2026-02-13,11.54,11.77,11.54,11.67,11.3795368553033,497320,0.0000,1.0
2026-02-17,11.63,11.74,11.53,11.72,11.4282923688221,645143,0.0000,1.0
2026-02-18,11.61,11.61,11.4125,11.44,11.2527725201542,443632,0.1000,1.0
2026-02-19,11.76,12.255,11.715,12.01,11.8134438782388,1262943,0.0000,1.0
2026-02-20,12.05,12.675,12.05,12.55,12.3446062174769,961243,0.0000,1.0
2026-02-23,12.5,12.975,12.49,12.74,12.5314966701718,805554,0.0000,1.0
2026-02-24,12.75,12.76,12.44,12.51,12.3052608590148,573303,0.0000,1.0
2026-02-25,12.5,12.59,12.36,12.48,12.2757518401682,538924,0.0000,1.0
2026-02-26,12.48,12.86,12.48,12.76,12.5511693494028,677088,0.0000,1.0
2026-02-27,12.67,12.77,12.485,12.49,12.2855881797838,654623,0.0000,1.0
2026-03-02,12.32,12.39,12.17,12.34,12.138043085551,487803,0.0000,1.0
2026-03-03,12.14,12.38,12.0899,12.29,12.0888613874734,346454,0.0000,1.0
2026-03-04,12.25,12.53,12.15,12.49,12.2855881797838,327429,0.0000,1.0
2026-03-05,12.44,12.525,12.26,12.46,12.2560791609372,601662,0.0000,1.0
2026-03-06,12.44,12.49,12.34,12.36,12.157715764782,352545,0.0000,1.0
2026-03-09,12.28,12.405,12.0508,12.34,12.138043085551,405053,0.0000,1.0
2026-03-10,12.24,12.435,12.2,12.36,12.157715764782,279566,0.0000,1.0
2026-03-11,12.31,12.32,12.1779,12.26,12.0593523686268,284778,0.0000,1.0
2026-03-12,12.11,12.27,12.0927,12.14,11.9413162932406,322435,0.0000,1.0
2026-03-13,12.22,12.3375,12.01,12.05,11.8527892367009,311071,0.0000,1.0
2026-03-16,12.14,12.305,12.09,12.23,12.0298433497803,271082,0.0000,1.0
2026-03-17,12.29,12.375,12.21,12.22,12.0200070101647,267298,0.0000,1.0
2026-03-18,12.15,12.2499,11.985,12.02,11.8232802178544,485015,0.0000,1.0
2026-03-19,11.93,12.11,11.88,12.03,11.8331165574699,435469,0.0000,1.0
2026-03-20,12.05,12.088,11.69,11.7,11.5085173501577,1024095,0.0000,1.0
2026-03-23,11.625,11.735,11.38,11.6,11.5085173501577,598231,0.1000,1.0
2026-03-24,11.5,11.575,11.225,11.24,11.151356466877,559756,0.0000,1.0
2026-03-25,11.3,11.39,11.05,11.27,11.181119873817,616937,0.0000,1.0
2026-03-26,11.19,11.375,11.19,11.28,11.1910410094637,458488,0.0000,1.0
2026-03-27,11.26,11.34,10.965,10.99,10.9033280757098,536533,0.0000,1.0
2026-03-30,11.09,11.42,11.05,11.32,11.2307255520505,484749,0.0000,1.0
2026-03-31,11.48,11.6,11.335,11.43,11.339858044164,436047,0.0000,1.0
2026-04-01,11.43,11.585,11.385,11.56,11.468832807571,323766,0.0000,1.0
2026-04-02,11.49,11.73,11.47,11.7,11.6077287066246,366394,0.0000,1.0
2026-04-06,11.66,11.76,11.64,11.68,11.5878864353312,297539,0.0000,1.0
2026-04-07,11.68,11.76,11.63,11.72,11.627570977918,346532,0.0000,1.0
2026-04-08,11.96,11.99,11.87,11.94,11.8458359621451,354403,0.0000,1.0
2026-04-09,11.88,12.1999,11.88,12.13,12.0343375394322,260196,0.0000,1.0
2026-04-10,12.15,12.24,12.105,12.2,12.103785488959,325205,0.0000,1.0
2026-04-13,12.15,12.27,12.115,12.25,12.1533911671924,253465,0.0000,1.0
2026-04-14,12.25,12.42,12.23,12.41,12.3121293375394,357090,0.0000,1.0
2026-04-15,12.38,12.46,12.34,12.45,12.3518138801262,277366,0.0000,1.0
2026-04-16,12.49,12.58,12.46,12.52,12.421261829653,236556,0.0000,1.0
2026-04-17,12.68,12.85,12.58,12.8,12.6990536277603,376653,0.0000,1.0
2026-04-20,12.78,12.83,12.71,12.75,12.6494479495268,282209,0.0000,1.0
2026-04-21,12.76,12.785,12.53,12.57,12.4708675078864,350723,0.0000,1.0
2026-04-22,12.59,12.65,12.505,12.56,12.4609463722397,295486,0.0000,1.0
2026-04-23,12.61,12.715,12.495,12.53,12.4311829652997,424815,0.0000,1.0
2026-04-24,12.4,12.6,12.3001,12.58,12.58,220434,0.1000,1.0
2026-04-27,12.57,12.725,12.57,12.6,12.6,337309,0.0000,1.0
2026-04-28,12.67,12.76,12.6,12.75,12.75,344585,0.0000,1.0
2026-04-29,12.63,12.72,12.505,12.58,12.58,383469,0.0000,1.0
2026-04-30,12.56,12.805,12.56,12.61,12.61,658250,0.0000,1.0
2026-05-01,12.6,12.865,12.57,12.85,12.85,308714,0.0000,1.0
2026-05-04,12.76,12.875,12.7,12.78,12.78,360008,0.0000,1.0
2026-05-05,12.78,12.9,12.765,12.87,12.87,320155,0.0000,1.0
