date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2003-09-30,15.2000,15.3000,14.4600,14.7490,2.3702,1073700,0.0000
2003-10-31,14.7500,15.6800,14.7100,15.0300,2.4153,843700,0.0000
2003-11-28,15.2900,16.6800,15.0000,16.2100,2.6049,709200,0.0000
2003-12-31,16.4000,17.1500,16.2100,16.8500,2.7094,461800,0.0100
2004-01-30,16.6000,17.4000,16.3000,16.8500,2.7094,301400,0.0000
2004-02-27,17.0000,17.1200,16.6000,16.8300,2.7062,272000,0.0000
2004-03-31,16.8300,17.2600,16.7000,17.1000,2.7689,745200,0.1200
2004-04-30,17.1500,17.1500,16.1500,16.2700,2.6345,639300,0.0000
2004-05-28,16.2700,16.4700,15.2700,16.1900,2.6215,302800,0.0000
2004-06-30,16.2100,16.7200,15.9000,16.5000,2.6910,224000,0.1200
2004-07-30,16.4000,16.7000,16.0500,16.4300,2.6796,164000,0.0000
2004-08-31,16.1900,17.1600,15.4000,16.3100,2.6600,590300,0.0000
2004-09-30,16.5100,17.3500,15.9900,16.2100,2.6634,168900,0.1200
2004-10-29,16.1800,16.8000,15.9100,16.3500,2.6864,123100,0.0000
2004-11-30,16.6000,17.4400,15.7600,16.7300,2.7489,353800,0.0000
2004-12-31,16.7900,17.3700,16.1500,17.1000,2.8298,202800,0.1200
2005-01-31,17.0900,17.8500,16.4900,16.7000,2.7735,337000,0.0600
2005-02-28,16.5610,17.0000,16.2700,16.5900,2.7652,312900,0.0600
2005-03-31,16.5800,16.9500,16.3000,16.4400,2.7501,508900,0.0600
2005-04-29,16.6200,16.7000,15.6500,16.5000,2.7736,332700,0.0800
2005-05-31,16.5000,16.6000,14.9000,15.3190,2.5879,540900,0.0800
2005-06-30,15.2300,16.0700,15.1000,15.7600,2.6763,867100,0.0800
2005-07-29,15.7000,16.7000,15.6900,16.3500,2.7905,328500,0.0800
2005-08-31,16.4000,17.7500,15.8200,16.8000,2.8815,445600,0.0800
2005-09-30,16.8500,17.2000,16.3000,16.7900,2.8934,217100,0.0800
2005-10-31,16.7900,16.9500,15.7500,16.6600,2.8884,233200,0.1000
2005-11-30,15.7200,16.8500,15.7200,16.7400,2.9195,270000,0.1000
2005-12-30,16.7900,16.9300,15.5500,16.5000,2.8950,318700,0.1000
2006-01-31,16.4000,18.3800,16.3420,18.0000,3.1807,677500,0.1200
2006-02-28,18.0500,19.3500,17.7600,18.7500,3.3343,511000,0.1200
2006-03-31,18.6100,20.2500,18.6100,20.2500,3.6235,414500,0.1200
2006-04-28,20.1700,20.4700,19.2300,19.8500,3.5737,205600,0.1200
2006-05-31,19.9240,20.1500,17.1500,18.4900,3.3511,264600,0.1200
2006-06-30,18.2900,19.3400,17.6600,18.7600,3.4224,224200,0.1200
2006-07-31,18.8900,19.8300,18.1300,19.3600,3.5544,122800,0.1200
2006-08-31,19.3600,20.3500,19.0100,20.2000,3.7316,296500,0.1200
2006-09-29,20.0000,21.0000,19.7500,20.1000,3.7353,253500,0.1200
2006-10-31,20.1984,22.9000,20.1100,21.8500,4.0844,295200,0.1200
2006-11-30,21.8600,21.8600,19.7145,20.1100,3.7812,624300,0.1200
2006-12-29,20.1250,20.8400,19.5900,20.1400,3.8093,408600,0.1200
2007-01-31,20.1100,20.4800,18.9700,20.3000,3.8635,371500,0.1200
2007-02-28,20.2900,20.7300,19.8000,20.2500,3.8765,192800,0.1200
2007-03-30,20.0400,20.3700,19.3900,20.0500,3.8615,266200,0.1200
2007-04-30,20.0000,20.4900,19.7300,19.9500,3.8650,184300,0.1200
2007-05-31,19.9800,20.4000,19.6800,20.1000,3.9176,236300,0.1200
2007-06-29,20.0900,20.4300,18.7600,19.6000,3.8434,251300,0.1200
2007-07-31,19.5788,20.2500,18.2001,18.3200,3.6144,196900,0.1200
2007-08-31,18.4000,19.6200,16.9000,18.1400,3.6024,254400,0.1200
2007-09-28,18.3100,20.1800,17.8000,18.6400,3.7238,178500,0.1200
2007-10-31,19.9900,19.9900,17.6500,18.7400,3.7678,185800,0.1200
2007-11-30,18.4400,19.6500,16.0100,17.2500,3.4924,315400,0.1200
2007-12-31,17.2500,17.9600,14.7500,17.5400,3.5781,455300,0.1200
2008-01-31,16.5000,17.8400,15.6500,16.6400,3.4200,221400,0.1250
2008-02-29,16.7300,18.5000,15.9300,17.2600,3.5725,182600,0.1250
2008-03-31,16.9800,18.3700,14.8100,15.5500,3.2449,326700,0.1250
2008-04-30,15.8600,18.4900,15.3600,17.4100,3.6609,256000,0.1250
2008-05-30,17.2500,18.5000,16.3100,18.0300,3.8177,190300,0.1250
2008-06-30,18.3400,18.4700,16.3500,17.3300,3.6961,168700,0.1250
2008-07-31,17.3200,17.3800,13.9600,16.8900,3.6293,291900,0.1250
2008-08-29,16.5200,16.9800,14.2900,15.3600,3.3287,337600,0.1250
2008-09-30,15.1900,15.9100,14.4100,15.2700,3.3378,341900,0.1250
2008-10-31,14.9400,15.8900,8.3000,11.6800,2.5767,486400,0.1250
