date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2012-03-30,24.8200,24.9200,24.3900,24.6300,18.9685,12676600,0.0000
2012-04-30,24.6500,24.9800,24.4202,24.9330,19.2137,1979600,0.0152
2012-05-31,24.9060,25.4800,24.8604,25.4100,19.5972,2907800,0.0202
2012-06-29,25.4900,25.5200,25.2000,25.2600,19.4959,1605000,0.0189
2012-07-31,25.3000,25.5988,25.2703,25.4900,19.6891,1798200,0.0201
2012-08-31,25.4500,25.5199,25.0680,25.4400,19.6664,3671000,0.0206
2012-09-28,25.4400,25.4400,25.0700,25.3200,19.5889,1742500,0.0199
2012-10-31,25.3200,25.3500,25.0900,25.2700,19.5649,12794200,0.0191
2012-11-30,25.2300,25.4300,25.1400,25.3500,19.6502,5202300,0.0300
2012-12-31,25.4900,25.4900,25.1000,25.1600,19.5411,935500,0.0494
2013-01-31,25.1200,25.1800,24.9500,25.0100,19.4246,2855900,0.0000
2013-02-28,25.0492,25.1600,24.9200,25.1100,19.5169,1236200,0.0187
2013-03-28,25.1368,25.1700,24.9110,25.1400,19.5531,2809800,0.0166
2013-04-30,25.1000,25.3600,25.0900,25.3200,19.7090,2679400,0.0203
2013-05-31,25.3400,25.3600,24.8000,24.8600,19.3706,1033000,0.0257
2013-06-28,24.8400,25.1300,24.4001,24.5790,19.1643,998000,0.0164
2013-07-31,24.5800,24.6474,24.1300,24.5100,19.1222,976400,0.0151
2013-08-30,24.5100,24.6900,24.2080,24.3700,19.0269,922900,0.0179
2013-09-30,24.2900,25.4100,23.8200,24.5541,19.1839,989100,0.0168
2013-10-31,24.4900,24.8000,24.3400,24.6100,19.2413,1037400,0.0175
2013-11-29,24.5700,24.6100,24.3400,24.5400,19.2026,769000,0.0206
2013-12-31,24.4799,24.5164,24.1650,24.3000,19.0473,807500,0.0416
2014-01-31,24.2800,24.6320,24.2600,24.6032,19.2850,1054500,0.0000
2014-02-28,24.5900,24.6910,24.4900,24.6500,19.3400,820100,0.0234
2014-03-31,24.6700,24.6800,24.4500,24.5300,19.2626,649900,0.0215
2014-04-30,24.5200,24.7500,24.4200,24.6600,19.3837,815500,0.0241
2014-05-30,24.7500,24.9500,24.6100,24.8300,19.5372,1152300,0.0251
2014-06-30,24.8790,24.8900,24.6200,24.7900,19.5241,1642800,0.0233
2014-07-31,24.8300,24.9300,24.6000,24.7100,19.4804,972100,0.0246
2014-08-29,24.8800,25.0300,24.7100,24.9800,19.7127,1414600,0.0245
2014-09-30,24.9300,24.9800,24.6430,24.8200,19.6062,2281092,0.0250
2014-10-31,24.8800,25.5199,24.8134,25.0229,19.7848,2392622,0.0231
2014-11-28,25.0400,25.3100,24.9101,25.2400,19.9781,1829305,0.0271
2014-12-31,25.2100,25.3900,24.9800,25.1500,19.9487,2846171,0.0528
2015-01-30,25.2500,25.9400,25.1601,25.8900,20.5357,7216567,0.0000
2015-02-27,25.7600,25.8500,25.2001,25.4100,20.1776,21346718,0.0289
2015-03-31,25.3800,25.6300,25.0700,25.5400,20.2991,9926172,0.0227
2015-04-30,25.5800,26.0000,25.2701,25.3600,20.1753,3953678,0.0245
2015-05-29,25.2900,25.7199,25.0400,25.2600,20.1117,4040662,0.0200
2015-06-30,25.2700,25.4400,24.8300,25.0200,19.9365,9401918,0.0201
2015-07-31,24.9200,25.2700,24.9100,25.2578,20.1473,5138974,0.0265
2015-08-31,25.2300,25.5905,25.1001,25.2100,20.1317,5149383,0.0283
2015-09-30,25.2900,25.4799,25.0700,25.4139,20.3172,6499010,0.0281
2015-10-30,25.4100,25.6100,25.2400,25.3100,20.2567,7383658,0.0283
2015-11-30,25.2100,25.2500,24.9500,25.1800,20.1760,9228063,0.0293
2015-12-31,25.1500,25.3000,24.9780,25.0600,20.1247,7979322,0.0562
2016-01-29,25.1700,25.6185,25.0701,25.6000,20.5584,19102070,0.0000
2016-02-29,25.5200,26.2495,25.5000,25.8050,20.7477,13746066,0.0304
2016-03-31,25.7900,25.8200,25.4500,25.8000,20.7670,17309746,0.0289
2016-04-29,25.7600,25.9300,25.5500,25.7100,20.7189,7199486,0.0303
2016-05-31,25.6900,25.8881,25.6175,25.7050,20.7390,9135549,0.0299
2016-06-30,25.7100,26.3000,25.6500,26.2400,21.1969,8276910,0.0318
2016-07-29,26.3000,26.4500,26.0500,26.3300,21.2937,19428568,0.0298
2016-08-31,26.1900,26.2600,26.0400,26.1100,21.1398,12644910,0.0298
2016-09-30,26.0200,26.2000,25.8350,26.0800,21.1391,10580129,0.0291
2016-10-31,26.0700,26.0700,25.6800,25.7700,20.9105,18528094,0.0283
2016-11-30,25.6700,25.8300,24.9400,24.9900,20.3005,17998331,0.0291
2016-12-30,24.9000,25.0400,24.7200,24.9300,20.2938,31855248,0.0516
2017-01-31,24.8800,25.1500,24.8400,25.0100,20.3589,60848031,0.0000
2017-02-28,24.9200,25.1700,24.8800,25.0800,20.4366,24836747,0.0253
2017-03-31,24.9100,25.1200,24.7300,25.0500,20.4347,23687653,0.0276
2017-04-28,25.0300,25.3700,25.0100,25.2000,20.5818,21356635,0.0302
2017-05-31,25.1600,25.3400,25.0100,25.3200,20.7067,15684436,0.0326
2017-06-30,25.2700,25.4700,25.2400,25.2600,20.6853,22226596,0.0339
2017-07-31,25.2300,25.3700,25.1100,25.2700,20.7210,13652768,0.0335
2017-08-31,25.2100,25.5500,25.2000,25.5000,20.9382,17172982,0.0347
2017-09-29,25.4600,25.6000,25.2200,25.2400,20.7533,22292825,0.0350
2017-10-31,25.2500,25.2900,25.0500,25.1400,20.6992,16937079,0.0343
2017-11-30,25.1200,25.2500,25.0600,25.0900,20.6875,12791547,0.0359
2017-12-29,25.0900,25.2200,24.9400,25.0800,20.7384,25359081,0.0716
2018-01-31,25.0800,25.0900,24.7000,24.7500,20.4655,43843555,0.0000
2018-02-28,24.7300,24.7500,24.4200,24.5400,20.3220,35116558,0.0365
2018-03-29,24.5000,24.7300,24.4600,24.6900,20.4754,21088425,0.0351
2018-04-30,24.6400,24.7300,24.3400,24.4600,20.3161,27377353,0.0384
2018-05-31,24.4100,24.7500,24.2600,24.6100,20.4732,17592140,0.0387
2018-06-29,24.5000,24.6600,24.3900,24.6300,20.5257,64503774,0.0430
2018-07-31,24.6100,24.6600,24.4300,24.4700,20.4252,18590224,0.0394
2018-08-31,24.3600,24.6700,24.3600,24.6100,20.5779,19840020,0.0426
2018-09-28,24.5200,24.5600,24.2700,24.3400,20.3882,21236976,0.0434
2018-10-31,24.2700,24.3200,24.0600,24.2000,20.3055,30507299,0.0414
2018-11-30,24.1300,24.3700,24.0500,24.3700,20.4854,38145072,0.0441
2018-12-31,24.2800,24.8200,24.2800,24.6500,20.7918,54542418,0.0838
2019-01-31,24.8200,25.0000,24.6600,24.9000,21.0027,145438468,0.0000
2019-02-28,24.8500,24.9000,24.7300,24.7900,20.9487,47516355,0.0460
2019-03-29,24.7000,25.2800,24.6600,25.2400,21.3651,54837308,0.0418
2019-04-30,25.1200,25.1300,24.9300,25.0900,21.2768,100158613,0.0456
2019-05-31,25.0700,25.6700,24.9900,25.6500,21.7908,62208506,0.0450
