ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-06-01,2026-04-13,2026-06-01,2026-06-29,4.5
2026-03-02,2026-01-15,2026-03-02,2026-03-30,4.5
2025-12-02,2025-10-14,2025-12-02,2025-12-30,4.0
2025-08-29,2025-07-14,2025-08-29,2025-09-29,4.0
2025-05-30,2025-04-14,2025-05-30,2025-06-27,3.0
2025-02-28,2025-01-15,2025-02-28,2025-03-28,3.0
2024-12-02,2024-10-11,2024-12-02,2024-12-30,3.0
2024-08-30,2024-07-12,2024-08-30,2024-09-27,3.0
2024-05-30,2024-04-11,2024-05-30,2024-06-27,2.75
2024-02-28,2024-01-12,2024-02-29,2024-03-28,2.75
2023-11-29,2023-10-12,2023-11-30,2023-12-28,2.75
2023-08-30,2023-07-19,2023-08-31,2023-09-28,2.75
2023-05-31,2023-04-18,2023-06-01,2023-06-29,2.5
2023-03-01,2023-01-13,2023-03-02,2023-03-30,2.5
2022-11-30,2022-10-17,2022-12-01,2022-12-29,2.5
2022-08-31,2022-07-14,2022-09-01,2022-09-29,2.5
2022-05-31,2022-04-13,2022-06-01,2022-06-29,2.0
2022-03-01,2022-01-14,2022-03-02,2022-03-30,2.0
2021-12-01,2021-10-13,2021-12-02,2021-12-30,2.0
2021-08-31,2021-07-12,2021-09-01,2021-09-29,2.0
2021-05-28,2021-04-13,2021-06-01,2021-06-29,1.25
2021-03-01,2021-01-15,2021-03-02,2021-03-30,1.25
2020-12-01,2020-10-13,2020-12-02,2020-12-30,1.25
2020-08-31,2020-07-14,2020-09-01,2020-09-29,1.25
2020-05-29,,,,1.25
2020-02-28,,,,1.25
2019-11-29,,,,1.25
2019-08-29,,,,1.25
2019-05-29,,,,0.85
2019-02-27,,,,0.8
2018-11-29,,,,0.8
2018-08-29,,,,0.8
2018-05-30,,,,0.8
2018-02-28,,,,0.75
2017-11-29,,,,0.75
2017-08-29,,,,0.75
2017-05-30,,,,0.75
2017-02-28,,,,0.65
2016-11-29,,,,0.65
2016-08-30,,,,0.65
2016-05-27,,,,0.65
2016-02-29,,,,0.65
2015-11-30,,,,0.65
2015-08-28,,,,0.65
2015-05-28,,,,0.65
2015-02-26,,,,0.6
2014-11-28,,,,0.6
2014-08-27,,,,0.55
2014-05-28,,,,0.55
2014-02-26,,,,0.55
2013-11-27,,,,0.55
2013-08-28,,,,0.5
2013-05-28,,,,0.5
2013-02-26,,,,0.5
2012-11-28,,,,0.5
2012-08-28,,,,0.46
2012-05-29,,,,0.46
2012-02-28,,,,0.35
2011-11-29,,,,0.35
2011-08-30,,,,0.35
2011-05-27,,,,0.35
2011-02-28,,,,0.35
2010-11-30,,,,0.35
2010-08-30,,,,0.35
2010-05-27,,,,0.35
2010-02-26,,,,0.35
2009-11-30,,,,0.35
2009-08-21,,,,0.35
2009-05-21,,,,0.35
2009-02-20,,,,0.4666666
2008-10-23,,,,0.35
2008-07-25,,,,0.35
2008-04-25,,,,0.35
2008-01-25,,,,0.35
2007-10-25,,,,0.35
2007-07-27,,,,0.35
2007-04-20,,,,0.35
2007-01-19,,,,0.35
2006-10-19,,,,0.35
2006-07-21,,,,0.35
2006-04-21,,,,0.35
2006-01-20,,,,0.25
2005-10-20,,,,0.25
2005-07-22,,,,0.25
2005-04-22,,,,0.25
2005-01-21,,,,0.25
2004-10-21,,,,0.25
2004-07-23,,,,0.25
2004-04-23,,,,0.25
2004-01-23,,,,0.25
2003-10-23,,,,0.25
2003-07-25,,,,0.25
2003-04-25,,,,0.12
2003-01-24,,,,0.12
2002-10-24,,,,0.12
2002-07-26,,,,0.12
2002-06-20,,,,0.025
2002-04-26,,,,0.12
2002-01-17,,,,0.12
2001-10-25,,,,0.12
2001-07-27,,,,0.12
2001-04-20,,,,0.12
2001-01-18,,,,0.12
2000-10-19,,,,0.12
2000-07-20,,,,0.12
2000-04-19,,,,0.12
2000-01-20,,,,0.12
1999-10-21,,,,0.12
1999-08-10,,,,0.12
