date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
1999-12-31,74.7500,94.8100,74.7500,94.1900,65.1979,17003400,0.0000
2000-01-31,94.1900,94.1900,78.6300,91.6300,63.5144,19531500,0.1200
2000-02-29,92.8800,94.0000,80.6900,92.5000,64.1175,18721100,0.0000
2000-03-31,93.2500,128.0000,93.1900,105.3000,72.9900,35059300,0.0000
2000-04-28,108.8000,110.8000,79.4400,93.2500,64.7216,41328400,0.1200
2000-05-31,93.2500,101.6000,69.3800,73.5600,51.0555,41825300,0.0000
2000-06-30,74.5600,95.9400,73.6300,94.7700,65.7766,36702400,0.0000
2000-07-31,94.3800,106.9000,88.3800,98.6900,68.5766,29921400,0.1200
2000-08-31,99.0000,129.5000,97.0000,129.5000,89.9855,53400600,0.0000
2000-09-29,128.0000,133.6000,105.8000,114.1000,79.2845,37402600,0.0000
2000-10-31,113.1000,116.9000,90.8800,99.8100,69.4376,54636500,0.1200
2000-11-30,96.7500,101.6000,77.0000,82.1300,57.1376,40827600,0.0000
2000-12-29,82.1300,108.4000,80.2500,106.9000,74.3701,55874100,0.0000
2001-01-31,104.4000,120.0000,97.5000,113.8000,79.2588,67405500,0.1200
2001-02-28,114.9000,118.9000,90.2500,91.7500,63.9015,59505300,0.0000
2001-03-30,89.4000,97.5000,81.0000,85.1000,59.2699,93130100,0.0000
2001-04-30,85.1000,102.5000,77.0000,91.1000,63.5284,70863700,0.1200
2001-05-31,90.0000,105.2000,89.2900,95.1000,66.3178,53616900,0.0000
2001-06-29,95.4900,98.1400,84.5000,85.8000,59.8324,53906100,0.0000
2001-07-31,85.9500,88.0000,80.0000,83.1600,58.0735,50417900,0.1200
2001-08-31,83.5000,87.5000,75.0500,80.1000,55.9366,59785700,0.0000
2001-09-28,79.9500,81.4500,63.2700,71.3500,49.8262,59324200,0.0000
2001-10-31,71.3600,86.5000,71.0000,78.1600,54.6623,82618800,0.1200
2001-11-30,78.5000,92.7500,77.3100,89.0000,62.2434,58203800,0.0000
2001-12-31,88.0000,95.1700,85.5500,92.7500,64.8660,51124600,0.0000
2002-01-31,92.8000,97.2500,81.6000,86.9800,60.9119,81933000,0.1200
2002-02-28,86.5000,86.5000,77.5200,80.9400,56.6821,70296800,0.0000
2002-03-28,81.5000,92.2500,80.8500,90.2500,63.2019,60265000,0.0000
2002-04-30,89.4500,89.4500,75.8000,78.7500,55.2321,77215300,0.1200
2002-05-31,78.5500,82.1000,74.0000,75.4500,52.9176,71135300,0.0000
2002-06-28,75.4500,77.0200,69.0300,73.3500,51.4624,72219000,0.0250
2002-07-31,73.7500,77.0000,65.5500,73.1500,51.4106,205190100,0.1200
2002-08-30,73.1500,81.9700,67.7500,77.3000,54.3273,102812600,0.0000
2002-09-30,76.0600,76.4200,64.4900,66.0300,46.4066,99519100,0.0000
2002-10-31,66.5000,75.3500,58.5700,71.6000,50.4045,134795100,0.1200
2002-11-29,71.6000,81.0000,71.0000,78.8700,55.5224,78057400,0.0000
2002-12-31,78.8800,80.9000,67.0000,68.1000,47.9406,72327100,0.0000
2003-01-31,68.1000,75.7500,66.9500,68.1000,48.0238,77425600,0.1200
2003-02-28,68.1000,69.7500,63.7500,69.4500,48.9758,69664000,0.0000
2003-03-31,69.4500,72.1000,61.0200,68.0800,48.0097,109285900,0.0000
2003-04-30,68.4800,78.9000,68.0600,75.9000,53.6090,90997300,0.1200
2003-05-30,75.9000,81.6700,73.2200,81.5000,57.5643,85129900,0.0000
2003-06-30,81.5000,91.9800,81.5000,83.7500,59.1535,110702900,0.0000
2003-07-31,83.7500,90.3500,82.3610,87.1400,61.7260,82517900,0.2500
2003-08-29,86.9500,89.1000,82.9000,88.4900,62.6823,57362700,0.0000
2003-09-30,88.5400,93.7400,83.6400,83.9000,59.4309,94609600,0.0000
2003-10-31,83.9000,94.8900,83.9000,93.9000,66.7056,86386800,0.2500
2003-11-28,94.6500,97.3900,91.7000,96.0800,68.2542,55681200,0.0000
2003-12-31,96.2300,100.7800,95.7300,98.7300,70.1368,63304000,0.0000
2004-01-30,98.8000,102.7500,96.1500,99.5500,70.8970,80373300,0.2500
2004-02-27,99.2300,108.0000,98.4300,105.8700,75.3979,61639800,0.0000
2004-03-31,107.3000,109.2900,98.3800,104.3500,74.3154,86538200,0.0000
2004-04-30,104.2400,107.5000,96.3100,96.7500,69.0745,67727300,0.2500
2004-05-28,96.9500,98.5000,90.0800,93.9100,67.0468,89214200,0.0000
2004-06-30,93.8100,95.1500,87.6800,94.1600,67.2253,89079100,0.0000
2004-07-30,94.1700,94.3500,85.7200,88.1900,63.1429,78642000,0.2500
2004-08-31,87.7800,91.5700,83.2900,89.6500,64.1882,71437600,0.0000
2004-09-30,89.8500,94.9600,88.8900,93.2400,66.7586,67196300,0.0000
2004-10-29,93.4600,98.4500,90.7400,98.3800,70.6272,72722800,0.2500
2004-11-30,98.2000,105.5900,97.8000,104.7600,75.2074,67544700,0.0000
2004-12-31,105.2500,110.8800,100.4400,104.0400,74.6905,76486500,0.0000
2005-01-31,104.9000,107.9700,101.7900,107.8500,77.6130,74547600,0.2500
2005-02-28,107.6500,113.9300,107.3000,108.8000,78.2967,56697300,0.0000
2005-03-31,108.3900,113.1700,107.5000,109.9900,79.1530,76524300,0.0000
2005-04-29,110.7400,114.2500,103.2100,106.7900,77.0346,101950900,0.2500
2005-05-31,105.4800,107.2900,94.7500,97.5000,70.3331,117093700,0.0000
2005-06-30,97.4000,104.9600,96.4300,102.0200,73.5937,94605900,0.0000
2005-07-29,102.1700,109.9800,102.0200,107.4800,77.7099,63424600,0.2500
2005-08-31,107.6000,114.8700,106.6900,111.1800,80.3851,59458100,0.0000
2005-09-30,111.7000,121.7000,111.6000,121.5800,87.9045,75008400,0.0000
2005-10-31,121.2900,127.3800,110.2300,126.3700,91.5601,105098700,0.2500
2005-11-30,126.7000,134.9900,124.8000,128.9600,93.4367,60948900,0.0000
2005-12-30,130.5000,134.1600,124.3400,127.7100,92.5310,62056200,0.0000
2006-01-31,126.7000,141.8600,124.2300,141.2500,102.5359,87171600,0.2500
2006-02-28,141.4000,146.3500,137.8000,141.2900,102.5649,63470300,0.0000
2006-03-31,141.9800,159.6300,139.1800,156.9600,113.9401,104268100,0.0000
2006-04-28,157.9900,169.3100,156.9200,160.2900,116.6029,78063800,0.3500
2006-05-31,161.1000,166.5500,140.4200,150.9500,109.8085,109492500,0.0000
2006-06-30,150.9200,157.0000,136.7900,150.4300,109.4302,139219300,0.0000
2006-07-31,151.9300,153.7300,138.9700,152.7500,111.3917,89186400,0.3500
2006-08-31,151.6800,156.8700,145.6600,148.6500,108.4018,86544500,0.0000
2006-09-29,148.7000,171.1500,147.1300,169.1700,123.3659,105586500,0.0000
2006-10-31,168.5100,193.6000,168.5100,189.7900,138.6719,118997500,0.3500
2006-11-30,191.0000,203.3500,182.7000,194.8000,142.3325,93586900,0.0000
2006-12-29,195.7000,206.7000,191.5200,199.3500,145.6570,92344800,0.0000
2007-01-31,200.6000,220.5100,197.8200,212.1600,155.2747,132539600,0.3500
2007-02-28,213.2500,222.7500,194.6500,201.7500,147.6559,119592400,0.0000
2007-03-30,196.0000,212.2200,189.8500,206.6300,151.2275,227470100,0.0000
2007-04-30,207.4500,226.6100,203.2900,218.6100,160.2499,110794200,0.3500
2007-05-31,219.0800,233.9700,215.3500,230.8200,169.2003,112049300,0.0000
2007-06-29,232.0900,233.6400,212.5600,216.7500,158.8864,147822700,0.0000
2007-07-31,217.5000,225.7700,187.2500,188.3400,138.3116,198394200,0.3500
2007-08-31,187.0300,198.5000,157.3800,176.0100,129.2568,384073300,0.0000
2007-09-28,176.1800,218.6700,175.0000,216.7400,159.1677,245168100,0.0000
2007-10-31,215.4100,250.7000,213.0000,247.9200,182.3466,227631800,0.3500
2007-11-30,243.5500,244.4100,201.5700,226.6400,166.6950,294444500,0.0000
2007-12-31,225.9000,229.3500,196.9000,215.0500,158.1705,214258500,0.0000
2008-01-31,215.0000,215.0500,174.0500,199.5500,147.0386,273646200,0.3500
2008-02-29,199.6000,208.7800,169.0000,169.6300,124.9920,227080500,0.0000
2008-03-31,168.6800,184.5200,140.2700,165.3900,121.8678,369718000,0.0000
2008-04-30,171.5000,194.9300,161.6800,191.3700,141.2682,226867500,0.3500
2008-05-30,192.0000,203.3900,170.8000,176.4100,130.2248,155761400,0.0000
2008-06-30,177.0000,187.0100,161.2100,174.9000,129.1102,268616400,0.0000
2008-07-31,172.3400,190.0400,152.2500,184.0400,136.1234,301859300,0.3500
2008-08-29,185.0000,186.0000,152.5900,163.9700,121.2788,181266200,0.0000
2008-09-30,167.5000,172.4500,85.8800,128.0000,94.6740,628148300,0.0000
2008-10-31,127.3200,142.0000,74.0000,92.5000,68.6373,601615500,0.3500
2008-11-28,92.0000,95.2500,47.4100,78.9900,58.6125,598157200,0.0000
2008-12-31,75.8000,86.1500,60.2200,84.3900,62.6194,411474500,0.0000
