date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,107.84,109.99,102.1,107.3,107.3,40155620,0.0,1.0
2025-11-24,109.915,115.72,108.64,114.97,114.97,30736501,0.0,1.0
2025-11-25,112.465,116.81,109.19,115.57,115.57,22078847,0.0,1.0
2025-11-26,121.33,128.9,120.86,128.2,128.2,47127643,0.0,1.0
2025-11-28,128.075,129.95,127.15,128.49,128.49,12783443,0.0,1.0
2025-12-01,123.45,125.2899,118.86,123.24,123.24,31467271,0.0,1.0
2025-12-02,125.25,129.18,124.51,125.95,125.95,25394758,0.0,1.0
2025-12-03,126.1,134.34,124.4,133.64,133.64,25004525,0.0,1.0
2025-12-04,133.21,137.36,132.77,137.08,137.08,20572086,0.0,1.0
2025-12-05,135.06,135.24,129.96,131.95,131.95,23122973,0.0,1.0
2025-12-08,134.1,138.09,132.0017,136.43,136.43,22404572,0.0,1.0
2025-12-09,134.5,139.75,133.57,135.71,135.71,18828080,0.0,1.0
2025-12-10,135.26,137.46,133.43,135.66,135.66,18232080,0.0000,1.0
2025-12-11,131.775,131.775,122.53,123.38,123.38,44624831,0.0000,1.0
2025-12-12,125.34,125.65,117.835,119.5,119.5,31553298,0.0000,1.0
2025-12-15,120.4,120.66,114.1005,115.26,115.26,28421952,0.0000,1.0
2025-12-16,116.695,120.7,115.76,119.4,119.4,21011889,0.0000,1.0
2025-12-17,120.97,124.7,115.59,115.8,115.8,36269954,0.0000,1.0
2025-12-18,121.87,124.25,117.05,117.16,117.16,24274257,0.0000,1.0
2025-12-19,119.47,122.96,118.2,121.35,121.35,27580852,0.0000,1.0
2025-12-22,123.51,124.55,121.07,122.37,122.37,16976961,0.0000,1.0
2025-12-23,120.295,121.15,116.75,120.24,120.24,16953514,0.0000,1.0
2025-12-24,119.96,120.67,118.6,120.44,120.44,7980732,0.0000,1.0
2025-12-26,120.71,121.03,117.7,118.13,118.13,12959108,0.0000,1.0
2025-12-29,116.89,118.95,116.02,117.43,117.43,15386389,0.0000,1.0
2025-12-30,117.625,118.6363,115.18,115.45,115.45,16471551,0.0000,1.0
2025-12-31,114.84,115.65,112.85,113.1,113.1,15992237,0.0000,1.0
2026-01-02,115.478,116.03,110.41,115.21,115.21,25793456,0.0000,1.0
2026-01-05,117.92,123.4199,117.55,123.24,123.24,26231024,0.0000,1.0
2026-01-06,124.16,124.35,118.0498,121.7,121.7,20349847,0.0000,1.0
2026-01-07,120.05,120.1,116.5501,116.97,116.97,18916838,0.0000,1.0
2026-01-08,115.75,117.32,113.87,115.39,115.39,20102352,0.0000,1.0
2026-01-09,116.975,118.23,114.882,115.27,115.27,18094807,0.0000,1.0
2026-01-12,114.51,119.62,114.455,117.52,117.52,17111701,0.0000,1.0
2026-01-13,117.4,120.43,116.0,120.24,120.24,20026085,0.0000,1.0
2026-01-14,120.29,120.88,116.61,119.67,119.67,17838676,0.0000,1.0
2026-01-15,119.61,119.8799,110.13,110.35,110.35,33323921,0.0000,1.0
2026-01-16,111.05,111.25,106.88,108.74,108.74,30258481,0.0000,1.0
2026-01-20,105.0,108.35,104.4501,105.78,105.78,23321831,0.0000,1.0
2026-01-21,105.725,108.5,104.95,105.92,105.92,20051270,0.0000,1.0
2026-01-22,107.48,108.08,105.1,106.25,106.25,14834367,0.0000,1.0
2026-01-23,106.9,111.46,106.5,106.99,106.99,17691110,0.0000,1.0
2026-01-26,106.26,108.49,104.83,107.0,107.0,11501606,0.0000,1.0
2026-01-27,107.7,109.049,104.66,105.24,105.24,18228624,0.0000,1.0
2026-01-28,105.29,107.25,103.0,103.4,103.4,22380160,0.0000,1.0
2026-01-29,103.82,103.82,99.2,101.24,101.24,29463831,0.0000,1.0
2026-01-30,102.735,104.3,98.37,99.48,99.48,23773098,0.0000,1.0
2026-02-02,95.88,95.885,88.67,89.91,89.91,59741795,0.0000,1.0
2026-02-03,90.1,90.35,84.93,87.07,87.07,36278297,0.0000,1.0
2026-02-04,84.77,85.3,77.62,80.62,80.62,62547862,0.0000,1.0
2026-02-05,77.67,79.41,71.87,72.68,72.68,56483080,0.0000,1.0
2026-02-06,77.86,84.3,77.12,82.82,82.82,54593875,0.0000,1.0
2026-02-09,84.88,88.6,82.83,86.56,86.56,41278076,0.0000,1.0
2026-02-10,85.315,88.22,85.21,85.6,85.6,41823769,0.0000,1.0
2026-02-11,77.875,79.9,74.25,77.97,77.97,68727554,0.0000,1.0
2026-02-12,78.87,79.0,70.43,71.12,71.12,57569308,0.0000,1.0
2026-02-13,72.465,77.0752,71.52,75.97,75.97,43506942,0.0000,1.0
2026-02-17,74.34,76.72,72.87,75.44,75.44,31818504,0.0000,1.0
2026-02-18,74.79,78.265,74.06,75.21,75.21,25655440,0.0000,1.0
2026-02-19,74.39,76.14,73.53,75.65,75.65,20780449,0.0000,1.0
2026-02-20,75.2,78.08,75.13,76.11,76.11,30283907,0.0000,1.0
2026-02-23,74.595,74.95,71.42,71.78,71.78,30422710,0.0000,1.0
2026-02-24,70.912,73.88,69.22,73.39,73.39,23571757,0.0000,1.0
2026-02-25,76.91,78.1132,74.64,77.53,77.53,32366170,0.0000,1.0
2026-02-26,76.93,79.5686,76.45,79.45,79.45,22685799,0.0000,1.0
2026-02-27,76.8,77.79,74.82,75.85,75.85,23485290,0.0000,1.0
2026-03-02,73.485,79.54,73.0,78.78,78.78,26904707,0.0000,1.0
2026-03-03,74.04,77.3999,72.25,76.07,76.07,26929171,0.0000,1.0
2026-03-04,79.6,83.85,79.58,82.21,82.21,38493837,0.0000,1.0
2026-03-05,82.12,84.75,78.55,80.56,80.56,39868312,0.0000,1.0
2026-03-06,77.91,79.0,76.38,77.09,77.09,28734366,0.0000,1.0
2026-03-09,75.92,79.65,75.55,79.35,79.35,25186610,0.0000,1.0
2026-03-10,80.205,80.7499,77.66,78.53,78.53,22663591,0.0000,1.0
2026-03-11,78.11,79.77,76.735,78.69,78.69,22677210,0.0000,1.0
2026-03-12,77.335,77.82,75.07,76.12,76.12,22668272,0.0000,1.0
2026-03-13,76.75,77.63,72.795,73.39,73.39,33417524,0.0000,1.0
2026-03-16,75.1,75.805,74.11,75.31,75.31,22783397,0.0000,1.0
2026-03-17,75.4,77.7,75.39,77.35,77.35,20210220,0.0000,1.0
2026-03-18,76.13,77.25,74.8301,74.9,74.9,21937559,0.0000,1.0
2026-03-19,72.28,75.16,71.7,74.16,74.16,21552531,0.0000,1.0
2026-03-20,73.1,73.41,69.9,70.89,70.89,34441126,0.0000,1.0
2026-03-23,71.846,73.6,70.9201,72.49,72.49,26070187,0.0000,1.0
2026-03-24,71.51,71.84,68.5755,69.08,69.08,29317572,0.0000,1.0
2026-03-25,71.825,74.5898,71.75,72.54,72.54,27500064,0.0000,1.0
2026-03-26,71.15,73.24,69.7,70.35,70.35,21327043,0.0000,1.0
2026-03-27,68.54,68.89,65.872,66.02,66.02,30547031,0.0000,1.0
2026-03-30,66.859,67.89,63.515,65.16,65.16,26512250,0.0000,1.0
2026-03-31,65.82,69.4127,65.18,69.3,69.3,35925102,0.0000,1.0
2026-04-01,71.13,71.5512,69.14,70.11,70.11,24130357,0.0000,1.0
2026-04-02,67.2,70.15,65.57,68.9,68.9,23381347,0.0000,1.0
2026-04-06,69.31,70.82,68.71,69.78,69.78,24334458,0.0000,1.0
2026-04-07,68.3,69.66,66.62,69.65,69.65,24967432,0.0000,1.0
2026-04-08,76.8,77.87,71.31,71.83,71.83,32953378,0.0000,1.0
2026-04-09,71.59,72.46,68.78,70.12,70.12,25973774,0.0000,1.0
2026-04-10,70.11,70.87,68.2801,69.19,69.19,23163806,0.0000,1.0
2026-04-13,68.205,71.7,67.8,71.67,71.67,21181719,0.0000,1.0
2026-04-14,75.13,79.28,75.05,79.09,79.09,43587324,0.0000,1.0
2026-04-15,83.55,87.55,81.5,87.32,87.32,72707192,0.0000,1.0
2026-04-16,89.19,89.3799,83.87,86.85,86.85,51788108,0.0000,1.0
2026-04-17,90.06,93.32,89.57,90.75,90.75,49795273,0.0000,1.0
2026-04-20,89.7,92.38,88.21,91.275,91.275,35942426,0.0000,1.0
2026-04-21,91.08,91.45,86.19,86.43,86.43,36873045,0.0000,1.0
2026-04-22,89.35,90.135,87.48,88.43,88.43,27468392,0.0000,1.0
2026-04-23,86.695,87.61,81.745,83.54,83.54,33497616,0.0000,1.0
2026-04-24,84.9,85.06,82.82,84.71,84.71,20873084,0.0000,1.0
2026-04-27,84.28,85.7,83.115,83.95,83.95,20100433,0.0000,1.0
2026-04-28,81.46,83.14,80.82,82.07,82.07,31324157,0.0000,1.0
2026-04-29,72.3,73.59,69.93,71.2,71.2,79797564,0.0000,1.0
2026-04-30,71.18,73.8746,70.76,72.89,72.89,31187273,0.0000,1.0
2026-05-01,73.775,75.28,73.06,73.66,73.66,25254844,0.0000,1.0
2026-05-04,74.7,78.29,74.63,76.55,76.55,29377477,0.0000,1.0
2026-05-05,77.615,78.75,76.49,77.03,77.03,24754631,0.0000,1.0
