date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2021-08-31,35.9700,85.0000,35.3000,44.3200,44.3200,692744513,0.0000
2021-09-30,43.7600,47.8400,39.2300,42.0800,42.0800,131153879,0.0000
2021-10-29,42.3617,43.3600,33.9900,34.9700,34.9700,137649682,0.0000
2021-11-30,35.2000,38.1700,25.7500,25.9400,25.9400,202749790,0.0000
2021-12-31,26.3500,26.3900,16.6800,17.7600,17.7600,368281211,0.0000
2022-01-31,18.0500,18.9396,9.9400,14.1500,14.1500,553751876,0.0000
2022-02-28,14.2900,15.3300,9.9300,12.0100,12.0100,417893095,0.0000
2022-03-31,12.0550,16.4900,10.2000,13.5100,13.5100,537294848,0.0000
2022-04-29,13.5400,13.9500,9.0000,9.8050,9.8050,323511987,0.0000
2022-05-31,9.7600,10.9650,7.7100,10.0600,10.0600,441506692,0.0000
2022-06-30,9.9600,10.0050,6.8100,8.2200,8.2200,541599231,0.0000
2022-07-29,8.2200,9.5000,7.7800,9.0500,9.0500,187395824,0.0000
2022-08-31,8.9400,11.5900,8.7119,9.5500,9.5500,268209175,0.0000
2022-09-30,9.4000,11.6250,8.9900,10.1000,10.1000,277724404,0.0000
2022-10-31,10.0200,12.3600,9.5400,11.6800,11.6800,156304073,0.0000
2022-11-30,12.0200,12.7600,8.2900,9.5900,9.5900,324099092,0.0000
2022-12-30,9.6000,10.2400,7.5650,8.1400,8.1400,156005796,0.0000
2023-01-31,8.2600,10.6500,7.9150,10.4100,10.4100,136877535,0.0000
2023-02-28,10.2600,11.5200,9.4700,10.0700,10.0700,158167256,0.0000
2023-03-31,10.0100,10.1103,8.3750,9.7100,9.7100,152135723,0.0000
2023-04-28,9.6500,10.2000,8.7200,8.8500,8.8500,115440498,0.0000
2023-05-31,8.8000,9.9600,8.2100,8.9200,8.9200,169762115,0.0000
2023-06-30,8.9200,10.5200,8.6000,9.9800,9.9800,190504369,0.0000
2023-07-31,10.0000,13.2300,9.9800,12.8600,12.8600,253818123,0.0000
2023-08-31,12.6800,12.8900,9.8400,10.8900,10.8900,209869405,0.0000
2023-09-29,11.1800,11.3700,9.4400,9.8100,9.8100,115028047,0.0000
2023-10-31,9.7700,10.1900,8.8900,9.1400,9.1400,111370441,0.0000
2023-11-30,9.1700,9.8500,7.9100,8.8000,8.8000,225023256,0.0000
2023-12-29,8.8200,13.5100,8.8200,12.7400,12.7400,420823870,0.0000
2024-01-31,12.7400,12.7500,10.3800,10.7400,10.7400,198630728,0.0000
2024-02-29,10.7900,16.5300,10.5100,16.3100,16.3100,405105927,0.0000
2024-03-28,16.3000,20.5500,15.6600,20.1300,20.1300,344355424,0.0000
2024-04-30,19.9800,20.1500,16.4600,16.4900,16.4900,221029741,0.0000
2024-05-31,16.4300,22.3400,16.2200,20.9000,20.9000,523759200,0.0000
2024-06-28,21.9000,24.2800,20.3900,22.7100,22.7100,331422147,0.0000
2024-07-31,22.8200,24.8800,20.2900,20.5700,20.5700,263841498,0.0000
2024-08-30,20.8900,21.5400,13.9800,20.1200,20.1200,393077010,0.0000
2024-09-30,19.7550,24.1300,18.7100,23.4200,23.4200,233284768,0.0000
2024-10-31,23.4000,28.5750,22.0500,23.4900,23.4900,359287859,0.0000
2024-11-29,23.7000,39.7400,23.0000,37.5400,37.5400,494432216,0.0000
2024-12-31,37.9249,43.8300,34.0200,37.2600,37.2600,512909206,0.0000
2025-01-31,38.5400,53.5098,37.3500,51.9500,51.9500,422282756,0.0000
2025-02-28,48.4900,66.9100,44.0200,50.1000,50.1000,684177070,0.0000
2025-03-31,54.7200,54.8399,35.2300,41.6200,41.6200,1053378293,0.0000
2025-04-30,41.8000,51.0700,29.6600,49.1100,49.1100,1031885009,0.0000
2025-05-30,51.1250,67.1300,45.5600,66.1500,66.1500,816598659,0.0000
2025-06-30,66.0300,94.2400,65.3800,93.6300,93.6300,834059510,0.0000
2025-07-31,95.0120,113.4393,89.7000,103.0500,103.0500,1160145965,0.0000
2025-08-29,97.8000,117.7000,93.3600,104.0300,104.0300,823579432,0.0000
2025-09-30,100.3400,143.6199,95.6600,143.1800,143.1800,1038484268,0.0000
2025-10-31,141.2600,153.8599,120.8800,146.7800,146.7800,610885964,0.0000
2025-11-28,148.7900,149.4124,102.1000,128.4900,128.4900,598093536,0.0000
2025-12-31,123.4500,139.7500,112.8500,113.1000,113.1000,501483870,0.0000
2026-01-30,115.4780,124.3500,98.3700,99.4800,99.4800,429293085,0.0000
2026-02-27,95.8800,95.8850,69.2200,75.8500,75.8500,763620584,0.0000
2026-03-25,73.485,84.75,68.5755,72.54,72.54,491356256,0.0
2026-03-31,73.4850,84.7500,63.5150,69.3000,69.3000,605667682,0.0000
2026-04-17,71.1300,93.3200,65.5700,90.7500,90.7500,417964168,0.0000
