date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,25.15,25.1726,25.09,25.12,24.6456596706339,551078,0.0,1.0
2025-11-24,25.15,25.18,25.1427,25.15,24.6750931813871,855667,0.0,1.0
2025-11-25,25.17,25.185,25.142,25.15,24.6750931813871,721747,0.0,1.0
2025-11-26,25.17,25.22,25.17,25.22,24.7437713731444,663824,0.0,1.0
2025-11-28,25.22,25.26,25.175,25.18,24.7045266921402,323846,0.0,1.0
2025-12-01,25.01,25.06,24.93,25.0,24.6218940729348,1560577,0.0958,1.0
2025-12-02,24.97,24.98,24.93,24.96,24.5824990424181,880924,0.0,1.0
2025-12-03,24.95,25.0,24.95,24.96,24.5824990424181,923110,0.0,1.0
2025-12-04,25.0,25.04,24.96,25.01,24.631742830564,1011173,0.0,1.0
2025-12-05,25.0,25.02,24.98,24.99,24.6120453153056,1003691,0.0,1.0
2025-12-08,25.01,25.029,24.99,25.01,24.631742830564,909946,0.0,1.0
2025-12-09,25.02,25.045,24.97,24.98,24.6021965576765,970365,0.0,1.0
2025-12-10,25.01,25.05,24.98,25.04,24.5659858526558,933518,0.0000,1.0
2025-12-11,25.06,25.13,25.0242,25.04,24.5659858526558,976914,0.0000,1.0
2025-12-12,24.99,25.0395,24.99,25.0,24.5267430637538,703423,0.0000,1.0
2025-12-15,25.02,25.05,24.9945,25.03,24.5561751554303,1020177,0.0000,1.0
2025-12-16,25.01,25.08,25.01,25.06,24.5856072471068,755652,0.0000,1.0
2025-12-17,25.05,25.076,25.03,25.06,24.5856072471068,812901,0.0000,1.0
2025-12-18,24.99,25.0,24.95,24.95,24.5719821508001,1145159,0.0961,1.0
2025-12-19,24.97,24.99,24.95,24.98,24.6015276203201,775841,0.0000,1.0
2025-12-22,24.98,24.98,24.95,24.96,24.5818306406401,1210481,0.0000,1.0
2025-12-23,24.96,24.98,24.9347,24.9499,24.5718836659017,1418774,0.0000,1.0
2025-12-24,24.95,24.99,24.95,24.96,24.5818306406401,388663,0.0000,1.0
2025-12-26,24.94,24.9591,24.89,24.91,24.5325881914401,1196014,0.0000,1.0
2025-12-29,24.9,24.91,24.87,24.87,24.4931942320801,1636443,0.0000,1.0
2025-12-30,24.87,24.94,24.8699,24.91,24.5325881914401,2338731,0.0000,1.0
2025-12-31,24.93,24.98,24.9013,24.94,24.5621336609601,1021284,0.0000,1.0
2026-01-02,24.98,24.98,24.92,24.96,24.5818306406401,897683,0.0000,1.0
2026-01-05,24.97,25.02,24.96,24.97,24.5916791304801,2353551,0.0000,1.0
2026-01-06,24.95,25.03,24.95,25.02,24.6409215796801,822416,0.0000,1.0
2026-01-07,25.08,25.11,25.06,25.09,24.7098610085601,1014096,0.0000,1.0
2026-01-08,25.11,25.11,25.025,25.05,24.6704670492001,1922965,0.0000,1.0
2026-01-09,25.07,25.14,25.0528,25.09,24.7098610085601,992387,0.0000,1.0
2026-01-12,25.08,25.115,25.04,25.08,24.7000125187201,1150242,0.0000,1.0
2026-01-13,25.09,25.09,25.045,25.06,24.6803155390401,857795,0.0000,1.0
2026-01-14,25.08,25.24,25.08,25.21,24.8280428866401,5200275,0.0000,1.0
2026-01-15,25.24,25.25,25.21,25.23,24.8477398663201,1672847,0.0000,1.0
2026-01-16,25.24,25.25,25.19,25.2,24.8181943968001,936825,0.0000,1.0
2026-01-20,25.13,25.2,25.0,25.03,24.6507700695201,1888414,0.0000,1.0
2026-01-21,25.06,25.21,25.01,25.08,24.7000125187201,1039815,0.0000,1.0
2026-01-22,25.08,25.11,25.04,25.09,24.7098610085601,1004624,0.0000,1.0
2026-01-23,25.07,25.1469,25.06,25.06,24.6803155390401,899391,0.0000,1.0
2026-01-26,25.1,25.15,25.06,25.08,24.7000125187201,1176222,0.0000,1.0
2026-01-27,25.1,25.1175,25.07,25.09,24.7098610085601,1031279,0.0000,1.0
2026-01-28,25.11,25.11,25.06,25.09,24.7098610085601,695516,0.0000,1.0
2026-01-29,25.12,25.1499,25.0501,25.0899,24.7097625236617,610290,0.0000,1.0
2026-01-30,25.09,25.13,25.09,25.1,24.7197094984001,743686,0.0000,1.0
