ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2025-12-31,2026-04-01,2026-04-06,0.098418
2026-03-02,2025-12-31,2026-03-02,2026-03-05,0.092148
2026-02-02,2025-12-31,2026-02-02,2026-02-05,0.095504
2025-12-18,2025-01-09,2025-12-18,2025-12-23,0.096112
2025-12-01,2025-01-09,2025-12-01,2025-12-04,0.095777
2025-11-03,2025-01-09,2025-11-03,2025-11-06,0.09418
2025-10-01,2025-01-09,2025-10-01,2025-10-06,0.095785
2025-09-02,,,,0.090666
2025-08-01,2025-01-09,2025-08-01,2025-08-06,0.095827
2025-07-01,2025-01-09,2025-07-01,2025-07-07,0.096311
2025-06-02,2025-01-09,2025-06-02,2025-06-05,0.095499
2025-05-01,2025-01-09,2025-05-01,2025-05-06,0.09546
2025-04-01,2025-01-09,2025-04-01,2025-04-04,0.092481
2025-03-03,2025-01-09,2025-03-03,2025-03-06,0.093532
2025-02-03,2025-01-09,2025-02-03,2025-02-06,0.094289
2024-12-19,2024-01-03,2024-12-19,2024-12-24,0.09265
2024-12-02,2024-01-03,2024-12-02,2024-12-05,0.091516
2024-11-01,2024-01-03,2024-11-01,2024-11-06,0.09095
2024-10-01,2024-01-03,2024-10-01,2024-10-04,0.092471
2024-09-03,2024-01-03,2024-09-03,2024-09-06,0.090845
2024-08-01,2024-01-03,2024-08-01,2024-08-06,0.093961
2024-07-01,2024-01-03,2024-07-01,2024-07-05,0.089872
2024-06-03,2024-01-03,2024-06-03,2024-06-06,0.091323
2024-05-01,2024-01-03,2024-05-02,2024-05-07,0.089801
2024-04-01,2024-01-03,2024-04-02,2024-04-05,0.088996
2024-03-01,2024-01-03,2024-03-04,2024-03-07,0.090448
2024-02-01,2024-01-03,2024-02-02,2024-02-07,0.093459
2023-12-18,2023-01-18,2023-12-19,2023-12-22,0.085859
2023-12-01,2023-01-18,2023-12-04,2023-12-07,0.086992
2023-11-01,2023-01-18,2023-11-02,2023-11-07,0.087098
2023-10-02,2023-01-18,2023-10-03,2023-10-06,0.093049
2023-09-01,2023-01-18,2023-09-05,2023-09-08,0.087178
2023-08-01,2023-01-18,2023-08-02,2023-08-07,0.08646
2023-07-03,2023-01-18,2023-07-05,2023-07-10,0.080498
2023-06-01,2023-01-18,2023-06-02,2023-06-07,0.084692
2023-05-01,2023-01-18,2023-05-02,2023-05-05,0.0847
2023-04-03,2023-01-18,2023-04-04,2023-04-10,0.0837
2023-03-01,2023-01-18,2023-03-02,2023-03-07,0.087287
2023-02-01,2023-01-18,2023-02-02,2023-02-07,0.081143
2022-12-19,2022-01-14,2022-12-20,2022-12-23,0.153779
2022-12-01,2022-01-14,2022-12-02,2022-12-07,0.167117
2022-11-01,2022-01-14,2022-11-02,2022-11-07,0.15986
2022-10-03,2022-01-14,2022-10-04,2022-10-07,0.161201
2022-09-01,2022-08-31,2022-09-02,2022-09-08,0.156457
2022-08-01,2022-01-14,2022-08-02,2022-08-05,0.148186
2022-07-01,2022-01-14,2022-07-05,2022-07-08,0.153625
2022-06-01,2022-01-14,2022-06-02,2022-06-07,0.149975
2022-05-02,2022-04-29,2022-05-03,2022-05-06,0.153787
2022-04-01,2022-03-31,2022-04-04,2022-04-07,0.147063
2022-03-01,2022-02-28,2022-03-02,2022-03-07,0.155221
2022-02-01,2022-01-14,2022-02-02,2022-02-07,0.140894
2021-12-17,2021-01-21,2021-12-20,2021-12-23,0.157458
2021-12-01,2021-01-21,2021-12-02,2021-12-07,0.15441
2021-11-01,2021-01-21,2021-11-02,2021-11-05,0.1558
2021-10-01,2021-01-21,2021-10-04,2021-10-07,0.15704
2021-09-01,2021-01-21,2021-09-02,2021-09-08,0.156143
2021-08-02,2021-01-21,2021-08-03,2021-08-06,0.129305
2021-07-01,2021-01-21,2021-07-02,2021-07-08,0.161323
2021-06-01,2021-01-21,2021-06-02,2021-06-07,0.162498
2021-05-03,2021-01-21,2021-05-04,2021-05-07,0.166
2021-04-01,2021-01-21,2021-04-05,2021-04-08,0.164087
2021-03-01,2021-01-21,2021-03-02,2021-03-05,0.171633
2021-02-01,2021-01-21,2021-02-02,2021-02-05,0.180246
2020-12-18,2020-12-17,2020-12-21,2020-12-24,0.17
2020-12-01,2020-01-15,2020-12-02,2020-12-07,0.174041
2020-11-02,2020-01-15,2020-11-03,2020-11-06,0.174004
2020-10-01,2020-01-15,2020-10-02,2020-10-07,0.174113
2020-09-01,2020-01-15,2020-09-02,2020-09-08,0.1686
2020-08-03,2020-01-15,2020-08-04,2020-08-07,0.169179
2020-07-01,2020-01-15,2020-07-02,2020-07-07,0.171001
2020-06-01,2020-01-15,2020-06-02,2020-06-05,0.175687
2020-05-01,2020-01-15,2020-05-04,2020-05-07,0.170854
2020-04-01,2020-01-15,2020-04-02,2020-04-07,0.179903
2020-03-02,2020-01-15,2020-03-03,2020-03-06,0.183608
2020-02-03,2020-01-31,2020-02-04,2020-02-07,0.184761
2019-12-20,,,,0.181
2019-12-02,,,,0.1841
2019-11-01,,,,0.184348
2019-10-01,,,,0.1969
2019-09-03,,,,0.1938
2019-08-01,,,,0.1961
2019-07-01,,,,0.1971
2019-06-03,,,,0.197
2019-05-01,,,,0.1983
2019-04-01,,,,0.2124
2019-03-01,,,,0.1949
2019-02-01,,,,0.1954
2018-12-19,,,,0.1901
2018-12-03,,,,0.1929
2018-11-01,,,,0.1992
2018-10-01,,,,0.183457
2018-09-04,,,,0.187971
2018-08-01,,,,0.190805
2018-07-02,,,,0.1849
2018-06-01,,,,0.1837
2018-05-01,,,,0.1866
2018-04-02,,,,0.184806
2018-03-01,,,,0.189867
2018-02-01,,,,0.185141
2017-12-19,,,,0.179076
2017-12-01,,,,0.178228
2017-11-01,,,,0.176276
2017-10-02,,,,0.170279
2017-09-01,,,,0.171025
2017-08-01,,,,0.172404
2017-07-03,,,,0.132782
2017-06-01,,,,0.181589
2017-05-01,,,,0.179941
