date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2011-05-31,50.0200,50.9100,49.6900,50.0200,13.2290,118000,0.0956
2011-06-30,49.6000,50.2500,48.6800,49.9200,13.2699,53500,0.2550
2011-07-29,49.8000,51.1100,49.2500,50.0380,13.3696,86600,0.2556
2011-08-31,50.0200,50.9000,49.2000,50.8080,13.6448,136900,0.2560
2011-09-30,50.4300,52.4200,49.9500,52.4200,14.1505,187400,0.2606
2011-10-31,51.3700,52.4100,51.0300,51.8912,14.0770,136600,0.2582
2011-11-30,52.1200,52.7000,51.5400,52.4600,14.3015,170800,0.2563
2011-12-30,52.1600,53.1800,51.7500,52.7200,14.5440,224600,0.6284
2012-01-31,52.7500,54.4000,52.2300,54.3500,14.9936,503700,0.0000
2012-02-29,54.3700,54.5700,53.7600,54.4800,15.0996,497100,0.2529
2012-03-30,54.2300,54.8500,53.8500,54.7700,15.2486,788600,0.2462
2012-04-30,54.4300,55.6500,54.0800,55.4000,15.4906,1405500,0.2350
2012-05-31,55.3300,56.1800,55.0000,56.0600,15.7459,633400,0.2496
2012-06-29,55.9100,56.2000,55.7500,56.1299,15.8314,541300,0.2342
2012-07-31,56.2000,57.2200,55.9001,57.1660,16.1941,735400,0.2445
2012-08-31,56.9700,57.4800,56.8405,57.3600,16.3170,887400,0.2383
2012-09-28,57.4000,57.6800,56.9400,57.6604,16.4637,643700,0.2133
2012-10-31,57.4200,58.1800,57.2400,58.1100,16.6567,718300,0.2238
2012-11-30,57.9400,59.5500,57.8400,59.4700,17.1150,1160500,0.2324
2012-12-31,59.2500,59.6000,56.2300,57.9400,16.8227,1710200,0.5186
2013-01-31,58.3900,59.3200,58.0300,59.0600,17.1479,1259200,0.0000
2013-02-28,58.8500,59.0600,58.6500,59.0000,17.1963,662200,0.2264
2013-03-28,58.9100,58.9100,58.1100,58.5000,17.1155,779300,0.2238
2013-04-30,58.3800,59.0799,58.2600,58.9590,17.3149,430700,0.2204
2013-05-31,58.9400,59.1500,58.1120,58.2400,17.1677,1034600,0.2202
2013-06-28,58.1900,58.1900,49.9100,53.8700,15.9395,2927600,0.2182
2013-07-31,53.9700,54.1100,50.9962,51.9900,15.4467,1357100,0.2185
2013-08-30,51.6500,51.9125,49.9300,50.0300,14.9248,898300,0.2099
2013-09-30,49.9600,52.4957,48.3700,52.2900,15.6681,2885900,0.2194
2013-10-31,51.8300,52.7800,50.8500,52.0200,15.6549,1486400,0.2250
2013-11-29,51.8000,52.3600,51.5000,52.3400,15.8161,1073500,0.2130
2013-12-31,52.0500,52.0500,50.8700,51.0500,15.5602,1547100,0.4466
2014-01-31,50.8800,53.5700,50.8800,53.2700,16.2369,1284700,0.0000
2014-02-28,53.1500,54.4700,52.2809,54.4700,16.6720,595500,0.2212
2014-03-31,54.4700,54.7500,53.8700,54.6600,16.7991,2249700,0.2245
2014-04-30,54.5800,55.3800,54.2500,55.3500,17.0797,771500,0.2190
2014-05-30,55.2290,56.6600,55.0100,56.5600,17.5239,1948700,0.2236
2014-06-30,56.3300,56.4200,55.7800,56.3000,17.5107,961200,0.2171
2014-07-31,56.2000,56.2000,54.3100,55.5800,17.3541,1168900,0.2179
2014-08-29,55.3100,56.5500,55.3100,56.4900,17.7076,1092700,0.2187
2014-09-30,56.4900,57.0000,56.1300,56.8100,17.8757,892007,0.2141
2014-10-31,56.6800,57.9900,56.5400,56.7189,17.9148,1706933,0.2159
2014-11-28,56.7900,57.3300,56.6000,57.1800,18.1244,1107261,0.2011
2014-12-31,57.0700,57.8300,56.8100,57.6700,18.4134,1186526,0.4179
2015-01-30,57.5700,59.0680,57.5200,58.9500,18.8221,2684049,0.0000
2015-02-27,58.5900,58.7600,57.5301,57.9100,18.5550,2005630,0.2062
2015-03-31,57.8700,58.3500,56.7900,57.5700,18.5138,2570565,0.2112
2015-04-30,57.5500,58.0099,57.1100,57.2800,18.4905,1429064,0.2193
2015-05-29,57.1200,57.1200,56.2623,57.0700,18.4946,1744640,0.2206
2015-06-30,57.1200,57.1200,54.6500,55.4300,18.0324,1205014,0.2194
2015-07-31,55.0600,56.0800,54.8700,55.6200,18.1668,1781621,0.2214
2015-08-31,55.4500,56.0000,54.9700,55.9700,18.3526,970498,0.2172
2015-09-30,55.8800,56.9300,55.2600,56.6100,18.6350,1042836,0.2180
2015-10-30,56.5200,57.2100,56.0400,56.9600,18.8234,2185790,0.2197
2015-11-30,56.9900,57.0300,56.2700,56.8100,18.8438,1488741,0.2126
2015-12-31,56.5200,57.2200,55.7800,57.0500,19.0657,3741239,0.4261
2016-01-29,57.1000,57.4899,56.7500,57.1300,19.0925,1931613,0.0000
2016-02-29,57.0700,57.3500,56.6300,57.2700,19.2111,1862540,0.2126
2016-03-31,57.1300,57.7400,56.7800,57.6800,19.4198,3401699,0.2091
2016-04-29,57.3100,58.4400,57.3100,58.2700,19.6880,1394115,0.2032
2016-05-31,57.9100,58.6699,57.9100,58.5700,19.8601,1099412,0.2074
2016-06-30,58.5500,59.8164,58.3600,59.8000,20.3473,2364358,0.2019
2016-07-29,59.6500,59.9300,59.3081,59.6400,20.3612,1854257,0.2011
2016-08-31,59.4200,59.7200,59.1900,59.6100,20.4018,2123924,0.1483
2016-09-30,59.4400,59.5500,59.2100,59.3300,20.3669,1665251,0.1784
2016-10-31,59.1900,59.2000,58.2700,58.4600,20.1292,1444288,0.1793
2016-11-30,58.2200,58.5500,54.3900,54.4200,18.7954,4691470,0.1779
2016-12-30,54.1700,56.9999,54.0000,55.9700,19.4582,6519758,0.3637
2017-01-31,56.0200,56.9500,55.9900,56.1900,19.5346,3383607,0.0000
2017-02-28,56.0000,56.8200,55.8300,56.8100,19.8193,2020217,0.1955
2017-03-31,56.5500,56.6690,55.8884,56.6100,19.8139,1667995,0.1842
2017-04-28,56.3200,57.3090,56.2826,56.9000,19.9793,2170648,0.1816
2017-05-31,56.9300,57.4151,56.6100,57.3300,20.1942,1207110,0.1799
2017-06-30,57.3300,57.6000,56.7200,56.8500,20.0887,1659703,0.1816
2017-07-31,56.7000,57.4900,56.1800,57.2200,20.2670,1890344,0.1328
2017-08-31,57.0000,57.8304,57.0000,57.6900,20.4952,1051617,0.1724
