date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2006-06-30,45.8100,47.4300,40.7500,45.5000,33.7697,5986800,0.0235
2006-07-31,45.7500,46.5000,41.9100,45.4300,33.7178,1778400,0.0000
2006-08-31,45.0000,46.7900,43.9400,45.1900,33.5397,750400,0.0000
2006-09-29,45.2200,49.7000,44.7600,49.3700,36.6586,738100,0.0225
2006-10-31,49.1700,52.5000,48.9100,52.0800,38.6709,1941300,0.0000
2006-11-30,52.3500,55.8500,50.3600,53.5684,39.7761,1390400,0.0000
2006-12-29,53.4800,55.1700,52.1900,53.8101,40.0013,1274700,0.0621
2007-01-31,54.3700,57.9400,53.9400,56.3200,41.8671,3512000,0.0000
2007-02-28,56.9800,58.1200,52.2300,53.3300,39.6444,4387600,0.0000
2007-03-30,51.7800,54.6000,49.9000,52.7000,39.2195,7093100,0.0600
2007-04-30,52.9800,56.0800,52.4400,54.8300,40.8046,3713400,0.0000
2007-05-31,54.8600,57.5700,54.0800,57.0800,42.4791,4355300,0.0000
2007-06-29,57.3300,58.4700,54.1400,54.6500,40.7322,4237600,0.0839
2007-07-31,57.1000,57.7500,49.8400,50.7800,37.8478,26995200,0.0000
2007-08-31,50.5700,53.0500,43.8800,49.5600,36.9385,93575000,0.0000
2007-09-28,49.5200,53.1700,47.7500,52.0300,38.8636,34466100,0.1100
2007-10-31,52.1400,55.7899,50.7300,54.9000,41.0073,24377700,0.0000
2007-11-30,53.7700,57.0300,46.7800,51.0000,38.0942,36140500,0.0000
2007-12-31,50.6500,53.0700,48.5600,51.1600,38.2859,18331800,0.0962
2008-01-31,51.1200,51.2600,40.7700,48.5300,36.3178,39532600,0.0000
2008-02-29,48.7100,49.2400,41.6900,41.8000,31.2813,43966600,0.0000
2008-03-31,41.8500,42.1800,32.2000,37.2600,27.9033,76183900,0.0282
2008-04-30,38.7300,42.1600,37.1100,41.1600,30.8239,28842700,0.0000
2008-05-30,41.1800,43.8200,38.7400,39.7900,29.7979,22895500,0.0000
2008-06-30,39.7200,39.7200,33.2900,33.3500,25.0196,42157000,0.0643
2008-07-31,32.7200,35.5000,26.8300,33.6300,25.2296,49124500,0.0000
2008-08-29,33.9100,35.7900,31.1600,33.8800,25.4172,30354600,0.0000
2008-09-30,34.5600,35.9600,23.6900,28.7001,21.6593,50346900,0.1719
