date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,76.6,77.24,76.375,76.61,76.61,10289925,0.0,1.0
2025-11-24,76.76,77.86,76.63,77.84,77.84,7411856,0.0,1.0
2025-11-25,77.88,78.32,77.43,77.83,77.83,12677883,0.0,1.0
2025-11-26,78.03,78.58,77.92,78.44,78.44,9143005,0.0,1.0
2025-11-28,79.05,79.42,78.84,79.41,79.41,6228352,0.0,1.0
2025-12-01,80.0,80.0,79.47,79.81,79.81,10411603,0.0,1.0
2025-12-02,79.61,79.65,78.425,79.29,79.29,8130444,0.0,1.0
2025-12-03,79.56,79.89,79.015,79.23,79.23,5417163,0.0,1.0
2025-12-04,79.23,79.46,78.925,79.28,79.28,4030284,0.0,1.0
2025-12-05,79.7,80.215,79.08,79.14,79.14,6569780,0.0,1.0
2025-12-08,79.275,79.3,78.64,78.95,78.95,6301573,0.0,1.0
2025-12-09,78.97,79.5007,78.91,79.34,79.34,5227471,0.0,1.0
2025-12-10,79.05,79.82,78.76,79.67,79.67,8626427,0.0000,1.0
2025-12-11,79.67,80.7099,79.5701,80.54,80.54,13195659,0.0000,1.0
2025-12-12,81.76,81.98,80.18,80.99,80.99,13725692,0.0000,1.0
2025-12-15,81.46,81.65,80.71,81.08,81.08,7222782,0.0000,1.0
2025-12-16,81.46,81.65,80.8151,81.08,81.08,6965151,0.0000,1.0
2025-12-17,81.52,81.91,81.365,81.76,81.76,10268785,0.0000,1.0
2025-12-18,81.57,82.375,81.115,81.63,81.63,8053130,0.0000,1.0
2025-12-19,81.5,82.035,81.34,81.71,81.71,5202550,0.0000,1.0
2025-12-22,83.34,83.66,83.09,83.59,83.59,6309786,0.0000,1.0
2025-12-23,84.06,84.715,83.39,84.68,84.68,7327000,0.0000,1.0
2025-12-24,84.44,84.505,83.73,84.34,84.34,6549277,0.0000,1.0
2025-12-26,85.295,85.685,84.94,85.34,85.34,8989337,0.0000,1.0
2025-12-29,82.68,82.68,81.01,81.61,81.61,16442835,0.0000,1.0
2025-12-30,82.65,82.6947,81.642,81.71,81.71,8333694,0.0000,1.0
2025-12-31,81.64,81.945,81.0,81.17,81.17,9044628,0.0000,1.0
2026-01-02,82.25,82.28,81.15,81.56,81.56,9679247,0.0000,1.0
